Study	Sample	Disease_stage	Genotype	Timepoint	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types	Disease
GSE36237	GSE36237_HippVeh_WT_1	WT	WT	1m	F	GSE36237	5	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_WT_2	WT	WT	1m	F	GSE36237	5	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_WT_3	WT	WT	1m	F	GSE36237	5	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_WT_4	WT	WT	1m	F	GSE36237	5	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_WT_5	WT	WT	1m	F	GSE36237	5	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_WT_6	WT	WT	1m	F	GSE36237	5	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_WT_7	WT	WT	1m	F	GSE36237	5	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_WT_8	WT	WT	1m	F	GSE36237	5	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_TG_1	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_TG_2	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_TG_3	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_TG_4	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_TG_5	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_TG_6	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models	AD
