#2017-03-21
# this file is to assign samples to model types. ignore other columns (some info are not correct)
# GSE64398 has multiple mouse models and age matched control are randomly assigned to each model types
Study	Sample	Disease_stage	Genotype	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types
GSE36237	GSE36237_HippVeh_WT_1	WT	WT	F	GSE36237	5	WT	NA	NA	NA	NA	Amyloid
GSE36237	GSE36237_HippVeh_WT_2	WT	WT	F	GSE36237	5	WT	NA	NA	NA	NA	Amyloid
GSE36237	GSE36237_HippVeh_WT_3	WT	WT	F	GSE36237	5	WT	NA	NA	NA	NA	Amyloid
GSE36237	GSE36237_HippVeh_WT_4	WT	WT	F	GSE36237	5	WT	NA	NA	NA	NA	Amyloid
GSE36237	GSE36237_HippVeh_WT_5	WT	WT	F	GSE36237	5	WT	NA	NA	NA	NA	Amyloid
GSE36237	GSE36237_HippVeh_WT_6	WT	WT	F	GSE36237	5	WT	NA	NA	NA	NA	Amyloid
GSE36237	GSE36237_HippVeh_WT_7	WT	WT	F	GSE36237	5	WT	NA	NA	NA	NA	Amyloid
GSE36237	GSE36237_HippVeh_WT_8	WT	WT	F	GSE36237	5	WT	NA	NA	NA	NA	Amyloid
GSE36237	GSE36237_HippVeh_TG_1	Disease	AD	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid
GSE36237	GSE36237_HippVeh_TG_2	Disease	AD	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid
GSE36237	GSE36237_HippVeh_TG_3	Disease	AD	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid
GSE36237	GSE36237_HippVeh_TG_4	Disease	AD	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid
GSE36237	GSE36237_HippVeh_TG_5	Disease	AD	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid
GSE36237	GSE36237_HippVeh_TG_6	Disease	AD	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid
GSE36237	GSE36237_HippVeh_TG_7	Disease	AD	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid
GSE36237	GSE36237_HippVeh_TG_8	Disease	AD	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid
GSE48622	GSE48622_APLP2KO_rep1	Disease	AD	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models
GSE48622	GSE48622_APLP2KO_rep2	Disease	AD	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models
GSE48622	GSE48622_APLP2KO_rep3	Disease	AD	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models
GSE48622	GSE48622_APLP2KO_rep4	Disease	AD	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models
GSE48622	GSE48622_APPKO_rep1	Disease	AD	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models
GSE48622	GSE48622_APPKO_rep2	Disease	AD	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models
GSE48622	GSE48622_APPKO_rep3	Disease	AD	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models
GSE48622	GSE48622_APPKO_rep4	Disease	AD	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models
GSE48622	GSE48622_N.dCKO_rep1	Disease	AD	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models
GSE48622	GSE48622_N.dCKO_rep2	Disease	AD	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models
GSE48622	GSE48622_N.dCKO_rep3	Disease	AD	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models
GSE48622	GSE48622_N.dCKO_rep4	Disease	AD	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models
GSE48622	GSE48622_WT_rep1	WT	WT	M	GSE48622	2	WT	NA	NA	NA	NA	KO models
GSE48622	GSE48622_WT_rep2	WT	WT	M	GSE48622	2	WT	NA	NA	NA	NA	KO models
GSE48622	GSE48622_WT_rep3	WT	WT	M	GSE48622	2	WT	NA	NA	NA	NA	KO models
GSE48622	GSE48622_WT_rep4	WT	WT	M	GSE48622	2	WT	NA	NA	NA	NA	KO models
GSE63617	GSE63617_3m_hp_AD11_rep1	Disease	AD	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other model
GSE63617	GSE63617_3m_hp_AD11_rep2	Disease	AD	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other model
GSE63617	GSE63617_3m_hp_AD11_rep3	Disease	AD	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other model
