#2017-03-21
# this file is to assign samples to model types. ignore other columns (some info are not correct)
# GSE64398 has multiple mouse models and age matched control are randomly assigned to each model types
Study	Sample	Disease_stage	Genotype	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types
GSE14499	GSE14499_Hippocampus,APP,GFP,rep1	Disease	AD	F	GSE14499	7	J20	7m	late	6	GPL1261	Amyloid
GSE14499	GSE14499_Hippocampus,APP,GFP,rep2	Disease	AD	M	GSE14499	7	J20	7m	late	6	GPL1261	Amyloid
GSE14499	GSE14499_Hippocampus,APP,GFP,rep3	Disease	AD	F	GSE14499	7	J20	7m	late	6	GPL1261	Amyloid
GSE14499	GSE14499_Hippocampus,APP,GFP,rep4	Disease	AD	M	GSE14499	7	J20	7m	late	6	GPL1261	Amyloid
GSE14499	GSE14499_Hippocampus,GFP,rep1	WT	WT	F	GSE14499	7	WT	NA	late	NA	NA	Amyloid
GSE14499	GSE14499_Hippocampus,GFP,rep2	WT	WT	F	GSE14499	7	WT	NA	late	NA	NA	Amyloid
GSE15056	GSE15056_Tg2576_rep1	Disease	AD	F	GSE15056	17	Tg2576	17m	late	3	GPL7202	Amyloid
GSE15056	GSE15056_Tg2576_rep2	Disease	AD	F	GSE15056	17	Tg2576	17m	late	3	GPL7202	Amyloid
GSE15056	GSE15056_wt_rep1	WT	WT	F	GSE15056	17	WT	NA	late	NA	NA	Amyloid
GSE15056	GSE15056_wt_rep2	WT	WT	F	GSE15056	17	WT	NA	late	NA	NA	Amyloid
GSE1556	GSE1556_12moAPPSw.1	Disease	AD	F	GSE1556	12	Tg2576	12m	late	2	GPL81	Amyloid
GSE1556	GSE1556_12moAPPSw.2	Disease	AD	F	GSE1556	12	Tg2576	12m	late	2	GPL81	Amyloid
GSE1556	GSE1556_12moControl.1	WT	WT	F	GSE1556	12	WT	NA	late	NA	NA	Amyloid
GSE1556	GSE1556_12moControl.2	WT	WT	F	GSE1556	12	WT	NA	late	NA	NA	Amyloid
GSE50521	GSE50521_5xFAD1	Disease	AD	M	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid
GSE50521	GSE50521_5xFAD2	Disease	AD	F	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid
GSE50521	GSE50521_5xFAD3	Disease	AD	M	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid
GSE50521	GSE50521_5xFAD;eIF2+_S51A1	Disease	AD	F	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid
GSE50521	GSE50521_5xFAD;eIF2+_S51A2	Disease	AD	M	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid
GSE50521	GSE50521_5xFAD;eIF2+_S51A3	Disease	AD	M	GSE50521	14.5	5xFAD	14-15m	late	5	GPL6096	Amyloid
GSE50521	GSE50521_eIF2+_S51A1	WT	WT	F	GSE50521	14.5	WT	NA	late	NA	NA	Amyloid
GSE50521	GSE50521_eIF2+_S51A2	WT	WT	M	GSE50521	14.5	WT	NA	late	NA	NA	Amyloid
GSE50521	GSE50521_eIF2+_S51A3	WT	WT	M	GSE50521	14.5	WT	NA	late	NA	NA	Amyloid
GSE50521	GSE50521_WT1	WT	WT	M	GSE50521	14.5	WT	NA	late	NA	NA	Amyloid
GSE50521	GSE50521_WT2	WT	WT	M	GSE50521	14.5	WT	NA	late	NA	NA	Amyloid
GSE50521	GSE50521_WT3	WT	WT	F	GSE50521	14.5	WT	NA	late	NA	NA	Amyloid
GSE52022	GSE52022_4mon_5XFAD_rep1	Disease	AD	F	GSE52022	4	5xFAD	4m	late	4	GPL1261	Amyloid
GSE52022	GSE52022_4mon_5XFAD_rep2	Disease	AD	F	GSE52022	4	5xFAD	4m	late	4	GPL1261	Amyloid
GSE52022	GSE52022_4mon_WT_rep1	WT	WT	F	GSE52022	4	WT	NA	late	NA	NA	Amyloid
GSE52022	GSE52022_4mon_WT_rep2	WT	WT	F	GSE52022	4	WT	NA	late	NA	NA	Amyloid
GSE53480	GSE53480_Tg4510_rep1	Disease	AD	F	GSE53480	4	Tg4510	4m	late	15	GPL1261	TAU
GSE53480	GSE53480_Tg4510_rep2	Disease	AD	M	GSE53480	4	Tg4510	4m	late	15	GPL1261	TAU
GSE53480	GSE53480_Tg4510_rep3	Disease	AD	M	GSE53480	4	Tg4510	4m	late	15	GPL1261	TAU
GSE53480	GSE53480_Tg4510_rep4	Disease	AD	F	GSE53480	4	Tg4510	4m	late	15	GPL1261	TAU
GSE53480	GSE53480_WT_rep1	WT	WT	M	GSE53480	4	WT	NA	late	NA	NA	TAU
GSE53480	GSE53480_WT_rep2	WT	WT	M	GSE53480	4	WT	NA	late	NA	NA	TAU
GSE53480	GSE53480_WT_rep3	WT	WT	F	GSE53480	4	WT	NA	late	NA	NA	TAU
GSE53480	GSE53480_WT_rep4	WT	WT	M	GSE53480	4	WT	NA	late	NA	NA	TAU
GSE63617	GSE63617_15m_hp_AD11_rep1	Disease	AD	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other model
GSE63617	GSE63617_15m_hp_AD11_rep2	Disease	AD	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other model
GSE63617	GSE63617_15m_hp_AD11_rep3	Disease	AD	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other model
GSE63617	GSE63617_15m_hp_AD11_rep4	Disease	AD	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other model
GSE63617	GSE63617_15m_hp_AD11_rep5	Disease	AD	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other model
GSE63617	GSE63617_15m_hp_VH_rep1	WT	WT	F	GSE63617.2	15	WT	NA	late	NA	NA	Other model
GSE63617	GSE63617_15m_hp_VH_rep2	WT	WT	F	GSE63617.2	15	WT	NA	late	NA	NA	Other model
GSE63617	GSE63617_15m_hp_VH_rep3	WT	WT	F	GSE63617.2	15	WT	NA	late	NA	NA	Other model
GSE63617	GSE63617_15m_hp_VH_rep4	WT	WT	F	GSE63617.2	15	WT	NA	late	NA	NA	Other model
GSE63617	GSE63617_15m_hp_VH_rep5	WT	WT	F	GSE63617.2	15	WT	NA	late	NA	NA	Other model
GSE64398	GSE64398_ho_TASTPM_4m_Hipp_rep1	Disease	AD	M	GSE64398.1	4	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_4m_Hipp_rep2	Disease	AD	M	GSE64398.1	4	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_4m_Hipp_rep3	Disease	AD	M	GSE64398.1	4	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_4m_Hipp_rep4	Disease	AD	M	GSE64398.1	4	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep1	WT	WT	M	GSE64398.1	4	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep2	WT	WT	M	GSE64398.1	4	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep3	WT	WT	M	GSE64398.1	4	WT	NA	late	NA	NA	Amyloid
