full_name	shorten	notes
wild_type	WT	
APP_knock_out	APP_KO	
APPsa_knock_out	APPsa_KO	
APLP2_knock_out	APLP2_KO	
mixed_genetic_background_|_APLP2_knock_out_|	mixed_APLP2_KO	
APP_[human]_amyloid_beta_(A4)_precursor_protein_|_knock_in_|	J20	GSE14499, see http://www.ncbi.nlm.nih.gov/pubmed/19198615
wild_type_genotype	WT	
wildtype	WT	
_/__|_Aplp2_[mouse]_amyloid_beta_(A4)_precursor_like_protein_2_|	APLP2_KO	
_/__|_Aplp2_[mouse]_amyloid_beta_(A4)_precursor_like_protein_2_|_App_[mouse]_amyloid_beta_(A4)_precursor_protein_|_App_a/a,_Aplp2__/__|	APPsa_DM	
+/__|_Psen1_[mouse]_presenilin_1_|	Psen1	
psen1/2_dko_|__/__|_Psen2_[mouse]_presenilin_2_|_Psen1_[mouse]_presenilin_1_|	Psen1_2	
Dicer1_[mouse]_dicer_1,_ribonuclease_type_III_|__/__|	Dicer_KO	
MAPT_[human]_microtubule_associated_protein_tau_|_Overexpression_|_Psen1_(M146V/M146V),_APP_(swe/swe),_MAPT_(P301L/P301L)_|_Psen1_[mouse]_presenilin_1_|_APP_[human]_amyloid_beta_(A4)_precursor_protein_|	3xTg_H	
APP_[human]_amyloid_beta_(A4)_precursor_protein_|_Psen1_(M146V/M146V),_APP_(swe/_),_MAPT_(P301L/_)_|_Psen1_[mouse]_presenilin_1_|_Overexpression_|_MAPT_[human]_microtubule_associated_protein_tau_|	3xTg_h	
Mgmt_/_	Mgmt_neg	
Overexpression_|_transgenic_|_APP_[human]_amyloid_beta_(A4)_precursor_protein_|	Tg2576	
Hippocampus,APPtransgenicanimals,GFPtreated,biologicalrep1	Hippocampus,APP,GFP,rep1	
Hippocampus,APPtransgenicanimals,BDNFtreated,biologicalrep4	Hippocampus,APP,BDNF,rep4	
Hippocampus,non.transgenicanimals,shamlesion,biologicalrep1	Hippocampus,sham,rep1	
Hippocampus,APPtransgenicanimals,GFPtreated,biologicalrep2	Hippocampus,APP,GFP,rep2	
Hippocampus,non.transgenicanimals,GFPtreated,biologicalrep2	Hippocampus,GFP,rep2	
Entorhinalcortex,APPtransgenicanimals,BDNFtreated,biologicalrep1	Entorhinalcortex,APP,BDNF,rep1	
Hippocampus,APPtransgenicanimals,BDNFtreated,biologicalrep1	Hippocampus,APP,BDNF,rep1	
Hippocampus,APPtransgenicanimals,GFPtreated,biologicalrep3	Hippocampus,APP,GFP,rep3	
Hippocampus,APPtransgenicanimals,BDNFtreated,biologicalrep2	Hippocampus,APP,BDNF,rep2	
Hippocampus,APPtransgenicanimals,GFPtreated,biologicalrep4	Hippocampus,APP,GFP,rep4	
Entorhinalcortex,non.transgenicanimals,shamlesion,biologicalrep1	Entorhinalcortex,sham,rep1	
Hippocampus,APPtransgenicanimals,BDNFtreated,biologicalrep3	Hippocampus,APP,BDNF,rep3	
Hippocampus,non.transgenicanimals,shamlesion,biologicalrep2	Hippocampus,sham,rep2	
Hippocampus,non.transgenicanimals,shamlesion,biologicalrep3	Hippocampus,sham,rep3	
Entorhinalcortex,APPtransgenicanimals,BDNFtreated,biologicalrep2	Entorhinalcortex,APP,BDNF,rep2	
Entorhinalcortex,APPtransgenicanimals,BDNFtreated,biologicalrep3	Entorhinalcortex,APP,BDNF,rep3	
Entorhinalcortex,non.transgenicanimals,GFPtreated,biologicalrep1	Entorhinalcortex,GFPtreated,rep1	
Entorhinalcortex,APPtransgenicanimals,GFPtreated,biologicalrep1	Entorhinalcortex,APP,GFP,rep1	
Entorhinalcortex,non.transgenicanimals,shamlesion,biologicalrep2	Entorhinalcortex,shamlesion,rep2	
Entorhinalcortex,non.transgenicanimals,GFPtreated,biologicalrep2	Entorhinalcortex,GFPtreated,rep2	
Entorhinalcortex,APPtransgenicanimals,BDNFtreated,biologicalrep4	Entorhinalcortex,APP,BDNF,rep4	
Entorhinalcortex,APPtransgenicanimals,GFPtreated,biologicalrep3	Entorhinalcortex,APP,GFP,rep3	
Entorhinalcortex,non.transgenicanimals,shamlesion,biologicalrep3	Entorhinalcortex,sham,rep3	
Entorhinalcortex,APPtransgenicanimals,GFPtreated,biologicalrep2	Entorhinalcortex,APP,GFP,rep2	
Hippocampus,non.transgenicanimals,GFPtreated,biologicalrep1	Hippocampus,GFP,rep1	
Entorhinalcortex,APPtransgenicanimals,GFPtreated,biologicalrep4	Entorhinalcortex,APP,GFP,rep4	
adultonWTsection,biologicalrep1	adultonWT,rep1	
neonatalonTGsection,biologicalrep1	neonatalonTG,rep1	
neonatalonTGsection,biologicalrep2	neonatalonTG,rep2	
neonatalonWTsection,biologicalrep3	neonatalonWT,rep3	
adultonTGsection,biologicalrep2	adultonTG,rep2	
neonatalonWTsection,biologicalrep2	neonatalonWT,rep2	
adultonTGsection,biologicalrep1	adultonTG,rep1	
