#39	GSE64398.2	GPL6885	2016-06-04	cerebellum
#40	GSE64398.3	GPL6885	2016-06-04	cortex
#38	GSE64398.1	GPL6885	2016-06-04	hippocampus
number	eeName	platform_id	added	notes
1	GSE14499	GPL1261	2015-11-12	
2	GSE15056	GPL7202	2016-03-01	
3	GSE1556	GPL81	2015-11-12	
4	GSE36237	GPL1261	2015-11-12	
5	GSE48622	GPL1261	2015-12-02	
6	GSE50521	GPL6096	2016-01-21	
7	GSE52022	GPL1261	2016-04-05	
8	GSE53480	GPL1261	2016-09-19	
9	GSE63617.1	GPL7042	2016-01-05	
10	GSE63617.2	GPL7202	2016-01-05	
11	GSE64398	GPL6885	2016-06-04	
