Bioassay	ExternalID	Batch	Genotype	OrganismPart	Treatment	Gender	Timepoint	Sample	Dataset	ExpMatrixName	Original_genotype	Genotype2	Age_in_weeks	Section	Grown_with	Scan_batch	Dataset_assigned
"GSE14499_Biomat_10___BioAssayImplId=38705Name=Hippocampus,APPtransgenicanimals,GFPtreated,biologicalrep1"	GSM362128	Batch_02_9_28_07	J20	Hippocampus	GFP	F	7_months	"Hippocampus,APP,GFP,rep1"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_11___BioAssayImplId=38693Name=Hippocampus,APPtransgenicanimals,BDNFtreated,biologicalrep4"	GSM362140	Batch_02_9_28_07	J20	Hippocampus	BDNF	M	7_months	"Hippocampus,APP,BDNF,rep4"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_12___BioAssayImplId=38703Name=Hippocampus,non.transgenicanimals,shamlesion,biologicalrep1"	GSM362130	Batch_02_9_28_07	WT	Hippocampus	reference	F	7_months	"Hippocampus,sham,rep1"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_13___BioAssayImplId=38702Name=Hippocampus,APPtransgenicanimals,GFPtreated,biologicalrep2"	GSM362131	Batch_02_9_28_07	J20	Hippocampus	GFP	M	7_months	"Hippocampus,APP,GFP,rep2"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_14___BioAssayImplId=38701Name=Hippocampus,non.transgenicanimals,GFPtreated,biologicalrep2"	GSM362132	Batch_02_9_28_07	WT	Hippocampus	GFP	F	7_months	"Hippocampus,GFP,rep2"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_15___BioAssayImplId=38718Name=Entorhinalcortex,APPtransgenicanimals,BDNFtreated,biologicalrep1"	GSM362115	Batch_01_9_7_07	J20	Entorhinal_cortex	BDNF	F	7_months	"Entorhinalcortex,APP,BDNF,rep1"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_16___BioAssayImplId=38700Name=Hippocampus,APPtransgenicanimals,BDNFtreated,biologicalrep1"	GSM362133	Batch_02_9_28_07	J20	Hippocampus	BDNF	F	7_months	"Hippocampus,APP,BDNF,rep1"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_17___BioAssayImplId=38699Name=Hippocampus,APPtransgenicanimals,GFPtreated,biologicalrep3"	GSM362134	Batch_02_9_28_07	J20	Hippocampus	GFP	F	7_months	"Hippocampus,APP,GFP,rep3"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_18___BioAssayImplId=38698Name=Hippocampus,APPtransgenicanimals,BDNFtreated,biologicalrep2"	GSM362135	Batch_02_9_28_07	J20	Hippocampus	BDNF	F	7_months	"Hippocampus,APP,BDNF,rep2"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_19___BioAssayImplId=38697Name=Hippocampus,APPtransgenicanimals,GFPtreated,biologicalrep4"	GSM362136	Batch_02_9_28_07	J20	Hippocampus	GFP	M	7_months	"Hippocampus,APP,GFP,rep4"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
