#2017-03-21
# this file is to assign samples to model types. ignore other columns (some info are not correct)
Study	Sample	Disease_stage	Genotype	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	mouse_model	Genotypes	Model_types	repeat_length	notes
GSE32417	GSE32417_6m_HdhQ150_rep1	Disease	HD	F	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	HdhQ150	HdhQ150	HTT exon 1 KI	124	repeat: 118-130
GSE32417	GSE32417_6m_HdhQ150_rep2	Disease	HD	M	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	HdhQ150	HdhQ150	HTT exon 1 KI	124	repeat: 118-130
GSE32417	GSE32417_6m_HdhQ150_rep3	Disease	HD	F	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	HdhQ150	HdhQ150	HTT exon 1 KI	124	repeat: 118-130
GSE32417	GSE32417_6m_HdhQ150_rep4	Disease	HD	F	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	HdhQ150	HdhQ150	HTT exon 1 KI	124	repeat: 118-130
GSE32417	GSE32417_6m_HdhQ150_rep5	Disease	HD	F	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	HdhQ150	HdhQ150	HTT exon 1 KI	124	repeat: 118-130
GSE32417	GSE32417_6m_WT_rep1	WT	WT	M	GSE32417	6	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE32417	GSE32417_6m_WT_rep2	WT	WT	M	GSE32417	6	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE32417	GSE32417_6m_WT_rep3	WT	WT	F	GSE32417	6	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE32417	GSE32417_6m_WT_rep4	WT	WT	F	GSE32417	6	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE32417	GSE32417_6m_WT_rep5	WT	WT	F	GSE32417	6	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE50379	GSE50379_HdhQ111_rep1	Disease	HD	M	GSE50379	3	HdhQ111	3_months	early	11	GPL6246	HdhQ111	HdhQ111	HTT exon 1 KI	111	
GSE50379	GSE50379_HdhQ111_rep2	Disease	HD	M	GSE50379	3	HdhQ111	3_months	early	11	GPL6246	HdhQ111	HdhQ111	HTT exon 1 KI	111	
GSE50379	GSE50379_HdhQ111_rep3	Disease	HD	M	GSE50379	3	HdhQ111	3_months	early	11	GPL6246	HdhQ111	HdhQ111	HTT exon 1 KI	111	
GSE50379	GSE50379_WT_rep1	WT	WT	M	GSE50379	3	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	20	
GSE50379	GSE50379_WT_rep2	WT	WT	M	GSE50379	3	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	20	
GSE50379	GSE50379_WT_rep3	WT	WT	M	GSE50379	3	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	20	
GSE64386	GSE64386_Str_TG_2m_GN50_1	Disease	HD	F	GSE64386	2	BAC_HD	2, 7 months	early	15	GPL6885	BACHD-ΔN17	BACHD-ΔN17	Full-length	97	
GSE64386	GSE64386_Str_TG_2m_GN50_3	Disease	HD	F	GSE64386	2	BAC_HD	2, 7 months	early	15	GPL6885	BACHD-ΔN17	BACHD-ΔN17	Full-length	97	
GSE64386	GSE64386_Str_TG_2m_GN51_1	Disease	HD	M	GSE64386	2	BAC_HD	2, 7 months	early	15	GPL6885	BACHD-ΔN17	BACHD-ΔN17	Full-length	97	
GSE64386	GSE64386_Str_TG_2m_GN51_3	Disease	HD	M	GSE64386	2	BAC_HD	2, 7 months	early	15	GPL6885	BACHD-ΔN17	BACHD-ΔN17	Full-length	97	
GSE64386	GSE64386_Str_WT_2m_GN50_2	WT	WT	F	GSE64386	2	WT	NA	NA	NA	NA	NA	NA	Full-length	31	wt is human wt transgene with 31Q
GSE64386	GSE64386_Str_WT_2m_GN50_4	WT	WT	F	GSE64386	2	WT	NA	NA	NA	NA	NA	NA	Full-length	31	wt is human wt transgene with 31Q
GSE64386	GSE64386_Str_WT_2m_GN51_5	WT	WT	M	GSE64386	2	WT	NA	NA	NA	NA	NA	NA	Full-length	31	wt is human wt transgene with 31Q
GSE64386	GSE64386_Str_WT_2m_GN80_2	WT	WT	M	GSE64386	2	WT	NA	NA	NA	NA	NA	NA	Full-length	31	wt is human wt transgene with 31Q
GSE64386	GSE64386_Str_TG_7m_GN1_2	Disease	HD	M	GSE64386	7	BAC_HD	2, 7 months	early	15	GPL6885	BACHD-ΔN17	BACHD-ΔN17	Full-length	97	
GSE64386	GSE64386_Str_TG_7m_GN1_4	Disease	HD	M	GSE64386	7	BAC_HD	2, 7 months	early	15	GPL6885	BACHD-ΔN17	BACHD-ΔN17	Full-length	97	
GSE64386	GSE64386_Str_TG_7m_GN2_1	Disease	HD	F	GSE64386	7	BAC_HD	2, 7 months	early	15	GPL6885	BACHD-ΔN17	BACHD-ΔN17	Full-length	97	
GSE64386	GSE64386_Str_TG_7m_GN2_2	Disease	HD	F	GSE64386	7	BAC_HD	2, 7 months	early	15	GPL6885	BACHD-ΔN17	BACHD-ΔN17	Full-length	97	
GSE64386	GSE64386_Str_WT_7m_GN1_1	WT	WT	M	GSE64386	7	WT	NA	NA	NA	NA	NA	NA	Full-length	31	wt is human wt transgene with 31Q
GSE64386	GSE64386_Str_WT_7m_GN1_3	WT	WT	M	GSE64386	7	WT	NA	NA	NA	NA	NA	NA	Full-length	31	wt is human wt transgene with 31Q
