full_name	shorten	notes
wild_type	WT	
wild_type_genotype	WT	
Q80_mutation_|_Htt_[mouse]_huntingtin_|	Hdh4_Q80	GSE9375
HTT_[human]_huntingtin_|_98Q/98Q_|_Overexpression_|	N171_98Q	GSE25232
CBA_|_C57BL/6_|	WT	GSE9803, GSE9804
C57BL/6	WT	GSE10202
Q92_mutation_|_Overexpression_|_HTT_[human]_huntingtin_|	HdhQ92_Q92	GSE7958
Htt_[mouse]_huntingtin	R62_300Q	GSE26317
reference_substance_role	reference	
phosphate_buffered_saline_solution_|_reference_substance_role_|	reference	GSE39586
GLP_1_transferrin	GLP_1Tf	GSE39586
Truncation_|_R6/2_|_CAG144_mutation_|_Overexpression_|_HTT_[human]_huntingtin_|	R62	GSE857
moclobemide_|_creatine_|_tacrine_|	moclobemide_creatine_tacrine	GSE857
Htt_[mouse]_huntingtin_|_Hdh_CAG_knock_in_|	HdhQ111	GSE9038
YAC128_|_FVB_Tg(YAC128)53Hay/J_|_HTT_[human]_huntingtin_|_Overexpression_|	YAC128	GSE18551
YAC128mouse,24monthsofage(rlcstriat2)	YAC128_24_m_rep2	GSE18551, sample name
WTmouse,24monthsofage(rlcstriat1)	WT_24_m_rep1	GSE18551, sample name
YAC128mouse,24monthsofage(rlcstriat4)	YAC128_24_m_rep4	GSE18551, sample name
YAC128mouse,24monthsofage(rlcstriat3)	YAC128_24_m_rep3	GSE18551, sample name
YAC128mouse,24monthsofage(rlcstriat6)	YAC128_24_m_rep6	GSE18551, sample name
WTmouse,24monthsofage(rlcstriat5)	WT_24_m_rep5	GSE18551, sample name
YAC128mouse,12monthsofage(S4)	YAC128_12_m_S4	GSE18551, sample name
YAC128mouse,12monthsofage(S3bis)	YAC128_12_m_S3	GSE18551, sample name
YAC128mouse,12monthsofage(S2)	YAC128_12_m_S2	GSE18551, sample name
YAC128mouse,12monthsofage(S1bis)	YAC128_12_m_S1	GSE18551, sample name
YAC128mouse,24monthsofage(rlcstriat7)	YAC128_24_m_rep7	GSE18551, sample name
WTmouse,24monthsofage(rlcstriat8)	WT_24_m_rep8	GSE18551, sample name
YAC128mouse,24monthsofage(rlcstriat9)	YAC128_24_m_rep9	GSE18551, sample name
WTmouse,24monthsofage(rlcstriat10)	WT_24_m_rep10	GSE18551, sample name
WTmouse,12monthsofage(S8)	WT_12_m_S8	GSE18551, sample name
WTmouse,12monthsofage(S7)	WT_12_m_S7	GSE18551, sample name
WTmouse,12monthsofage(S6)	WT_12_m_S6	GSE18551, sample name
WTmouse,12monthsofage(S5)	WT_12_m_S5	GSE18551, sample name
Htt_[mouse]_huntingtin_|_R6/2_|	R62	GSE9803
CHL2_|_Knock_in_mouse_strain_|_Chrdl2_[mouse]_chordin_like_2_|	CHL2Q150_Q150	GSE10202
striatum_R62_65	R62_65	GSE9803
striatum_R62_78	R62_78	GSE9803
striatum_R62_70	R62_70	GSE9803
striatum_wildtype_42	WT_42	GSE9803
striatum_wildtype_54	WT_54	GSE9803
striatum_wildtype_63	WT_63	GSE9803
striatum_wildtype_48	WT_48	GSE9803
striatum_wildtype_45	WT_45	GSE9803
striatum_R62_64	R62_64	GSE9803
striatum_wildtype_46	WT_46	GSE9804
striatum_wildtype_47	WT_47	GSE9804
striatum_wildtype_49	WT_49	GSE9804
striatum_wildtype_66	WT_66	GSE9804
striatum_R62_86	R62_86	GSE9804
striatum_R62_95	R62_95	GSE9804
striatum_R62_105	R62_105	GSE9804
striatum_R62_107	R62_107	GSE9804
striatum_R62_109	R62_109	GSE9804
striatum_wildtype_6S	WT_6S	GSE9375
striatum_wildtype_5S	WT_5S	GSE9375
striatum_Hdh4Q80_9S	Hdh4Q80_9S	GSE9375
striatum_wildtype_4S	WT_4S	GSE9375
striatum_Hdh4Q80_7S	Hdh4Q80_7S	GSE9375
striatum_Hdh4Q80_8S	Hdh4Q80_8S	GSE9375
DE5_rep3	N171-98Q_rep3	GSE25232
DE5_rep4	N171-98Q_rep4	GSE25232
DE5_rep1	N171-98Q_rep1	GSE25232
DE5_rep2	N171-98Q_rep2	GSE25232
striatum_Q92_18m_25	Q92_18m_25	GSE7958
striatum_Q92_3m_439	Q92_3m_439	GSE7958
striatum_Q92_18m_11	Q92_18m_11	GSE7958
striatum_wt_18m_17	WT_18m_17	GSE7958
striatum_wt_3m_467	WT_3m_467	GSE7958
striatum_wt_18m_9	WT_18m_9	GSE7958
striatum_wt_3m_438	WT_3m_438	GSE7958
striatum_Q92_18m_66	Q92_18m_66	GSE7958
striatum_Q92_3m_440	Q92_3m_440	GSE7958
striatum_wt_18m_12	WT_18m_12	GSE7958
striatum_Q92_3m_466	Q92_3m_466	GSE7958
striatum_wt_3m_436	WT_3m_436	GSE7958
Wildtype(untreated)5241	WT(untreated)5241	GSE857
Wildtype(untreated)5176	WT(untreated)5176	GSE857
Wildtype(untreated)5296	WT(untreated)5296	GSE857
W/type(tripletreatment)5217	WT(tripletreatment)5217	GSE857
W/type(tripletreatment)5267	WT(tripletreatment)5267	GSE857
W/type(tripletreatment)5289	WT(tripletreatment)5289	GSE857
Hdh+/Hdh+striatumat3~10weeksbiologicalrep3	WT_striatum_rep3	GSE9038
