# updated 2016-04-19_huntington's for gemma only																			
# this is the data for explore_data_general.R (not for limma)																			
# 1. reqired columns for explore_data_general.R: 'eeName','platform_id',  'subset', 'subset_by', 'keep_subset', 'outlier', 'outlier_to_rm' 																			
#      'eeName': GSE_id, e.g. GSE1234																			
#      'platform_id': e.g. GPL1261																			
#      'subset': 'yes' indicate that samples needed to be subsetted, if no subset is needed, leave it blank																			
#      'subset_by': if subset is 'yes', fill in this column of which factor needs to be subsetted 																			
#                    and separated by '; '(with a space) if multiple factors are required to be subsetted. e.g. 'OrganismPart; Timepoint'																			
#      'keep_subset': indicate the levels of a factor or multiple factors to keep for analysis. order is the same as order in 'subset_by'																			
#                    column. e.g. 'c('Hippocampus'); c('6_months', '15_months')'																			
#      'batch_corrected': 'yes' to retrieve batch corrected expression matrix, 'no' otherwise																			
#																			
# seperator: '; ' (there's a space after ;) if multiple factors are in the subset_by, each keep_subset are seperated by '; '																			
# gender_record: from the literature, gender xist: based on the Xist gene																			
# subset: further subset the samples (maybe remove treatment)																			
# batch corrected: to use the array data with combat batch corrected (results can be compared to the non-bacth corrected)																			
# Notes: problem with GSE26600																			
row_number	eeID	eeName	platform_id	priority	extra_notes	tissue	data_set_added	mouse_model	Age	Gender_record	Gender_xist	batch_corrected	subset	subset_by	keep_subset	outlier	outlier_to_rm	rm_notes	problem_with_the_dataset
1		GSE25232	GPL6885			Striatum	2016-04-19	N171-98Q	14 m				No			No			
2		GSE26317	GPL6103	Only reference		striatum, cortex, and cerebellum	2016-04-19	R6/2(300Q)	5 m				Yes	Treatment	c('reference')	No			
3		GSE26317	GPL6103	Only reference, striatum		Striatum	2016-04-19	R6/2(300Q)	5 m				Yes	Treatment; OrganismPart	c('reference'); c('Striatum')	No			
4		GSE26317	GPL6103	Only reference, Cerebral_cortex		Cerebral_cortex	2016-04-19	R6/2(300Q)	5 m				Yes	Treatment; OrganismPart	c('reference'); c('Cerebral_cortex')	No			
5		GSE26317	GPL6103	Only reference, Cerebellum		Cerebellum	2016-04-19	R6/2(300Q)	5 m				Yes	Treatment; OrganismPart	c('reference'); c('Cerebellum')	No			
6		GSE26317	GPL6103	with treatment HDACi_4b, reference		striatum, cortex, and cerebellum	2016-04-19	R6/2(300Q)	5 m				No			No			
7		GSE64386	GPL6885	all		cortex and striatum	2016-04-19	BAC_HD	2m, 7m, 11m				No			No			
8		GSE64386	GPL6885	striatum only		striatum	2016-04-19	BACHD-ΔN17	2m, 7m, 11m				Yes	OrganismPart	c('Striatum')	No			
9		GSE64386	GPL6885	cortex only		cortex	2016-04-19	BACHD-ΔN17	2m, 7m, 11m				Yes	OrganismPart	c('Cortex')	No			
10		GSE19676	GPL6333			Striatum	2016-04-19	YAC128	12m; 24m				No			No			
11		GSE19676	GPL6333	Only 24 m		Striatum	2016-04-19	YAC128	12m				Yes	Timepoint	c('24_months')	Yes	WT_24m_rep4	due to low correlations (~0.8)	
12		GSE19676	GPL6333	Only 12 m		Striatum	2016-04-19	YAC128	12m				Yes	Timepoint	c('12_months')	No			
13		GSE39586	GPL6885	reference only		hypothalamus	2016-04-19	N171-82Q	32 m + 5 w??				Yes	Treatment	c('reference')	No			
14		GSE39586	GPL6885	with treatment exendin_4, GLP_1Tf, insulin refernce		hypothalamus	2016-04-19	N171-82Q	32 m + 5 w??				No			No			
15		GSE64386	GPL6885	2m		cortex and striatum	2016-04-19	BACHD-ΔN17	2m, 7m, 11m				Yes	Timepoint	c('2_months')	No			
16		GSE64386	GPL6885	7m		cortex and striatum	2016-04-19	BACHD-ΔN17	2m, 7m, 11m				Yes	Timepoint	c('7_months')	No			
17		GSE64386	GPL6885	11m		cortex and striatum	2016-04-19	BACHD-ΔN17	2m, 7m, 11m				Yes	Timepoint	c('11_months')	No			
18		GSE64386	GPL6885	2m; Striatum		Striatum	2016-04-19	BACHD-ΔN17	2m, 7m, 11m				Yes	Timepoint; OrganismPart	c('2_months'); c('Striatum')	No			
19		GSE64386	GPL6885	7m; Striatum		Striatum	2016-04-19	BACHD-ΔN17	2m, 7m, 11m				Yes	Timepoint; OrganismPart	c('7_months'); c('Striatum')	No			
20		GSE64386	GPL6885	11m; Striatum		Striatum	2016-04-19	BACHD-ΔN17	2m, 7m, 11m				Yes	Timepoint; OrganismPart	c('11_months'); c('Striatum')	No			
