number	eeName	platform_id	added	timepoint	organism part	genotype
12	GSE10202	GPL1261	2016-04-18	22 m	Striatum	CHL2 Q150/Q150
13	GSE19676	GPL6333	2016-04-19			
14	GSE25232	GPL6885	2016-04-18	14 m	Striatum	N171-98Q
15	GSE26317	GPL6103	2016-04-18	5 m	striatum, cortex, and cerebellum	R6/2(300Q)
16	GSE32417	GPL1261	2016-05-30	6,12,18m	Caudate_nucleus	
17	GSE48104	GPL1261	2016-04-18			
18	GSE50379	GPL6246	2016-04-26			
19	GSE62210	GPL6246	2016-04-18	8 w	Striatum	R6/2, HD190QG and HD120QG (which one?)
20	GSE64386	GPL6885	2016-04-19			
21	GSE7958	GPL1261	2016-04-18	3m; 18m	Striatum	HdhQ92/Q92
22	GSE9038	GPL1261	2016-04-18	3 -10 w	striatum and cerebellum	HdhQ111/HdhQ111
23	GSE9375	GPL81	2016-04-18	12 m	Striatum	Hdh4/Q80
24	GSE9857	GPL1261	2016-10-16	12 w	Striatum	R6/2
