Bioassay	ExternalID	Genotype	Timepoint	Batch	OrganismPart	Gender	Sample	Dataset	ExpMatrixName	Treatment	Original_batch	Original_age
GSE10202_Biomat_22___BioAssayImplId=32166Name=striatum_CHL2_22m_141	GSM257680	CHL2Q150_Q150	22_months	Batch_01_7_7_06	Striatum	F	CHL2_141	GSE10202	NA	NA	NA	NA
GSE10202_Biomat_23___BioAssayImplId=32165Name=striatum_CHL2_22m_153	GSM257681	CHL2Q150_Q150	22_months	Batch_01_7_7_06	Striatum	F	CHL2_153	GSE10202	NA	NA	NA	NA
GSE10202_Biomat_24___BioAssayImplId=32164Name=striatum_CHL2_22m_154	GSM257682	CHL2Q150_Q150	22_months	Batch_01_7_7_06	Striatum	F	CHL2_154	GSE10202	NA	NA	NA	NA
GSE10202_Biomat_25___BioAssayImplId=32163Name=striatum_CHL2_22m_191	GSM257683	CHL2Q150_Q150	22_months	Batch_02_7_11_06	Striatum	M	CHL2_191	GSE10202	NA	NA	NA	NA
GSE10202_Biomat_26___BioAssayImplId=32162Name=striatum_wt_22m_161	GSM257684	WT	22_months	Batch_01_7_7_06	Striatum	F	WT_161	GSE10202	NA	NA	NA	NA
GSE10202_Biomat_27___BioAssayImplId=32161Name=striatum_wt_22m_170	GSM257685	WT	22_months	Batch_02_7_11_06	Striatum	M	WT_170	GSE10202	NA	NA	NA	NA
GSE10202_Biomat_28___BioAssayImplId=32160Name=striatum_wt_22m_180	GSM257686	WT	22_months	Batch_01_7_7_06	Striatum	M	WT_180	GSE10202	NA	NA	NA	NA
GSE10202_Biomat_29___BioAssayImplId=32159Name=striatum_wt_22m_200	GSM257687	WT	22_months	Batch_01_7_7_06	Striatum	M	WT_200	GSE10202	NA	NA	NA	NA
GSE19676_Biomat_10___BioAssayImplId=381352Name=YAC128mouse,12monthsofage,1412023058_C	GSM491333	YAC128	12_months	NA	Striatum	M	YAC128_12m_rep3	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_11___BioAssayImplId=381351Name=YAC128mouse,12monthsofage,1412023058_D	GSM491334	YAC128	12_months	NA	Striatum	M	YAC128_12m_rep4	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_12___BioAssayImplId=381341Name=YAC128mouse,24monthsofage,1692176113_B	GSM491344	YAC128	24_months	NA	Striatum	M	YAC128_24m_rep5	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_13___BioAssayImplId=381346Name=WTmouse,24monthsofage,1692176113_C	GSM491339	WT	24_months	NA	Striatum	M	WT_24m_rep4	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_14___BioAssayImplId=381358Name=WTmouse,12monthsofage,1412023058_E	GSM491327	WT	12_months	NA	Striatum	M	WT_12m_rep1	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_15___BioAssayImplId=381357Name=WTmouse,12monthsofage,1412023058_F	GSM491328	WT	12_months	NA	Striatum	M	WT_12m_rep2	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_16___BioAssayImplId=381348Name=WTmouse,24monthsofage,1692176102_D	GSM491337	WT	24_months	NA	Striatum	M	WT_24m_rep2	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_17___BioAssayImplId=381356Name=WTmouse,12monthsofage,1412023059_A	GSM491329	WT	12_months	NA	Striatum	M	WT_12m_rep3	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_18___BioAssayImplId=381347Name=WTmouse,24monthsofage,1692176113_A	GSM491338	WT	24_months	NA	Striatum	M	WT_24m_rep3	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_1___BioAssayImplId=381345Name=YAC128mouse,24monthsofage,1692176102_B	GSM491340	YAC128	24_months	NA	Striatum	F	YAC128_24m_rep1	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_2___BioAssayImplId=381344Name=YAC128mouse,24monthsofage,1692176102_C	GSM491341	YAC128	24_months	NA	Striatum	M	YAC128_24m_rep2	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_3___BioAssayImplId=381343Name=YAC128mouse,24monthsofage,1692176102_E	GSM491342	YAC128	24_months	NA	Striatum	M	YAC128_24m_rep3	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_4___BioAssayImplId=381342Name=YAC128mouse,24monthsofage,1692176102_F	GSM491343	YAC128	24_months	NA	Striatum	M	YAC128_24m_rep4	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_5___BioAssayImplId=381354Name=YAC128mouse,12monthsofage,1412023058_A	GSM491331	YAC128	12_months	NA	Striatum	M	YAC128_12m_rep1	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_6___BioAssayImplId=381353Name=YAC128mouse,12monthsofage,1412023058_B	GSM491332	YAC128	12_months	NA	Striatum	M	YAC128_12m_rep2	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_7___BioAssayImplId=381355Name=WTmouse,12monthsofage,1412023059_B	GSM491330	WT	12_months	NA	Striatum	M	WT_12m_rep4	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_8___BioAssayImplId=381350Name=YAC128mouse,12monthsofage,1412023059_C	GSM491335	YAC128	12_months	NA	Striatum	F	YAC128_12m_rep5	GSE19676	NA	NA	NA	NA
GSE19676_Biomat_9___BioAssayImplId=381349Name=WTmouse,24monthsofage,1692176102_A	GSM491336	WT	24_months	NA	Striatum	F	WT_24m_rep1	GSE19676	NA	NA	NA	NA
GSE25232_Biomat_1___BioAssayImplId=192859Name=DE5_rep3	GSM630833	N171_98Q	14_months	NA	Striatum	F	N171-98Q_rep3	GSE25232	NA	NA	NA	NA
