Bioassay	ExternalID	Genotype	Timepoint	OrganismPart	Gender	Sample	Dataset	ExpMatrixName	category	notes	Treatment	Batch
GSE19676_Biomat_13___BioAssayImplId=381346Name=WTmouse,24monthsofage,1692176113_C	GSM491339	WT	24_months	Striatum	M	WT_24m_rep4	GSE19676	GSE19676_Biomat_13___BioAssayImplId=381346Name=WTmouse,24monthsofage,1692176113_C	outlier	sample correlation outlier	NA	NA
GSE26317_Biomat_16___BioAssayImplId=132131Name=cb.tg.4b.1	GSM646205	R62_300Q	5_months	Cerebellum	M	cb.tg.4b.1	GSE26317	GSE26317_Biomat_16___BioAssayImplId=132131Name=cb.tg.4b.1	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_18___BioAssayImplId=132130Name=cb.tg.4b.2	GSM646206	R62_300Q	5_months	Cerebellum	F	cb.tg.4b.2	GSE26317	GSE26317_Biomat_18___BioAssayImplId=132130Name=cb.tg.4b.2	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_20___BioAssayImplId=132129Name=cb.tg.4b.3	GSM646207	R62_300Q	5_months	Cerebellum	F	cb.tg.4b.3	GSE26317	GSE26317_Biomat_20___BioAssayImplId=132129Name=cb.tg.4b.3	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_22___BioAssayImplId=132128Name=cb.tg.4b.4	GSM646208	R62_300Q	5_months	Cerebellum	F	cb.tg.4b.4	GSE26317	GSE26317_Biomat_22___BioAssayImplId=132128Name=cb.tg.4b.4	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_40___BioAssayImplId=132123Name=cb.wt.4b.1	GSM646213	WT	5_months	Cerebellum	M	cb.wt.4b.1	GSE26317	GSE26317_Biomat_40___BioAssayImplId=132123Name=cb.wt.4b.1	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_47___BioAssayImplId=132122Name=cb.wt.4b.2	GSM646214	WT	5_months	Cerebellum	F	cb.wt.4b.2	GSE26317	GSE26317_Biomat_47___BioAssayImplId=132122Name=cb.wt.4b.2	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_45___BioAssayImplId=132121Name=cb.wt.4b.3	GSM646215	WT	5_months	Cerebellum	M	cb.wt.4b.3	GSE26317	GSE26317_Biomat_45___BioAssayImplId=132121Name=cb.wt.4b.3	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_3___BioAssayImplId=132120Name=cb.wt.4b.4	GSM646216	WT	5_months	Cerebellum	F	cb.wt.4b.4	GSE26317	GSE26317_Biomat_3___BioAssayImplId=132120Name=cb.wt.4b.4	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_13___BioAssayImplId=132116Name=cx.tg.4b.1	GSM646220	R62_300Q	5_months	Cerebral_cortex	F	cx.tg.4b.1	GSE26317	GSE26317_Biomat_13___BioAssayImplId=132116Name=cx.tg.4b.1	removed by subset	Removed due to subset	HDACi_4b	NA
