platform	platforms_detail	Platform_Name
GPL10086	Applied Biosystems Human and Rodent TaqMan Low Denisty microRNA Microarray	Applied Biosystems Human and Rodent TaqMan Low Denisty microRNA Microarray
GPL10333	Agilent-026655 Whole Mouse Genome Microarray 4x44K v2 (Feature Number version)	Agilent-026655 Whole Mouse Genome Microarray 4x44K v2
GPL10740	[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [probe set (exon) version]	Affymetrix Mouse Gene 1.0 ST Array
GPL10787	Agilent-028005 SurePrint G3 Mouse GE 8x60K Microarray (Probe Name version)	Agilent-028005 SurePrint G3 Mouse GE 8x60K Microarray
GPL11202	Agilent-026655 Whole Mouse Genome Microarray 4x44K v2 (Probe Name version)	Agilent-026655 Whole Mouse Genome Microarray 4x44K v2
GPL1261	[Mouse430_2] Affymetrix Mouse Genome 430 2.0 Array	Affymetrix Mouse Genome 430 2.0 Array
GPL13112	Illumina HiSeq 2000 (Mus musculus)	Illumina HiSeq 2000
GPL16354	Custom Illumina GoldenGate DNA methylation Beadchip	Custom Illumina GoldenGate DNA methylation Beadchip
GPL16570	[MoGene-2_0-st] Affymetrix Mouse Gene 2.0 ST Array [transcript (gene) version]	Affymetrix Mouse Gene 2.0 ST Array
GPL17021	Illumina HiSeq 2500 (Mus musculus)	Illumina HiSeq 2500
GPL17300	Mammalian miRNA Array V3.0 (CapitalBio, Beijing, China)	Mammalian miRNA Array V3.0
GPL18350	NSB POSTECH DPS Mouse phosphokinase antibody array	NSB POSTECH DPS Mouse phosphokinase antibody array
GPL2872	Agilent-012694 Whole Mouse Genome G4122A (Feature Number version)	Agilent-012694 Whole Mouse Genome G4122A
GPL339	[MOE430A] Affymetrix Mouse Expression 430A Array	Affymetrix Mouse Expression 430A Array
GPL4134	Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Feature Number version)	Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F
GPL4736	RNG-MRC_MM25k_EVRY	RNG-MRC_MM25k_EVRY
GPL6096	[MoEx-1_0-st] Affymetrix Mouse Exon 1.0 ST Array [probe set (exon) version]	Affymetrix Mouse Exon 1.0 ST Array
GPL6103	Illumina mouseRef-8 v1.1 expression beadchip	Illumina mouseRef-8 v1.1 expression beadchip
GPL6105	Illumina mouse-6 v1.1 expression beadchip	Illumina mouse-6 v1.1 expression beadchip
GPL6246	[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version]	Affymetrix Mouse Gene 1.0 ST Array
GPL6333	Illumina Mouse Ref-6 V1	Illumina Mouse Ref-6 V1
GPL6845	Phalanx Mouse OneArray	Phalanx Mouse OneArray
GPL6885	Illumina MouseRef-8 v2.0 expression beadchip	Illumina MouseRef-8 v2.0 expression beadchip
GPL6887	Illumina MouseWG-6 v2.0 expression beadchip	Illumina MouseWG-6 v2.0 expression beadchip
GPL7202	Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F (Probe Name version)	Agilent-014868 Whole Mouse Genome Microarray 4x44K G4122F
GPL7368	Rosetta/Merck Mouse 430 2.0 RSTA Custom CDF microarray	Rosetta/Merck Mouse 430 2.0 RSTA Custom CDF microarray
GPL81	[MG_U74Av2] Affymetrix Murine Genome U74A Version 2 Array	Affymetrix Murine Genome U74A Version 2 Array
GPL8321	[Mouse430A_2] Affymetrix Mouse Genome 430A 2.0 Array	Affymetrix Mouse Genome 430A 2.0 Array
GPL7042	Agilent-012694 Whole Mouse Genome G4122A (Probe Name version)	Agilent-012694 Whole Mouse Genome G4122A
GPL11180	[HT_MG-430_PM] Affymetrix HT MG-430 PM Array Plate	Affymetrix HT MG-430 PM Array Plate
