Study	sample_number
GSE10190	12
GSE10202	8
GSE10263	32
GSE11139	12
GSE11358	8
GSE11580	24
GSE11584	6
GSE11588	30
GSE14869	24
GSE17994	19
GSE18524	6
GSE18525	6
GSE18526	12
GSE18551	18
GSE19676	18
GSE19677	36
GSE19780	12
GSE1980	14
GSE21237	23
GSE22267	2
GSE25232	7
GSE26001	24
GSE26317	47
GSE27588	12
GSE28232	16
GSE28685	8
GSE29042	160
GSE29647	12
GSE29681	32
GSE29751	12
GSE31560	6
GSE3248	48
GSE3583	9
GSE3621	18
GSE3634	30
GSE38001	12
GSE38002	18
GSE38218	37
GSE38219	34
GSE38237	71
GSE39586	23
GSE40377	42
GSE42107	12
GSE44306	18
GSE44855	24
GSE47500	5
GSE48104	16
GSE50379	12
GSE5786	6
GSE62210	12
GSE64386	48
GSE66281	12
GSE76593	16
GSE77194	3
GSE7958	12
GSE857	13
GSE9025	2
GSE9038	24
GSE9330	8
GSE9375	6
GSE9760	12
GSE9803	9
GSE9804	9
GSE9857	18
GSE10377	5
GSE11063	28
GSE11077	43
GSE13033	6
GSE13034	12
GSE13035	18
GSE14870	4
GSE14871	4
GSE14872	4
GSE14873	4
GSE14874	4
GSE14876	4
GSE14877	4
GSE14907	28
GSE15336	5
GSE15580	14
GSE15999	8
GSE16192	7
GSE16842	141
GSE17542	18
GSE17702	8
GSE17840	9
GSE19176	10
GSE19207	6
GSE19312	12
GSE19534	26
GSE20392	2
GSE20398	30
GSE20415	16
GSE20503	4
GSE20547	54
GSE20899	4
GSE21278	48
GSE22267	2
GSE22465	10
GSE22997	13
GSE23086	7
GSE23155	24
GSE23162	32
GSE24208	12
GSE24628	16
GSE24829	8
GSE24830	8
GSE24838	16
GSE27174	8
GSE27429	8
GSE27655	27
GSE27964	36
GSE28643	18
GSE29192	45
GSE30078	4
GSE30	80
GSE31458	29
GSE31562	6
GSE32321	105
GSE32940	6
GSE33199	64
GSE33200	15
GSE33201	79
GSE33619	9
GSE34584	6
GSE34593	9
GSE35138	8
GSE3528	12
GSE35326	24
GSE3571	4
GSE35723	2
GSE36525	4
GSE36594	56
GSE37417	6
GSE37446	18
GSE37643	12
GSE37702	6
GSE39174	6
GSE39585	20
GSE40511	14
GSE41691	2
GSE42565	6
GSE42594	16
GSE43670	6
GSE43899	56
GSE43900	70
GSE43994	48
GSE44325	5
GSE44754	7
GSE44756	17
GSE45043	12
GSE45044	12
GSE45831	4
GSE46492	24
GSE46933	10
GSE47178	34
GSE4758	24
GSE4788	23
GSE48293	8
GSE48411	8
GSE4936	8
GSE49370	6
GSE50606	56
GSE50824	19
GSE50859	12
GSE50862	8
GSE50863	20
GSE50950	15
GSE51219	5
GSE51542	23
GSE51543	23
GSE51544	30
GSE51545	76
GSE51969	69
GSE52584	40
GSE52926	6
GSE54086	4
GSE5459	21
GSE55096	77
GSE55485	12
GSE56337	6
GSE57047	8
GSE57761	5
GSE58629	23
GSE58813	16
GSE60031	7
GSE60080	9
GSE60413	88
GSE60414	36
GSE60417	24
GSE60660	8
GSE60932	24
GSE62360	6
GSE62626	88
GSE62868	12
GSE63051	6
GSE64019	80
GSE64128	6
GSE64851	2
GSE65094	6
GSE65888	51
GSE66093	24
GSE66171	12
GSE66730	14
GSE67415	32
GSE67815	8
GSE68748	6
GSE69359	24
GSE71706	9
GSE71707	17
GSE71830	8
GSE72758	6
GSE73753	24
GSE75218	16
GSE75777	8
GSE7598	8
GSE77042	75
GSE7707	18
GSE77123	12
GSE77274	6
GSE77527	10
GSE8030	9
GSE8632	4
GSE9651	2
GSE10908	27
GSE11148	6
GSE13691	23
GSE1375	2
GSE14499	26
GSE15056	4
GSE15058	4
GSE15128	8
GSE1555	6
GSE1556	4
GSE20447	1
GSE22996	7
GSE23847	6
GSE25926	15
GSE26600	94
GSE26836	12
GSE27888	12
GSE29317	12
GSE31372	24
GSE32536	16
GSE35210	9
GSE36237	64
GSE36981	9
GSE40330	40
GSE41345	18
GSE44625	16
GSE46600	44
GSE46871	6
GSE47036	16
GSE47038	58
GSE48028	4
GSE48622	16
GSE50521	12
GSE55452	12
GSE55627	12
GSE57181	17
GSE60460	8
GSE60911	19
GSE62240	24
GSE63617	119
GSE65067	20
GSE66598	24
GSE8425	6
GSE74614	48
GSE74995	30
GSE75047	40
GSE74615	22
GSE70475	18
GSE64855	8
GSE54622	6
GSE15056	4
GSE15058	4
GSE62240	24
GSE15758	12
GSE1782	80
GSE22009	12
GSE22690	6
GSE30534	466
GSE30762	6
GSE33618	36
GSE58463	23
GSE59070	24
GSE63942	24
GSE63943	69
GSE63944	19
GSE64398	333
GSE65159	36
GSE69952	22
GSE70249	405
GSE76567	36
GSE76700	36
GSE77574	16
GSE9805	6
