geneSymbols	cell_type	region
1700019G17Rik	Astrocyte	Hippocampus
Aass	Astrocyte	Hippocampus
Abhd3	Astrocyte	Hippocampus
Acaa2	Astrocyte	Hippocampus
Acsbg1	Astrocyte	Hippocampus
Acsl6	Astrocyte	Hippocampus
Adgrg1	Astrocyte	Hippocampus
Adhfe1	Astrocyte	Hippocampus
AI464131	Astrocyte	Hippocampus
Aldh1l1	Astrocyte	Hippocampus
Amot	Astrocyte	Hippocampus
Antxr1	Astrocyte	Hippocampus
Aox1	Astrocyte	Hippocampus
Aqp4	Astrocyte	Hippocampus
Atp1a2	Astrocyte	Hippocampus
Atp1b2	Astrocyte	Hippocampus
Axl	Astrocyte	Hippocampus
Bcar3	Astrocyte	Hippocampus
Btbd17	Astrocyte	Hippocampus
Cbs	Astrocyte	Hippocampus
Ccdc80	Astrocyte	Hippocampus
Cd38	Astrocyte	Hippocampus
Cd44	Astrocyte	Hippocampus
Chil1	Astrocyte	Hippocampus
Cldn10	Astrocyte	Hippocampus
Clu	Astrocyte	Hippocampus
Col4a5	Astrocyte	Hippocampus
Cpq	Astrocyte	Hippocampus
Cth	Astrocyte	Hippocampus
Cyp2d22	Astrocyte	Hippocampus
Cyp2j9	Astrocyte	Hippocampus
Cyp4f14	Astrocyte	Hippocampus
Cyp4f15	Astrocyte	Hippocampus
Cyr61	Astrocyte	Hippocampus
Ddhd1	Astrocyte	Hippocampus
Dio2	Astrocyte	Hippocampus
Dtna	Astrocyte	Hippocampus
Egfr	Astrocyte	Hippocampus
Elovl2	Astrocyte	Hippocampus
Emp2	Astrocyte	Hippocampus
Entpd2	Astrocyte	Hippocampus
Ephx2	Astrocyte	Hippocampus
Eva1a	Astrocyte	Hippocampus
Ezr	Astrocyte	Hippocampus
F3	Astrocyte	Hippocampus
Fads2	Astrocyte	Hippocampus
Fgd6	Astrocyte	Hippocampus
Fgf1	Astrocyte	Hippocampus
Fgfr3	Astrocyte	Hippocampus
Fgfrl1	Astrocyte	Hippocampus
Fjx1	Astrocyte	Hippocampus
Fkbp10	Astrocyte	Hippocampus
Fmo1	Astrocyte	Hippocampus
Fxyd1	Astrocyte	Hippocampus
Fzd2	Astrocyte	Hippocampus
Gabrg1	Astrocyte	Hippocampus
Gdf10	Astrocyte	Hippocampus
Gjb6	Astrocyte	Hippocampus
Gldc	Astrocyte	Hippocampus
Gli2	Astrocyte	Hippocampus
Glud1	Astrocyte	Hippocampus
Gpld1	Astrocyte	Hippocampus
Grin2c	Astrocyte	Hippocampus
Hapln1	Astrocyte	Hippocampus
Hsd11b1	Astrocyte	Hippocampus
Igdcc4	Astrocyte	Hippocampus
Igfbp2	Astrocyte	Hippocampus
Itga7	Astrocyte	Hippocampus
Itih5	Astrocyte	Hippocampus
Kcnn2	Astrocyte	Hippocampus
Klf15	Astrocyte	Hippocampus
Lamb2	Astrocyte	Hippocampus
Lcat	Astrocyte	Hippocampus
Lgi4	Astrocyte	Hippocampus
Lhx2	Astrocyte	Hippocampus
Lmcd1	Astrocyte	Hippocampus
Lpp	Astrocyte	Hippocampus
Lrig1	Astrocyte	Hippocampus
Lrp4	Astrocyte	Hippocampus
Mfge8	Astrocyte	Hippocampus
Mlc1	Astrocyte	Hippocampus
Mmp14	Astrocyte	Hippocampus
Myo10	Astrocyte	Hippocampus
Myo6	Astrocyte	Hippocampus
Ndp	Astrocyte	Hippocampus
Notch1	Astrocyte	Hippocampus
Ntrk2	Astrocyte	Hippocampus
Ntsr2	Astrocyte	Hippocampus
Oaf	Astrocyte	Hippocampus
Oplah	Astrocyte	Hippocampus
Papss2	Astrocyte	Hippocampus
Pax6	Astrocyte	Hippocampus
Pdgfrb	Astrocyte	Hippocampus
Pdk4	Astrocyte	Hippocampus
Pdzph1	Astrocyte	Hippocampus
Phka1	Astrocyte	Hippocampus
Phkg1	Astrocyte	Hippocampus
Pla2g7	Astrocyte	Hippocampus
Ppara	Astrocyte	Hippocampus
Ppic	Astrocyte	Hippocampus
Ppp1r3c	Astrocyte	Hippocampus
Prelp	Astrocyte	Hippocampus
Prodh	Astrocyte	Hippocampus
Ptprz1	Astrocyte	Hippocampus
Pygm	Astrocyte	Hippocampus
Rdh5	Astrocyte	Hippocampus
Rorb	Astrocyte	Hippocampus
S1pr1	Astrocyte	Hippocampus
Scara3	Astrocyte	Hippocampus
Scg3	Astrocyte	Hippocampus
Sdc4	Astrocyte	Hippocampus
Selenbp2|Selenbp1	Astrocyte	Hippocampus
Sema4a	Astrocyte	Hippocampus
Serhl	Astrocyte	Hippocampus
Slc12a4	Astrocyte	Hippocampus
Slc14a1	Astrocyte	Hippocampus
Slc15a2	Astrocyte	Hippocampus
Slc1a2	Astrocyte	Hippocampus
Slc1a3	Astrocyte	Hippocampus
Slc1a4	Astrocyte	Hippocampus
Slc38a3	Astrocyte	Hippocampus
Slc41a1	Astrocyte	Hippocampus
Slc7a10	Astrocyte	Hippocampus
Slco1c1	Astrocyte	Hippocampus
Smpd2	Astrocyte	Hippocampus
Smpdl3a	Astrocyte	Hippocampus
Sorcs2	Astrocyte	Hippocampus
Sox9	Astrocyte	Hippocampus
Tfcp2l1	Astrocyte	Hippocampus
Tlcd1	Astrocyte	Hippocampus
Tmem47	Astrocyte	Hippocampus
Tmem51	Astrocyte	Hippocampus
Tnfrsf19	Astrocyte	Hippocampus
Tril	Astrocyte	Hippocampus
Trps1	Astrocyte	Hippocampus
Ttpa	Astrocyte	Hippocampus
Vcam1	Astrocyte	Hippocampus
Vegfa	Astrocyte	Hippocampus
Wwtr1	Astrocyte	Hippocampus
