geneSymbols	cell_type	region
Anxa11	DentateGranule	Hippocampus
B3galnt2	DentateGranule	Hippocampus
C77370	DentateGranule	Hippocampus
Ccdc71l	DentateGranule	Hippocampus
Cdh9	DentateGranule	Hippocampus
Cdhr1	DentateGranule	Hippocampus
Dsg2	DentateGranule	Hippocampus
Dsp	DentateGranule	Hippocampus
Ehd1	DentateGranule	Hippocampus
Eml5	DentateGranule	Hippocampus
Epha7	DentateGranule	Hippocampus
Flywch2	DentateGranule	Hippocampus
Lamb1	DentateGranule	Hippocampus
Lct	DentateGranule	Hippocampus
Lhx9	DentateGranule	Hippocampus
Neurod1	DentateGranule	Hippocampus
Nhsl2	DentateGranule	Hippocampus
Npnt	DentateGranule	Hippocampus
Npy2r	DentateGranule	Hippocampus
Npy5r	DentateGranule	Hippocampus
Ogn	DentateGranule	Hippocampus
Pgam2	DentateGranule	Hippocampus
Pter	DentateGranule	Hippocampus
Spint2	DentateGranule	Hippocampus
St8sia4	DentateGranule	Hippocampus
Stx3	DentateGranule	Hippocampus
Tanc1	DentateGranule	Hippocampus
Tdo2	DentateGranule	Hippocampus
Tiam1	DentateGranule	Hippocampus
Trpc6	DentateGranule	Hippocampus
