geneSymbols	cell_type	region
Ache	GabaSSTReln	Hippocampus
Alk	GabaSSTReln	Hippocampus
Cacna2d2	GabaSSTReln	Hippocampus
Cacng2	GabaSSTReln	Hippocampus
Camk1g	GabaSSTReln	Hippocampus
Cdh13	GabaSSTReln	Hippocampus
Clstn3	GabaSSTReln	Hippocampus
Col19a1	GabaSSTReln	Hippocampus
Cort	GabaSSTReln	Hippocampus
Cygb	GabaSSTReln	Hippocampus
Dlx1	GabaSSTReln	Hippocampus
Dlx1as	GabaSSTReln	Hippocampus
Elavl2	GabaSSTReln	Hippocampus
Entpd4	GabaSSTReln	Hippocampus
Flywch1	GabaSSTReln	Hippocampus
Gad2	GabaSSTReln	Hippocampus
Gna14	GabaSSTReln	Hippocampus
Gp5	GabaSSTReln	Hippocampus
Grpr	GabaSSTReln	Hippocampus
Igfbp4	GabaSSTReln	Hippocampus
Il34	GabaSSTReln	Hippocampus
Kcnc1	GabaSSTReln	Hippocampus
Kcnmb2	GabaSSTReln	Hippocampus
Klf5	GabaSSTReln	Hippocampus
Lgals1	GabaSSTReln	Hippocampus
Lhx6	GabaSSTReln	Hippocampus
Lynx1	GabaSSTReln	Hippocampus
Moxd1	GabaSSTReln	Hippocampus
Nefh	GabaSSTReln	Hippocampus
Nnmt	GabaSSTReln	Hippocampus
Npy	GabaSSTReln	Hippocampus
Nxph1	GabaSSTReln	Hippocampus
Olfm3	GabaSSTReln	Hippocampus
Pappa	GabaSSTReln	Hippocampus
Pcdh18	GabaSSTReln	Hippocampus
Pcsk1	GabaSSTReln	Hippocampus
Pnoc	GabaSSTReln	Hippocampus
Postn	GabaSSTReln	Hippocampus
Ptprt	GabaSSTReln	Hippocampus
Pvalb	GabaSSTReln	Hippocampus
Rab3b	GabaSSTReln	Hippocampus
Ramp3	GabaSSTReln	Hippocampus
Reln	GabaSSTReln	Hippocampus
Rgs8	GabaSSTReln	Hippocampus
Rph3a	GabaSSTReln	Hippocampus
Rpp25	GabaSSTReln	Hippocampus
Sez6	GabaSSTReln	Hippocampus
Slc1a6	GabaSSTReln	Hippocampus
Slc27a2	GabaSSTReln	Hippocampus
Slc32a1	GabaSSTReln	Hippocampus
Slc38a1	GabaSSTReln	Hippocampus
Slc8a1	GabaSSTReln	Hippocampus
Socs5	GabaSSTReln	Hippocampus
Sst	GabaSSTReln	Hippocampus
Syngr1	GabaSSTReln	Hippocampus
Tenm1	GabaSSTReln	Hippocampus
