geneSymbols	cell_type	region
1700017B05Rik	Microglia	Hippocampus
Abhd15	Microglia	Hippocampus
Adap2	Microglia	Hippocampus
Adgre1	Microglia	Hippocampus
AF251705	Microglia	Hippocampus
Akna	Microglia	Hippocampus
Alas2	Microglia	Hippocampus
Alox5ap	Microglia	Hippocampus
Ankrd44	Microglia	Hippocampus
Anxa3	Microglia	Hippocampus
Arrb2	Microglia	Hippocampus
AW112010	Microglia	Hippocampus
B2m	Microglia	Hippocampus
Bcl2a1a|Bcl2a1d|Bcl2a1b	Microglia	Hippocampus
C1qc	Microglia	Hippocampus
C3ar1	Microglia	Hippocampus
C920025E04Rik|H2-T23	Microglia	Hippocampus
Casp1	Microglia	Hippocampus
Casp8	Microglia	Hippocampus
Ccl3	Microglia	Hippocampus
Ccl6	Microglia	Hippocampus
Ccrl2	Microglia	Hippocampus
Cd34	Microglia	Hippocampus
Cd37	Microglia	Hippocampus
Cd52	Microglia	Hippocampus
Cd68	Microglia	Hippocampus
Ceacam1|Ceacam2	Microglia	Hippocampus
Ceacam2|Ceacam1	Microglia	Hippocampus
Cfh	Microglia	Hippocampus
Chil3	Microglia	Hippocampus
Chil3|Chil4	Microglia	Hippocampus
Clec4a2|Clec4b1	Microglia	Hippocampus
Clec5a	Microglia	Hippocampus
Clic1	Microglia	Hippocampus
Crybb1	Microglia	Hippocampus
Ctsh	Microglia	Hippocampus
Ctsz	Microglia	Hippocampus
Cttnbp2nl	Microglia	Hippocampus
Cyba	Microglia	Hippocampus
Cysltr1	Microglia	Hippocampus
D15Ertd621e	Microglia	Hippocampus
D17H6S56E-5	Microglia	Hippocampus
Dapp1	Microglia	Hippocampus
Dnajb1	Microglia	Hippocampus
Dock2	Microglia	Hippocampus
Ebi3	Microglia	Hippocampus
Ehbp1l1	Microglia	Hippocampus
Ehd4	Microglia	Hippocampus
Emp3	Microglia	Hippocampus
Entpd1	Microglia	Hippocampus
F11r	Microglia	Hippocampus
Fcgr1	Microglia	Hippocampus
Fcrl1	Microglia	Hippocampus
Fcrls	Microglia	Hippocampus
Fermt3	Microglia	Hippocampus
Fes	Microglia	Hippocampus
Fyb	Microglia	Hippocampus
Gcnt1	Microglia	Hippocampus
Ggta1	Microglia	Hippocampus
Gmfg	Microglia	Hippocampus
Gmip	Microglia	Hippocampus
Golm1	Microglia	Hippocampus
Gpsm3	Microglia	Hippocampus
Grn	Microglia	Hippocampus
Gusb	Microglia	Hippocampus
H2-Ab1	Microglia	Hippocampus
H2-D1|H2-K1	Microglia	Hippocampus
H2-K1	Microglia	Hippocampus
H2-L|H2-D1	Microglia	Hippocampus
H2-Oa	Microglia	Hippocampus
