geneSymbols	cell_type	region
Atp7a	Microglia_activation	Hippocampus
B4galt1	Microglia_activation	Hippocampus
Birc3	Microglia_activation	Hippocampus
C1qa	Microglia_activation	Hippocampus
Casp4	Microglia_activation	Hippocampus
Ccdc86	Microglia_activation	Hippocampus
Ccl12	Microglia_activation	Hippocampus
Ccl2	Microglia_activation	Hippocampus
Ccl4	Microglia_activation	Hippocampus
Ccl9	Microglia_activation	Hippocampus
Ccr5	Microglia_activation	Hippocampus
Cd14	Microglia_activation	Hippocampus
Cd53	Microglia_activation	Hippocampus
Cd83	Microglia_activation	Hippocampus
Cd86	Microglia_activation	Hippocampus
Cdkn1a	Microglia_activation	Hippocampus
Cebpb	Microglia_activation	Hippocampus
Cep152	Microglia_activation	Hippocampus
Chst7	Microglia_activation	Hippocampus
Csf2rb2	Microglia_activation	Hippocampus
Ctla2b	Microglia_activation	Hippocampus
Cxcl10	Microglia_activation	Hippocampus
Cxcl16	Microglia_activation	Hippocampus
Cxcl2	Microglia_activation	Hippocampus
Egr2	Microglia_activation	Hippocampus
Fcer1g	Microglia_activation	Hippocampus
Fcgr2b	Microglia_activation	Hippocampus
Fcgr3	Microglia_activation	Hippocampus
Frrs1	Microglia_activation	Hippocampus
Glipr1	Microglia_activation	Hippocampus
Gpr84	Microglia_activation	Hippocampus
Hck	Microglia_activation	Hippocampus
Hfe	Microglia_activation	Hippocampus
Hlx	Microglia_activation	Hippocampus
Icam1	Microglia_activation	Hippocampus
Ier3	Microglia_activation	Hippocampus
Ifi30	Microglia_activation	Hippocampus
Ifi35	Microglia_activation	Hippocampus
Ifih1	Microglia_activation	Hippocampus
Il17ra	Microglia_activation	Hippocampus
Il1a	Microglia_activation	Hippocampus
Il1b	Microglia_activation	Hippocampus
Il4ra	Microglia_activation	Hippocampus
Il6	Microglia_activation	Hippocampus
Irf9	Microglia_activation	Hippocampus
Isg20	Microglia_activation	Hippocampus
Jmjd1c	Microglia_activation	Hippocampus
Klf10	Microglia_activation	Hippocampus
Lcp2	Microglia_activation	Hippocampus
Lrrfip1	Microglia_activation	Hippocampus
Maff	Microglia_activation	Hippocampus
Map3k8	Microglia_activation	Hippocampus
Mcl1	Microglia_activation	Hippocampus
Mlph	Microglia_activation	Hippocampus
Mlxip	Microglia_activation	Hippocampus
Mrc2	Microglia_activation	Hippocampus
Ms4a6b	Microglia_activation	Hippocampus
Ms4a6c	Microglia_activation	Hippocampus
Ms4a6d	Microglia_activation	Hippocampus
Myc	Microglia_activation	Hippocampus
Myd88	Microglia_activation	Hippocampus
Ncf1	Microglia_activation	Hippocampus
Ncf2	Microglia_activation	Hippocampus
Ncf4	Microglia_activation	Hippocampus
Nfkbia	Microglia_activation	Hippocampus
Nfkbie	Microglia_activation	Hippocampus
Nfkbiz	Microglia_activation	Hippocampus
Npl	Microglia_activation	Hippocampus
P2ry6	Microglia_activation	Hippocampus
Parp10	Microglia_activation	Hippocampus
Parp14	Microglia_activation	Hippocampus
Per1	Microglia_activation	Hippocampus
Plek	Microglia_activation	Hippocampus
Pmaip1	Microglia_activation	Hippocampus
Rab20	Microglia_activation	Hippocampus
Rab3il1	Microglia_activation	Hippocampus
Rap1b	Microglia_activation	Hippocampus
Rcan1	Microglia_activation	Hippocampus
Rela	Microglia_activation	Hippocampus
Rhoh	Microglia_activation	Hippocampus
Ripk1	Microglia_activation	Hippocampus
Rnasel	Microglia_activation	Hippocampus
Rnf19b	Microglia_activation	Hippocampus
Rrad	Microglia_activation	Hippocampus
Runx1	Microglia_activation	Hippocampus
Samsn1	Microglia_activation	Hippocampus
Serpine1	Microglia_activation	Hippocampus
Sertad1	Microglia_activation	Hippocampus
Sh2b2	Microglia_activation	Hippocampus
Sla	Microglia_activation	Hippocampus
Slc15a3	Microglia_activation	Hippocampus
Slc39a8	Microglia_activation	Hippocampus
Smagp	Microglia_activation	Hippocampus
Socs3	Microglia_activation	Hippocampus
Spint1	Microglia_activation	Hippocampus
Sqrdl	Microglia_activation	Hippocampus
Srgn	Microglia_activation	Hippocampus
Syk	Microglia_activation	Hippocampus
Tap1	Microglia_activation	Hippocampus
Tgm2	Microglia_activation	Hippocampus
Tlr2	Microglia_activation	Hippocampus
Tlr6	Microglia_activation	Hippocampus
Tlr7	Microglia_activation	Hippocampus
Tmem173	Microglia_activation	Hippocampus
Tnfaip2	Microglia_activation	Hippocampus
Tpp2	Microglia_activation	Hippocampus
Trim30a	Microglia_activation	Hippocampus
Tspo	Microglia_activation	Hippocampus
Tubb6	Microglia_activation	Hippocampus
Ucp2	Microglia_activation	Hippocampus
Vasp	Microglia_activation	Hippocampus
Vav1	Microglia_activation	Hippocampus
Zfp36	Microglia_activation	Hippocampus
