geneSymbols	cell_type	region
4632428N05Rik	Microglia_deactivation	Hippocampus
Abcc3	Microglia_deactivation	Hippocampus
Adcy7	Microglia_deactivation	Hippocampus
Adrb2	Microglia_deactivation	Hippocampus
Adrbk1	Microglia_deactivation	Hippocampus
Afp	Microglia_deactivation	Hippocampus
Aif1	Microglia_deactivation	Hippocampus
Ang	Microglia_deactivation	Hippocampus
Anxa1	Microglia_deactivation	Hippocampus
Arap3	Microglia_deactivation	Hippocampus
Arhgap17	Microglia_deactivation	Hippocampus
Arhgap4	Microglia_deactivation	Hippocampus
Arhgap9	Microglia_deactivation	Hippocampus
Arhgdib	Microglia_deactivation	Hippocampus
Atf3	Microglia_deactivation	Hippocampus
Batf3	Microglia_deactivation	Hippocampus
Blnk	Microglia_deactivation	Hippocampus
Btk	Microglia_deactivation	Hippocampus
Calhm2	Microglia_deactivation	Hippocampus
Camp	Microglia_deactivation	Hippocampus
Capn3	Microglia_deactivation	Hippocampus
Cd177	Microglia_deactivation	Hippocampus
Cd300a	Microglia_deactivation	Hippocampus
Cd33	Microglia_deactivation	Hippocampus
Cd48	Microglia_deactivation	Hippocampus
Cd79b	Microglia_deactivation	Hippocampus
Cebpa	Microglia_deactivation	Hippocampus
Clec4a2	Microglia_deactivation	Hippocampus
Clec7a	Microglia_deactivation	Hippocampus
Cmtm7	Microglia_deactivation	Hippocampus
Cmtm8	Microglia_deactivation	Hippocampus
Csf3r	Microglia_deactivation	Hippocampus
Ctc1	Microglia_deactivation	Hippocampus
Cx3cr1	Microglia_deactivation	Hippocampus
Cytip	Microglia_deactivation	Hippocampus
Dock8	Microglia_deactivation	Hippocampus
Ebf3	Microglia_deactivation	Hippocampus
Edem1	Microglia_deactivation	Hippocampus
Elk3	Microglia_deactivation	Hippocampus
Ets1	Microglia_deactivation	Hippocampus
Fam105a	Microglia_deactivation	Hippocampus
Fam111a	Microglia_deactivation	Hippocampus
Fgd2	Microglia_deactivation	Hippocampus
Fli1	Microglia_deactivation	Hippocampus
Fmnl3	Microglia_deactivation	Hippocampus
Fosb	Microglia_deactivation	Hippocampus
Gimap6	Microglia_deactivation	Hippocampus
Gna15	Microglia_deactivation	Hippocampus
Gpr34	Microglia_deactivation	Hippocampus
H2-Aa	Microglia_deactivation	Hippocampus
H2-DMa	Microglia_deactivation	Hippocampus
H2-M3	Microglia_deactivation	Hippocampus
Hexb	Microglia_deactivation	Hippocampus
Hhex	Microglia_deactivation	Hippocampus
Hpgd	Microglia_deactivation	Hippocampus
Hpgds	Microglia_deactivation	Hippocampus
Hvcn1	Microglia_deactivation	Hippocampus
Ifitm6	Microglia_deactivation	Hippocampus
Il10ra	Microglia_deactivation	Hippocampus
Il10rb	Microglia_deactivation	Hippocampus
Il16	Microglia_deactivation	Hippocampus
Inpp5d	Microglia_deactivation	Hippocampus
Irf8	Microglia_deactivation	Hippocampus
Ivns1abp	Microglia_deactivation	Hippocampus
Kctd12	Microglia_deactivation	Hippocampus
Klk8	Microglia_deactivation	Hippocampus
Lair1	Microglia_deactivation	Hippocampus
Lcn2	Microglia_deactivation	Hippocampus
Lgmn	Microglia_deactivation	Hippocampus
Lmo2	Microglia_deactivation	Hippocampus
Lpxn	Microglia_deactivation	Hippocampus
Lrba	Microglia_deactivation	Hippocampus
Lrmp	Microglia_deactivation	Hippocampus
Lrrk1	Microglia_deactivation	Hippocampus
Ltf	Microglia_deactivation	Hippocampus
Lyl1	Microglia_deactivation	Hippocampus
Lyz1	Microglia_deactivation	Hippocampus
Mafb	Microglia_deactivation	Hippocampus
Man2b1	Microglia_deactivation	Hippocampus
Mcm3	Microglia_deactivation	Hippocampus
Mfng	Microglia_deactivation	Hippocampus
Mpeg1	Microglia_deactivation	Hippocampus
Mylip	Microglia_deactivation	Hippocampus
Myo1g	Microglia_deactivation	Hippocampus
Naalad2	Microglia_deactivation	Hippocampus
Nfam1	Microglia_deactivation	Hippocampus
Ngp	Microglia_deactivation	Hippocampus
Olfml3	Microglia_deactivation	Hippocampus
P2ry12	Microglia_deactivation	Hippocampus
Parvg	Microglia_deactivation	Hippocampus
Pik3cg	Microglia_deactivation	Hippocampus
Pld1	Microglia_deactivation	Hippocampus
Pld4	Microglia_deactivation	Hippocampus
Plxdc1	Microglia_deactivation	Hippocampus
Pmepa1	Microglia_deactivation	Hippocampus
Ppfia4	Microglia_deactivation	Hippocampus
Prkcd	Microglia_deactivation	Hippocampus
Psmb9	Microglia_deactivation	Hippocampus
Ptpn18	Microglia_deactivation	Hippocampus
Ptpn6	Microglia_deactivation	Hippocampus
Pycard	Microglia_deactivation	Hippocampus
Rasa4	Microglia_deactivation	Hippocampus
Rgl1	Microglia_deactivation	Hippocampus
Rgs2	Microglia_deactivation	Hippocampus
Rps6ka1	Microglia_deactivation	Hippocampus
S100a8	Microglia_deactivation	Hippocampus
S100a9	Microglia_deactivation	Hippocampus
Samhd1	Microglia_deactivation	Hippocampus
Scamp2	Microglia_deactivation	Hippocampus
Selplg	Microglia_deactivation	Hippocampus
Slamf9	Microglia_deactivation	Hippocampus
Slc16a6	Microglia_deactivation	Hippocampus
Slc25a37	Microglia_deactivation	Hippocampus
Slc2a5	Microglia_deactivation	Hippocampus
Slc35c2	Microglia_deactivation	Hippocampus
Slc37a2	Microglia_deactivation	Hippocampus
Slc40a1	Microglia_deactivation	Hippocampus
Snx5	Microglia_deactivation	Hippocampus
St3gal6	Microglia_deactivation	Hippocampus
Tcirg1	Microglia_deactivation	Hippocampus
Tec	Microglia_deactivation	Hippocampus
Tgfbi	Microglia_deactivation	Hippocampus
Tgfbr1	Microglia_deactivation	Hippocampus
Tgif1	Microglia_deactivation	Hippocampus
Themis2	Microglia_deactivation	Hippocampus
Tifa	Microglia_deactivation	Hippocampus
Tlr4	Microglia_deactivation	Hippocampus
Tmcc3	Microglia_deactivation	Hippocampus
Tmem119	Microglia_deactivation	Hippocampus
Tmem140	Microglia_deactivation	Hippocampus
Tnfrsf1b	Microglia_deactivation	Hippocampus
Tnfsf13b	Microglia_deactivation	Hippocampus
Trem2	Microglia_deactivation	Hippocampus
Trim47	Microglia_deactivation	Hippocampus
Uba7	Microglia_deactivation	Hippocampus
Unc93b1	Microglia_deactivation	Hippocampus
Vamp8	Microglia_deactivation	Hippocampus
Vrk2	Microglia_deactivation	Hippocampus
