geneSymbols	cell_type	region
Adssl1	Oligo	Hippocampus
Anln	Oligo	Hippocampus
Apod	Oligo	Hippocampus
Aspa	Oligo	Hippocampus
Chn2	Oligo	Hippocampus
Cldn11	Oligo	Hippocampus
Ctsk	Oligo	Hippocampus
Ddc	Oligo	Hippocampus
Elovl7	Oligo	Hippocampus
Fa2h	Oligo	Hippocampus
Gal3st1	Oligo	Hippocampus
Gamt	Oligo	Hippocampus
Gjb1	Oligo	Hippocampus
Gltp	Oligo	Hippocampus
Gsn	Oligo	Hippocampus
Hapln2	Oligo	Hippocampus
Ick	Oligo	Hippocampus
Josd2	Oligo	Hippocampus
Kazn	Oligo	Hippocampus
Lims2	Oligo	Hippocampus
Lpar1	Oligo	Hippocampus
Mag	Oligo	Hippocampus
Mal	Oligo	Hippocampus
Mobp	Oligo	Hippocampus
Mog	Oligo	Hippocampus
Nkx2-2	Oligo	Hippocampus
Nkx6-2	Oligo	Hippocampus
Olig2	Oligo	Hippocampus
Pdlim2	Oligo	Hippocampus
Phldb1	Oligo	Hippocampus
Plekhf1	Oligo	Hippocampus
Plekhh1	Oligo	Hippocampus
Pllp	Oligo	Hippocampus
Ppp1r14a	Oligo	Hippocampus
Ptgds	Oligo	Hippocampus
S1pr5	Oligo	Hippocampus
Sept4	Oligo	Hippocampus
Sgk2	Oligo	Hippocampus
Slain1	Oligo	Hippocampus
Slc44a1	Oligo	Hippocampus
Sox10	Oligo	Hippocampus
Tmem163	Oligo	Hippocampus
Tmem98	Oligo	Hippocampus
Tppp3	Oligo	Hippocampus
Trim59	Oligo	Hippocampus
Tspan2	Oligo	Hippocampus
Ugt8a	Oligo	Hippocampus
