geneSymbols	cell_type	region
Bdnf	Pyramidal_Thy1	Hippocampus
Crim1	Pyramidal_Thy1	Hippocampus
Dcn	Pyramidal_Thy1	Hippocampus
Fezf2	Pyramidal_Thy1	Hippocampus
Gabrb3	Pyramidal_Thy1	Hippocampus
Grp	Pyramidal_Thy1	Hippocampus
Kit	Pyramidal_Thy1	Hippocampus
Ldb2	Pyramidal_Thy1	Hippocampus
Neurod6	Pyramidal_Thy1	Hippocampus
Nov	Pyramidal_Thy1	Hippocampus
Npr3	Pyramidal_Thy1	Hippocampus
Nr4a2	Pyramidal_Thy1	Hippocampus
Nts	Pyramidal_Thy1	Hippocampus
Pde1a	Pyramidal_Thy1	Hippocampus
Ppp3ca	Pyramidal_Thy1	Hippocampus
Psrc1	Pyramidal_Thy1	Hippocampus
Rspo2	Pyramidal_Thy1	Hippocampus
Runx1t1	Pyramidal_Thy1	Hippocampus
Slc17a6	Pyramidal_Thy1	Hippocampus
Sorcs3	Pyramidal_Thy1	Hippocampus
Tenm2	Pyramidal_Thy1	Hippocampus
