geneSymbols	cell_type	region
1700019G17Rik	Astrocyte	Striatum
2810459M11Rik	Astrocyte	Striatum
Aass	Astrocyte	Striatum
Abhd3	Astrocyte	Striatum
Acaa2	Astrocyte	Striatum
Acsbg1	Astrocyte	Striatum
Acsl6	Astrocyte	Striatum
Acss1	Astrocyte	Striatum
Add3	Astrocyte	Striatum
Adgrg1	Astrocyte	Striatum
Adhfe1	Astrocyte	Striatum
Adora2b	Astrocyte	Striatum
AI464131	Astrocyte	Striatum
Ak4	Astrocyte	Striatum
Aldh1a1	Astrocyte	Striatum
Aldh1l1	Astrocyte	Striatum
Aldh6a1	Astrocyte	Striatum
Amot	Astrocyte	Striatum
Antxr1	Astrocyte	Striatum
Aox1	Astrocyte	Striatum
Appl2	Astrocyte	Striatum
Aqp4	Astrocyte	Striatum
Atp1a2	Astrocyte	Striatum
Atp1b2	Astrocyte	Striatum
Axl	Astrocyte	Striatum
Btbd17	Astrocyte	Striatum
C1qtnf5|Mfrp	Astrocyte	Striatum
C4b|C4a	Astrocyte	Striatum
Cbs	Astrocyte	Striatum
Ccdc80	Astrocyte	Striatum
Cd38	Astrocyte	Striatum
Cldn10	Astrocyte	Striatum
Clu	Astrocyte	Striatum
Col4a5	Astrocyte	Striatum
Crot	Astrocyte	Striatum
Cspg5	Astrocyte	Striatum
Cth	Astrocyte	Striatum
Cyp2d22	Astrocyte	Striatum
Cyp2j9	Astrocyte	Striatum
Cyp4f14	Astrocyte	Striatum
Cyp4f15	Astrocyte	Striatum
Cyp7b1	Astrocyte	Striatum
Cyr61	Astrocyte	Striatum
Dag1	Astrocyte	Striatum
Dclk1	Astrocyte	Striatum
Dio2	Astrocyte	Striatum
Dkk3	Astrocyte	Striatum
Dtna	Astrocyte	Striatum
Ednrb	Astrocyte	Striatum
Efemp1	Astrocyte	Striatum
Egfr	Astrocyte	Striatum
Elovl2	Astrocyte	Striatum
Emp2	Astrocyte	Striatum
Entpd2	Astrocyte	Striatum
Ephx2	Astrocyte	Striatum
Eps8	Astrocyte	Striatum
Eva1a	Astrocyte	Striatum
Ezr	Astrocyte	Striatum
F3	Astrocyte	Striatum
Fads1	Astrocyte	Striatum
Fads2	Astrocyte	Striatum
Fam181b	Astrocyte	Striatum
Farp1	Astrocyte	Striatum
Fbln1	Astrocyte	Striatum
Fgd6	Astrocyte	Striatum
Fgf1	Astrocyte	Striatum
Fgfr1	Astrocyte	Striatum
Fgfr3	Astrocyte	Striatum
Fjx1	Astrocyte	Striatum
Fkbp10	Astrocyte	Striatum
Fmo1	Astrocyte	Striatum
Fxyd1	Astrocyte	Striatum
Fzd2	Astrocyte	Striatum
Fzd4	Astrocyte	Striatum
Gabrb1	Astrocyte	Striatum
Gabrg1	Astrocyte	Striatum
Gas1	Astrocyte	Striatum
Gdf10	Astrocyte	Striatum
Ghr	Astrocyte	Striatum
Gja1	Astrocyte	Striatum
Gjb2	Astrocyte	Striatum
Gjb6	Astrocyte	Striatum
Gldc	Astrocyte	Striatum
Gli2	Astrocyte	Striatum
Gpld1	Astrocyte	Striatum
Gprc5b	Astrocyte	Striatum
Grin2c	Astrocyte	Striatum
Gstm1	Astrocyte	Striatum
Hapln1	Astrocyte	Striatum
Hsd11b1	Astrocyte	Striatum
Id3	Astrocyte	Striatum
Igdcc4	Astrocyte	Striatum
Igfbp2	Astrocyte	Striatum
Igfbp5	Astrocyte	Striatum
Inhbb	Astrocyte	Striatum
Itga7	Astrocyte	Striatum
Itih5	Astrocyte	Striatum
Kcnn2	Astrocyte	Striatum
Kif1c	Astrocyte	Striatum
Lamb2	Astrocyte	Striatum
Lcat	Astrocyte	Striatum
Lgi4	Astrocyte	Striatum
Lhx2	Astrocyte	Striatum
Lmcd1	Astrocyte	Striatum
Lpp	Astrocyte	Striatum
Lrig1	Astrocyte	Striatum
Lrp4	Astrocyte	Striatum
Lxn	Astrocyte	Striatum
Metrn	Astrocyte	Striatum
Mfge8	Astrocyte	Striatum
Mgst1	Astrocyte	Striatum
Mlc1	Astrocyte	Striatum
Mmp14	Astrocyte	Striatum
Myo10	Astrocyte	Striatum
Myo6	Astrocyte	Striatum
Naaa	Astrocyte	Striatum
Ncan	Astrocyte	Striatum
Ndp	Astrocyte	Striatum
Nfib	Astrocyte	Striatum
Nhsl1	Astrocyte	Striatum
Nkain4	Astrocyte	Striatum
Notch1	Astrocyte	Striatum
Nrarp	Astrocyte	Striatum
Ntrk2	Astrocyte	Striatum
Ntsr2	Astrocyte	Striatum
Oaf	Astrocyte	Striatum
Oplah	Astrocyte	Striatum
Papss2	Astrocyte	Striatum
Pax6	Astrocyte	Striatum
Pdgfrb	Astrocyte	Striatum
Pdk4	Astrocyte	Striatum
Pdzph1	Astrocyte	Striatum
Phka1	Astrocyte	Striatum
Phkg1	Astrocyte	Striatum
Pla2g7	Astrocyte	Striatum
Ppara	Astrocyte	Striatum
Ppic	Astrocyte	Striatum
Ppp1r3c	Astrocyte	Striatum
Prelp	Astrocyte	Striatum
Prkd1	Astrocyte	Striatum
Prodh	Astrocyte	Striatum
Ptpn13	Astrocyte	Striatum
Ptprz1	Astrocyte	Striatum
Pygb	Astrocyte	Striatum
Pygm	Astrocyte	Striatum
Rasa2	Astrocyte	Striatum
Rdh5	Astrocyte	Striatum
Rftn2	Astrocyte	Striatum
Rhbdf1	Astrocyte	Striatum
Rorb	Astrocyte	Striatum
S1pr1	Astrocyte	Striatum
Sash1	Astrocyte	Striatum
Scara3	Astrocyte	Striatum
Scg3	Astrocyte	Striatum
Sdc4	Astrocyte	Striatum
Selenbp1|Selenbp2	Astrocyte	Striatum
Selenbp2|Selenbp1	Astrocyte	Striatum
Sema4a	Astrocyte	Striatum
Serhl	Astrocyte	Striatum
Serpinh1	Astrocyte	Striatum
Slc12a4	Astrocyte	Striatum
Slc14a1	Astrocyte	Striatum
Slc15a2	Astrocyte	Striatum
Slc1a2	Astrocyte	Striatum
Slc1a3	Astrocyte	Striatum
Slc1a4	Astrocyte	Striatum
Slc38a3	Astrocyte	Striatum
Slc41a1	Astrocyte	Striatum
Slc6a1	Astrocyte	Striatum
Slc7a10	Astrocyte	Striatum
Slc9a3r1	Astrocyte	Striatum
Slco1c1	Astrocyte	Striatum
Smo	Astrocyte	Striatum
Smpd2	Astrocyte	Striatum
Smpdl3a	Astrocyte	Striatum
Soat1	Astrocyte	Striatum
Sorcs2	Astrocyte	Striatum
Sox21	Astrocyte	Striatum
Sox5	Astrocyte	Striatum
Spag1	Astrocyte	Striatum
Sparcl1	Astrocyte	Striatum
Srebf1	Astrocyte	Striatum
Suclg2	Astrocyte	Striatum
Swap70	Astrocyte	Striatum
Tfcp2l1	Astrocyte	Striatum
Tgfb2	Astrocyte	Striatum
Timp3	Astrocyte	Striatum
Tlcd1	Astrocyte	Striatum
Tmem47	Astrocyte	Striatum
Tmem51	Astrocyte	Striatum
Tnfrsf19	Astrocyte	Striatum
Tril	Astrocyte	Striatum
Ttpa	Astrocyte	Striatum
Ttyh1	Astrocyte	Striatum
Vcam1	Astrocyte	Striatum
Vcl	Astrocyte	Striatum
Vegfa	Astrocyte	Striatum
Wnt7a	Astrocyte	Striatum
Wwtr1	Astrocyte	Striatum
