geneSymbols	cell_type	region
1700017B05Rik	Microglia	Striatum
Abhd15	Microglia	Striatum
Adap2	Microglia	Striatum
Adgre1	Microglia	Striatum
AF251705	Microglia	Striatum
Akna	Microglia	Striatum
Alas2	Microglia	Striatum
Alox5ap	Microglia	Striatum
Ankrd44	Microglia	Striatum
Anxa3	Microglia	Striatum
Apobec1	Microglia	Striatum
Apobr	Microglia	Striatum
Arrb2	Microglia	Striatum
AW112010	Microglia	Striatum
B2m	Microglia	Striatum
BC028528	Microglia	Striatum
Bcl2a1a|Bcl2a1d|Bcl2a1b	Microglia	Striatum
Btg2	Microglia	Striatum
C1qc	Microglia	Striatum
C3ar1	Microglia	Striatum
C920025E04Rik|H2-T23	Microglia	Striatum
Casp1	Microglia	Striatum
Casp8	Microglia	Striatum
Ccl3	Microglia	Striatum
Ccl6	Microglia	Striatum
Ccrl2	Microglia	Striatum
Cd34	Microglia	Striatum
Cd37	Microglia	Striatum
Cd52	Microglia	Striatum
Cd68	Microglia	Striatum
Ceacam1|Ceacam2	Microglia	Striatum
Ceacam2|Ceacam1	Microglia	Striatum
Cfh	Microglia	Striatum
Chil3	Microglia	Striatum
Chil3|Chil4	Microglia	Striatum
Cklf	Microglia	Striatum
Clec4a2|Clec4b1	Microglia	Striatum
Clec5a	Microglia	Striatum
Clic1	Microglia	Striatum
Col6a3	Microglia	Striatum
Coro1a	Microglia	Striatum
Creg1	Microglia	Striatum
Crybb1	Microglia	Striatum
Ctsh	Microglia	Striatum
Ctss	Microglia	Striatum
Ctsz	Microglia	Striatum
Cttnbp2nl	Microglia	Striatum
Cyba	Microglia	Striatum
Cysltr1	Microglia	Striatum
D17H6S56E-5	Microglia	Striatum
Dapp1	Microglia	Striatum
Dnajb1	Microglia	Striatum
Dock2	Microglia	Striatum
Dusp6	Microglia	Striatum
Ebi3	Microglia	Striatum
Ehd4	Microglia	Striatum
Emp3	Microglia	Striatum
Entpd1	Microglia	Striatum
Erap1	Microglia	Striatum
Esyt1	Microglia	Striatum
F11r	Microglia	Striatum
Fcgr1	Microglia	Striatum
Fcrl1	Microglia	Striatum
Fcrls	Microglia	Striatum
Fermt3	Microglia	Striatum
Fes	Microglia	Striatum
Fyb	Microglia	Striatum
Gcnt1	Microglia	Striatum
Ggta1	Microglia	Striatum
Gmfg	Microglia	Striatum
Gmip	Microglia	Striatum
Golm1	Microglia	Striatum
Gpsm3	Microglia	Striatum
Grn	Microglia	Striatum
Gusb	Microglia	Striatum
H2-Ab1	Microglia	Striatum
H2-D1|H2-K1	Microglia	Striatum
H2-DMb2|H2-DMb1	Microglia	Striatum
H2-K1	Microglia	Striatum
H2-L|H2-D1	Microglia	Striatum
H2-Oa	Microglia	Striatum
H2-Q7|H2-K1|H2-Q9	Microglia	Striatum
H2-Q7|H2-Q9	Microglia	Striatum
Hacd4	Microglia	Striatum
Havcr2	Microglia	Striatum
Hba-a1|Hba-a2	Microglia	Striatum
Hba-a2|Hba-a1	Microglia	Striatum
Hbb-b2|Hbb-bt|Hbb-b1|Hbb-bs	Microglia	Striatum
Hcls1	Microglia	Striatum
Herpud1	Microglia	Striatum
Hk2	Microglia	Striatum
Hmha1	Microglia	Striatum
Hp	Microglia	Striatum
Hps4	Microglia	Striatum
Ier2	Microglia	Striatum
Ier5	Microglia	Striatum
Ifngr1	Microglia	Striatum
Igsf6	Microglia	Striatum
Il13ra1	Microglia	Striatum
Il21r	Microglia	Striatum
Il6ra	Microglia	Striatum
Il7r	Microglia	Striatum
Irf5	Microglia	Striatum
Irgm2	Microglia	Striatum
Itgb2	Microglia	Striatum
Junb	Microglia	Striatum
Klf2	Microglia	Striatum
Klf6	Microglia	Striatum
Lag3	Microglia	Striatum
Lcp1	Microglia	Striatum
Lgals3	Microglia	Striatum
Lgals9	Microglia	Striatum
Lilrb4|Gp49a	Microglia	Striatum
Ltc4s	Microglia	Striatum
Ly86	Microglia	Striatum
Ly96	Microglia	Striatum
Lyn	Microglia	Striatum
Lyz2|Lyz1	Microglia	Striatum
Mlxipl	Microglia	Striatum
Mrc1	Microglia	Striatum
Msn	Microglia	Striatum
Myh9	Microglia	Striatum
Myo7a	Microglia	Striatum
Naip2	Microglia	Striatum
Naip5	Microglia	Striatum
Nckap1l	Microglia	Striatum
Nrm	Microglia	Striatum
Nrros	Microglia	Striatum
Pag1	Microglia	Striatum
Pald1	Microglia	Striatum
Pdgfb	Microglia	Striatum
Pf4	Microglia	Striatum
Phxr1	Microglia	Striatum
Phxr4	Microglia	Striatum
Phyhd1	Microglia	Striatum
