geneSymbols	cell_type	region
Atp7a	Microglia_activation	Striatum
B4galt1	Microglia_activation	Striatum
Birc3	Microglia_activation	Striatum
C1qa	Microglia_activation	Striatum
C1qb	Microglia_activation	Striatum
Casp4	Microglia_activation	Striatum
Ccl12	Microglia_activation	Striatum
Ccl2	Microglia_activation	Striatum
Ccl4	Microglia_activation	Striatum
Ccl9	Microglia_activation	Striatum
Ccnl1	Microglia_activation	Striatum
Ccr5	Microglia_activation	Striatum
Cd14	Microglia_activation	Striatum
Cd53	Microglia_activation	Striatum
Cd83	Microglia_activation	Striatum
Cd86	Microglia_activation	Striatum
Cebpb	Microglia_activation	Striatum
Cep152	Microglia_activation	Striatum
Chst7	Microglia_activation	Striatum
Csf2rb2	Microglia_activation	Striatum
Ctla2b	Microglia_activation	Striatum
Cxcl10	Microglia_activation	Striatum
Cxcl16	Microglia_activation	Striatum
Cxcl2	Microglia_activation	Striatum
Egr2	Microglia_activation	Striatum
Fcer1g	Microglia_activation	Striatum
Fcgr2b	Microglia_activation	Striatum
Fcgr3	Microglia_activation	Striatum
Frrs1	Microglia_activation	Striatum
Gas5	Microglia_activation	Striatum
Gbp3	Microglia_activation	Striatum
Gbp7	Microglia_activation	Striatum
Glipr1	Microglia_activation	Striatum
Gpr84	Microglia_activation	Striatum
Hck	Microglia_activation	Striatum
Hfe	Microglia_activation	Striatum
Hlx	Microglia_activation	Striatum
Icam1	Microglia_activation	Striatum
Ier3	Microglia_activation	Striatum
Ifi30	Microglia_activation	Striatum
Ifi35	Microglia_activation	Striatum
Ifih1	Microglia_activation	Striatum
Igtp	Microglia_activation	Striatum
Il17ra	Microglia_activation	Striatum
Il1a	Microglia_activation	Striatum
Il1b	Microglia_activation	Striatum
Il4ra	Microglia_activation	Striatum
Il6	Microglia_activation	Striatum
Isg20	Microglia_activation	Striatum
Klf10	Microglia_activation	Striatum
Lcp2	Microglia_activation	Striatum
Lrrfip1	Microglia_activation	Striatum
Maff	Microglia_activation	Striatum
Map3k8	Microglia_activation	Striatum
Mcl1	Microglia_activation	Striatum
Mlph	Microglia_activation	Striatum
Mlxip	Microglia_activation	Striatum
Mrc2	Microglia_activation	Striatum
Ms4a6b	Microglia_activation	Striatum
Ms4a6c	Microglia_activation	Striatum
Ms4a6d	Microglia_activation	Striatum
Myd88	Microglia_activation	Striatum
Ncf1	Microglia_activation	Striatum
Ncf2	Microglia_activation	Striatum
Ncf4	Microglia_activation	Striatum
Nfkbia	Microglia_activation	Striatum
Nfkbie	Microglia_activation	Striatum
Nfkbiz	Microglia_activation	Striatum
Npl	Microglia_activation	Striatum
P2ry6	Microglia_activation	Striatum
Parp10	Microglia_activation	Striatum
Parp14	Microglia_activation	Striatum
Parp9	Microglia_activation	Striatum
Plaur	Microglia_activation	Striatum
Plek	Microglia_activation	Striatum
Plk3	Microglia_activation	Striatum
Pmaip1	Microglia_activation	Striatum
Rab20	Microglia_activation	Striatum
Rab3il1	Microglia_activation	Striatum
Rac2	Microglia_activation	Striatum
Rela	Microglia_activation	Striatum
Rhoh	Microglia_activation	Striatum
Ripk1	Microglia_activation	Striatum
Rnasel	Microglia_activation	Striatum
Rrad	Microglia_activation	Striatum
Rsad2	Microglia_activation	Striatum
Runx1	Microglia_activation	Striatum
Samsn1	Microglia_activation	Striatum
Serpine1	Microglia_activation	Striatum
Sh2b2	Microglia_activation	Striatum
Sla	Microglia_activation	Striatum
Slc15a3	Microglia_activation	Striatum
Slc39a8	Microglia_activation	Striatum
Smagp	Microglia_activation	Striatum
Socs3	Microglia_activation	Striatum
Spint1	Microglia_activation	Striatum
Srgn	Microglia_activation	Striatum
Sult1a1	Microglia_activation	Striatum
Syk	Microglia_activation	Striatum
Tap1	Microglia_activation	Striatum
Tgm2	Microglia_activation	Striatum
Tlr2	Microglia_activation	Striatum
Tlr6	Microglia_activation	Striatum
Tlr7	Microglia_activation	Striatum
Tmem173	Microglia_activation	Striatum
Tnf	Microglia_activation	Striatum
Tnfaip2	Microglia_activation	Striatum
Tnfrsf1a	Microglia_activation	Striatum
Tpp2	Microglia_activation	Striatum
Traf5	Microglia_activation	Striatum
Trim30a	Microglia_activation	Striatum
Tsc22d3	Microglia_activation	Striatum
Tubb6	Microglia_activation	Striatum
Ucp2	Microglia_activation	Striatum
Vav1	Microglia_activation	Striatum
Zfp36	Microglia_activation	Striatum
