geneSymbols	cell_type	region
1810011O10Rik	Microglia_deactivation	Striatum
2810474O19Rik	Microglia_deactivation	Striatum
4632428N05Rik	Microglia_deactivation	Striatum
Abcc3	Microglia_deactivation	Striatum
Adcy7	Microglia_deactivation	Striatum
Adrb2	Microglia_deactivation	Striatum
Afp	Microglia_deactivation	Striatum
Aif1	Microglia_deactivation	Striatum
Ang	Microglia_deactivation	Striatum
Anxa1	Microglia_deactivation	Striatum
Arap3	Microglia_deactivation	Striatum
Arhgap17	Microglia_deactivation	Striatum
Arhgap4	Microglia_deactivation	Striatum
Arhgap9	Microglia_deactivation	Striatum
Atf3	Microglia_deactivation	Striatum
Batf3	Microglia_deactivation	Striatum
Blnk	Microglia_deactivation	Striatum
Btk	Microglia_deactivation	Striatum
Calhm2	Microglia_deactivation	Striatum
Camp	Microglia_deactivation	Striatum
Capn3	Microglia_deactivation	Striatum
Cd177	Microglia_deactivation	Striatum
Cd300a	Microglia_deactivation	Striatum
Cd33	Microglia_deactivation	Striatum
Cd48	Microglia_deactivation	Striatum
Cd79b	Microglia_deactivation	Striatum
Cebpa	Microglia_deactivation	Striatum
Clec4a2	Microglia_deactivation	Striatum
Clec7a	Microglia_deactivation	Striatum
Cmtm6	Microglia_deactivation	Striatum
Cmtm7	Microglia_deactivation	Striatum
Cmtm8	Microglia_deactivation	Striatum
Csf1r	Microglia_deactivation	Striatum
Csf3r	Microglia_deactivation	Striatum
Ctc1	Microglia_deactivation	Striatum
Cx3cr1	Microglia_deactivation	Striatum
Cytip	Microglia_deactivation	Striatum
Ddx26b	Microglia_deactivation	Striatum
Dhrs3	Microglia_deactivation	Striatum
Dock8	Microglia_deactivation	Striatum
Ebf3	Microglia_deactivation	Striatum
Edem1	Microglia_deactivation	Striatum
Elf1	Microglia_deactivation	Striatum
Elk3	Microglia_deactivation	Striatum
Ets1	Microglia_deactivation	Striatum
Fam105a	Microglia_deactivation	Striatum
Fam111a	Microglia_deactivation	Striatum
Fgd2	Microglia_deactivation	Striatum
Fli1	Microglia_deactivation	Striatum
Fmnl3	Microglia_deactivation	Striatum
Fosb	Microglia_deactivation	Striatum
Gimap6	Microglia_deactivation	Striatum
Gna15	Microglia_deactivation	Striatum
Gpr34	Microglia_deactivation	Striatum
H2-Aa	Microglia_deactivation	Striatum
H2-DMa	Microglia_deactivation	Striatum
H2-M3	Microglia_deactivation	Striatum
Hexb	Microglia_deactivation	Striatum
Hhex	Microglia_deactivation	Striatum
Hpgd	Microglia_deactivation	Striatum
Hpgds	Microglia_deactivation	Striatum
Hvcn1	Microglia_deactivation	Striatum
Ifitm6	Microglia_deactivation	Striatum
Il10ra	Microglia_deactivation	Striatum
Il10rb	Microglia_deactivation	Striatum
Il16	Microglia_deactivation	Striatum
Inpp5d	Microglia_deactivation	Striatum
Irf8	Microglia_deactivation	Striatum
Kctd12	Microglia_deactivation	Striatum
Klk8	Microglia_deactivation	Striatum
Lair1	Microglia_deactivation	Striatum
Laptm5	Microglia_deactivation	Striatum
Lcn2	Microglia_deactivation	Striatum
Lgmn	Microglia_deactivation	Striatum
Lpxn	Microglia_deactivation	Striatum
Lrba	Microglia_deactivation	Striatum
Lrmp	Microglia_deactivation	Striatum
Lrrk1	Microglia_deactivation	Striatum
Ltf	Microglia_deactivation	Striatum
Lyl1	Microglia_deactivation	Striatum
Lyz1	Microglia_deactivation	Striatum
Mafb	Microglia_deactivation	Striatum
Man2b1	Microglia_deactivation	Striatum
Mcm3	Microglia_deactivation	Striatum
Mfng	Microglia_deactivation	Striatum
Mpeg1	Microglia_deactivation	Striatum
Mylip	Microglia_deactivation	Striatum
Myo1g	Microglia_deactivation	Striatum
Naalad2	Microglia_deactivation	Striatum
Naip6	Microglia_deactivation	Striatum
Nfam1	Microglia_deactivation	Striatum
Nfatc1	Microglia_deactivation	Striatum
