geneSymbols	cell_type	region
Actn2	Spiny	Striatum
Arg2	Spiny	Striatum
Arhgap20	Spiny	Striatum
Arpp19	Spiny	Striatum
Arpp21	Spiny	Striatum
Baiap2	Spiny	Striatum
Bcl11a	Spiny	Striatum
Bcl11b	Spiny	Striatum
Cacnb2	Spiny	Striatum
Camk2b	Spiny	Striatum
Camkv	Spiny	Striatum
Ccsap	Spiny	Striatum
Cdh8	Spiny	Striatum
Chn1	Spiny	Striatum
Chst15	Spiny	Striatum
Ckmt1	Spiny	Striatum
Coch	Spiny	Striatum
Dlx5	Spiny	Striatum
Dmkn	Spiny	Striatum
Dmtn	Spiny	Striatum
Etl4	Spiny	Striatum
Fgf14	Spiny	Striatum
Foxp1	Spiny	Striatum
Gabrd	Spiny	Striatum
Gpr88	Spiny	Striatum
Homer1	Spiny	Striatum
Hpca	Spiny	Striatum
Ido1	Spiny	Striatum
Itpka	Spiny	Striatum
Itpr1	Spiny	Striatum
Kalrn	Spiny	Striatum
Kcna5	Spiny	Striatum
Kcnab1	Spiny	Striatum
Kcnq5	Spiny	Striatum
Lamp5	Spiny	Striatum
Lmo7	Spiny	Striatum
Meis2	Spiny	Striatum
Myh7	Spiny	Striatum
Myh7|Myh6	Spiny	Striatum
Myo5b	Spiny	Striatum
Nefl	Spiny	Striatum
Nefm	Spiny	Striatum
Npas2	Spiny	Striatum
Nrgn	Spiny	Striatum
Nsg2	Spiny	Striatum
Pcp4l1	Spiny	Striatum
Pde10a	Spiny	Striatum
Pde1b	Spiny	Striatum
Pde7b	Spiny	Striatum
Pgam2	Spiny	Striatum
Plk2	Spiny	Striatum
Ppp1r1b	Spiny	Striatum
Ppp3cb	Spiny	Striatum
Ptpn5	Spiny	Striatum
Rab15	Spiny	Striatum
Rab3c	Spiny	Striatum
Rab40b	Spiny	Striatum
Rarb	Spiny	Striatum
Rbfox1	Spiny	Striatum
Rbfox3	Spiny	Striatum
Rerg	Spiny	Striatum
Rgs8	Spiny	Striatum
Rgs9	Spiny	Striatum
Rin1	Spiny	Striatum
Runx1t1	Spiny	Striatum
Rxrg	Spiny	Striatum
Scn2a1	Spiny	Striatum
Slc12a5	Spiny	Striatum
Slc32a1	Spiny	Striatum
Sowaha	Spiny	Striatum
St8sia3	Spiny	Striatum
Synpo	Spiny	Striatum
Synpr	Spiny	Striatum
Tenm2	Spiny	Striatum
Tmem158	Spiny	Striatum
Usp29	Spiny	Striatum
