# Differentially expressed genes in 12 month-old APPSw mice									
# Rank is based on the p-value for each comparison (2x2) such that a rank of 8/-8 corresponds to a p-value < 0.001.  Rank values ranging from 4 to 8 indicate									
# significantly increased gene expression (Roman text), and values from –4 to –8 indicate significantly decreased genes (italic text).  FC, fold change.  FC									
# is expressed as mean±SEM.									
Classification	gse1556_genes	up_down	error	Rank	geneNames	geneSymbol	manual	notes	regulation
Growth	Nerve growth factor, beta	-8.79	0.78	-8	nerve growth factor	Ngf			down
Miscellaneous	Farnesyltransferase, CAAX box, beta	-6.62	3.75	-4	farnesyltransferase, CAAX box, beta	Fntb			down
Miscellaneous	Solute carrier family 1, member 1	-4.39	1.89	-4	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	Slc1a1			down
Miscellaneous	Phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma	-2.8	0.49	-4	phosphatidylinositol-4-phosphate 5-kinase, type 1 gamma	Pip5k1c			down
GTPase	Guanine nucleotide binding protein, beta 1	-2.68	0.78	-5	guanine nucleotide binding protein (G protein), beta 1	Gnb1			down
Miscellaneous	Karyopherin (importin) alpha 6	-2.49	0.78	-4	karyopherin (importin) alpha 6	Kpna6			down
Microtubule	Kinesin heavy chain member 5C	-2.35	0.48	-4	kinesin family member 5C	Kif5c			down
Synaptic	Vesicle-associated membrane protein 3	-1.88	0.24	-6	vesicle-associated membrane protein 3	Vamp3			down
Synaptic	Synaptobrevin 2	-1.86	0.29	-8	vesicle-associated membrane protein 2	Vamp2			down
Ion Channels	ATPase, Na+/K+ transporting, beta 2 polypeptide	-1.77	0.37	-6	ATPase, Na+/K+ transporting, beta 2 polypeptide	Atp1b2			down
Immune-related	Lymphocyte specific formin related protein	-1.73	0.4	-6	formin-like 1	Fmnl1			down
Fibroblast & glial	Glial fibrillary acidic protein	-1.65	0.31	-4	glial fibrillary acidic protein	Gfap			down
Miscellaneous	Nel-like 2 homolog (chicken)	-1.64	0.29	-6	NEL-like 2 (chicken); NEL-like 2	Nell2			down
Miscellaneous	Cytokine receptor-like factor 1	-1.61	0.18	-7	cytokine receptor-like factor 1	Crlf1			down
