# 2016-11-12, my threshold FDR<0.05 Table S1 (see Figure 4)  Matarin - manually typed				
# p-values and fold changes for the known risk genes 				
# for AD according to dementia mouse 				
# model, age and brain region. 				
# all results are hippocampus only, fc: fold change
geneSymbol	FDR	FC	mouse_model	regulation
Cugbp1	0.015	-121	18_m_ho_tastpm_p	down
Ptk2b	3.3e-06	-2.44	4_m_ho_tastpm_p	down
Mef2c	0.00035	-1.99	8_m_het_tastpm_p	down
Ptk2b	0.014	-1.72	18_m_ho_tastpm_p	down
Ptk2b	0.033	-1.6	18_m_TAU_p	down
Slc24a4	5.3e-05	-1.43	18_m_TAU_p	down
App	0.00029	-1.43	18_m_TAU_p	down
Sorl1	0.0041	-1.4	18_m_TAU_p	down
Frmd6	0.0062	-1.35	8_m_het_tastpm_p	down
Hs3st1	0.0025	-1.31	8_m_ho_tastpm_p	down
Sorl1	0.01	-1.3	8_m_ho_tastpm_p	down
Mapt	0.00061	-1.28	18_m_TAU_p	down
Frmd6	0.027	-1.27	8_m_ho_tastpm_p	down
Cugbp1	0.0034	-1.26	18_m_TAU_p	down
Ap2a2	8e-05	-1.25	4_m_ho_tastpm_p	down
Cugbp1	0.0012	-1.25	4_m_ho_tastpm_p	down
Ap2a2	0.0011	-1.24	18_m_TAU_p	down
Slc24a4	0.0036	-1.24	4_m_ho_tastpm_p	down
Sorl1	0.038	-1.23	4_m_ho_tastpm_p	down
Hs3st1	0.032	-1.22	18_m_het_tastpm_p	down
Ap2a2	0.0063	-1.2	18_m_ho_tastpm_p	down
Ap2a2	0.0026	-1.19	8_m_ho_tastpm_p	down
Dsg2	0.018	-1.06	4_m_ho_tastpm_p	down
Ace	0.049	1.1	8_m_ho_tastpm_p	up
Cd33	0.016	1.12	8_m_het_tastpm_p	up
Echdc3	0.026	1.15	18_m_TAU_p	up
Clu	0.0099	1.17	8_m_het_tastpm_p	up
Inpp5d	0.0064	1.23	8_m_het_tastpm_p	up
Psen2	0.01	1.23	18_m_TAU_p	up
Abca7	0.021	1.24	18_m_ho_tastpm_p	up
Zcwpw1	0.00027	1.27	18_m_TAU_p	up
Aif1	0.0036	1.32	8_m_het_tastpm_p	up
Cd33	1.5e-08	1.34	18_m_het_tastpm_p	up
Clu	8.4e-07	1.42	18_m_ho_tastpm_p	up
Ms4a6d	2.4e-06	1.46	18_m_het_tastpm_p	up
Inpp5d	4.4e-06	1.46	18_m_het_tastpm_p	up
Clu	8.2e-11	1.5	8_m_ho_tastpm_p	up
Apoe	4.9e-05	1.5	18_m_ho_tastpm_p	up
Cd33	9.1e-14	1.54	18_m_ho_tastpm_p	up
Cd33	4.2e-18	1.56	8_m_ho_tastpm_p	up
Trem2	0.0026	1.57	4_m_ho_tastpm_p	up
Apoe	1.3e-07	1.58	8_m_ho_tastpm_p	up
Ms4a6d	2e-10	1.63	8_m_ho_tastpm_p	up
Apoe	3e-07	1.68	18_m_TAU_p	up
Cd33	1.3e-18	1.69	18_m_TAU_p	up
Ms4a6d	4.6e-09	1.69	18_m_ho_tastpm_p	up
Inpp5d	2.1e-09	1.73	18_m_ho_tastpm_p	up
Inpp5d	9.9e-14	1.81	8_m_ho_tastpm_p	up
Aif1	2.2e-09	1.86	18_m_het_tastpm_p	up
Inpp5d	6.2e-12	1.89	18_m_TAU_p	up
Trem2	1e-06	2.1	8_m_het_tastpm_p	up
Aif1	9.6e-13	2.3	18_m_ho_tastpm_p	up
Aif1	1.6e-16	2.31	8_m_ho_tastpm_p	up
Gfap	6.5e-07	2.39	8_m_het_tastpm_p	up
Aif1	4.7e-19	2.91	18_m_TAU_p	up
Ms4a6d	2.6e-28	2.94	18_m_TAU_p	up
Gfap	3.3e-08	3.1	18_m_TAU_p	up
Gfap	2.6e-08	3.13	18_m_ho_tastpm_p	up
Trem2	2.6e-14	4.04	18_m_TAU_p	up
Trem2	8.9e-17	4.05	18_m_het_tastpm_p	up
Trem2	8.1e-20	5.54	18_m_ho_tastpm_p	up
Trem2	1.1e-27	6.18	8_m_ho_tastpm_p	up
Gfap	6.8e-22	6.4	8_m_ho_tastpm_p	up
