#table2, early 6m(p <0.05)
geneSymbol	p_Value	log2FC	AbsFC	regulation	phase	timepoint
Gpx6	8.08E-05	-1.128	2.185	down	early	6m
Htt	1.51E-04	-0.369	1.292	down	early	6m
Qdpr	2.47E-04	-0.356	1.28	down	early	6m
Il33	5.26E-04	-0.511	1.425	down	early	6m
Insig1	6.18E-04	-0.526	1.44	down	early	6m
Penk1	1.00E-03	-0.417	1.335	down	early	6m
Slc39a2	1.04E-03	-0.283	1.217	down	early	6m
Iqub	1.05E-03	-0.393	1.313	down	early	6m
Car2	2.18E-03	-0.404	1.323	down	early	6m
Phex	2.23E-03	-0.592	1.507	down	early	6m
Traip	4.08E-03	-0.229	1.172	down	early	6m
Cntnap3	4.10E-03	-0.346	1.271	down	early	6m
Scn4b	4.68E-03	-0.505	1.419	down	early	6m
Cldn11	4.86E-03	-0.291	1.224	down	early	6m
Npl	6.50E-03	-0.24	1.181	down	early	6m
Dusp18	8.74E-03	-0.276	1.211	down	early	6m
Fa2h	9.29E-03	-0.288	1.221	down	early	6m
Ddit4l	1.10E-02	-0.358	1.282	down	early	6m
Ppm2c	1.30E-02	-0.292	1.224	down	early	6m
Cntnap3	1.52E-02	-0.471	1.386	down	early	6m
Cntnap3	2.33E-02	-0.368	1.291	down	early	6m
Arpp19	2.33E-02	-0.38	1.301	down	early	6m
Grm3	3.53E-02	-0.17	1.125	down	early	6m
Ryr1	3.68E-02	-0.329	1.257	down	early	6m
Wdr78	3.90E-02	-0.253	1.192	down	early	6m
Cap1	4.68E-02	-0.114	1.082	down	early	6m
Kcng1	4.27E-05	0.53	1.444	up	early	6m
Tmc3	1.63E-03	0.305	1.235	up	early	6m
Enpp6	2.57E-03	0.33	1.257	up	early	6m
Lrrn3	2.97E-03	0.262	1.199	up	early	6m
Lsm7	3.13E-03	0.256	1.194	up	early	6m
Nfya	3.61E-03	0.208	1.155	up	early	6m
Olig1	3.91E-03	0.243	1.183	up	early	6m
Cxx1b	4.27E-03	0.214	1.16	up	early	6m
Cxx1b	4.56E-03	0.208	1.155	up	early	6m
Fat1	5.27E-03	0.287	1.22	up	early	6m
Ccdc109a	5.52E-03	0.155	1.113	up	early	6m
Polr2a	1.18E-02	0.21	1.157	up	early	6m
Lsm7	1.21E-02	0.194	1.144	up	early	6m
Il17rb	2.23E-02	0.182	1.134	up	early	6m
S100b	2.25E-02	0.216	1.162	up	early	6m
Creb3l2	2.46E-02	0.16	1.117	up	early	6m
Sfmbt2	2.48E-02	0.174	1.128	up	early	6m
Cxxc4	4.52E-02	0.122	1.088	up	early	6m
