#Figure S2, heatmap of top 40 genes in illumina platform
geneSymbol	Probe	P-value	FC	regulation
Rgag4	scl53982.1_257-S	1.10E-3	-0.16	down
Dok3	scl43920.5.585_30-S	8.48E-4	-0.07	down
Zfyve26	scl0211978.1_134-S	5.33E-3	-0.06	down
Dzip1l	scl072507.17_285-S	5.35E-4	-0.05	down
Olfr1502	scl0258793.1_202-S	9.84E-4	-0.03	down
Mocs1	ri|3110045D15	4.14E-3	-0.03	down
C030037F17Rik	scl35066.3.1_104-S	5.42E-3	-0.03	down
Gm7461	ri|4930580J09	5.80E-3	-0.03	down
Cage1	scl0003725.1_2-S	5.99E-3	-0.03	down
Fndc8	scl41151.4.1_158-S	1.04E-3	-0.02	down
Usmg5	scl0066477.1_316-S	1.31E-3	-0.02	down
5530601H04Rik	scl0071445.1_39-S	2.08E-3	-0.02	down
Tkbgcp6	scl00328580.1_176-S	5.06E-3	-0.02	down
0610010F05Rik	scl0001343.1_24-S	5.49E-3	-0.02	down
1700020D12Rik	scl42585.2.1_143-S	6.12E-03	-0.01	down
D830041I17Rik	ri|D830041I17	1.05E-3	0.02	up
Prkaa2	GI_28545636-S	3.76E-3	0.02	up
Slc30a8	scl47916.2.1_25-S	4.37E-3	0.02	up
1110007C09Rik	scl0003702.1_48-S	4.42E-3	0.02	up
Akr1b3	scl17956.1.1_169-S	4.45E-3	0.02	up
Slc47a1	scl0001298.1_25-S	2.59E-3	0.03	up
Fpgs	scl0003272.1_5-S	3.74E-3	0.03	up
Sema6a	scl51424.2_347-S	4.89E-3	0.03	up
Slc35f4	GI_38076112-S	5.92E-3	0.03	up
Prame	scl53822.10.1_312-S	5.93E-3	0.03	up
Lrch3	scl070144.7_24-S	3.81E-3	0.04	up
Ing3	scl30327.11_168-S	3.49E-3	0.05	up
Ntng1	scl0080883.1_122-S	3.05E-4	0.06	up
Sfmbt2	scl21295.26.802_230-S	1.42E-3	0.06	up
Dync1i2	scl20807.21.1_18-S	6.02E-3	0.10	up
Rab21	scl37488.7_270-S	4.60E-4	0.11	up
Ddc	scl40512.21.1_20-S	1.22E-3	0.13	up
Prr5l	scl18958.13.1_24-S	5.64E-3	0.13	up
Tob2	scl0057259.2_60-S	4.23E-3	0.14	up
Tmem22	GI_38090024-S	2.47E-3	0.17	up
1190002N15Rik	GI_38089999-S	5.01E-3	0.19	up
Wt1	scl022431.11_253-S	1.46E-4	0.20	up
E330009J07Rik	scl29095.10_195-S	3.02E-3	0.20	up
Anxa5	scl011747.1_83-S	2.20E-3	0.24	up
Lrrn1	scl29678.2_366-S	3.58E-3	0.25	up
