#Supplementary Table 1.  Genes with significantly altered expression in DE5 mice.
# threshold p <0.005
Probe	geneSymbol	Log2Ratio	p_value	F	regulation
ILMN_2695819	Ddit4l	-1.017	0.00181	20.14	down
ILMN_2748165	Krt1-9	-0.704	0.00056	28.96	down
ILMN_1229763	Dmkn	-0.7	0.00245	18.22	down
ILMN_2813547	Scn4b	-0.642	0.00081	25.96	down
ILMN_2655905	G630049C14Rik	-0.623	7.00E-05	52.94	down
ILMN_2785350	Il17rc	-0.57	0.00079	26.18	down
ILMN_2919201	Coch	-0.563	0.00223	18.79	down
ILMN_2748222	Tesc	-0.544	0.00031	34.67	down
ILMN_2730425	Ryr1	-0.525	0.00057	28.88	down
ILMN_1253860	Mas1	-0.524	0.00016	41.67	down
ILMN_2748777	Ap1s1	-0.518	0.00081	25.95	down
ILMN_1243722	Prosapip1	-0.515	0.00026	36.12	down
ILMN_1224034	Pde1b	-0.493	0.00052	29.74	down
ILMN_1250689	Rgs9	-0.489	0.00069	27.18	down
ILMN_2616226	Dbp	-0.464	0.00481	14.42	down
ILMN_2445324	Zfpm1	-0.459	0.005	14.23	down
ILMN_3159131	Cyp2a5	-0.455	0.00098	24.49	down
ILMN_1224516	Slmap	-0.449	0.00016	41.51	down
ILMN_1239134	2700050C12Rik	-0.445	3.00E-04	34.72	down
ILMN_2672458	Gnb5	-0.443	3.00E-05	64.36	down
ILMN_2612774	Hrbl	-0.431	0.00028	35.57	down
ILMN_1232561	Rxrg	-0.421	0.00254	17.99	down
ILMN_1228970	Rhobtb2	-0.418	7.00E-04	27.09	down
ILMN_2459155	Zfp238	-0.416	0.00012	45.3	down
ILMN_1240537	0710001E13Rik	-0.414	0.00078	26.24	down
ILMN_3005071	Kcnj4	-0.413	1.00E-05	82.25	down
ILMN_3062286	Rpel1	-0.411	0.00287	17.28	down
ILMN_1246058	Ppp1ca	-0.408	0.00101	24.23	down
ILMN_2693913	Onecut2	-0.403	0.00137	22.03	down
ILMN_2953751	Sec14l1	-0.389	0.00079	26.15	down
ILMN_1216469	Kcnab1	-0.387	0.00082	25.82	down
ILMN_2650289	Rin1	-0.385	4.00E-05	62.29	down
ILMN_2822905	Ngef	-0.384	0	106.97	down
ILMN_2634108	Ap1s1	-0.384	0.00166	20.69	down
ILMN_2736471	C86987	-0.383	0.00246	18.2	down
ILMN_2747456	Ivns1abp	-0.378	0.00026	36.38	down
ILMN_2860699	Epb4.9	-0.378	0.00045	30.92	down
ILMN_2718149	Homer1	-0.375	0.00415	15.21	down
ILMN_2961005	Ier5l	-0.373	4.00E-04	32.03	down
ILMN_2785353	Il17rc	-0.373	0.00336	16.37	down
ILMN_2963091	E130012A19Rik	-0.372	0.00062	28.08	down
ILMN_2747507	Pitpnm2	-0.369	0.00177	20.26	down
ILMN_2792868	Blvrb	-0.369	0.00283	17.34	down
ILMN_1230648	Rerg	-0.369	0.00341	16.28	down
ILMN_3137154	Gpr12	-0.369	0.00402	15.37	down
ILMN_1223600	Indo	-0.365	0.00396	15.46	down
ILMN_1215903	Ap1s1	-0.364	0.00205	19.34	down
ILMN_1248563	Car11	-0.361	0.00027	36.1	down
ILMN_1230765	Tpst1	-0.359	0.00028	35.47	down
ILMN_1216322	Hmgcs2	-0.358	0.00403	15.36	down
ILMN_2698299	Gabrd	-0.35	0.00408	15.29	down
ILMN_2954824	Ppp1r1b	-0.349	0.0033	16.47	down
ILMN_2695344	Il17rc	-0.339	2.00E-04	39.27	down
ILMN_2865082	Gabrd	-0.337	0.00021	38.44	down
ILMN_2960071	Ppp1ca	-0.334	0.00013	43.82	down
ILMN_2733073	Ryr1	-0.333	0.00419	15.15	down
ILMN_2622829	1110007L15Rik	-0.327	0.00061	28.29	down
ILMN_1245717	Epb4.9	-0.327	0.00348	16.16	down
ILMN_1218228	LOC280408	-0.326	0.00082	25.83	down
ILMN_2680308	Sec14l1	-0.326	0.00344	16.23	down
ILMN_2907878	H2afx	-0.325	0.00415	15.2	down
ILMN_3161601	Snca	-0.32	0.00053	29.42	down
ILMN_2743551	Brms1	-0.319	0.00361	15.97	down
ILMN_2656498	Foxo1	-0.319	0.00496	14.27	down
ILMN_2634083	Cdkn1a	-0.316	0.00232	18.54	down
ILMN_2668020	Syt9	-0.313	0.00342	16.26	down
