#Supplementary Table 1.  List of genes differentially expressed due to mutant htt protein and/or HDACi 4b treatment at p<0.005 for each brain region.
# only results for striatum and none treated mice
geneSymbol	ratio	p_value	regulation
Ddit4l	-1.985	0	down
Gpx6	-1.86	0	down
Wnt8b	-1.736	0	down
Ryr1	-1.721	0	down
Ryr1	-1.685	0	down
9430059P22Rik	-1.248	0	down
Il17rc	-1.232	0	down
Ptprv	-1.219	2.00E-05	down
4930511J11Rik	-1.21	0	down
Il17rc	-1.19	0	down
Tnfrsf25	-1.147	0	down
Erf	-1.133	0	down
Penk1	-1.083	0	down
Phex	-1.071	0	down
Rasgrp2	-1.051	0	down
Ppp1r1b	-1.02	0	down
Mas1	-1.015	1.00E-05	down
6330514A18Rik	-1.012	0	down
Clspn	-1.008	0	down
Cyp2a5	-1.001	0	down
G630049C14Rik	-0.995	0	down
A730016F12Rik	-0.986	0	down
Cldn23	-0.986	0.00021	down
Cd4	-0.985	0	down
Adora2a	-0.984	0	down
Tesc	-0.966	0	down
Drd2	-0.963	0	down
Mesdc1	-0.955	0	down
Cap1	-0.954	0	down
C030032C09Rik	-0.95	0	down
Bid3	-0.948	0	down
Cnr1	-0.944	0	down
Pde10a	-0.942	0	down
E130306D19Rik	-0.942	0	down
Ppp1r1b	-0.929	0	down
Zfp312	-0.916	0.00014	down
Igfbp5	-0.913	0	down
1110014F24Rik	-0.898	0	down
Dusp14	-0.897	0	down
Pgam2	-0.885	1.00E-05	down
Rgs14	-0.884	0	down
Hrh3	-0.879	1.00E-05	down
Tmepai	-0.86	0	down
Kcnip2	-0.858	0	down
Camk4	-0.844	0.00012	down
Agt	-0.842	0.00011	down
Tnnt1	-0.842	0.00102	down
Csen	-0.841	0	down
Ier5l	-0.836	0	down
Cnr1	-0.831	4.00E-05	down
Fjx1	-0.83	0	down
9230117N10Rik	-0.827	0.00255	down
Prss18	-0.827	0.00313	down
BC055811	-0.824	5.00E-05	down
Nnat	-0.816	6.00E-05	down
Krt1-9	-0.808	0	down
Tmprss6	-0.802	0	down
Siat8b	-0.797	6.00E-05	down
Lamb3	-0.797	0.0019	down
Acy1	-0.796	0	down
B230373P09Rik	-0.792	7.00E-05	down
LOC381240	-0.783	0	down
Gabrd	-0.783	1.00E-05	down
C86987	-0.777	1.00E-05	down
Siat8c	-0.767	1.00E-05	down
Nupr1	-0.766	6.00E-05	down
1110034G24Rik	-0.766	0.00448	down
Lgi4	-0.763	0	down
5033430I15Rik	-0.762	0	down
Syt9	-0.762	0	down
Gpr6	-0.761	0	down
Ramp3	-0.761	0.00014	down
P4ha1	-0.761	0.00052	down
Arg2	-0.76	0	down
Chi3l1	-0.755	1.00E-05	down
Otof	-0.749	0	down
AI840980	-0.739	0.00015	down
Gstm6	-0.736	0	down
Myo5c	-0.736	0.00015	down
	-0.734	7.00E-04	down
Sec14l1	-0.732	0	down
AB041544	-0.731	0	down
Lmo2	-0.729	1.00E-05	down
AI593442	-0.729	7.00E-05	down
Serpind1	-0.723	0.00011	down
4931414L13Rik	-0.72	7.00E-05	down
D0H4S114	-0.72	9.00E-05	down
Indo	-0.72	0.00018	down
2610204M08Rik	-0.711	1.00E-05	down
Hes5	-0.707	0.00035	down
Rps6ka4	-0.702	1.00E-05	down
Serpinb1a	-0.702	0.00446	down
Lynx1	-0.701	0	down
Kcnip2	-0.701	1.00E-05	down
Cyp2a5	-0.7	0	down
Camkk1	-0.7	0	down
Pmp22	-0.699	0.00078	down
Ccm2	-0.697	0	down
Sbsn	-0.696	7.00E-05	down
2610039E05Rik	-0.695	0	down
Slc1a2	-0.694	0	down
Prima1	-0.689	1.00E-05	down
Stc1	-0.688	2.00E-05	down
Gstm6	-0.686	0.00018	down
Nrarp	-0.685	0.00037	down
LOC230872	-0.682	1.00E-05	down
Sh3rf2	-0.681	1.00E-05	down
Mfge8	-0.68	0	down
Car2	-0.68	0.00116	down
Ppap2b	-0.679	0	down
Shank3	-0.675	0	down
4930438O05Rik	-0.674	0	down
Wnt7a	-0.674	0.00152	down
Dio2	-0.672	0.00014	down
9630048M01Rik	-0.669	0.00063	down
Ntrk3	-0.667	0.0014	down
Mt3	-0.667	0.00156	down
4933414G08	-0.665	0	down
Leprel2	-0.653	8.00E-05	down
Odf4	-0.652	0	down
Nr1d1	-0.652	0.00233	down
Dtr	-0.651	0	down
Actn2	-0.65	0	down
Cdyl	-0.649	1.00E-04	down
Fst	-0.648	0	down
Pde7b	-0.648	4.00E-05	down
Tst	-0.648	0.00058	down
8430415E04Rik	-0.647	0	down
D5Ertd689e	-0.646	0.00112	down
AI646023	-0.644	0.00036	down
Wbscr17	-0.64	3.00E-05	down
Rgs11	-0.64	0.00411	down
Sparcl1	-0.636	0.00023	down
Padi2	-0.632	0.00329	down
Ywhaz	-0.632	0.00419	down
Grin2c	-0.63	0.00254	down
Bcan	-0.626	5.00E-05	down
Abcc12	-0.626	8.00E-05	down
6030419C18Rik	-0.622	5.00E-05	down
Idb4	-0.622	0.00157	down
8430415E04Rik	-0.621	0.00021	down
S100a10	-0.62	0.00417	down
C1qtnf5	-0.618	0.00333	down
Rhobtb2	-0.613	0	down
Kcnh3	-0.613	4.00E-05	down
Ccbp2	-0.608	0.00043	down
Slc25a25	-0.607	6.00E-05	down
Syt12	-0.607	0.00032	down
Pthlh	-0.605	0	down
Sntb2	-0.604	1.00E-05	down
Arid3b	-0.603	0.00012	down
Nr1d1	-0.603	0.00112	down
Per1	-0.602	0.00186	down
Phkg1	-0.601	3.00E-05	down
Ephx1	-0.601	5.00E-05	down
Trf	-0.601	0.00119	down
Slc27a1	-0.598	0	down
Srm	-0.596	1.00E-05	down
Fa2h	-0.596	1.00E-04	down
Tpm2	-0.595	0.00305	down
Klf16	-0.594	0.00061	down
Rxrg	-0.593	0.00018	down
Gamt	-0.591	0.00202	down
Drd1a	-0.589	7.00E-05	down
Rnf144	-0.588	0.00011	down
Hebp1	-0.588	0.00181	down
Ppm2c	-0.587	0.00179	down
Acas2l	-0.586	0	down
4930438O05Rik	-0.585	1.00E-04	down
Trib3	-0.584	2.00E-04	down
2610009E16Rik	-0.583	0.00365	down
Cyp4f15	-0.581	0.00202	down
Metrn	-0.58	1.00E-05	down
Foxo1	-0.58	0.00025	down
Itga5	-0.576	3.00E-05	down
Cdc42ep4	-0.575	0	down
Gnb5	-0.575	3.00E-05	down
Ifrd2	-0.575	0.00022	down
Cit	-0.575	0.00051	down
Gpr83	-0.574	0.00465	down
1110012J17Rik	-0.573	3.00E-05	down
Baiap2	-0.573	4.00E-05	down
Rhobtb2	-0.57	0	down
Slc7a10	-0.57	0.00052	down
Plp	-0.57	0.0047	down
Fgfr2	-0.569	0.00349	down
6530418L21Rik	-0.568	5.00E-04	down
Depdc6	-0.567	4.00E-05	down
Bcan	-0.565	0.00322	down
Gsk3b	-0.562	9.00E-05	down
Prodh	-0.562	0.00234	down
Prkcb	-0.561	0.00037	down
Slc9a3r1	-0.557	0.00016	down
A130092J06Rik	-0.556	6.00E-05	down
Ppp3ca	-0.556	0.00026	down
5-Sep	-0.553	0.00434	down
Usp2	-0.552	0.00103	down
Glul	-0.551	0.00012	down
Ppap2b	-0.55	0	down
Asb2	-0.55	0.00045	down
C030025P15Rik	-0.55	0.00078	down
Cpne5	-0.55	9.00E-04	down
3632413B07Rik	-0.549	0.00027	down
BC034834	-0.548	4.00E-05	down
Slc18a3	-0.547	0.00088	down
Car2	-0.545	0.00081	down
D7Ertd156e	-0.543	3.00E-05	down
AI505034	-0.543	9.00E-05	down
4732436F15Rik	-0.542	0.00033	down
Cyp2d22	-0.541	0	down
Acy1	-0.54	0	down
Atp1b2	-0.54	6.00E-05	down
2310009E04Rik	-0.54	0.00109	down
Agmat	-0.54	0.00427	down
Cacng4	-0.538	0.00013	down
Slc23a3	-0.535	0.00066	down
Tmem16b	-0.534	0.00025	down
Myo5a	-0.532	7.00E-05	down
Htr1b	-0.532	0.00055	down
Kcnj4	-0.53	7.00E-05	down
Pib5pa	-0.529	1.00E-05	down
Gzmm	-0.529	0.00036	down
Rorb	-0.527	9.00E-05	down
BC028663	-0.525	0.00039	down
Cyp2a4	-0.525	0.00237	down
Mobp	-0.523	0.0039	down
Ap1s1	-0.522	2.00E-05	down
Bhlhb2	-0.522	0.0028	down
Efhd1	-0.521	0.00026	down
Aldoc	-0.521	0.00062	down
Mei1	-0.518	0.00088	down
Gatm	-0.517	0.00036	down
Jmjd2b	-0.516	2.00E-05	down
Tbc1d8	-0.515	4.00E-05	down
Cacnb2	-0.515	0.00015	down
2310007D09Rik	-0.514	0.00344	down
Pitpnm2	-0.513	4.00E-05	down
Upb1	-0.513	0.00074	down
Cacng1	-0.512	0	down
Lynx1	-0.51	1.00E-05	down
Entpd2	-0.507	0.00134	down
Rfx2	-0.506	7.00E-05	down
Papln	-0.505	4.00E-05	down
Sema7a	-0.505	0.00022	down
Rspondin	-0.504	7.00E-05	down
Ppp1ca	-0.503	0	down
AI593442	-0.502	0.00296	down
Ppp1r16b	-0.501	1.00E-05	down
Gpt1	-0.498	5.00E-05	down
Scara3	-0.497	0.00072	down
AI427122	-0.497	0.00278	down
5330417C22Rik	-0.496	1.00E-05	down
Baalc	-0.496	0.00025	down
4930534B04Rik	-0.494	0.00014	down
Gstm1	-0.493	0	down
Npas2	-0.493	1.00E-05	down
Fgfrl1	-0.493	0.00105	down
Adam23	-0.492	1.00E-05	down
Fbxl16	-0.492	0.00128	down
Jph4	-0.492	0.00173	down
Gpr153	-0.49	0.00193	down
Sftpc	-0.489	1.00E-05	down
