# table 2, 12, 18 m late, p<0.05
geneSymbol	p_Value	log2FC	AbsFC	regulation	phase	timepoint
Ryr1	2.14E-04	-0.761	1.694	down	late	12m
Cntnap3	7.33E-04	-0.445	1.362	down	late	12m
Plk5	1.54E-03	-0.521	1.435	down	late	12m
Cap1	1.97E-03	-0.216	1.161	down	late	12m
Gpx6	2.44E-03	-0.911	1.881	down	late	12m
Scn4b	2.60E-03	-0.581	1.496	down	late	12m
Car11	4.37E-03	-0.282	1.216	down	late	12m
Traip	5.34E-03	-0.272	1.207	down	late	12m
Htt	5.86E-03	-0.278	1.212	down	late	12m
Dusp18	5.86E-03	-0.332	1.259	down	late	12m
Gba2	6.20E-03	-0.231	1.174	down	late	12m
Fa2h	6.30E-03	-0.273	1.208	down	late	12m
Ppm2c	7.29E-03	-0.367	1.29	down	late	12m
Ddit4l	7.56E-03	-0.5	1.414	down	late	12m
Lba1	8.30E-03	-0.463	1.379	down	late	12m
Car2	9.01E-03	-0.3	1.231	down	late	12m
Npl	9.44E-03	-0.24	1.181	down	late	12m
Dgat2l6	1.05E-02	-0.318	1.247	down	late	12m
Slc39a2	1.14E-02	-0.272	1.207	down	late	12m
Slc4a11	1.25E-02	-0.39	1.31	down	late	12m
Penk1	1.46E-02	-0.323	1.251	down	late	12m
Grm3	1.49E-02	-0.192	1.142	down	late	12m
Cldn11	1.84E-02	-0.231	1.173	down	late	12m
Sec14l3	3.70E-02	-0.234	1.176	down	late	12m
Qdpr	3.86E-02	-0.165	1.121	down	late	12m
Cntnap3	4.20E-02	-0.36	1.284	down	late	12m
Insig1	4.94E-02	-0.292	1.224	down	late	12m
Sfmbt2	1.13E-04	0.389	1.309	up	late	12m
Tmc3	2.43E-04	0.41	1.329	up	late	12m
Wdr8	1.65E-03	0.172	1.126	up	late	12m
Polr2a	2.20E-03	0.315	1.244	up	late	12m
Msrb2	5.94E-03	0.202	1.15	up	late	12m
Cxxc4	8.36E-03	0.189	1.14	up	late	12m
Lrrn3	1.34E-02	0.251	1.19	up	late	12m
Cbx4	1.40E-02	0.282	1.216	up	late	12m
Kcng1	1.65E-02	0.298	1.23	up	late	12m
Fat1	1.73E-02	0.274	1.209	up	late	12m
Olig1	2.10E-02	0.245	1.185	up	late	12m
Cxx1b	2.81E-02	0.182	1.134	up	late	12m
Lsm7	2.96E-02	0.19	1.141	up	late	12m
Lsm7	2.98E-02	0.179	1.132	up	late	12m
Ccdc109a	3.54E-02	0.127	1.092	up	late	12m
Cxx1b	4.28E-02	0.172	1.126	up	late	12m
Penk1	1.10E-05	-0.729	1.658	down	late	18m
Scn4b	7.41E-05	-0.914	1.884	down	late	18m
Traip	1.25E-04	-0.424	1.342	down	late	18m
Gpx6	4.42E-04	-1.172	2.253	down	late	18m
Slc4a11	5.87E-04	-0.614	1.531	down	late	18m
Slc39a2	6.84E-04	-0.388	1.309	down	late	18m
Sec14l3	7.67E-04	-0.415	1.333	down	late	18m
Car11	1.05E-03	-0.37	1.293	down	late	18m
Iqub	1.62E-03	-0.446	1.362	down	late	18m
Ddit4l	2.62E-03	-0.593	1.509	down	late	18m
Ryr1	3.36E-03	-0.628	1.546	down	late	18m
Htt	3.87E-03	-0.316	1.245	down	late	18m
Dusp18	4.18E-03	-0.377	1.299	down	late	18m
Wdr78	5.08E-03	-0.426	1.344	down	late	18m
Il33	5.77E-03	-0.446	1.362	down	late	18m
Car2	8.22E-03	-0.363	1.286	down	late	18m
Plk5	1.07E-02	-0.466	1.382	down	late	18m
Cntnap3	1.96E-02	-0.551	1.465	down	late	18m
Dgat2l6	2.02E-02	-0.304	1.235	down	late	18m
Arpp19	2.34E-02	-0.442	1.358	down	late	18m
Cntnap3	2.43E-02	-0.44	1.356	down	late	18m
Phex	2.86E-02	-0.503	1.417	down	late	18m
Lba1	3.04E-02	-0.411	1.33	down	late	18m
Cap1	3.14E-02	-0.157	1.115	down	late	18m
Cntnap3	4.12E-02	-0.279	1.213	down	late	18m
Enpp6	2.04E-06	0.764	1.698	up	late	18m
Tmc3	2.49E-05	0.544	1.458	up	late	18m
S100b	2.95E-04	0.467	1.383	up	late	18m
Cbx4	7.76E-04	0.438	1.354	up	late	18m
Tns3	9.22E-04	0.307	1.237	up	late	18m
Elf1	1.91E-03	0.305	1.236	up	late	18m
Polr2a	2.17E-03	0.34	1.265	up	late	18m
Msrb2	2.34E-03	0.259	1.196	up	late	18m
Olig1	3.16E-03	0.329	1.256	up	late	18m
Smoc1	3.36E-03	0.448	1.364	up	late	18m
Sfmbt2	3.93E-03	0.298	1.23	up	late	18m
Nfya	4.67E-03	0.243	1.184	up	late	18m
Fat1	8.66E-03	0.328	1.255	up	late	18m
Creb3l2	9.90E-03	0.227	1.17	up	late	18m
Thrap3	1.07E-02	0.165	1.121	up	late	18m
Il17rb	1.15E-02	0.219	1.164	up	late	18m
Ccdc109a	3.10E-02	0.14	1.102	up	late	18m
Lsm7	4.47E-02	0.193	1.143	up	late	18m
