#Supplementary Table S2. List of genes down regulated in R6/2 striatum whose expression is recovered in R6/2xDREAM+/- striatum.
#Supplementary Table S3 List of genes up regulated in R6/2 striatum whose expression is recovered in R6/2xDREAM+/- striatum.
geneSymbol	fold_change	regulation
Arg2	-2.23	down
Ptprv	-2.16	down
E130012A19Rik	-2.15	down
Vip	-2.1	down
Serpinb1b	-2.05	down
Cplx3	-1.9	down
5033430I15Rik	-1.89	down
Klf10	-1.82	down
Dusp6	-1.8	down
AI426330	-1.79	down
Ano3	-1.77	down
Egr1	-1.77	down
Myo3b	-1.77	down
Shisa2	-1.75	down
Nup35	-1.74	down
Kcnq3	-1.73	down
D10Ertd709e	-1.72	down
Tmem178	-1.72	down
Drd2	-1.71	down
Plekhg4	-1.69	down
Sh2d5	-1.69	down
9230110C19Rik	-1.66	down
Hrh3	-1.64	down
LOC100047138	-1.64	down
Ppp4r4	-1.63	down
2610204M08Rik	-1.62	down
Osbpl8	-1.62	down
2010001M06Rik	-1.6	down
AI449212	-1.6	down
Cadps2	-1.6	down
Car12	-1.6	down
Myl4	-1.6	down
P4ha1	-1.6	down
Rhobtb2	-1.6	down
Rps6ka5	-1.6	down
C030009J22Rik	-1.59	down
LOC100046186	-1.59	down
Pdyn	-1.59	down
Pxdn	-1.59	down
6530418L21Rik	-1.58	down
Hlf	-1.57	down
Igsf21	-1.57	down
Rem2	-1.57	down
3021401C12Rik	-1.56	down
Atp2b2	-1.56	down
Golt1b	-1.56	down
Sh3rf2	-1.55	down
Shank3	-1.55	down
Mesdc1	-1.54	down
Phyhip	-1.54	down
Ugt8a	-1.54	down
Chmp1b	-1.53	down
Lypd6b	-1.53	down
Efhd2	-1.52	down
Egr4	-1.52	down
Hs3st2	-1.52	down
Kif17	-1.52	down
5330417C22Rik	-1.51	down
Igfbp4	-1.51	down
Bhlhe40	-1.5	down
D330050I23Rik	-1.5	down
Rin1	-1.5	down
Wipf3	-1.5	down
Adcy5	-1.49	down
Fam43a	-1.49	down
Htr1d	-1.49	down
Lba1	-1.48	down
Rhbdl3	-1.48	down
Sstr2	-1.48	down
Chst11	-1.47	down
Gadd45g	-1.47	down
Mid1	-1.47	down
1110018G07Rik	-1.46	down
9030409G11Rik	-1.46	down
Adam23	-1.46	down
Crocc	-1.46	down
LOC553091	-1.46	down
Nupr1	-1.46	down
Shb	-1.46	down
Slmap	-1.46	down
Trim9	-1.46	down
D930009K15Rik	-1.45	down
Gpat2	-1.45	down
Lin7b	-1.45	down
Npy2r	-1.45	down
Nrgn	-1.45	down
Scara3	-1.45	down
Stk32a	-1.45	down
C030011L09Rik	-1.44	down
Grm4	-1.44	down
1500032P08Rik	-1.43	down
AI593442	-1.43	down
Arhgap20	-1.43	down
Coro2a	-1.43	down
Dgkb	-1.43	down
Erc2	-1.43	down
Myo5a	-1.43	down
Slc35f3	-1.43	down
Ypel2	-1.43	down
6330509M23Rik	-1.42	down
A830018L16Rik	-1.42	down
Ccl25	-1.42	down
Fibcd1	-1.42	down
LOC100045546	-1.42	down
Necab1	-1.42	down
Nr4a2	-1.42	down
Rragd	-1.42	down
Shisa6	-1.42	down
Unc13a	-1.42	down
Hras1	-1.41	down
Ivns1abp	-1.41	down
Srpk1	-1.41	down
Tbc1d4	-1.41	down
Zfp238	-1.41	down
1110032F04Rik	-1.4	down
1110069O07Rik	-1.4	down
Bcr	-1.4	down
Nhsl2	-1.4	down
Rasd1	-1.4	down
Rgs2	-1.4	down
Aldoc	-1.39	down
Fhit	-1.39	down
Jph3	-1.39	down
Moxd1	-1.39	down
Plk2	-1.39	down
Pmp22	-1.39	down
Ppp1r3c	-1.39	down
Slc24a4	-1.39	down
Tnnc1	-1.39	down
Tspan2	-1.39	down
Cnksr2	-1.38	down
Insig1	-1.38	down
Nhp2	-1.38	down
St6gal2	-1.38	down
2900009J20Rik	-1.37	down
Akap5	-1.37	down
Ephx1	-1.37	down
Lrtm2	-1.37	down
Tpm2	-1.37	down
Ankrd56	-1.36	down
Atl2	-1.36	down
Bmper	-1.36	down
Ippk	-1.36	down
Kcnk1	-1.36	down
Kdm4b	-1.36	down
Nin	-1.36	down
Prkcb	-1.36	down
Rasgef1a	-1.36	down
Ric8b	-1.36	down
Sh3bgrl2	-1.36	down
Wscd2	-1.36	down
Zfp354a	-1.36	down
11-Mar	-1.35	down
Akt2	-1.35	down
Clptm1	-1.35	down
Lypd6	-1.35	down
Plcb1	-1.35	down
Robo3	-1.35	down
Sbk1	-1.35	down
Syt12	-1.35	down
Tcf7	-1.35	down
2900054C01Rik	-1.34	down
Akt2	-1.34	down
Cdc2l6	-1.34	down
Ddn	-1.34	down
Diras2	-1.34	down
Gfra2	-1.34	down
Gipc2	-1.34	down
Gria3	-1.34	down
Hs3st4	-1.34	down
Id2	-1.34	down
Lgi2	-1.34	down
Prrt3	-1.34	down
Prss23	-1.34	down
Stard10	-1.34	down
Stk32c	-1.34	down
Tmem14a	-1.34	down
Trpc6	-1.34	down
Cacna1c	-1.33	down
Dhrs3	-1.33	down
Kit	-1.33	down
Myt1l	-1.33	down
Nefm	-1.33	down
Pcsk2	-1.33	down
Rasgrp1	-1.33	down
Timp4	-1.33	down
Tmem38a	-1.33	down
Usp28	-1.33	down
Avpi1	-1.32	down
Cdc42ep3	-1.32	down
Pstpip2	-1.32	down
Rlbp1l1	-1.32	down
Sgpp2	-1.32	down
Slc5a7	-1.32	down
Spata13	-1.32	down
Dnajb5	-1.31	down
Gnb5	-1.31	down
Grasp	-1.31	down
Hey1	-1.31	down
Lrrc3b	-1.31	down
Nomo1	-1.31	down
Nxph1	-1.31	down
Synpr	-1.31	down
Vti1b	-1.31	down
Bcl11b	-1.3	down
Cbr3	-1.3	down
Cltb	-1.3	down
D18Ertd653e	-1.3	down
Glul	-1.3	down
Klhl2	-1.3	down
Ptplb	-1.3	down
Socs2	-1.3	down
Abi1	-1.29	down
Cyld	-1.29	down
Dach1	-1.29	down
Fam59a	-1.29	down
Farp2	-1.29	down
Foxo1	-1.29	down
Hivep1	-1.29	down
Pkig	-1.29	down
Wdr78	-1.29	down
C030044C12Rik	-1.28	down
Car2	-1.28	down
D5Wsu178e	-1.28	down
Fam184b	-1.28	down
Gm10786	-1.28	down
Igh-6	-1.28	down
Mt2	-1.28	down
Plxna2	-1.28	down
Rgs20	-1.28	down
Stau2	-1.28	down
1700001O22Rik	-1.27	down
C230098O21Rik	-1.27	down
Car7	-1.27	down
Ccnyl1	-1.27	down
Cyp4f15	-1.27	down
Fam131b	-1.27	down
Hmgcs1	-1.27	down
Sacs	-1.27	down
Sc4mol	-1.27	down
Sgk3	-1.27	down
Acsl3	-1.26	down
Ankrd50	-1.26	down
Flrt3	-1.26	down
Gm13889	-1.26	down
Ppp3r1	-1.26	down
Rock2	-1.26	down
2210408K08Rik	-1.25	down
2900046F13Rik	-1.25	down
Abcc4	-1.25	down
Adamts3	-1.25	down
Efna3	-1.25	down
Mal2	-1.25	down
Nebl	-1.25	down
Rnf112	-1.25	down
Sema4a	-1.25	down
Tuba4a	-1.25	down
6330512M04Rik	-1.24	down
Dnajc8	-1.24	down
Josd1	-1.24	down
Kitl	-1.24	down
Prom1	-1.24	down
Tiam2	-1.24	down
Wwp1	-1.24	down
2310014D11Rik	-1.23	down
Acvr1	-1.23	down
Cmbl	-1.23	down
Phactr1	-1.23	down
Abi2	-1.22	down
Lypd1	-1.22	down
Sgtb	-1.22	down
Slc8a3	-1.22	down
St3gal5	-1.22	down
Abhd14a	-1.21	down
Rassf3	-1.21	down
Ttc19	-1.21	down
Wbp5	1.2	up
Ebpl	1.21	up
Ercc8	1.21	up
Nphp1	1.21	up
Akr1a4	1.22	up
Fez2	1.22	up
Stard5	1.22	up
1810022K09Rik	1.23	up
2410022M11Rik	1.23	up
Adnp	1.23	up
Bckdk	1.24	up
Bscl2	1.24	up
C030044B11Rik	1.24	up
Gale	1.24	up
Gprasp1	1.24	up
Gss	1.24	up
Sin3b	1.24	up
Trmt2b	1.24	up
Vav3	1.24	up
Zcchc18	1.24	up
2310047K21Rik	1.25	up
Ninj1	1.25	up
Pdik1l	1.25	up
Prr22	1.25	up
Racgap1	1.25	up
Snx4	1.25	up
Tmem144	1.25	up
Fam126a	1.26	up
Hdac1	1.26	up
Hyal2	1.26	up
Phyh	1.26	up
4930414L22Rik	1.27	up
Abcb10	1.27	up
AI449595	1.27	up
Creb3l2	1.27	up
E030031F02Rik	1.27	up
Gspt2	1.27	up
LOC100046560	1.27	up
Mettl8	1.27	up
Pkia	1.27	up
Ppih	1.27	up
Ptpro	1.27	up
Taf4b	1.27	up
Tax1bp3	1.27	up
Zfp28	1.27	up
C030006K11Rik	1.28	up
Cxx1c	1.28	up
Erap1	1.28	up
Isl1	1.28	up
Jrk	1.28	up
Lor	1.28	up
Nrip2	1.28	up
Prr13	1.28	up
Trim26	1.28	up
2900062L11Rik	1.29	up
BC017158	1.29	up
Ccdc57	1.29	up
Cep164	1.29	up
Plxna3	1.29	up
Sh3bgrl	1.29	up
Suv39h1	1.29	up
Timp2	1.29	up
Tmem130	1.29	up
Zfp618	1.29	up
2210013O21Rik	1.3	up
Abca8b	1.3	up
Lcmt2	1.3	up
Lgals3	1.3	up
Man2b1	1.3	up
Myd88	1.3	up
Oprl1	1.3	up
Tmem80	1.3	up
Tubd1	1.3	up
Zcchc3	1.3	up
1700071A11Rik	1.31	up
2700038G22Rik	1.31	up
Cobra1	1.31	up
Pcbd2	1.31	up
Rab7l1	1.31	up
Rad18	1.31	up
Stmn2	1.31	up
Tmem91	1.31	up
Zscan18	1.31	up
1110003F02Rik	1.32	up
2210411K11Rik	1.32	up
9330151L19Rik	1.32	up
Dtx3l	1.32	up
Gm10307	1.32	up
LOC626082	1.32	up
Nfkbid	1.32	up
Pabpn1	1.32	up
Qpct	1.32	up
4930422G04Rik	1.33	up
Rdh12	1.33	up
4931408D14Rik	1.34	up
Abhd14b	1.34	up
Faf1	1.34	up
Fam173a	1.34	up
Gemin7	1.34	up
Gnai2	1.34	up
Kcnh8	1.34	up
Sh3yl1	1.34	up
Serpina3n	1.36	up
Zfp90	1.36	up
Anubl1	1.37	up
Hist1h4a	1.37	up
2810410L24Rik	1.38	up
Armcx5	1.38	up
Csf2ra	1.38	up
Expi	1.38	up
Gm1568	1.38	up
Gm2137	1.38	up
Cisd3	1.39	up
Snora44	1.39	up
4922502B01Rik	1.4	up
Cbx4	1.4	up
Cirbp	1.4	up
Parp11	1.4	up
Cyp39a1	1.41	up
Tspan6	1.41	up
Vim	1.41	up
Wdr6	1.41	up
Zkscan16	1.41	up
AA415437	1.42	up
Tmem45a	1.42	up
4930426D05Rik	1.43	up
Htr2c	1.43	up
1500012F01Rik	1.44	up
Pcdhb9	1.44	up
Acy3	1.45	up
2310061J03Rik	1.46	up
9030407P20Rik	1.46	up
AW551984	1.46	up
AW049021	1.47	up
Cast	1.47	up
Dleu7	1.48	up
Ece2	1.49	up
Slc45a3	1.49	up
Wt1	1.5	up
2310030G06Rik	1.51	up
Ahi1	1.52	up
Gpr101	1.53	up
Enkur	1.57	up
E030042N06Rik	1.59	up
4833438C02Rik	1.61	up
Cks2	1.67	up
Smoc1	1.69	up
Zfhx2as	2.05	up
