ProbeName	geneSymbol	Description	LogRatio	pValue	pValueFDR	timepoint	regulation	phase
ILMN_3159131	Cyp2a5		-1.37	2.97e-22	7.64e-18	11m	down	late
ILMN_2813547	Scn4b	Mus musculus sodium channel, type IV, beta (Scn4b), mRNA.	-1.83	2.9e-20	2.48e-16	11m	down	late
ILMN_2671128	B230373p09rik (dnahc1)	dynein, axonemal heavy chain 1	-1.36	5.89e-19	2.39e-15	11m	down	late
ILMN_2988228	Drd2	Mus musculus dopamine receptor 2 (Drd2), mRNA.	-1.47	1.56e-18	5.02e-15	11m	down	late
ILMN_2695819	Ddit4l (rpt801)	Mus musculus DNA-damage-inducible transcript 4-like (Ddit4l), mRNA.	-2.44	7.44e-18	1.91e-14	11m	down	late
ILMN_1244081	Rgs4	Mus musculus regulator of G-protein signaling 4 (Rgs4), mRNA.	-1.26	9.53e-18	2.23e-14	11m	down	late
ILMN_2797061	Actn2	Mus musculus actinin alpha 2 (Actn2), mRNA.	-1.5	2.32e-17	4.58e-14	11m	down	late
ILMN_2730425	Ryr1		-1.66	4.71e-17	7.57e-14	11m	down	late
ILMN_2907241	Tmem90a	Mus musculus transmembrane protein 90a (Tmem90a), mRNA.	-1.14	1.01e-16	1.44e-13	11m	down	late
ILMN_1248563	Car11	Mus musculus carbonic anhydrase 11 (Car11), mRNA.	-0.92	1.22e-16	1.65e-13	11m	down	late
ILMN_2733915	Pde10a		-1.48	1.56e-16	2e-13	11m	down	late
ILMN_1250689	Rgs9	Mus musculus regulator of G-protein signaling 9 (Rgs9), mRNA.	-0.99	2.3e-16	2.81e-13	11m	down	late
ILMN_2736471	C86987		-1.27	9.54e-16	1.11e-12	11m	down	late
ILMN_3105563	Dmkn	Mus musculus dermokine (Dmkn), transcript variant 2, mRNA.	-1.64	1.73e-15	1.85e-12	11m	down	late
ILMN_1217517	Dcamkl1		-1.06	1.69e-15	1.85e-12	11m	down	late
ILMN_1229763	Dmkn	Mus musculus dermokine (Dmkn), transcript variant 2, mRNA.	-1.55	5.34e-15	5.28e-12	11m	down	late
ILMN_2698299	Gabrd	Mus musculus gamma-aminobutyric acid (GABA-A) receptor, subunit delta (Gabrd), mRNA.	-1.16	7.81e-15	7.43e-12	11m	down	late
ILMN_2656748	Dfy	Mus musculus Duffy blood group, chemokine receptor (Darc), mRNA.	-1.05	8.13e-15	7.46e-12	11m	down	late
ILMN_3062286	Rpel1		-1.01	8.65e-15	7.66e-12	11m	down	late
ILMN_2733073	Ryr1		-1.42	1.06e-14	9.12e-12	11m	down	late
ILMN_2734062	Drd1a		-1.08	1.21e-14	9.82e-12	11m	down	late
ILMN_2945472	Acy1	Mus musculus aminoacylase 1 (Acy1), mRNA.	-0.87	1.22e-14	9.82e-12	11m	down	late
ILMN_2694955	Igfbp4		-1.22	1.47e-14	1.14e-11	11m	down	late
ILMN_1221410	Gpr12		-1.17	2.52e-14	1.85e-11	11m	down	late
ILMN_1232561	Rxrg	Mus musculus retinoid X receptor gamma (Rxrg), mRNA.	-1.13	2.92e-14	2.03e-11	11m	down	late
ILMN_2695344	Il17rc	Mus musculus interleukin 17 receptor C (Il17rc), mRNA.	-0.9	3.66e-14	2.47e-11	11m	down	late
ILMN_2785350	Il17rc	Mus musculus interleukin 17 receptor C (Il17rc), mRNA.	-0.96	4.27e-14	2.75e-11	11m	down	late
ILMN_1258988	Igfbp4		-1.17	5.45e-14	3.41e-11	11m	down	late
ILMN_2858359	Clspn	Mus musculus claspin homolog (Xenopus laevis) (Clspn), mRNA.	-1.32	6.12e-14	3.75e-11	11m	down	late
ILMN_2670261	Cnr1		-1.01	6.41e-14	3.83e-11	11m	down	late
ILMN_1256369	Lynx1	Mus musculus Ly6/neurotoxin 1 (Lynx1), mRNA.	-0.88	7.93e-14	4.53e-11	11m	down	late
ILMN_2592996	Gpr6		-1.02	9.32e-14	5.21e-11	11m	down	late
ILMN_2749595	2610204m08rik		-0.97	1.01e-13	5.5e-11	11m	down	late
ILMN_2748222	Tesc		-1.15	1.08e-13	5.77e-11	11m	down	late
ILMN_2623056	Clspn	Mus musculus claspin homolog (Xenopus laevis) (Clspn), mRNA.	-1.26	1.35e-13	7.06e-11	11m	down	late
ILMN_2719834	Ccm2		-0.83	1.47e-13	7.57e-11	11m	down	late
ILMN_2662214	Cacng4		-1.17	1.55e-13	7.8e-11	11m	down	late
ILMN_2827248	Chat	Mus musculus choline acetyltransferase (Chat), mRNA.	-0.9	1.82e-13	8.99e-11	11m	down	late
ILMN_2707941	Gpr83		-0.94	2.12e-13	1.03e-10	11m	down	late
ILMN_2650289	Rin1		-1.01	2.53e-13	1.2e-10	11m	down	late
ILMN_2896113	Eg545758	Mus musculus predicted gene, EG545758 (EG545758), mRNA.	-0.78	4.35e-13	1.99e-10	11m	down	late
ILMN_2740764	Rps6ka4	Mus musculus ribosomal protein S6 kinase, polypeptide 4 (Rps6ka4), mRNA.	-0.94	5.05e-13	2.28e-10	11m	down	late
ILMN_2886828	Rarb	Mus musculus retinoic acid receptor, beta (Rarb), mRNA.	-0.97	5.16e-13	2.29e-10	11m	down	late
ILMN_3103233	Gng7	Mus musculus guanine nucleotide binding protein (G protein), gamma 7 subunit (Gng7), transcript variant 2, mRNA.	-0.88	6.25e-13	2.72e-10	11m	down	late
ILMN_2669164	Arg2	Mus musculus arginase type II (Arg2), mRNA.	-0.88	7.73e-13	3.26e-10	11m	down	late
ILMN_2617194	Rarb		-0.95	7.98e-13	3.31e-10	11m	down	late
ILMN_2691613	Ppp1ca	Mus musculus protein phosphatase 1, catalytic subunit, alpha isoform (Ppp1ca), mRNA.	-0.63	9.43e-13	3.85e-10	11m	down	late
ILMN_2734598	Cyp2a5		-0.72	9.78e-13	3.93e-10	11m	down	late
ILMN_2749529	Itga9	Mus musculus integrin alpha 9 (Itga9), mRNA.	-0.84	1.09e-12	4.32e-10	11m	down	late
ILMN_2651660	Ppp1r1b	Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 1B (Ppp1r1b), mRNA.	-1.06	1.14e-12	4.39e-10	11m	down	late
ILMN_1246403	Ai593442	Mus musculus expressed sequence AI593442 (AI593442), transcript variant 1, mRNA.	-0.93	1.14e-12	4.39e-10	11m	down	late
ILMN_2950189	Myt1l	Mus musculus myelin transcription factor 1-like (Myt1l), mRNA.	-0.98	1.17e-12	4.43e-10	11m	down	late
ILMN_2623091	Adora2a		-0.87	1.35e-12	5.02e-10	11m	down	late
ILMN_2804166	Igsf9	Mus musculus immunoglobulin superfamily, member 9 (Igsf9), mRNA.	-1.06	1.48e-12	5.44e-10	11m	down	late
ILMN_2661005	1110018g07rik	Mus musculus RIKEN cDNA 1110018G07 gene (1110018G07Rik), mRNA.	-0.61	1.94e-12	7.01e-10	11m	down	late
ILMN_1248101	Cecr6	Mus musculus cat eye syndrome chromosome region, candidate 6 homolog (human) (Cecr6), mRNA.	-1.06	2.21e-12	7.77e-10	11m	down	late
ILMN_2758545	Cldn23	Mus musculus claudin 23 (Cldn23), mRNA.	-1	2.39e-12	8.28e-10	11m	down	late
