# 2018-03-29
Sample	cell_type	PC1	PC1_scaled	group	adj_p_all	adj_p_wt	dataset
GSE36237_HippVeh_WT_1	Astrocyte	3.07727693597752	0.571290187051974	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_2	Astrocyte	2.92841768989554	0.56275824451481	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_3	Astrocyte	-0.446521067780442	0.369321932664351	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_4	Astrocyte	4.38015222948023	0.645965139598311	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_5	Astrocyte	10.431795043378	0.99281809030572	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_6	Astrocyte	-0.97485448379831	0.339040237273758	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_7	Astrocyte	0.135444256972198	0.402677567870759	WT	NA	NA	mixed_model
GSE36237_HippVeh_WT_8	Astrocyte	0.249262525994273	0.409201119188767	WT	NA	NA	mixed_model
GSE36237_HippVeh_TG_1	Astrocyte	-0.889477296965578	0.343933673665613	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE36237_HippVeh_TG_2	Astrocyte	-4.82415259959987	0.11841578029952	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE36237_HippVeh_TG_3	Astrocyte	-2.75794737887068	0.236841371435058	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE36237_HippVeh_TG_4	Astrocyte	-1.9995604390932	0.280308700213235	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE36237_HippVeh_TG_5	Astrocyte	1.70302557415233	0.492524279261105	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE36237_HippVeh_TG_6	Astrocyte	-2.35822485114484	0.259751669096303	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE36237_HippVeh_TG_7	Astrocyte	-4.45000260591267	0.139860375314205	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE36237_HippVeh_TG_8	Astrocyte	-4.94363556171216	0.111567554248779	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_WT_rep1	Astrocyte	0.433046109236403	0.419734767670584	WT	NA	NA	mixed_model
GSE48622_WT_rep2	Astrocyte	1.98400579055874	0.50862880164421	WT	NA	NA	mixed_model
GSE48622_WT_rep3	Astrocyte	-1.05551795865395	0.334416969653975	WT	NA	NA	mixed_model
GSE48622_WT_rep4	Astrocyte	0.623820971394393	0.430669124818751	WT	NA	NA	mixed_model
GSE48622_APLP2KO_rep1	Astrocyte	-0.475879485447615	0.36763924019404	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_APLP2KO_rep2	Astrocyte	1.33308062630724	0.471320698563202	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_APLP2KO_rep3	Astrocyte	0.666767527647206	0.433130628284356	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_APLP2KO_rep4	Astrocyte	1.23566267929406	0.465737139947386	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_APPKO_rep1	Astrocyte	-4.19752142873431	0.154331460934341	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_APPKO_rep2	Astrocyte	0.567354040039738	0.427432694256	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_APPKO_rep3	Astrocyte	1.39018153858004	0.474593466061049	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_APPKO_rep4	Astrocyte	3.35547739942034	0.587235386496282	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_N.dCKO_rep1	Astrocyte	-1.6064761999915	0.302838521024186	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_N.dCKO_rep2	Astrocyte	-2.55155106132265	0.248671080153536	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_N.dCKO_rep3	Astrocyte	-2.30477506036322	0.262815170730062	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE48622_N.dCKO_rep4	Astrocyte	-3.36555115384615	0.202016255562851	Disease	0.142825595188615	0.142825595188615	mixed_model
GSE63617_3m_hp_VH_rep1	Astrocyte	-1.83936051599707	0.289490639355674	WT	NA	NA	mixed_model
GSE63617_3m_hp_VH_rep2	Astrocyte	3.40549916708857	0.590102409261651	WT	NA	NA	mixed_model
GSE63617_3m_hp_VH_rep3	Astrocyte	-3.46748089075067	0.196174101440837	WT	NA	NA	mixed_model
GSE63617_3m_hp_VH_rep4	Astrocyte	-4.36100512466112	0.144961310700995	WT	NA	NA	mixed_model
GSE63617_3m_hp_VH_rep5	Astrocyte	0.509345923927093	0.42410792991392	WT	NA	NA	mixed_model
GSE63617_6m_hp_VH_rep1	Astrocyte	1.36704836998907	0.47326757687166	WT	NA	NA	mixed_model
GSE63617_6m_hp_VH_rep2	Astrocyte	-2.18980218659683	0.269404898799537	WT	NA	NA	mixed_model
GSE63617_6m_hp_VH_rep3	Astrocyte	2.903049313513	0.561304243266962	WT	NA	NA	mixed_model
GSE63617_6m_hp_VH_rep4	Astrocyte	6.26632147537518	0.754071878312267	WT	NA	NA	mixed_model
