# 2018-04-05
Sample	cell_type	PC1	PC1_scaled	group	adj_p_all	adj_p_wt	dataset
GSE14499_Hippocampus,GFP,rep1	Astrocyte	1.49210079052224	0.397650928648456	WT	NA	NA	mixed_model
GSE14499_Hippocampus,GFP,rep2	Astrocyte	0.33540110388688	0.346444244473873	WT	NA	NA	mixed_model
GSE14499_Hippocampus,APP,GFP,rep1	Astrocyte	0.108649203172015	0.33640601838974	Disease	0.00156925589751218	0.00156925589751218	mixed_model
GSE14499_Hippocampus,APP,GFP,rep2	Astrocyte	2.92915083405963	0.461268623520096	Disease	0.00156925589751218	0.00156925589751218	mixed_model
GSE14499_Hippocampus,APP,GFP,rep3	Astrocyte	-0.472082474753496	0.310697233330579	Disease	0.00156925589751218	0.00156925589751218	mixed_model
GSE14499_Hippocampus,APP,GFP,rep4	Astrocyte	-2.13127521782297	0.237245360073608	Disease	0.00156925589751218	0.00156925589751218	mixed_model
GSE15056_wt_rep1	Astrocyte	0.820718014258837	0.367929051672438	WT	NA	NA	mixed_model
GSE15056_wt_rep2	Astrocyte	-0.0012564210589971	0.33154053545235	WT	NA	NA	mixed_model
GSE15056_Tg2576_rep1	Astrocyte	-2.15884296805376	0.236024945565173	Disease	0.00156925589751218	0.00156925589751218	mixed_model
GSE15056_Tg2576_rep2	Astrocyte	1.47027025984323	0.396684498811257	Disease	0.00156925589751218	0.00156925589751218	mixed_model
GSE1556_12moControl.1	Astrocyte	0.627671057346956	0.359382931475756	WT	NA	NA	mixed_model
GSE1556_12moControl.2	Astrocyte	3.5165275386849	0.487271581550407	WT	NA	NA	mixed_model
GSE1556_12moAPPSw.1	Astrocyte	-0.940082664513464	0.289979031201215	Disease	0.00156925589751218	0.00156925589751218	mixed_model
GSE1556_12moAPPSw.2	Astrocyte	-5.19743510875674	0.101507551048581	Disease	0.00156925589751218	0.00156925589751218	mixed_model
GSE50521_eIF2+_S51A1	Astrocyte	-3.37661869413715	0.182114446823348	WT	NA	NA	mixed_model
GSE50521_eIF2+_S51A2	Astrocyte	-4.36909177621414	0.138178016086065	WT	NA	NA	mixed_model
GSE50521_eIF2+_S51A3	Astrocyte	-5.51004311757366	0.0876685055617645	WT	NA	NA	mixed_model
GSE50521_WT1	Astrocyte	-3.70254139536672	0.167685964633873	WT	NA	NA	mixed_model
GSE50521_WT2	Astrocyte	-4.03516224459897	0.15296095781204	WT	NA	NA	mixed_model
GSE50521_WT3	Astrocyte	-4.96742414766881	0.11169005457755	WT	NA	NA	mixed_model
GSE50521_5xFAD;eIF2+_S51A1	Astrocyte	4.07062441210749	0.511801253277049	Disease	0.00156925589751218	0.00156925589751218	mixed_model
GSE50521_5xFAD;eIF2+_S51A2	Astrocyte	2.12382635689448	0.425617195032023	Disease	0.00156925589751218	0.00156925589751218	mixed_model
