Sample	cell_type	PC1	PC1_scaled	group	adj_p_all	adj_p_wt	dataset	keyword	disease	significance	brain_cells	plot_title	Study	outlier	Model_types
GSE36237_HippVeh_WT_1	Astrocytes	3.07727693597752	0.571290187051974	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_2	Astrocytes	2.92841768989554	0.56275824451481	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_3	Astrocytes	-0.446521067780442	0.369321932664351	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_4	Astrocytes	4.38015222948023	0.645965139598311	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_5	Astrocytes	10.431795043378	0.99281809030572	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE36237	GSE36237_HippVeh_WT_5	Amyloid transgenic models
GSE36237_HippVeh_WT_6	Astrocytes	-0.97485448379831	0.339040237273758	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_7	Astrocytes	0.135444256972198	0.402677567870759	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_8	Astrocytes	0.249262525994273	0.409201119188767	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_1	Astrocytes	-0.889477296965578	0.343933673665613	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_2	Astrocytes	-4.82415259959987	0.11841578029952	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_3	Astrocytes	-2.75794737887068	0.236841371435058	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_4	Astrocytes	-1.9995604390932	0.280308700213235	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_5	Astrocytes	1.70302557415233	0.492524279261105	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_6	Astrocytes	-2.35822485114484	0.259751669096303	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_7	Astrocytes	-4.45000260591267	0.139860375314205	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
