Dataset	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT	TOTAL_SCORE
GSE13691.1	GSM344238.CEL	GSM344238	CA3_Ubb+1tg_270A	1.005	0.038	0.054	0.32	0.962	1	6.32078824996683	3.97121712387775	6.78921982008037	4.56131022320444	0.646854988224496	62.2678987798524	40.8065226972234	6.12	8.4e-14	Yes	1	0	0	0	1
GSE13691.1	GSM344244.CEL	GSM344244	CA3_Ubb+1tg_271A	1.038	0.073	0	0.381	0.97	1	3.49794910826168	2.12389919810276	3.23253527983054	1.06518877214216	0.641917177264556	110.135172129354	41.1062141912737	4.07	1.04e-09	No	1	0	1	0	2
GSE13691.1	GSM344248.CEL	GSM344248	CA3_Ubb+1tg_273A	0.997	0.024	0	0.22	0.978	0	5.47168758554353	2.32499338659449	4.34977562141761	1.05010501072328	0.880670737456656	56.6597896029596	43.4244160423094	5.01	2.38e-13	No	1	0	0	0	1
GSE13691.1	GSM344251.CEL	GSM344251	CA3_Ubb+1tg_274A	0.993	0.022	0	0.208	0.977	0	5.24047345296779	2.46583174075469	3.71488989076946	0.836209694281326	0.548247920934078	71.690602704798	47.3865138827677	4.94	2.89e-10	No	1	0	0	0	1
GSE13691.1	GSM344252.CEL	GSM344252	CA3_Ubb+1tg_276A	0.988	0.023	0	0.22	0.976	0	4.87205296906708	2.52158447562883	3.71420435877737	0.806075025972699	0.496077113492305	67.1991678692803	46.9546055531071	4.79	1.82e-10	No	1	0	0	0	1
GSE13691.1	GSM344253.CEL	GSM344253	CA3_Ubb+1tg_277A	0.995	0.023	0	0.231	0.973	0	5.18509943784317	2.59067132554744	3.26333681931379	0.584770757559429	0.382371151348549	77.099068468476	48.1621859850154	4.64	9.67e-10	No	1	0	0	0	1
GSE13691.1	GSM344256.CEL	GSM344256	CA3_wt_287A	1.004	0.033	0	0.325	0.966	0	2.79234399990314	1.95685256369289	2.11349616647502	0.455654494684119	0.684964819297313	60.5504866049745	44.2265315116792	4.16	1.05e-10	No	0	0	0	0	0
GSE13691.1	GSM344258.CEL	GSM344258	CA3_wt_289A	1.005	0.034	0.024	0.27	0.973	0	5.66092313630651	3.729560245288	7.75520755836085	5.11780962340507	1.16635102036938	56.2593796056541	40.6302335830762	5.5	1.27e-11	No	1	0	0	0	1
GSE13691.1	GSM344261.CEL	GSM344261	CA3_wt_290A	0.994	0.023	-0.03	0.263	0.972	0	2.87575199605437	2.03009963904326	1.89590582078686	0.540891171418716	0.515999882197188	63.6491208911571	47.686205376818	4.32	1.91e-11	No	0	0	0	0	0
GSE13691.1	GSM344263.CEL	GSM344263	CA3_wt_291A	1.024	0.053	0.007	0.244	0.976	0	5.37217831467153	2.80405321703925	3.37826573467097	1.02193221737832	0.684513511250209	66.4904231171649	46.1524900837373	4.97	4.89e-11	No	1	0	0	0	1
GSE13691.1	GSM344266.CEL	GSM344266	CA3_wt_321A	0.998	0.025	-0.014	0.244	0.976	0	5.31130418923512	3.00432426877213	3.90537683298561	0.920944464362698	0.654947882148701	65.2431150008279	47.0339356544733	5.01	4.62e-11	No	1	0	0	0	1
