Dataset	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT	TOTAL_SCORE
GSE48622	GSM1182475_phn_ZE_5484_MA2_20424.CEL	GSM1182475	N.dCKO_rep1	1	0.029	-0.001	0.156	0.996	0	0.65197480939749	0.531486790937212	-0.318232947718805	-0.13725774784789	0.332765266831338	63.5408640522035	58.8346156404514	3.99	7.75e-12	No	0	0	0	0	0
GSE48622	GSM1182476_phn_ZE_5484_MA2_20425.CEL	GSM1182476	APLP2KO_rep1	1.005	0.034	0.003	0.165	0.996	0	0.762089599886036	0.640667966550371	-0.351012250506024	-0.14534202607244	0.468997161647343	63.570868887204	56.2781313052926	3.69	1.8e-10	No	0	0	0	0	0
GSE48622	GSM1182477_phn_ZE_5484_MA2_20426.CEL	GSM1182477	APPKO_rep1	1.017	0.043	-0.006	0.212	0.995	0	0.744304074878333	0.537609188683067	-0.310378244950851	-0.131509256490286	0.370438768556616	60.0125143019212	55.7459923283297	3.63	2.46e-09	No	0	0	0	0	0
GSE48622	GSM1182478_phn_ZE_5484_MA2_20427.CEL	GSM1182478	WT_rep1	0.994	0.025	-0.001	0.147	0.996	0	0.687454002188435	0.560103543072858	-0.346589370356579	-0.191288867567801	0.321835002309062	54.3990248641334	59.1583335181038	3.8	1.45e-10	No	0	0	0	0	0
GSE48622	GSM1182479_phn_ZE_5484_MA2_20429.CEL	GSM1182479	WT_rep2	0.999	0.028	-0.008	0.157	0.996	0	0.679814569592633	0.503466949696771	-0.410248647331652	-0.191053966779767	0.352876743183504	56.9867622816414	58.1982661138334	3.9	1.21e-11	No	0	0	0	0	0
GSE48622	GSM1182480_phn_ZE_5484_MA2_20430.CEL	GSM1182480	APPKO_rep2	0.996	0.026	0	0.142	0.996	0	0.650941951833769	0.518381025978922	-0.365237913703421	-0.201074706066631	0.403734277540526	61.7940197710842	57.8279860756968	3.84	4.92e-11	No	0	0	0	0	0
GSE48622	GSM1182481_phn_ZE_5484_MA2_20431.CEL	GSM1182481	N.dCKO_rep2	0.99	0.023	0.003	0.128	0.996	0	0.675022565900774	0.527869731774818	-0.288708269432046	-0.146085682318938	0.35730070854826	62.5433280342109	57.9676725571495	3.94	6.66e-11	No	0	0	0	0	0
GSE48622	GSM1182482_phn_ZE_5484_MA2_20432.CEL	GSM1182482	APLP2KO_rep2	0.996	0.026	0.003	0.123	0.997	0	0.694754006433957	0.533326634120387	-0.368945014716678	-0.191601343670291	0.368901756750288	67.0781171410095	57.4355335801867	3.89	2.7e-11	No	0	0	0	0	0
GSE48622	GSM1182483_phn_ZE_5484_MA2_20433.CEL	GSM1182483	APLP2KO_rep3	1	0.03	-0.001	0.135	0.996	0	0.698455300482603	0.531960056462799	-0.433003876553714	-0.147863441798265	0.437143975941334	61.5276870860752	56.5464180395113	3.79	5.67e-11	No	0	0	0	0	0
GSE48622	GSM1182484_phn_ZE_5484_MA2_20434.CEL	GSM1182484	N.dCKO_rep3	1.004	0.034	0.005	0.182	0.996	0	0.797599182596791	0.659850722905485	-0.262399638361755	-0.0642018366531456	0.466436643244577	59.7967842412271	56.7614908760338	3.85	2.84e-10	No	0	0	0	0	0
GSE48622	GSM1182485_phn_ZE_5484_MA2_20435.CEL	GSM1182485	APLP2KO_rep4	1	0.029	-0.004	0.144	0.996	0	0.808191010619343	0.609437492916703	-0.291437335027588	-0.0599177711062282	0.438819570219424	58.6851375714298	57.7747721780005	3.91	3.97e-11	No	0	0	0	0	0
GSE48622	GSM1182486_phn_ZE_5484_MA2_20436.CEL	GSM1182486	N.dCKO_rep4	0.993	0.024	0.002	0.123	0.996	0	0.707272380682531	0.548186369735056	-0.326600906269229	-0.132024798476561	0.344282878051828	56.1103997732018	58.0364071750072	3.67	2.11e-10	No	0	0	0	0	0
GSE48622	GSM1182487_phn_ZE_5484_MA2_20441.CEL	GSM1182487	APPKO_rep3	1.03	0.052	-0.008	0.22	0.994	0	0.599521118112262	0.550338112205758	-0.424158791355882	-0.168511226187455	0.473991395371063	59.5316108143547	53.9655440012417	3.43	5.77e-09	No	0	0	0	0	0
GSE48622	GSM1182488_phn_ZE_5484_MA2_20442.CEL	GSM1182488	WT_rep3	0.999	0.028	0.004	0.134	0.997	0	0.772285378759502	0.609325837106136	-0.395162670397658	-0.213729800481063	0.421143524191681	54.0589096417001	57.1339881599078	3.68	8.24e-10	No	0	0	0	0	0
GSE48622	GSM1182489_phn_ZE_5484_MA2_20443.CEL	GSM1182489	APPKO_rep4	0.994	0.026	0.001	0.122	0.997	0	0.719548712006446	0.549870958257067	-0.333955275471309	-0.154321883966119	0.395302296688287	63.2927809205427	57.7703376865258	3.89	4.48e-11	No	0	0	0	0	0
GSE48622	GSM1182490_phn_ZE_5484_MA2_20444.CEL	GSM1182490	WT_rep4	1.012	0.037	0.001	0.167	0.996	0	0.718991450539164	0.613298605379427	-0.402623394098027	-0.123937580050283	0.372574654729841	61.2605719076929	57.3047160816833	3.85	1.7e-11	No	0	0	0	0	0
