Dataset	TOTAL_SCORE	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT
GSE13691.2	3	GSM344278.CEL	GSM344278	CA3_Ubb+1tg_271B	1.114	0.094	0.001	0.428	0.957	2	3.5256266496	2.1259445188	3.3022084778	1.0625618878	1.9350601563	147.2246476317	18.5071982281	1.43	0.000215	No	1	0	1	1
GSE13691.1	2	GSM344244.CEL	GSM344244	CA3_Ubb+1tg_271A	1.038	0.073	0	0.381	0.97	1	3.4979491083	2.1238991981	3.2325352798	1.0651887721	0.6419171773	110.1351721294	41.1062141913	4.07	1.04e-09	No	1	0	1	0
GSE10908	1	GSM276555.CEL	GSM276555	ADAM10,rep2	1.002	0.037	-0.003	0.284	0.982	0	1.0259184156	0.8162925158	-0.2127479661	-0.1858422059	0.1800374438	93.7714750542	56.2227001619	3.31	3.33e-09	No	0	1	0	0
GSE13691.1	1	GSM344238.CEL	GSM344238	CA3_Ubb+1tg_270A	1.005	0.038	0.054	0.32	0.962	1	6.32078825	3.9712171239	6.7892198201	4.5613102232	0.6468549882	62.2678987799	40.8065226972	6.12	8.4e-14	Yes	1	0	0	0
GSE13691.1	1	GSM344248.CEL	GSM344248	CA3_Ubb+1tg_273A	0.997	0.024	0	0.22	0.978	0	5.4716875855	2.3249933866	4.3497756214	1.0501050107	0.8806707375	56.659789603	43.4244160423	5.01	2.38e-13	No	1	0	0	0
GSE13691.1	1	GSM344251.CEL	GSM344251	CA3_Ubb+1tg_274A	0.993	0.022	0	0.208	0.977	0	5.240473453	2.4658317408	3.7148898908	0.8362096943	0.5482479209	71.6906027048	47.3865138828	4.94	2.89e-10	No	1	0	0	0
GSE13691.1	1	GSM344252.CEL	GSM344252	CA3_Ubb+1tg_276A	0.988	0.023	0	0.22	0.976	0	4.8720529691	2.5215844756	3.7142043588	0.806075026	0.4960771135	67.1991678693	46.9546055531	4.79	1.82e-10	No	1	0	0	0
GSE13691.1	1	GSM344253.CEL	GSM344253	CA3_Ubb+1tg_277A	0.995	0.023	0	0.231	0.973	0	5.1850994378	2.5906713255	3.2633368193	0.5847707576	0.3823711513	77.0990684685	48.162185985	4.64	9.67e-10	No	1	0	0	0
GSE13691.1	1	GSM344258.CEL	GSM344258	CA3_wt_289A	1.005	0.034	0.024	0.27	0.973	0	5.6609231363	3.7295602453	7.7552075584	5.1178096234	1.1663510204	56.2593796057	40.6302335831	5.5	1.27e-11	No	1	0	0	0
GSE13691.1	1	GSM344263.CEL	GSM344263	CA3_wt_291A	1.024	0.053	0.007	0.244	0.976	0	5.3721783147	2.804053217	3.3782657347	1.0219322174	0.6845135113	66.4904231172	46.1524900837	4.97	4.89e-11	No	1	0	0	0
