Bioassay	ExternalID	Batch	Genotype	OrganismPart	Treatment	Gender	Timepoint	Sample	Dataset	notes	category
GSE36237_Biomat_5___BioAssayImplId=298329Name=HippPDE9_TG_2	GSM884875	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_2	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_4___BioAssayImplId=298328Name=HippPDE9_TG_3	GSM884876	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_3	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_3___BioAssayImplId=298327Name=HippPDE9_TG_4	GSM884877	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_4	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_2___BioAssayImplId=298326Name=HippPDE9_TG_5	GSM884878	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_5	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_1___BioAssayImplId=298325Name=HippPDE9_TG_6	GSM884879	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_6	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_10___BioAssayImplId=298324Name=HippPDE9_TG_7	GSM884880	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_7	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_7___BioAssayImplId=298323Name=HippPDE9_TG_8	GSM884881	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_8	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_8___BioAssayImplId=298322Name=HippPDE9_WT_1	GSM884882	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_1	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_22___BioAssayImplId=298321Name=HippPDE9_WT_2	GSM884883	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_2	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_21___BioAssayImplId=298320Name=HippPDE9_WT_3	GSM884884	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_3	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_24___BioAssayImplId=298319Name=HippPDE9_WT_4	GSM884885	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_4	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_23___BioAssayImplId=298318Name=HippPDE9_WT_5	GSM884886	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_5	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_19___BioAssayImplId=298317Name=HippPDE9_WT_6	GSM884887	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_6	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_18___BioAssayImplId=298316Name=HippPDE9_WT_7	GSM884888	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_7	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_20___BioAssayImplId=298315Name=HippPDE9_WT_8	GSM884889	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_8	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_35___BioAssayImplId=298298Name=PfCPDE9_TG_1	GSM884906	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_1	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_36___BioAssayImplId=298297Name=PfCPDE9_TG_2	GSM884907	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_2	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_33___BioAssayImplId=298296Name=PfCPDE9_TG_3	GSM884908	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_3	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_34___BioAssayImplId=298295Name=PfCPDE9_TG_4	GSM884909	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_4	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_45___BioAssayImplId=298294Name=PfCPDE9_TG_5	GSM884910	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_5	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_47___BioAssayImplId=298293Name=PfCPDE9_TG_6	GSM884911	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_6	GSE36237	Removed due to subset	removed by subset
GSE36237_Biomat_46___BioAssayImplId=298292Name=PfCPDE9_TG_7	GSM884912	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_7	GSE36237	Removed due to subset	removed by subset
