Sample	APLP2KO_rep1	APLP2KO_rep2	APLP2KO_rep3	APLP2KO_rep4	APPKO_rep1	APPKO_rep2	APPKO_rep3	APPKO_rep4	N.dCKO_rep1	N.dCKO_rep2	N.dCKO_rep3	N.dCKO_rep4	WT_rep1	WT_rep2	WT_rep3	WT_rep4
APLP2KO_rep1	NA	0.996563011601503	0.996672320828776	0.995736394448081	0.995443990405941	0.996090883161674	0.99543971976232	0.995576630325339	0.995235261000536	0.995549703135473	0.995902777925168	0.996177654295859	0.995844171856175	0.995330332682629	0.995992064814087	0.994886655234572
APLP2KO_rep2	0.996563011601503	NA	0.996917786217147	0.996633345716693	0.994337451484476	0.996797585487874	0.994300854555868	0.997439359075069	0.996133269672221	0.996951322749428	0.995678545481922	0.996333048534158	0.996971758560453	0.996700605285355	0.997137974096335	0.997104364881208
APLP2KO_rep3	0.996672320828776	0.996917786217147	NA	0.996961319117898	0.994544609496509	0.996797692335817	0.994261092509263	0.996801442091139	0.995535189056349	0.995860778736162	0.996001932403621	0.996882108735067	0.996447078317443	0.996849646220902	0.996700517067833	0.996515815048371
APLP2KO_rep4	0.995736394448081	0.996633345716693	0.996961319117898	NA	0.993816466224475	0.995823164687229	0.993142388807251	0.996687483959801	0.995535137976226	0.99597060402974	0.996051294996531	0.996523087884084	0.99600304632943	0.996025914883411	0.996373949469942	0.995723835587351
APPKO_rep1	0.995443990405941	0.994337451484476	0.994544609496509	0.993816466224475	NA	0.994768626453639	0.995937504379214	0.994503975156192	0.9941087244686	0.995306105468749	0.99579782821547	0.994636139196576	0.995315666471346	0.993289814188487	0.994938568790697	0.992676371581017
APPKO_rep2	0.996090883161674	0.996797585487874	0.996797692335817	0.995823164687229	0.994768626453639	NA	0.994304972327026	0.997195201247755	0.995154067050115	0.995743680793249	0.995075847306079	0.996555514371742	0.996865793892199	0.997642701255821	0.996970775998351	0.996665930269111
APPKO_rep3	0.99543971976232	0.994300854555868	0.994261092509263	0.993142388807251	0.995937504379214	0.994304972327026	NA	0.994487514835056	0.992494503602174	0.994007415385409	0.994355901302223	0.99397160510635	0.994031305416016	0.99303513761412	0.995209229494228	0.992918855363735
APPKO_rep4	0.995576630325339	0.997439359075069	0.996801442091139	0.996687483959801	0.994503975156192	0.997195201247755	0.994487514835056	NA	0.995674077284569	0.996358409722162	0.995710328901408	0.996222858941472	0.996854678604385	0.997114254019327	0.997413052133548	0.997444314593098
N.dCKO_rep1	0.995235261000536	0.996133269672221	0.995535189056349	0.995535137976226	0.9941087244686	0.995154067050115	0.992494503602174	0.995674077284569	NA	0.997469460427151	0.995229998324855	0.997036434594786	0.995347409874079	0.994359336302571	0.9952280831836	0.99499970720096
N.dCKO_rep2	0.995549703135473	0.996951322749428	0.995860778736162	0.99597060402974	0.995306105468749	0.995743680793249	0.994007415385409	0.996358409722162	0.997469460427151	NA	0.99640815321547	0.99707554442513	0.995691432100341	0.994816113952623	0.996285529737623	0.995289041854971
N.dCKO_rep3	0.995902777925168	0.995678545481922	0.996001932403621	0.996051294996531	0.99579782821547	0.995075847306079	0.994355901302223	0.995710328901408	0.995229998324855	0.99640815321547	NA	0.995888754774382	0.995082330724984	0.994234734610782	0.995772253859791	0.99378065176781
N.dCKO_rep4	0.996177654295859	0.996333048534158	0.996882108735067	0.996523087884084	0.994636139196576	0.996555514371742	0.99397160510635	0.996222858941472	0.997036434594786	0.99707554442513	0.995888754774382	NA	0.995660888361747	0.99572778622109	0.996479740446095	0.995726970636985
WT_rep1	0.995844171856175	0.996971758560453	0.996447078317443	0.99600304632943	0.995315666471346	0.996865793892199	0.994031305416016	0.996854678604385	0.995347409874079	0.995691432100341	0.995082330724984	0.995660888361747	NA	0.996974064965985	0.996961989977741	0.99657445800947
WT_rep2	0.995330332682629	0.996700605285355	0.996849646220902	0.996025914883411	0.993289814188487	0.997642701255821	0.99303513761412	0.997114254019327	0.994359336302571	0.994816113952623	0.994234734610782	0.99572778622109	0.996974064965985	NA	0.996849168547588	0.996875320071422
WT_rep3	0.995992064814087	0.997137974096335	0.996700517067833	0.996373949469942	0.994938568790697	0.996970775998351	0.995209229494228	0.997413052133548	0.9952280831836	0.996285529737623	0.995772253859791	0.996479740446095	0.996961989977741	0.996849168547588	NA	0.996826547866888
WT_rep4	0.994886655234572	0.997104364881208	0.996515815048371	0.995723835587351	0.992676371581017	0.996665930269111	0.992918855363735	0.997444314593098	0.99499970720096	0.995289041854971	0.99378065176781	0.995726970636985	0.99657445800947	0.996875320071422	0.996826547866888	NA
