5xFAD;eIF2+_S51A1	5xFAD;eIF2+_S51A2	5xFAD;eIF2+_S51A3	5xFAD1	5xFAD2	5xFAD3	eIF2+_S51A1	eIF2+_S51A2	eIF2+_S51A3	WT1	WT2	WT3
6747308	9.20063814591438	8.86780115931475	9.2630386154871	9.05515012769733	9.15698682904468	8.93043543763488	9.07575942895089	9.07529060784483	9.16553858997697	9.20240492690703	8.93652082684411	9.05808898613335
6747309	8.30682947466325	8.46329769592213	8.02622408046704	8.14025535338836	8.4493759216321	7.98331103719432	8.45203197191015	8.43050095547643	7.82274370204374	7.90598985879074	8.20011082298251	8.17101138043739
6747314	10.0413157038505	9.93220561709825	10.1518599899387	9.9910215114859	10.1052649568185	9.88413392113348	10.135624020159	10.1170280796859	10.07447002216	10.0717698663662	10.0260593091449	10.0989026915736
6747326	5.13120439859089	5.28620461949779	5.22741628275163	5.37531415166255	5.47731547278226	5.14742804145409	5.24787607371366	5.18974387784243	5.46057297911642	5.12638497445389	5.39463629086214	5.20865180046918
6747343	8.53916152508489	8.59038946582942	8.50167213668225	8.48320220012561	8.63687929330138	8.41542962429832	8.9100616427828	8.76084166693303	8.57832868393109	8.56285904980139	8.68827138354259	8.72348361563049
6747354	7.93440456342871	8.1089536647421	8.32346470547574	8.40741578249422	8.39004641414324	8.27773721395061	8.3397126320873	8.23690818342853	8.09985046162993	8.26122294594532	8.27412667934264	7.84844408040802
6747364	9.97206293371208	9.97881559088775	9.96279242752263	10.0988331311131	10.134904278902	9.90109045225266	10.2287410256259	10.1922995460308	10.0127771472638	9.95198272114719	10.1207947699956	10.0507802631537
6747471	7.27087027244536	6.81356480056915	7.39536799546397	7.33586130441269	6.83544109341584	7.469726885165	7.26961201516097	6.82931376126178	7.06463717033085	7.15644264679417	7.07327819630594	6.928973873415
6747472	8.53533223546778	8.35853437808209	8.33028954393091	8.42780260095136	8.46563296090991	8.32302757254706	8.55437365079598	8.4936967484543	8.42909853950022	8.46324967364814	8.49748402519291	8.47639657679891
6747478	10.6365009860849	10.7436105934806	10.5946353081094	10.8022357269585	10.6942146476013	10.6827629339148	10.8330495934271	10.9974840733372	10.7626669470178	10.7417009681862	10.80793367247	10.9122506888788
6747497	8.70037404169299	8.43986184675997	8.68629927315887	8.21768587282201	8.66723113403707	8.35975725844262	8.73740375515692	8.54500732205154	8.63865637498363	8.61355406753698	8.15386336658213	8.23217878501211
6747504	4.97864115546167	5.1191703735612	4.88580794939359	4.79925726399135	5.18444237804277	5.12254944135906	5.29731956989554	5.11119806025958	5.20817139932827	5.27625185523725	5.16277763895886	5.01621165943057
6747515	8.23651132463055	8.1967694189167	8.27097858725735	8.25510126885183	8.20186012023079	8.09686859038783	8.42767518824231	8.39782760349602	8.56761134789931	8.13593034785061	8.30277233258504	8.27700142614492
6747577	9.16631673263081	9.19407999878794	9.02288799715065	9.1355804509203	9.04923667344168	9.12695428762259	9.31878212726292	9.14108234014711	9.33031503710935	9.23065871427492	9.31026972957476	9.2983118960143
6747641	8.27790147883483	7.20876413233082	8.41035103195687	7.1096537940037	8.53477383389496	7.91931377629255	8.3876983752772	7.88079558969839	7.84778741286817	8.67803263681986	6.73045210220117	6.34826894815212
6747696	3.52945265040383	3.71027064032129	3.6387585233511	3.53115328132901	3.52883885305126	3.5980901167863	3.51168343942846	3.52906754627482	3.61049056697658	3.55926734982568	3.5645520864762	3.51214127344488
6747786	8.13220817236308	7.93482477156836	7.99610993016421	7.9792678940963	8.05470606168887	7.95362539223982	8.15965783468279	8.03811282180657	8.07709331336169	8.03667789613706	8.15927708062723	8.04766196416334
6747805	7.75607394793232	7.61267320656354	7.93682344621194	7.76993394623198	8.03145171187954	7.83829816130973	8.00176867506689	7.70442733139263	7.88016330808639	7.97181828293416	7.75160691277584	7.62944117367601
