Bioassay	ExternalID	Batch	Genotype	OrganismPart	Gender	Timepoint	Sample	Dataset	notes	category
GSE63617_Biomat_31___BioAssayImplId=380385Name=15m_bfb_AD11[NFND_251269422747_S01_GE2.v4_91]	GSM1553823	Batch_01_24_11_06	AD11	Basal_forebrain	F	15_months	15m_bfb_AD11_rep1	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_32___BioAssayImplId=380384Name=15m_bfb_AD11[NFND_251269422748_S01_GE2.v4_91]	GSM1553824	Batch_01_24_11_06	AD11	Basal_forebrain	F	15_months	15m_bfb_AD11_rep2	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_34___BioAssayImplId=380382Name=15m_bfb_AD11[NFND_251269422936_S01_GE2.v4_91]	GSM1553826	Batch_01_24_11_06	AD11	Basal_forebrain	F	15_months	15m_bfb_AD11_rep4	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_35___BioAssayImplId=380381Name=15m_bfb_AD11[NFND_251269422937_S01_GE2.v4_91]	GSM1553827	Batch_01_24_11_06	AD11	Basal_forebrain	F	15_months	15m_bfb_AD11_rep5	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_36___BioAssayImplId=380380Name=15m_bfb_VH[NFND_251269422743_S01_GE2.v4_91]	GSM1553828	Batch_01_24_11_06	WT	Basal_forebrain	F	15_months	15m_bfb_VH_rep1	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_37___BioAssayImplId=380379Name=15m_bfb_VH[NFND_251269422744_S01_GE2.v4_91]	GSM1553829	Batch_01_24_11_06	WT	Basal_forebrain	F	15_months	15m_bfb_VH_rep2	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_38___BioAssayImplId=380378Name=15m_bfb_VH[NFND_251269422746_S01_GE2.v4_91]	GSM1553830	Batch_01_24_11_06	WT	Basal_forebrain	F	15_months	15m_bfb_VH_rep3	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_39___BioAssayImplId=380377Name=15m_bfb_VH[NFND_251269423498_S01_GE2.v4_91]	GSM1553831	Batch_01_24_11_06	WT	Basal_forebrain	F	15_months	15m_bfb_VH_rep4	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_40___BioAssayImplId=380376Name=15m_bfb_VH[NFND_251269423499_S01_GE2.v4_91]	GSM1553832	Batch_01_24_11_06	WT	Basal_forebrain	F	15_months	15m_bfb_VH_rep5	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_41___BioAssayImplId=380375Name=15m_ctx_AD11[NFND_251269423490_S01_GE2.v4_91]	GSM1553833	Batch_02_01_12_06	AD11	Cortex	F	15_months	15m_ctx_AD11_rep1	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_42___BioAssayImplId=380374Name=15m_ctx_AD11[NFND_251269423492_S01_GE2.v4_91]	GSM1553834	Batch_02_01_12_06	AD11	Cortex	F	15_months	15m_ctx_AD11_rep2	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_43___BioAssayImplId=380373Name=15m_ctx_AD11[NFND_251269423494_S01_GE2.v4_91]	GSM1553835	Batch_02_01_12_06	AD11	Cortex	F	15_months	15m_ctx_AD11_rep3	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_44___BioAssayImplId=380372Name=15m_ctx_AD11[NFND_251269423496_S01_GE2.v4_91]	GSM1553836	Batch_02_01_12_06	AD11	Cortex	F	15_months	15m_ctx_AD11_rep4	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_45___BioAssayImplId=380371Name=15m_ctx_AD11[NFND_251269423534_S01_GE2.v4_91]	GSM1553837	Batch_02_01_12_06	AD11	Cortex	F	15_months	15m_ctx_AD11_rep5	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_46___BioAssayImplId=380370Name=15m_ctx_VH[NFND_251269423491_S01_GE2.v4_91]	GSM1553838	Batch_02_01_12_06	WT	Cortex	F	15_months	15m_ctx_VH_rep1	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_47___BioAssayImplId=380369Name=15m_ctx_VH[NFND_251269423493_S01_GE2.v4_91]	GSM1553839	Batch_02_01_12_06	WT	Cortex	F	15_months	15m_ctx_VH_rep2	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_48___BioAssayImplId=380368Name=15m_ctx_VH[NFND_251269423495_S01_GE2.v4_91]	GSM1553840	Batch_02_01_12_06	WT	Cortex	F	15_months	15m_ctx_VH_rep3	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_49___BioAssayImplId=380367Name=15m_ctx_VH[NFND_251269423532_S01_GE2.v4_91]	GSM1553841	Batch_02_01_12_06	WT	Cortex	F	15_months	15m_ctx_VH_rep4	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_50___BioAssayImplId=380366Name=15m_ctx_VH[NFND_251269423535_S01_GE2.v4_91]	GSM1553842	Batch_02_01_12_06	WT	Cortex	F	15_months	15m_ctx_VH_rep5	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_1___BioAssayImplId=380415Name=3m_bfb_AD11[NFND_251269423810_S01_GE2.v4_91]	GSM1553764	Batch_04_02_02_07	AD11	Basal_forebrain	F	3_months	3m_bfb_AD11_rep1	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_2___BioAssayImplId=380414Name=3m_bfb_AD11[NFND_251269423812_S01_GE2.v4_91]	GSM1553765	Batch_04_02_02_07	AD11	Basal_forebrain	F	3_months	3m_bfb_AD11_rep2	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_3___BioAssayImplId=380413Name=3m_bfb_AD11[NFND_251269423814_S01_GE2.v4_91]	GSM1553766	Batch_04_02_02_07	AD11	Basal_forebrain	F	3_months	3m_bfb_AD11_rep3	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_4___BioAssayImplId=380412Name=3m_bfb_AD11[NFND_251269423821_S01_GE2.v4_91]	GSM1553767	Batch_04_02_02_07	AD11	Basal_forebrain	F	3_months	3m_bfb_AD11_rep4	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_5___BioAssayImplId=380411Name=3m_bfb_AD11[NFND_251269423823_S01_GE2.v4_91]	GSM1553768	Batch_04_02_02_07	AD11	Basal_forebrain	F	3_months	3m_bfb_AD11_rep5	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_6___BioAssayImplId=380410Name=3m_bfb_VH[NFND_251269423811_S01_GE2.v4_91]	GSM1553769	Batch_04_02_02_07	WT	Basal_forebrain	F	3_months	3m_bfb_VH_rep1	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_7___BioAssayImplId=380409Name=3m_bfb_VH[NFND_251269423813_S01_GE2.v4_91]	GSM1553770	Batch_04_02_02_07	WT	Basal_forebrain	F	3_months	3m_bfb_VH_rep2	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_8___BioAssayImplId=380408Name=3m_bfb_VH[NFND_251269423820_S01_GE2.v4_91]	GSM1553771	Batch_04_02_02_07	WT	Basal_forebrain	F	3_months	3m_bfb_VH_rep3	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_9___BioAssayImplId=380407Name=3m_bfb_VH[NFND_251269423822_S01_GE2.v4_91]	GSM1553772	Batch_04_02_02_07	WT	Basal_forebrain	F	3_months	3m_bfb_VH_rep4	GSE63617.1	Removed due to subset	removed by subset
