Sample	15m_hp_AD11_rep1	15m_hp_AD11_rep2	15m_hp_AD11_rep3	15m_hp_AD11_rep4	15m_hp_AD11_rep5	15m_hp_VH_rep1	15m_hp_VH_rep2	15m_hp_VH_rep3	15m_hp_VH_rep4	15m_hp_VH_rep5	1m_bfb_AD11_rep1	1m_bfb_AD11_rep2	1m_bfb_AD11_rep3	1m_bfb_AD11_rep4	1m_bfb_AD11_rep5	1m_bfb_VH_rep1	1m_bfb_VH_rep2	1m_bfb_VH_rep3	1m_bfb_VH_rep4	1m_bfb_VH_rep5	1m_ctx_AD11_rep1	1m_ctx_AD11_rep2	1m_ctx_AD11_rep3	1m_ctx_AD11_rep4	1m_ctx_AD11_rep5	1m_ctx_VH_rep1	1m_ctx_VH_rep2	1m_ctx_VH_rep3	1m_ctx_VH_rep4	1m_ctx_VH_rep5	1m_hp_AD11_rep1	1m_hp_AD11_rep2	1m_hp_AD11_rep3	1m_hp_AD11_rep4	1m_hp_AD11_rep5	1m_hp_VH_rep1	1m_hp_VH_rep2	1m_hp_VH_rep3	1m_hp_VH_rep4	1m_hp_VH_rep5	6m_bfb_AD11_rep1	6m_bfb_AD11_rep2	6m_bfb_AD11_rep3	6m_bfb_AD11_rep4	6m_bfb_AD11_rep5	6m_bfb_VH_rep1	6m_bfb_VH_rep2	6m_bfb_VH_rep3	6m_bfb_VH_rep4	6m_ctx_AD11_rep1	6m_ctx_AD11_rep2	6m_ctx_AD11_rep3	6m_ctx_AD11_rep4	6m_ctx_AD11_rep5	6m_ctx_VH_rep1	6m_ctx_VH_rep2	6m_ctx_VH_rep3	6m_ctx_VH_rep4	6m_ctx_VH_rep5	6m_hp_AD11_rep1	6m_hp_AD11_rep2	6m_hp_AD11_rep3	6m_hp_AD11_rep4	6m_hp_AD11_rep5	6m_hp_VH_rep1	6m_hp_VH_rep2	6m_hp_VH_rep3	6m_hp_VH_rep4	6m_hp_VH_rep5
15m_hp_AD11_rep1	NA	0.994515422866993	0.989882884011052	0.990177746585916	0.990331718964152	0.993510100338926	0.992050653389615	0.993317639050572	0.991029916050089	0.991833834869685	0.984032552181226	0.977835562967176	0.983504225097973	0.983528391782652	0.981210748099109	0.981848063933612	0.982668933189845	0.981505168101021	0.98343000299424	0.982830656890697	0.984246822892574	0.986933947938326	0.984563785288824	0.984617843259601	0.983654711123852	0.984498293824927	0.98113536408141	0.983217936061711	0.980189341916298	0.982238148089121	0.985162723347458	0.980531336447004	0.987083337892	0.989445680622145	0.98598817442867	0.990209216298431	0.98734362403957	0.987716277533967	0.990592710984142	0.985739328301188	0.985640978094531	0.985031990091023	0.988534432626537	0.983406050038595	0.981099523194922	0.984518588030207	0.983975423641606	0.982557101642971	0.988725222019845	0.982807259647195	0.983611664855655	0.985736672846324	0.984947898756545	0.986464026496565	0.985627971599579	0.985590560400309	0.964899317899528	0.982291156681852	0.984910335332695	0.992848600426672	0.991594922185285	0.990735147084504	0.992418057143509	0.991333446180975	0.990273136400524	0.990091467007493	0.991881022445278	0.991643452920446	0.990408986154914
15m_hp_AD11_rep2	0.994515422866993	NA	0.994119536362357	0.993122130925509	0.994512373002253	0.995361599015157	0.99544293978981	0.994779168746178	0.994726565734527	0.994876794608145	0.987834227992409	0.978480700598578	0.987476311538416	0.987246103944203	0.982377898022643	0.984640898574362	0.986018675138414	0.983687449924997	0.986996255719166	0.985840514013605	0.989290819025365	0.990351012687763	0.988318686566257	0.989051144416041	0.98771363590299	0.989258725657429	0.986362317616028	0.988063494699618	0.984751612779254	0.986605956958599	0.985943729799337	0.983918769510616	0.988814391992083	0.992430837234941	0.987546065551515	0.992575241812009	0.990787471933691	0.991974157999442	0.993048201529319	0.987502923397416	0.987608956091891	0.988607302286895	0.992597872863686	0.985210376130766	0.984125126634175	0.986808311446996	0.985422000057885	0.985486739059644	0.988034733304153	0.986005638219715	0.987705305868958	0.988307086167982	0.987874584446172	0.989389576643182	0.989922494888623	0.989239017546251	0.968984958251604	0.986170641118839	0.988369763377761	0.994124111647559	0.99380622183758	0.988969086362372	0.992529103382629	0.991298640025747	0.991666440997508	0.992172120557408	0.992869732789833	0.993381051094364	0.992729102312981
15m_hp_AD11_rep3	0.989882884011052	0.994119536362357	NA	0.995051053349733	0.995057137240209	0.993550199091695	0.992792170990406	0.991913458135008	0.994990213437461	0.992362081809768	0.986054494338108	0.976106042276102	0.985634205907782	0.985349181334513	0.977696443280474	0.982715356073291	0.984328379276913	0.981388422639815	0.985986661840252	0.982699186793183	0.985861204066011	0.986871540250052	0.985083471984492	0.985511638035658	0.984654566275534	0.985698159182016	0.982534414618879	0.984610647061907	0.979252847901655	0.982526746854182	0.985575993497162	0.98110167185587	0.987545221113886	0.991027343791941	0.983833275732472	0.991923562074397	0.990351835924336	0.992186588313507	0.993841171044408	0.984989194664531	0.984310728470611	0.986816157220078	0.990107192631035	0.982787857712076	0.980114318847084	0.983754945502475	0.982172041623638	0.982016384806739	0.984834378485078	0.984832566306916	0.985802239521769	0.986121999978049	0.984679971812073	0.985401679604562	0.986108168266444	0.984774363092485	0.965644560142862	0.980864259995991	0.983653662885003	0.991783627011176	0.992785843809215	0.986319688063548	0.988896235555046	0.988768002875189	0.990829207513474	0.992546891487269	0.991126852057462	0.991101781710754	0.990660003294942
15m_hp_AD11_rep4	0.990177746585916	0.993122130925509	0.995051053349733	NA	0.993258683438341	0.993380831907618	0.991321437538997	0.990325090953164	0.993487840034208	0.990958345605794	0.984628959482994	0.973484122079834	0.984685034719718	0.983622277350975	0.976598149074202	0.980218031958268	0.982879224579942	0.980018462443555	0.984150088202869	0.981532815669595	0.984594464698428	0.985760424558713	0.982896857830339	0.983206035536215	0.982633300535271	0.983674959001797	0.981181508026743	0.983674322307727	0.9795780362736	0.982634739231165	0.983332443981235	0.980303931846288	0.986658318368608	0.990894819744415	0.982640539458003	0.98966172643043	0.989981414249245	0.990586796289859	0.99175132157725	0.985397393742044	0.982470843420798	0.984302455077891	0.987548072975615	0.97969207355414	0.978600069076864	0.981986315556857	0.98063177979139	0.980131231145667	0.983639735675101	0.981550891201262	0.983945952231612	0.983636543785093	0.983555758455406	0.984806541840994	0.984736459761893	0.983655318368819	0.963404018209176	0.98061223509626	0.983404861246488	0.989920465740366	0.992128506540658	0.985966983301124	0.987803168144003	0.987325734523586	0.989369918617855	0.990259080704798	0.98868661275332	0.989101262557825	0.989276041057451
15m_hp_AD11_rep5	0.990331718964152	0.994512373002253	0.995057137240209	0.993258683438341	NA	0.992806229164145	0.991896018667367	0.992522212920114	0.995284249275331	0.9933896894736	0.98851669746657	0.980280532474257	0.987896835646278	0.987782588603889	0.982672907391464	0.985769547429213	0.986843656181122	0.985430295225368	0.98805373590885	0.986351308298756	0.988342288448593	0.989308477617337	0.9878455548765	0.987445493688181	0.98725105917967	0.988527142860436	0.985880642877654	0.987044947335319	0.983773174152352	0.986135462066285	0.985311277953532	0.9843864149696	0.988901043866544	0.991029697942732	0.985502719696333	0.991490987998465	0.990510946737753	0.992110515097615	0.99239380012681	0.987364987930073	0.986174425583685	0.988221862908989	0.991347625244864	0.986326839966133	0.984220235178335	0.985871005178245	0.985158583446486	0.985338724962631	0.987061005412753	0.986021774189754	0.987348358188165	0.987979440663826	0.988428685317883	0.988580179445843	0.989215263906661	0.988588104179168	0.96808960619314	0.985093054459438	0.987203380664795	0.992860231215411	0.99263209471657	0.987950187072399	0.989790918089568	0.988749420110627	0.989368406647875	0.991194447570886	0.990474777809127	0.990208721588888	0.99069742795437
15m_hp_VH_rep1	0.993510100338926	0.995361599015157	0.993550199091695	0.993380831907618	0.992806229164145	NA	0.99390505076049	0.99270367817494	0.994898847552181	0.992608544297175	0.986601490684333	0.978061900692722	0.986452777932742	0.986090370882146	0.982206980736363	0.98411640377616	0.986108478703029	0.983960882848713	0.986948077764137	0.985235079560381	0.987104662620852	0.988630946797709	0.986118710895234	0.986436053391718	0.986308873890042	0.987731321474285	0.984831833428905	0.987179633784746	0.983393282206826	0.986186702830481	0.98703670434714	0.98302193784375	0.989599764062222	0.992924790445478	0.9861047846632	0.992264579439147	0.991906385776296	0.992314489666994	0.994008762249272	0.988300311228294	0.986163282048661	0.986861752804612	0.990760538124723	0.983979849076381	0.982047751069745	0.986798841864916	0.985633828847952	0.985435212913	0.989649488697197	0.984628150742432	0.986134481710756	0.986870299580444	0.986438416682004	0.987693466100415	0.988092654258987	0.987446201872846	0.968227796711098	0.984936763670551	0.987194510194621	0.99272203289028	0.994096375238249	0.989659553827146	0.99123831991366	0.99068005376607	0.991919572538113	0.993281638431542	0.992878686571257	0.992622805922733	0.992161326375785
15m_hp_VH_rep2	0.992050653389615	0.99544293978981	0.992792170990406	0.991321437538997	0.991896018667367	0.99390505076049	NA	0.994531399569606	0.994500267506449	0.994966131605568	0.984275606308804	0.973076939708044	0.985601521802659	0.984985683860434	0.977867225715613	0.983372213450948	0.983333774414255	0.982956506669964	0.985456625106242	0.984137963600957	0.987182081028613	0.987107875702953	0.985070085623564	0.986724660094418	0.983404767513659	0.986749196315377	0.984227520066709	0.986692458637637	0.981133609830516	0.984041911853939	0.981323888418225	0.983001414574158	0.987026808630043	0.990786714784108	0.984606489959207	0.99278445078494	0.989597388151967	0.992320263681321	0.992999449121269	0.984591107243439	0.983645776782814	0.984801651586368	0.988230904947008	0.980965365962645	0.980236778582595	0.983284419214885	0.98194842177274	0.98267708883084	0.985109307000621	0.981908981690197	0.984103624610255	0.984258296450928	0.984972798257355	0.986425228433623	0.987382822239382	0.986487006040369	0.962399795716684	0.983187227750966	0.986144138341104	0.992202143011537	0.991711644859703	0.985678831035064	0.988749615392832	0.986736673536424	0.988826815569329	0.990205754562802	0.991204714391216	0.992420738950469	0.991765155027875
15m_hp_VH_rep3	0.993317639050572	0.994779168746178	0.991913458135008	0.990325090953164	0.992522212920114	0.99270367817494	0.994531399569606	NA	0.994412490644118	0.996121198963633	0.985571802861873	0.978412561881805	0.984791595120424	0.984652047545499	0.980278298031097	0.984696564188728	0.984715610807866	0.984049759525861	0.986058570606571	0.984324578556972	0.986854679966658	0.98764794692176	0.986993902127548	0.985384029306824	0.983514863170903	0.986599326684627	0.984181853814088	0.985566535937196	0.981999300923808	0.983215604546456	0.985203451565775	0.982161688721702	0.987014708048242	0.989364998244607	0.987288974085097	0.993399306216123	0.989067492513037	0.990342291954346	0.991771318600229	0.985776057913676	0.983166927705323	0.984593502104065	0.98741302355544	0.984567541541742	0.981659208245363	0.984894112086757	0.983596148423885	0.983552415009856	0.986759728940247	0.982347961212436	0.983162450589101	0.98532164777115	0.985469498695076	0.986222596644002	0.988099326950517	0.987911906128685	0.96675774746853	0.982517783953038	0.985273782177732	0.993588717934093	0.990428251741358	0.987623572288758	0.992282764331648	0.991154102131675	0.991087853577112	0.990285601125767	0.993402163297993	0.993770139756114	0.991892611788174
15m_hp_VH_rep4	0.991029916050089	0.994726565734527	0.994990213437461	0.993487840034208	0.995284249275331	0.994898847552181	0.994500267506449	0.994412490644118	NA	0.994716478903968	0.987679761033169	0.977897373042715	0.987876316805041	0.987014179900069	0.981205602773883	0.985396509796418	0.987158592345557	0.984981509803303	0.988682378529127	0.985989848219473	0.988355111941522	0.987965609758104	0.986603355897467	0.98703909680562	0.986076382336554	0.988605326097216	0.986078580628065	0.988060581484083	0.982303688407779	0.986107036340827	0.985283143855455	0.983774282278399	0.989514734835796	0.991590784293964	0.985880475755235	0.99238646477854	0.991936262747663	0.993419895782626	0.993767607984031	0.987013810379258	0.984709854219922	0.98692133138426	0.990226055056577	0.983602432086201	0.981903697227468	0.985714266213529	0.984686317958645	0.98509801557882	0.987240666823323	0.985059220580677	0.986445456104686	0.986616106392703	0.987148286809844	0.987829847667765	0.988749752799874	0.987930739854775	0.966768975309098	0.984135998064895	0.987073065661426	0.992337161650779	0.993240909801616	0.98742817258069	0.989341497449434	0.988239233210866	0.99014377181785	0.992663055295648	0.991784950267864	0.991411264023243	0.992231051246387
15m_hp_VH_rep5	0.991833834869685	0.994876794608145	0.992362081809768	0.990958345605794	0.9933896894736	0.992608544297175	0.994966131605568	0.996121198963633	0.994716478903968	NA	0.985578727249524	0.977117204645431	0.985885999646361	0.98472679483288	0.979041878705648	0.983876402061179	0.984741284451505	0.982865599304145	0.985856001555645	0.984087262874183	0.98708259929427	0.98705926294263	0.986187940299015	0.985501676975985	0.983504642417824	0.986788453697356	0.984448328267116	0.986150583983701	0.98241080014244	0.983946511405405	0.984049504188895	0.981868343809067	0.987022209802232	0.989371803377886	0.98512498999773	0.992013839353052	0.988621801531339	0.990301433908642	0.991728927178721	0.985098644529377	0.982773945117317	0.984468987370591	0.987934953844106	0.982304698881411	0.980851524751954	0.983831244738503	0.982417500446682	0.982176765465028	0.984821730403168	0.981983426619301	0.983639019152451	0.984690298558239	0.98455430589337	0.985821219211742	0.987663017230651	0.98729505521911	0.965759189486465	0.983026646780411	0.985517488896691	0.992182773854838	0.99005401766153	0.98487774331684	0.990236405247168	0.988610694861528	0.989497828453839	0.990213307566384	0.991731818551842	0.992182308325107	0.991462773913137
