Sample	Batch	Genotype	Timepoint
het_TASTPM_18m_Hipp_rep1	Batch_02_2013-03-04	het_TASTPM	18_months
het_TASTPM_18m_Hipp_rep2	Batch_02_2013-03-04	het_TASTPM	18_months
het_TASTPM_18m_Hipp_rep3	Batch_02_2013-03-04	het_TASTPM	18_months
het_TASTPM_18m_Hipp_rep4	Batch_02_2013-03-04	het_TASTPM	18_months
het_TASTPM_2m_Hipp_rep1	Batch_01_2012-02-25	het_TASTPM	2_months
het_TASTPM_2m_Hipp_rep2	Batch_01_2012-02-25	het_TASTPM	2_months
het_TASTPM_2m_Hipp_rep3	Batch_01_2012-02-25	het_TASTPM	2_months
het_TASTPM_2m_Hipp_rep4	Batch_01_2012-02-25	het_TASTPM	2_months
het_TASTPM_4m_Hipp_rep1	Batch_02_2013-03-04	het_TASTPM	4_months
het_TASTPM_4m_Hipp_rep2	Batch_02_2013-03-04	het_TASTPM	4_months
het_TASTPM_4m_Hipp_rep3	Batch_02_2013-03-04	het_TASTPM	4_months
het_TASTPM_4m_Hipp_rep4	Batch_02_2013-03-04	het_TASTPM	4_months
het_TASTPM_8m_Hipp_rep1	Batch_01_2012-02-25	het_TASTPM	8_months
het_TASTPM_8m_Hipp_rep2	Batch_02_2013-03-04	het_TASTPM	8_months
het_TASTPM_8m_Hipp_rep3	Batch_02_2013-03-04	het_TASTPM	8_months
het_TASTPM_8m_Hipp_rep4	Batch_02_2013-03-04	het_TASTPM	8_months
ho_TASTPM_18m_Hipp_rep1	Batch_01_2012-02-25	ho_TASTPM	18_months
ho_TASTPM_18m_Hipp_rep2	Batch_01_2012-02-25	ho_TASTPM	18_months
ho_TASTPM_18m_Hipp_rep3	Batch_01_2012-02-25	ho_TASTPM	18_months
ho_TASTPM_2m_Hipp_rep1	Batch_02_2013-03-04	ho_TASTPM	2_months
ho_TASTPM_2m_Hipp_rep2	Batch_02_2013-03-04	ho_TASTPM	2_months
ho_TASTPM_2m_Hipp_rep3	Batch_02_2013-03-04	ho_TASTPM	2_months
ho_TASTPM_2m_Hipp_rep4	Batch_02_2013-03-04	ho_TASTPM	2_months
ho_TASTPM_4m_Hipp_rep1	Batch_02_2013-03-04	ho_TASTPM	4_months
ho_TASTPM_4m_Hipp_rep2	Batch_02_2013-03-04	ho_TASTPM	4_months
ho_TASTPM_4m_Hipp_rep3	Batch_02_2013-03-04	ho_TASTPM	4_months
ho_TASTPM_4m_Hipp_rep4	Batch_02_2013-03-04	ho_TASTPM	4_months
ho_TASTPM_8m_Hipp_rep1	Batch_01_2012-02-25	ho_TASTPM	8_months
ho_TASTPM_8m_Hipp_rep2	Batch_01_2012-02-25	ho_TASTPM	8_months
ho_TASTPM_8m_Hipp_rep3	Batch_02_2013-03-04	ho_TASTPM	8_months
ho_TASTPM_8m_Hipp_rep4	Batch_02_2013-03-04	ho_TASTPM	8_months
TAS10_18m_Hipp_rep1	Batch_01_2012-02-25	TAS10	18_months
TAS10_18m_Hipp_rep2	Batch_01_2012-02-25	TAS10	18_months
TAS10_18m_Hipp_rep3	Batch_02_2013-03-04	TAS10	18_months
TAS10_18m_Hipp_rep4	Batch_02_2013-03-04	TAS10	18_months
TAS10_2m_Hipp_rep1	Batch_02_2013-03-04	TAS10	2_months
TAS10_2m_Hipp_rep2	Batch_02_2013-03-04	TAS10	2_months
TAS10_2m_Hipp_rep3	Batch_02_2013-03-04	TAS10	2_months
TAS10_2m_Hipp_rep4	Batch_02_2013-03-04	TAS10	2_months
TAS10_4m_Hipp_rep1	Batch_02_2013-03-04	TAS10	4_months
TAS10_4m_Hipp_rep2	Batch_02_2013-03-04	TAS10	4_months
TAS10_8m_Hipp_rep1	Batch_01_2012-02-25	TAS10	8_months
TAS10_8m_Hipp_rep2	Batch_02_2013-03-04	TAS10	8_months
TAS10_8m_Hipp_rep3	Batch_02_2013-03-04	TAS10	8_months
TAU_18m_Hipp_rep3	Batch_01_2012-02-25	TAU	18_months
TAU_2m_Hipp_rep2	Batch_01_2012-02-25	TAU	2_months
TAU_2m_Hipp_rep3	Batch_02_2013-03-04	TAU	2_months
TAU_2m_Hipp_rep4	Batch_02_2013-03-04	TAU	2_months
TAU_4m_Hipp_rep1	Batch_01_2012-02-25	TAU	4_months
TAU_4m_Hipp_rep2	Batch_02_2013-03-04	TAU	4_months
TAU_4m_Hipp_rep3	Batch_02_2013-03-04	TAU	4_months
TAU_4m_Hipp_rep4	Batch_02_2013-03-04	TAU	4_months
TAU_8m_Hipp_rep1	Batch_02_2013-03-04	TAU	8_months
TAU_8m_Hipp_rep2	Batch_02_2013-03-04	TAU	8_months
TAU_8m_Hipp_rep3	Batch_02_2013-03-04	TAU	8_months
TAU_8m_Hipp_rep4	Batch_02_2013-03-04	TAU	8_months
TPM_18m_Hipp_rep1	Batch_02_2013-03-04	het_TPM	18_months
TPM_18m_Hipp_rep2	Batch_02_2013-03-04	het_TPM	18_months
TPM_18m_Hipp_rep3	Batch_02_2013-03-04	het_TPM	18_months
TPM_2m_Hipp_rep1	Batch_01_2012-02-25	het_TPM	2_months
TPM_2m_Hipp_rep2	Batch_02_2013-03-04	het_TPM	2_months
TPM_2m_Hipp_rep3	Batch_02_2013-03-04	het_TPM	2_months
TPM_4m_Hipp_rep1	Batch_01_2012-02-25	het_TPM	4_months
TPM_4m_Hipp_rep2	Batch_02_2013-03-04	het_TPM	4_months
TPM_4m_Hipp_rep3	Batch_02_2013-03-04	het_TPM	4_months
TPM_4m_Hipp_rep4	Batch_02_2013-03-04	het_TPM	4_months
TPM_8m_Hipp_rep1	Batch_01_2012-02-25	het_TPM	8_months
TPM_8m_Hipp_rep2	Batch_01_2012-02-25	het_TPM	8_months
TPM_8m_Hipp_rep3	Batch_02_2013-03-04	het_TPM	8_months
TPM_8m_Hipp_rep4	Batch_02_2013-03-04	het_TPM	8_months
WT_18m_Hipp_rep1	Batch_01_2012-02-25	WT	18_months
WT_18m_Hipp_rep2	Batch_01_2012-02-25	WT	18_months
WT_18m_Hipp_rep3	Batch_01_2012-02-25	WT	18_months
WT_18m_Hipp_rep4	Batch_02_2013-03-04	WT	18_months
WT_18m_Hipp_rep5	Batch_02_2013-03-04	WT	18_months
WT_18m_Hipp_rep6	Batch_02_2013-03-04	WT	18_months
WT_18m_Hipp_rep7	Batch_02_2013-03-04	WT	18_months
WT_2m_Hipp_rep1	Batch_01_2012-02-25	WT	2_months
WT_2m_Hipp_rep10	Batch_02_2013-03-04	WT	2_months
WT_2m_Hipp_rep11	Batch_02_2013-03-04	WT	2_months
WT_2m_Hipp_rep12	Batch_02_2013-03-04	WT	2_months
WT_2m_Hipp_rep2	Batch_01_2012-02-25	WT	2_months
WT_2m_Hipp_rep3	Batch_02_2013-03-04	WT	2_months
WT_2m_Hipp_rep4	Batch_02_2013-03-04	WT	2_months
WT_2m_Hipp_rep5	Batch_02_2013-03-04	WT	2_months
WT_2m_Hipp_rep6	Batch_02_2013-03-04	WT	2_months
WT_2m_Hipp_rep7	Batch_02_2013-03-04	WT	2_months
WT_2m_Hipp_rep8	Batch_02_2013-03-04	WT	2_months
WT_2m_Hipp_rep9	Batch_02_2013-03-04	WT	2_months
WT_4m_Hipp_rep1	Batch_01_2012-02-25	WT	4_months
WT_4m_Hipp_rep2	Batch_02_2013-03-04	WT	4_months
WT_4m_Hipp_rep3	Batch_02_2013-03-04	WT	4_months
WT_4m_Hipp_rep4	Batch_02_2013-03-04	WT	4_months
WT_4m_Hipp_rep5	Batch_02_2013-03-04	WT	4_months
WT_4m_Hipp_rep6	Batch_02_2013-03-04	WT	4_months
WT_4m_Hipp_rep7	Batch_02_2013-03-04	WT	4_months
WT_4m_Hipp_rep8	Batch_02_2013-03-04	WT	4_months
WT_4m_Hipp_rep9	Batch_02_2013-03-04	WT	4_months
WT_8m_Hipp_rep1	Batch_01_2012-02-25	WT	8_months
WT_8m_Hipp_rep10	Batch_02_2013-03-04	WT	8_months
WT_8m_Hipp_rep2	Batch_01_2012-02-25	WT	8_months
WT_8m_Hipp_rep3	Batch_01_2012-02-25	WT	8_months
WT_8m_Hipp_rep4	Batch_01_2012-02-25	WT	8_months
WT_8m_Hipp_rep5	Batch_02_2013-03-04	WT	8_months
WT_8m_Hipp_rep6	Batch_02_2013-03-04	WT	8_months
WT_8m_Hipp_rep7	Batch_02_2013-03-04	WT	8_months
WT_8m_Hipp_rep8	Batch_02_2013-03-04	WT	8_months
WT_8m_Hipp_rep9	Batch_02_2013-03-04	WT	8_months
