Sample	het_TASTPM_18m_Hipp_rep1	het_TASTPM_18m_Hipp_rep2	het_TASTPM_18m_Hipp_rep3	het_TASTPM_18m_Hipp_rep4	het_TASTPM_2m_Hipp_rep1	het_TASTPM_2m_Hipp_rep2	het_TASTPM_2m_Hipp_rep3	het_TASTPM_2m_Hipp_rep4	het_TASTPM_4m_Hipp_rep1	het_TASTPM_4m_Hipp_rep2	het_TASTPM_4m_Hipp_rep3	het_TASTPM_4m_Hipp_rep4	het_TASTPM_8m_Hipp_rep1	het_TASTPM_8m_Hipp_rep2	het_TASTPM_8m_Hipp_rep3	het_TASTPM_8m_Hipp_rep4	ho_TASTPM_18m_Hipp_rep1	ho_TASTPM_18m_Hipp_rep2	ho_TASTPM_18m_Hipp_rep3	ho_TASTPM_2m_Hipp_rep1	ho_TASTPM_2m_Hipp_rep2	ho_TASTPM_2m_Hipp_rep3	ho_TASTPM_2m_Hipp_rep4	ho_TASTPM_4m_Hipp_rep1	ho_TASTPM_4m_Hipp_rep2	ho_TASTPM_4m_Hipp_rep3	ho_TASTPM_4m_Hipp_rep4	ho_TASTPM_8m_Hipp_rep1	ho_TASTPM_8m_Hipp_rep2	ho_TASTPM_8m_Hipp_rep3	ho_TASTPM_8m_Hipp_rep4	TAS10_18m_Hipp_rep1	TAS10_18m_Hipp_rep2	TAS10_18m_Hipp_rep3	TAS10_18m_Hipp_rep4	TAS10_2m_Hipp_rep1	TAS10_2m_Hipp_rep2	TAS10_2m_Hipp_rep3	TAS10_2m_Hipp_rep4	TAS10_4m_Hipp_rep1	TAS10_4m_Hipp_rep2	TAS10_8m_Hipp_rep1	TAS10_8m_Hipp_rep2	TAS10_8m_Hipp_rep3	TAU_18m_Hipp_rep1	TAU_18m_Hipp_rep2	TAU_18m_Hipp_rep3	TAU_2m_Hipp_rep1	TAU_2m_Hipp_rep2	TAU_2m_Hipp_rep3	TAU_2m_Hipp_rep4	TAU_4m_Hipp_rep1	TAU_4m_Hipp_rep2	TAU_4m_Hipp_rep3	TAU_4m_Hipp_rep4	TAU_8m_Hipp_rep1	TAU_8m_Hipp_rep2	TAU_8m_Hipp_rep3	TAU_8m_Hipp_rep4	TPM_18m_Hipp_rep1	TPM_18m_Hipp_rep2	TPM_18m_Hipp_rep3	TPM_2m_Hipp_rep1	TPM_2m_Hipp_rep2	TPM_2m_Hipp_rep3	TPM_2m_Hipp_rep4	TPM_4m_Hipp_rep1	TPM_4m_Hipp_rep2	TPM_4m_Hipp_rep3	TPM_4m_Hipp_rep4	TPM_8m_Hipp_rep1	TPM_8m_Hipp_rep2	TPM_8m_Hipp_rep3	TPM_8m_Hipp_rep4	WT_18m_Hipp_rep1	WT_18m_Hipp_rep2	WT_18m_Hipp_rep3	WT_18m_Hipp_rep4	WT_18m_Hipp_rep5	WT_18m_Hipp_rep6	WT_18m_Hipp_rep7	WT_2m_Hipp_rep1	WT_2m_Hipp_rep10	WT_2m_Hipp_rep11	WT_2m_Hipp_rep12	WT_2m_Hipp_rep2	WT_2m_Hipp_rep3	WT_2m_Hipp_rep4	WT_2m_Hipp_rep5	WT_2m_Hipp_rep6	WT_2m_Hipp_rep7	WT_2m_Hipp_rep8	WT_2m_Hipp_rep9	WT_4m_Hipp_rep1	WT_4m_Hipp_rep2	WT_4m_Hipp_rep3	WT_4m_Hipp_rep4	WT_4m_Hipp_rep5	WT_4m_Hipp_rep6	WT_4m_Hipp_rep7	WT_4m_Hipp_rep8	WT_4m_Hipp_rep9	WT_8m_Hipp_rep1	WT_8m_Hipp_rep10	WT_8m_Hipp_rep2	WT_8m_Hipp_rep3	WT_8m_Hipp_rep4	WT_8m_Hipp_rep5	WT_8m_Hipp_rep6	WT_8m_Hipp_rep7	WT_8m_Hipp_rep8	WT_8m_Hipp_rep9
het_TASTPM_18m_Hipp_rep1	NA	0.992494668961384	0.991488946137789	0.992379067301469	0.98318535842329	0.980783154471524	0.98502817720323	0.983944396302586	0.981070177649561	0.9865003434492	0.987952123880659	0.981740145593749	0.989668506925854	0.989962060876261	0.993498510940224	0.989015168943361	0.976278092232111	0.976285529734451	0.976209823388504	0.986245937397494	0.987660247007417	0.975993456530696	0.979849769014848	0.98847071195436	0.980916218950404	0.986705967114899	0.974096886621949	0.975661197148088	0.985563389361422	0.991497134441596	0.99155854298281	0.981936507821896	0.987049375310296	0.991758036896353	0.991278417943965	0.987620067011251	0.985875140245975	0.989060679298929	0.98663466266422	0.989376118888138	0.988014317795763	0.978133360633806	0.988837465084569	0.982804110095765	0.962975753055337	0.950651393595764	0.981367218533049	0.964136819654655	0.984818624731861	0.99186856901885	0.988887541343647	0.975966276342134	0.987751154671321	0.990181233766667	0.969691253175453	0.993139128805882	0.989361302106738	0.989476907674225	0.991186615927495	0.989509758842115	0.990208965292078	0.985310600499317	0.982337664528882	0.986959659380668	0.989895825308347	0.975439614687783	0.986101196436214	0.974857858158315	0.988992290874761	0.991609811292693	0.978299686611042	0.982472061877622	0.994174929425267	0.987741140704506	0.982403709240811	0.981935901319609	0.98670913233181	0.989778545654425	0.988931731275514	0.991312367777326	0.989333083720371	0.981092776330148	0.985467233675756	0.98437269211178	0.983688557394571	0.983768590249041	0.989700472518752	0.991646093400006	0.985888853961937	0.988360461698037	0.989480980935074	0.987084675438165	0.988356772157706	0.978652914504987	0.992979013774225	0.989557211108959	0.986299651847599	0.989694589900324	0.99160444531855	0.988073850978264	0.990136913175035	0.987487254289052	0.976031093991341	0.98410996317045	0.979785739417867	0.987716078194232	0.98644313100481	0.981919269720071	0.991964787943621	0.988300984201511	0.98986926713711	0.985124593785356
het_TASTPM_18m_Hipp_rep2	0.992494668961384	NA	0.991927484104921	0.99197026496686	0.972866231113457	0.970370888714432	0.981812800613034	0.975827031240741	0.9733529970825	0.984659045446331	0.990291459303372	0.985068969257354	0.987494297812806	0.995621462603956	0.992748323064658	0.991906686861712	0.967524396804873	0.966398972654502	0.965250085233535	0.987831943295569	0.989245442251567	0.974574147433868	0.987521440219897	0.993693963208289	0.974804016250717	0.990549908352122	0.970632104407742	0.970793718093425	0.975736316916129	0.993215218663697	0.994302351918729	0.97371189299954	0.978166970830747	0.993836671494751	0.993385590878186	0.991439948854056	0.982421248811009	0.991498061362014	0.988913552872182	0.987047005502657	0.988589307248003	0.968199953771326	0.990777913974754	0.988206291725612	0.949683651414912	0.951696959050716	0.974894367106466	0.951082313253597	0.976118311977293	0.987058664073392	0.986363703963477	0.973136405731981	0.991965638627534	0.989594507609201	0.9693444003946	0.993193467842201	0.993348520866711	0.989614907687019	0.989364128124116	0.989793881240081	0.991424497929845	0.989818331458017	0.970001618311763	0.98965946992396	0.98978453130856	0.984372713366504	0.976512024028751	0.980687854542884	0.990373547266366	0.990028572779601	0.97118800556484	0.970711497600683	0.99041401933046	0.991339962839115	0.971851175238738	0.972523266563557	0.980515275245792	0.992942063483503	0.988844343818235	0.992337120314424	0.992013142736069	0.971782421071984	0.988517681115626	0.990139644805912	0.986283680173103	0.973429520975057	0.992732103319446	0.988053656278387	0.989952993968465	0.992009126497921	0.990217139087109	0.989295090606057	0.989504043034345	0.970435838067316	0.989957905463726	0.988828329185146	0.989480514020606	0.99199933274652	0.989350512809789	0.988087151133856	0.988104596287828	0.984556145324384	0.967341402900731	0.98488285774919	0.969478058229917	0.98322038162903	0.978303267880875	0.986114389397282	0.988643028628669	0.987358225869626	0.988148740670857	0.985937922884875
het_TASTPM_18m_Hipp_rep3	0.991488946137789	0.991927484104921	NA	0.994330050773577	0.979385959442512	0.977751832629376	0.983231448471606	0.98083517117285	0.978608531304116	0.986406213491511	0.98933802516732	0.982218858863541	0.990883416336066	0.990636674774048	0.989866508308887	0.988902949549436	0.974853569505221	0.973600035524038	0.973030764272773	0.989399025781164	0.989394311443584	0.975107202111774	0.984284828743956	0.988654505628098	0.973141272615206	0.986102126665011	0.971125064493321	0.974922629428056	0.981215542732822	0.991145681124304	0.992532229268591	0.978661796831787	0.982160319700617	0.989979410671015	0.988947189295239	0.986698711471131	0.982147910059804	0.987819981272844	0.987587189484265	0.988158676852884	0.990158852738048	0.974497881484897	0.986607203002265	0.984109833798607	0.956684966673571	0.951069645032784	0.979832721720539	0.956815069782773	0.981401816925852	0.988876632328247	0.988245603889403	0.975126723719877	0.987415265324138	0.987205426172343	0.963105725383202	0.989647882991893	0.989326410344694	0.99015749958776	0.992317665441697	0.992817491194232	0.993121880288345	0.989230410413262	0.977148121646092	0.98429447581873	0.986538997792996	0.975798799920216	0.981733990400664	0.97440844361742	0.991062832698571	0.9933556767084	0.977566946464977	0.978675041136631	0.991053685275483	0.986207658050122	0.97935266024814	0.979380246494769	0.982839407866144	0.988036987398174	0.989712865059563	0.991369181348968	0.988768100312833	0.979322380924367	0.988713250356042	0.987934589580918	0.984557122575488	0.980109350423247	0.989320155136001	0.989444354585492	0.986287722780316	0.987794581268645	0.989666107806792	0.988565707028884	0.989310022010089	0.977895751442872	0.99076016224314	0.992593911304415	0.9890717214969	0.989274906402177	0.991992032344386	0.991552161807176	0.990210972205446	0.988096627286399	0.973228672551289	0.984174550706693	0.975340443845666	0.985447868077356	0.983672805237212	0.981686239820416	0.98881296392726	0.991372686227794	0.99015889829592	0.9883153132151
het_TASTPM_18m_Hipp_rep4	0.992379067301469	0.99197026496686	0.994330050773577	NA	0.982041917399352	0.98033034634971	0.986289952590855	0.984179339545992	0.981238113391185	0.98863518904162	0.9900232638533	0.9803373134521	0.990362030266568	0.99028826437431	0.991558408681743	0.989496750057254	0.980812806796676	0.980512217933773	0.979340106189527	0.988920651694696	0.989427488622813	0.978725118718624	0.98429701640221	0.98961350779794	0.979935776521605	0.987903343984968	0.977888123921444	0.980663635195356	0.985294588968419	0.992585862767627	0.992077790486077	0.983694100124572	0.986331624740973	0.990130314083989	0.990643480401671	0.987030362534791	0.983609162009424	0.987393058236293	0.988880893801354	0.990068844696273	0.990658367647171	0.978174825485294	0.987285669929773	0.982926061597011	0.964911654845897	0.956663263646739	0.985596275046875	0.964357861416761	0.98389374117877	0.988811400838879	0.985860770936929	0.977862904566409	0.987417095406063	0.988108405748678	0.968640681015804	0.989877094703031	0.988518102697022	0.990993151233574	0.991037952009367	0.991504780326086	0.991315626357795	0.986643402541718	0.980076175408976	0.982743858395226	0.987478075537091	0.97540085555659	0.983908076080621	0.974999420266319	0.991209983898181	0.992401895831902	0.980504804490338	0.980891590513199	0.989923151590434	0.987645678631596	0.981996202000378	0.982486672545546	0.986341622976711	0.989235811706802	0.987966271883092	0.989255513670255	0.989144554421507	0.979592617561004	0.986233987387163	0.986474944969047	0.984089036688296	0.981626527196345	0.986979855136747	0.988964989906195	0.98642738400097	0.987150497687766	0.990611980516056	0.989101499297113	0.990296060264906	0.977958083740404	0.990454024314909	0.990717255349223	0.988657761310757	0.989433591339583	0.991481406502779	0.990776200327431	0.990161444594866	0.989304890672305	0.976433847139195	0.984894103468131	0.979278566214761	0.98795801033922	0.986147988078138	0.98292811439386	0.98907352038838	0.990211431711063	0.991492849718288	0.989027405324334
het_TASTPM_2m_Hipp_rep1	0.98318535842329	0.972866231113457	0.979385959442512	0.982041917399352	NA	0.994121752953526	0.989280659755841	0.994687216412965	0.992854961816638	0.981285001998029	0.978673700548178	0.968126982412438	0.988564729834979	0.973212905238015	0.980843255928722	0.976106973555655	0.985501871922583	0.987277660914846	0.985843560340043	0.977331384139713	0.979418438906477	0.967751062766349	0.96661015171277	0.974751189993968	0.977888058274476	0.973712937036949	0.969272010857486	0.976213505709305	0.989916309482033	0.973882352868282	0.97350190638067	0.992376909874472	0.992575722959207	0.976554562174808	0.977194588281962	0.976741942307912	0.983474107492019	0.97633643051283	0.978176462140854	0.982188258068424	0.982767133602266	0.99239964896006	0.976544901218599	0.964335926308032	0.96869413370403	0.956315584274448	0.980506916491494	0.976539951402215	0.993886093375479	0.989082039803027	0.977721859759881	0.981520382492084	0.975335602638133	0.981312843454373	0.954483501375747	0.979760595257767	0.975565270654467	0.980203378845007	0.984489201926206	0.979565721778581	0.979128369159742	0.970293419940247	0.992588897857864	0.966096724982362	0.97772359310254	0.950746025118282	0.992388175584705	0.962520106458154	0.979643937392121	0.984764106869866	0.991770707820981	0.993616334410363	0.984702037556379	0.975820576684826	0.991726009119634	0.992665073355989	0.987372529673755	0.975567235080997	0.974554338928898	0.97680816990274	0.976761474690131	0.992591906895359	0.973436813817246	0.97048889857376	0.969956455543243	0.995528005656262	0.974699276470603	0.987352281869447	0.975614402365786	0.975866668582586	0.981520165228725	0.978528570168611	0.981874456020869	0.988308974464127	0.986550491637828	0.982565251196205	0.977430962592131	0.977967868202798	0.98521835330212	0.983376218158078	0.982452853215704	0.984220644018315	0.989049124694695	0.970369294179095	0.993545200561553	0.990951740954563	0.99381707625275	0.970260726097216	0.985949644046324	0.98319942878747	0.986536441753791	0.980975429698849
het_TASTPM_2m_Hipp_rep2	0.980783154471524	0.970370888714432	0.977751832629376	0.98033034634971	0.994121752953526	NA	0.986961261132393	0.994512659287161	0.994691674232521	0.980475357359974	0.976977894370383	0.964856058520146	0.985620628118478	0.969601668726134	0.978575125490364	0.976448042134917	0.985985363079249	0.985383481402093	0.985967862759015	0.976389368196122	0.978010249202978	0.965539677179093	0.963824557809151	0.972221768666092	0.977659695957346	0.972131232009417	0.967809124101558	0.97273372573388	0.986462544985611	0.970756891828153	0.97092916895086	0.991576229945143	0.990813417030242	0.975314404577795	0.97440307740386	0.974695590100673	0.985694830696587	0.976091051618605	0.977782586640247	0.979731720747982	0.98201200495145	0.994893458158351	0.975418286299869	0.959521411362111	0.963297432757298	0.952185055894806	0.977656406838983	0.977918779936781	0.99301929755777	0.987337414667422	0.976085505052924	0.978774721919529	0.973455657214283	0.980494106111763	0.951792143160763	0.978647044475216	0.974852644775491	0.978167022285994	0.983173222829491	0.977176418992949	0.976756332597908	0.96543179820393	0.991399063533298	0.96459855644817	0.973344838358661	0.948021239116607	0.989949241880256	0.958207181142918	0.978561558834114	0.982336141676221	0.992443918230279	0.994110476337359	0.983120786233673	0.975608551829745	0.994448694896498	0.994971622692516	0.981686606187931	0.97213912829607	0.971340216335364	0.975733054331368	0.976392609477238	0.992667954955559	0.969238337624015	0.968222780810724	0.963483576890068	0.993557992582046	0.971244407588904	0.987072644457381	0.975433202662788	0.97402655669209	0.979985190459929	0.976852678956914	0.981065452688875	0.98975432276064	0.986720108079523	0.981063144991176	0.975416450965011	0.977725033706179	0.981980321203444	0.983599890016568	0.97976084402096	0.981308608141779	0.989923396697132	0.964502834943673	0.993159183520533	0.987423085315022	0.990776289217205	0.968455741496136	0.987047437050424	0.983514524437473	0.985441670612447	0.980098772513865
het_TASTPM_2m_Hipp_rep3	0.98502817720323	0.981812800613034	0.983231448471606	0.986289952590855	0.989280659755841	0.986961261132393	NA	0.991716035144938	0.988386369065028	0.987997883273781	0.98876092645665	0.979412229634876	0.989258699740275	0.983603492181742	0.98695921096471	0.986310772910171	0.977653876899444	0.980781613602612	0.976115145678521	0.986017592268477	0.987412223523149	0.976899675492819	0.982790380381556	0.986745725577359	0.981226324446627	0.987904824424354	0.975455148938943	0.979212323763277	0.982969355798212	0.980427638139289	0.979946448876118	0.988033370104641	0.988623650165862	0.985482365542527	0.987016436779618	0.987523367171031	0.988903653343619	0.986938285633943	0.988830071792683	0.987525082741575	0.990127585104347	0.986999809782915	0.988743949702808	0.979693395068525	0.955319796533664	0.961604910954462	0.975300379319499	0.96989820529159	0.991100749129802	0.990358795159852	0.982609353422449	0.991033438557535	0.987757395003848	0.988190353995608	0.965895928048903	0.986904441189118	0.986619421558829	0.988738815793007	0.987578942158487	0.985416581463977	0.985936820327655	0.981717419623938	0.982384468772002	0.977185951611701	0.985484627368316	0.967252035813031	0.986647670145822	0.972401616843404	0.987838306541998	0.988259351628634	0.988995476766271	0.984555648201937	0.987379040330953	0.988567252613476	0.983029195459707	0.986102401933185	0.987075427043017	0.986935393557029	0.983027160949512	0.984012612418561	0.986872395577581	0.983995088345836	0.982573168713334	0.983292594179465	0.979311394208895	0.987550496711184	0.98344292998404	0.990055138124089	0.988282016624682	0.986818415561227	0.989860576050922	0.989092058940452	0.991292278851007	0.980773879311964	0.989904235798372	0.986880313844833	0.988146862748792	0.987558480587716	0.988240440698438	0.990001020668151	0.987459624504388	0.988368623592566	0.988348515776546	0.979157255592482	0.98896094732003	0.993843745338293	0.989589468887249	0.987015276002008	0.98942414275874	0.988806998217672	0.992410565574787	0.990799891847708
het_TASTPM_2m_Hipp_rep4	0.983944396302586	0.975827031240741	0.98083517117285	0.984179339545992	0.994687216412965	0.994512659287161	0.991716035144938	NA	0.993467706298207	0.986762094002157	0.982550360713939	0.973095417973888	0.988099670023611	0.975652582681514	0.984330145709299	0.980499224067108	0.984359601354837	0.986594910588723	0.984745422878865	0.98021122692091	0.982546920619651	0.970459309117819	0.971755922912217	0.978681644749682	0.981341125817229	0.977806865643298	0.972787530599773	0.975342370823264	0.9900030180038	0.974629058650406	0.974664646236428	0.993756432144964	0.994330785896604	0.979669732341049	0.981529192847891	0.980711369256678	0.988034746248499	0.980593824930391	0.983031610264391	0.985690119958928	0.986195144193227	0.992849147266513	0.980554793607013	0.968565822669481	0.966095656055364	0.955605767879656	0.979592451317245	0.976237702089829	0.99587207190708	0.988512881154151	0.979107197337904	0.982650744856131	0.979512097046632	0.983450437106084	0.958011016849905	0.982693622409658	0.979624326899067	0.984200188176081	0.985713303788138	0.981233630874967	0.980762771010557	0.972065152631933	0.991628086308988	0.969771171447885	0.980468899753992	0.955073073601981	0.993662056012683	0.963274463041337	0.983342948230953	0.985867589031361	0.99267957769694	0.992083755897831	0.985144797663162	0.981393278192829	0.99143341569197	0.99268689297073	0.988768145703273	0.979379789683286	0.976223921119804	0.979040770425106	0.98085060047884	0.990046597496349	0.976145737901746	0.974962187643328	0.972771856164649	0.994066005525212	0.977059380934064	0.988933536779052	0.9810140205424	0.979200914563929	0.984210509975554	0.982137645879569	0.985633880135403	0.987429468600533	0.98864162447714	0.984088443181691	0.980683758148362	0.982254319375889	0.98674404508253	0.986514978677635	0.985766408564111	0.987688084870248	0.98914375028182	0.97378036056671	0.993668083467937	0.992364136873965	0.993458133694964	0.975174294457613	0.988830314021768	0.98563203251633	0.988781977880376	0.984569726666176
het_TASTPM_4m_Hipp_rep1	0.981070177649561	0.9733529970825	0.978608531304116	0.981238113391185	0.992854961816638	0.994691674232521	0.988386369065028	0.993467706298207	NA	0.981484934697296	0.979710597020139	0.966333765839045	0.98698484648577	0.973256401733053	0.979184701946345	0.978787062714116	0.987166505209258	0.985412097260818	0.984075194035171	0.978004413939478	0.979638460053498	0.96601898683547	0.967758713193927	0.976364231710386	0.978989326911297	0.976548320442761	0.969462610547977	0.974507427201345	0.984472788867191	0.973304549991237	0.972552454493774	0.99207222411895	0.990713236003345	0.978445829478388	0.976791662793785	0.977805801044644	0.988224942368688	0.978596549307329	0.980460902123099	0.979093388975244	0.984056043530755	0.994906383596663	0.978726872889109	0.962237615840564	0.960042205183282	0.955828751511012	0.977010831580355	0.97677743309951	0.992248129893298	0.987496610607722	0.976097050389313	0.982398124648739	0.976956042673058	0.982270440956497	0.9544517498587	0.980126236310099	0.977734256324075	0.979450780988261	0.984183107550789	0.977861809462941	0.978350131416827	0.967797803775687	0.988924121242539	0.966232875764662	0.97387490626669	0.951656416152105	0.987740099366356	0.96245704791433	0.980492029719094	0.982677154788103	0.99445282686912	0.992030211350046	0.983980531828913	0.97898143420883	0.993337597123991	0.994903465175217	0.981098234169538	0.975474476801137	0.973014089534782	0.976586013678379	0.979388469383141	0.991965987761943	0.969323163022447	0.971165959492254	0.964036222387283	0.991350751625179	0.972799418358758	0.988398956079768	0.978897846589982	0.976770938995283	0.981829853498415	0.97925028935984	0.983326147200326	0.989807883449805	0.987929459603927	0.981990156360204	0.977947493220077	0.980154858420421	0.981853551049738	0.985225799352853	0.978728236414082	0.980949091600319	0.992024864433017	0.964524373991946	0.993246352261152	0.988367188759951	0.989833091212277	0.974015727538467	0.989087970604692	0.984480900796125	0.987176475400828	0.983670621548248
het_TASTPM_4m_Hipp_rep2	0.9865003434492	0.984659045446331	0.986406213491511	0.98863518904162	0.981285001998029	0.980475357359974	0.987997883273781	0.986762094002157	0.981484934697296	NA	0.991824798764814	0.9856044084942	0.982722875911751	0.984943455015807	0.992219547652132	0.988508478292754	0.970795888617164	0.974442027330782	0.97100730145981	0.989910629442658	0.98983096264589	0.981970543713772	0.987140328650069	0.988002833023812	0.984295159119848	0.986686909705802	0.981963716403761	0.969755072693775	0.981231382252393	0.982622712730809	0.981512780785325	0.983852533557992	0.986621152174712	0.988530515578592	0.991119120436092	0.987938895688729	0.987400230827801	0.989856876066328	0.991101312281242	0.992782355156096	0.991018350664542	0.978544254997257	0.988440313260373	0.985096776382534	0.953310653975559	0.949172582413279	0.971649163139361	0.966609376139646	0.986651800864896	0.985906192063818	0.984271659533582	0.978177146496446	0.988489584977871	0.988860212195999	0.972691398247573	0.989542428786824	0.988357725916768	0.992749283793405	0.988494976860819	0.989138509332917	0.987510293568068	0.985265408458544	0.980306291087933	0.982999377416133	0.989387091711092	0.975536872770445	0.984974757877643	0.968990928913355	0.990845768519217	0.990131340814407	0.98034814038041	0.978850653849308	0.986832978173993	0.989381021908165	0.978370787325668	0.980606041036647	0.987189806096669	0.989480154126927	0.985795599768506	0.985989819434758	0.989207584129566	0.976064246744578	0.987309842342134	0.987490741153176	0.986919885280509	0.980653212936147	0.9850553588794	0.988150053253357	0.98926607773497	0.987342074566707	0.990764789059206	0.990630741149084	0.991612882447156	0.974841214580457	0.989199872696144	0.990134050972571	0.989363596356928	0.990250462243543	0.991693193646809	0.990494027975485	0.99234460845977	0.993389158601366	0.976744815766815	0.988353245376744	0.980297685352812	0.987965719471419	0.98454224556357	0.984999690705594	0.989234948642231	0.98998193251285	0.99129124106879	0.990739700891162
