# 2017-02-01
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop//jackknife_early_up_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop_all_processes//2017-02-01_geneset_500/ermineJ_jackknife_early_up_regulation_mixed_model_results.tsv
# only top 50 pathways
# only top 200 genes from the score file are shown ranking in ()
# FDR: corrected p value, []: gene member size of the pathway
geneSymbol	rank	Count	name	sig_paths
Prokr2	1	4	neuropeptide receptor activity- FDR:0.35453[14](GO:0008188); G-protein coupled peptide receptor activity- FDR:0.44743696[37](GO:0008528); peptide receptor activity- FDR:0.57365[39](GO:0001653); circadian rhythm- FDR:0.8206275[69](GO:0007623)	NA
Sqle	2	11	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen- FDR:0.01089[18](GO:0016709); monooxygenase activity- FDR:0.161535[40](GO:0004497); flavin adenine dinucleotide binding- FDR:0.80483413[53](GO:0050660); cholesterol metabolic process- FDR:0.1122275[59](GO:0008203); secondary alcohol metabolic process- FDR:0.1122275[59](GO:1902652); sterol metabolic process- FDR:0.010164[65](GO:0016125); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); cofactor binding- FDR:0.51196444[185](GO:0048037); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); oxidoreductase activity- FDR:0.02541[439](GO:0016491)	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen- FDR:0.01089[18](GO:0016709); sterol metabolic process- FDR:0.010164[65](GO:0016125); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); oxidoreductase activity- FDR:0.02541[439](GO:0016491)
Msmo1	3	21	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen- FDR:0.01089[18](GO:0016709); sterol biosynthetic process- FDR:0.3443055[29](GO:0016126); monooxygenase activity- FDR:0.161535[40](GO:0004497); steroid biosynthetic process- FDR:0.193116[54](GO:0006694); alcohol biosynthetic process- FDR:0.38577[63](GO:0046165); sterol metabolic process- FDR:0.010164[65](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.467544[90](GO:1901617); steroid metabolic process- FDR:0.006353[108](GO:0008202); organic acid biosynthetic process- FDR:0.67108462[131](GO:0016053); carboxylic acid biosynthetic process- FDR:0.67108462[131](GO:0046394); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); fatty acid metabolic process- FDR:0.53165538[172](GO:0006631); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); monocarboxylic acid metabolic process- FDR:0.15441462[245](GO:0032787); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen- FDR:0.01089[18](GO:0016709); sterol metabolic process- FDR:0.010164[65](GO:0016125); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Enkur	4.5	1	cilium- FDR:0.376915[256](GO:0005929)	NA
Ring1	4.5	4	histone H2A monoubiquitination- FDR:0.69226756[11](GO:0035518); histone H2A ubiquitination- FDR:0.53606903[15](GO:0033522); sex chromosome- FDR:0.45208625[20](GO:0000803); histone ubiquitination- FDR:0.81962023[28](GO:0016574)	NA
Nsdhl	7	17	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor- FDR:0.64442583[25](GO:0033764); cholesterol biosynthetic process- FDR:0.693935[26](GO:0006695); secondary alcohol biosynthetic process- FDR:0.693935[26](GO:1902653); steroid dehydrogenase activity- FDR:0.698775[27](GO:0016229); sterol biosynthetic process- FDR:0.3443055[29](GO:0016126); steroid biosynthetic process- FDR:0.193116[54](GO:0006694); cholesterol metabolic process- FDR:0.1122275[59](GO:0008203); secondary alcohol metabolic process- FDR:0.1122275[59](GO:1902652); alcohol biosynthetic process- FDR:0.38577[63](GO:0046165); sterol metabolic process- FDR:0.010164[65](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.467544[90](GO:1901617); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); oxidoreductase activity- FDR:0.02541[439](GO:0016491)	sterol metabolic process- FDR:0.010164[65](GO:0016125); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); oxidoreductase activity- FDR:0.02541[439](GO:0016491)
Bdh2	8	10	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor- FDR:0.64442583[25](GO:0033764); steroid dehydrogenase activity- FDR:0.698775[27](GO:0016229); fatty acid metabolic process- FDR:0.53165538[172](GO:0006631); cofactor binding- FDR:0.51196444[185](GO:0048037); monocarboxylic acid metabolic process- FDR:0.15441462[245](GO:0032787); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Smarcb1	10	2	XY body- FDR:0.60460853[11](GO:0001741); sex chromosome- FDR:0.45208625[20](GO:0000803)	NA
C1qb	12	5	complement activation, classical pathway- FDR:0.545468[11](GO:0006958); humoral immune response mediated by circulating immunoglobulin- FDR:0.54313875[12](GO:0002455); complement activation- FDR:0.587334[14](GO:0006956); protein activation cascade- FDR:0.65997324[16](GO:0072376); humoral immune response- FDR:0.80521467[25](GO:0006959)	NA
Ube2b	17	8	XY body- FDR:0.60460853[11](GO:0001741); histone H2A ubiquitination- FDR:0.53606903[15](GO:0033522); sex chromosome- FDR:0.45208625[20](GO:0000803); histone ubiquitination- FDR:0.81962023[28](GO:0016574); cellular component assembly involved in morphogenesis- FDR:0.8171856[146](GO:0010927); organelle assembly- FDR:0.35707737[265](GO:0070925); microtubule-based process- FDR:0.54061966[327](GO:0007017); cell projection morphogenesis- FDR:0.65999132[389](GO:0048858)	NA
