# 2017-02-02
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop//jackknife_late_down_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop_all_processes//2017-02-02_geneset_500/ermineJ_jackknife_late_down_regulation_mixed_model_results.tsv
# only top 50 pathways
# only top 200 genes from the score file are shown ranking in ()
# FDR: corrected p value, []: gene member size of the pathway
geneSymbol	rank	Count	name	sig_paths
Inppl1	1	21	endochondral bone morphogenesis- FDR:0.07989764[32](GO:0060350); negative regulation of MAP kinase activity- FDR:0.06715534[40](GO:0043407); bone morphogenesis- FDR:0.07851011[50](GO:0060349); negative regulation of MAPK cascade- FDR:0.07924845[88](GO:0043409); actin binding- FDR:0.025255[244](GO:0003779); negative regulation of protein phosphorylation- FDR:0.04690214[247](GO:0001933); negative regulation of phosphorylation- FDR:0.04120553[267](GO:0042326); response to organonitrogen compound- FDR:0.04371058[301](GO:0010243); response to nitrogen compound- FDR:0.03086722[344](GO:1901698); negative regulation of protein modification process- FDR:0.04392174[354](GO:0031400); negative regulation of cell differentiation- FDR:0.04209167[363](GO:0045596); lipid binding- FDR:0.04810476[364](GO:0008289); regulation of MAPK cascade- FDR:0.04103938[373](GO:0043408); regulation of cell projection organization- FDR:0.06674536[386](GO:0031344); regulation of neuron differentiation- FDR:2.526e-09[400](GO:0045664); regulation of kinase activity- FDR:0.040408[442](GO:0043549); organ morphogenesis- FDR:0.06475641[467](GO:0009887); regulation of neurogenesis- FDR:1.684e-09[472](GO:0050767); negative regulation of developmental process- FDR:0.0631375[480](GO:0051093); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)	actin binding- FDR:0.025255[244](GO:0003779); negative regulation of protein phosphorylation- FDR:0.04690214[247](GO:0001933); negative regulation of phosphorylation- FDR:0.04120553[267](GO:0042326); response to organonitrogen compound- FDR:0.04371058[301](GO:0010243); response to nitrogen compound- FDR:0.03086722[344](GO:1901698); negative regulation of protein modification process- FDR:0.04392174[354](GO:0031400); negative regulation of cell differentiation- FDR:0.04209167[363](GO:0045596); lipid binding- FDR:0.04810476[364](GO:0008289); regulation of MAPK cascade- FDR:0.04103938[373](GO:0043408); regulation of neuron differentiation- FDR:2.526e-09[400](GO:0045664); regulation of kinase activity- FDR:0.040408[442](GO:0043549); regulation of neurogenesis- FDR:1.684e-09[472](GO:0050767); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)
Map3k5	3	5	response to nitrogen compound- FDR:0.03086722[344](GO:1901698); regulation of MAPK cascade- FDR:0.04103938[373](GO:0043408); positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345); regulation of kinase activity- FDR:0.040408[442](GO:0043549); phosphotransferase activity, alcohol group as acceptor- FDR:0.04630083[487](GO:0016773)	response to nitrogen compound- FDR:0.03086722[344](GO:1901698); regulation of MAPK cascade- FDR:0.04103938[373](GO:0043408); positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345); regulation of kinase activity- FDR:0.040408[442](GO:0043549); phosphotransferase activity, alcohol group as acceptor- FDR:0.04630083[487](GO:0016773)
Gucy1a3	4	1	regulation of system process- FDR:0.03862529[238](GO:0044057)	regulation of system process- FDR:0.03862529[238](GO:0044057)
Camkk2	6	2	regulation of kinase activity- FDR:0.040408[442](GO:0043549); phosphotransferase activity, alcohol group as acceptor- FDR:0.04630083[487](GO:0016773)	regulation of kinase activity- FDR:0.040408[442](GO:0043549); phosphotransferase activity, alcohol group as acceptor- FDR:0.04630083[487](GO:0016773)
Sppl2b	8	1	side of membrane- FDR:0.045459[222](GO:0098552)	side of membrane- FDR:0.045459[222](GO:0098552)
Meis2	9	9	sensory organ development- FDR:0.04349472[270](GO:0007423); transcription regulatory region sequence-specific DNA binding- FDR:0.07389426[325](GO:0000976); negative regulation of cell differentiation- FDR:0.04209167[363](GO:0045596); double-stranded DNA binding- FDR:0.06837329[378](GO:0003690); transcription regulatory region DNA binding- FDR:0.06664514[412](GO:0044212); regulatory region DNA binding- FDR:0.07739435[415](GO:0000975); regulatory region nucleic acid binding- FDR:0.07497578[416](GO:0001067); sequence-specific DNA binding- FDR:0.04273923[454](GO:0043565); negative regulation of developmental process- FDR:0.0631375[480](GO:0051093)	sensory organ development- FDR:0.04349472[270](GO:0007423); negative regulation of cell differentiation- FDR:0.04209167[363](GO:0045596); sequence-specific DNA binding- FDR:0.04273923[454](GO:0043565)
Sfxn1	10	2	metal ion transport- FDR:0.07125518[317](GO:0030001); ion transmembrane transporter activity- FDR:0.06854929[434](GO:0015075)	NA
Atrnl1	12	1	G-protein coupled receptor signaling pathway- FDR:0.045459[286](GO:0007186)	G-protein coupled receptor signaling pathway- FDR:0.045459[286](GO:0007186)
Fzd9	15	2	G-protein coupled receptor signaling pathway- FDR:0.045459[286](GO:0007186); neurological system process- FDR:0.06519314[403](GO:0050877)	G-protein coupled receptor signaling pathway- FDR:0.045459[286](GO:0007186)
Mfge8	16	7	side of membrane- FDR:0.045459[222](GO:0098552); blood vessel development- FDR:0.07886649[295](GO:0001568); lipid binding- FDR:0.04810476[364](GO:0008289); cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)	side of membrane- FDR:0.045459[222](GO:0098552); lipid binding- FDR:0.04810476[364](GO:0008289); cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)
Ang	17	9	actin binding- FDR:0.025255[244](GO:0003779); blood vessel development- FDR:0.07886649[295](GO:0001568); neuronal cell body- FDR:0.006314[384](GO:0043025); positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345); cell body- FDR:0.03673455[433](GO:0044297); positive regulation of cell proliferation- FDR:0.07056544[439](GO:0008284); regulation of kinase activity- FDR:0.040408[442](GO:0043549); cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359)	actin binding- FDR:0.025255[244](GO:0003779); neuronal cell body- FDR:0.006314[384](GO:0043025); positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345); cell body- FDR:0.03673455[433](GO:0044297); regulation of kinase activity- FDR:0.040408[442](GO:0043549); cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359)
Arhgef19	18	1	positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345)	positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345)
Cox8a	19	1	ion transmembrane transporter activity- FDR:0.06854929[434](GO:0015075)	NA
Slc1a3	20	10	response to organonitrogen compound- FDR:0.04371058[301](GO:0010243); metal ion transport- FDR:0.07125518[317](GO:0030001); response to nitrogen compound- FDR:0.03086722[344](GO:1901698); dendrite- FDR:0.04377533[382](GO:0030425); neuronal cell body- FDR:0.006314[384](GO:0043025); neurological system process- FDR:0.06519314[403](GO:0050877); synapse part- FDR:0.06484392[422](GO:0044456); cell body- FDR:0.03673455[433](GO:0044297); ion transmembrane transporter activity- FDR:0.06854929[434](GO:0015075); neuron development- FDR:0.0631375[435](GO:0048666)	response to organonitrogen compound- FDR:0.04371058[301](GO:0010243); response to nitrogen compound- FDR:0.03086722[344](GO:1901698); dendrite- FDR:0.04377533[382](GO:0030425); neuronal cell body- FDR:0.006314[384](GO:0043025); cell body- FDR:0.03673455[433](GO:0044297)
Pdyn	21	4	G-protein coupled receptor signaling pathway- FDR:0.045459[286](GO:0007186); cell-cell signaling- FDR:0.07750672[290](GO:0007267); neuronal cell body- FDR:0.006314[384](GO:0043025); cell body- FDR:0.03673455[433](GO:0044297)	G-protein coupled receptor signaling pathway- FDR:0.045459[286](GO:0007186); neuronal cell body- FDR:0.006314[384](GO:0043025); cell body- FDR:0.03673455[433](GO:0044297)
Ptprd	24	7	positive regulation of neurogenesis- FDR:0.07619305[294](GO:0050769); positive regulation of cell development- FDR:0.04591818[353](GO:0010720); regulation of cell projection organization- FDR:0.06674536[386](GO:0031344); regulation of neuron differentiation- FDR:2.526e-09[400](GO:0045664); regulation of neurogenesis- FDR:1.684e-09[472](GO:0050767); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)	positive regulation of cell development- FDR:0.04591818[353](GO:0010720); regulation of neuron differentiation- FDR:2.526e-09[400](GO:0045664); regulation of neurogenesis- FDR:1.684e-09[472](GO:0050767); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)
Atp1a2	26	10	regulation of system process- FDR:0.03862529[238](GO:0044057); response to organonitrogen compound- FDR:0.04371058[301](GO:0010243); metal ion transport- FDR:0.07125518[317](GO:0030001); response to nitrogen compound- FDR:0.03086722[344](GO:1901698); lipid binding- FDR:0.04810476[364](GO:0008289); dendrite- FDR:0.04377533[382](GO:0030425); neurological system process- FDR:0.06519314[403](GO:0050877); synapse part- FDR:0.06484392[422](GO:0044456); ion transmembrane transporter activity- FDR:0.06854929[434](GO:0015075); integral component of plasma membrane- FDR:0.07270379[443](GO:0005887)	regulation of system process- FDR:0.03862529[238](GO:0044057); response to organonitrogen compound- FDR:0.04371058[301](GO:0010243); response to nitrogen compound- FDR:0.03086722[344](GO:1901698); lipid binding- FDR:0.04810476[364](GO:0008289); dendrite- FDR:0.04377533[382](GO:0030425)
Cadm4	27	2	cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)	cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)
Vcp	29	2	lipid binding- FDR:0.04810476[364](GO:0008289); positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345)	lipid binding- FDR:0.04810476[364](GO:0008289); positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345)
Nrxn3	31	7	cell-cell signaling- FDR:0.07750672[290](GO:0007267); blood vessel development- FDR:0.07886649[295](GO:0001568); synapse part- FDR:0.06484392[422](GO:0044456); cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)	cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)
Phactr1	34	1	actin binding- FDR:0.025255[244](GO:0003779)	actin binding- FDR:0.025255[244](GO:0003779)
Bub1b	37	1	phosphotransferase activity, alcohol group as acceptor- FDR:0.04630083[487](GO:0016773)	phosphotransferase activity, alcohol group as acceptor- FDR:0.04630083[487](GO:0016773)
Uaca	38	1	positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345)	positive regulation of hydrolase activity- FDR:0.005051[390](GO:0051345)
Ddx17	39	2	cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359)	cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359)
Cdh4	43	9	positive regulation of neurogenesis- FDR:0.07619305[294](GO:0050769); positive regulation of cell development- FDR:0.04591818[353](GO:0010720); regulation of cell projection organization- FDR:0.06674536[386](GO:0031344); regulation of neuron differentiation- FDR:2.526e-09[400](GO:0045664); neuron development- FDR:0.0631375[435](GO:0048666); integral component of plasma membrane- FDR:0.07270379[443](GO:0005887); regulation of neurogenesis- FDR:1.684e-09[472](GO:0050767); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)	positive regulation of cell development- FDR:0.04591818[353](GO:0010720); regulation of neuron differentiation- FDR:2.526e-09[400](GO:0045664); regulation of neurogenesis- FDR:1.684e-09[472](GO:0050767); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)
Lrrk1	45	4	negative regulation of protein phosphorylation- FDR:0.04690214[247](GO:0001933); negative regulation of phosphorylation- FDR:0.04120553[267](GO:0042326); negative regulation of protein modification process- FDR:0.04392174[354](GO:0031400); phosphotransferase activity, alcohol group as acceptor- FDR:0.04630083[487](GO:0016773)	negative regulation of protein phosphorylation- FDR:0.04690214[247](GO:0001933); negative regulation of phosphorylation- FDR:0.04120553[267](GO:0042326); negative regulation of protein modification process- FDR:0.04392174[354](GO:0031400); phosphotransferase activity, alcohol group as acceptor- FDR:0.04630083[487](GO:0016773)
Hspb11	48	2	cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359)	cardiovascular system development- FDR:0.004209[480](GO:0072358); circulatory system development- FDR:0.004209[480](GO:0072359)
Slc12a6	49	2	metal ion transport- FDR:0.07125518[317](GO:0030001); ion transmembrane transporter activity- FDR:0.06854929[434](GO:0015075)	NA
Lmcd1	52	2	regulation of system process- FDR:0.03862529[238](GO:0044057); negative regulation of transcription from RNA polymerase II promoter- FDR:0.07997417[435](GO:0000122)	regulation of system process- FDR:0.03862529[238](GO:0044057)
Ctdspl	54	3	negative regulation of protein phosphorylation- FDR:0.04690214[247](GO:0001933); negative regulation of phosphorylation- FDR:0.04120553[267](GO:0042326); negative regulation of protein modification process- FDR:0.04392174[354](GO:0031400)	negative regulation of protein phosphorylation- FDR:0.04690214[247](GO:0001933); negative regulation of phosphorylation- FDR:0.04120553[267](GO:0042326); negative regulation of protein modification process- FDR:0.04392174[354](GO:0031400)
Col5a3	55	2	cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)	cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)
Pstpip1	57	3	actin binding- FDR:0.025255[244](GO:0003779); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)	actin binding- FDR:0.025255[244](GO:0003779); cell adhesion- FDR:5.051e-09[489](GO:0007155); biological adhesion- FDR:0.01803929[493](GO:0022610)
Hdac4	58	11	regulation of system process- FDR:0.03862529[238](GO:0044057); negative regulation of phosphorylation- FDR:0.04120553[267](GO:0042326); negative regulation of cell differentiation- FDR:0.04209167[363](GO:0045596); regulation of cell projection organization- FDR:0.06674536[386](GO:0031344); transcription regulatory region DNA binding- FDR:0.06664514[412](GO:0044212); regulatory region DNA binding- FDR:0.07739435[415](GO:0000975); regulatory region nucleic acid binding- FDR:0.07497578[416](GO:0001067); negative regulation of transcription from RNA polymerase II promoter- FDR:0.07997417[435](GO:0000122); positive regulation of cell proliferation- FDR:0.07056544[439](GO:0008284); sequence-specific DNA binding- FDR:0.04273923[454](GO:0043565); negative regulation of developmental process- FDR:0.0631375[480](GO:0051093)	regulation of system process- FDR:0.03862529[238](GO:0044057); negative regulation of phosphorylation- FDR:0.04120553[267](GO:0042326); negative regulation of cell differentiation- FDR:0.04209167[363](GO:0045596); sequence-specific DNA binding- FDR:0.04273923[454](GO:0043565)
Gabrd	59	3	cell-cell signaling- FDR:0.07750672[290](GO:0007267); synapse part- FDR:0.06484392[422](GO:0044456); ion transmembrane transporter activity- FDR:0.06854929[434](GO:0015075)	NA
Usp2	60	2	negative regulation of transcription from RNA polymerase II promoter- FDR:0.07997417[435](GO:0000122); negative regulation of developmental process- FDR:0.0631375[480](GO:0051093)	NA
