# 2017-02-02
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop//jackknife_late_up_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop_all_processes//2017-02-02_geneset_500/ermineJ_jackknife_late_up_regulation_mixed_model_results.tsv
# only top 50 pathways
# only top 200 genes from the score file are shown ranking in ()
Name	ID	CorrectedPvalue	top_genes	NumGenes	MFPvalue	NumProbes	RawScore	Pval	CorrectedMFPvalue	Multifunctionality	Same.as	GeneMembers
steroid metabolic process	GO:0008202	5.051e-09	Msmo1(4), Sqle(5), Nsdhl(7), Fdps(8), 0610007P14Rik(20), Mvk(35), Hmgcs1(36), Ebp(69), Cyp51(91), Med1(103), Dhcr24(124)	108	5e-06	108	0.03973418	1e-12	0.0126275	0.955		0610007P14Rik|Abca2|Abcg1|Acaa1a|Acbd3|Akr1c18|Aplp2|Apoa1|Apoa2|Apobr|Apoc1|Apoe|App|Arv1|Atp8b1|Bmpr1b|Cacna1h|Cat|Cebpa|Cln6|Cln8|Comt|Cyb5r1|Cyb5r3|Cyp11b2|Cyp1b1|Cyp27a1|Cyp46a1|Cyp51|Cyp7b1|Dhcr24|Dhcr7|Dhrs4|Ebp|Ebpl|Fdft1|Fdps|Fdxr|Fech|G6pc|G6pdx|Gba2|H2-Ke6|Hdlbp|Hint2|Hmgcr|Hmgcs1|Hmgcs2|Hsd11b1|Hsd17b1|Hsd17b11|Hsd17b12|Hsd17b14|Hsd17b4|Hsd17b7|Hsd3b7|Insig1|Insig2|Lcat|Ldlr|Ldlrap1|Lipa|Lrp1|Lrp5|Lss|Mbtps1|Mecp2|Med1|Msmo1|Mt3|Mttp|Mvd|Mvk|Npc1|Npc2|Nr3c1|Nsdhl|Pbx1|Pdgfra|Pex2|Plekha1|Pmvk|Prkaa1|Prkaa2|Sc5d|Scap|Scd1|Scp2|Sdr42e1|Sgpl1|Shh|Slc27a2|Slc37a4|Soat1|Sqle|Srd5a1|Srebf1|Srebf2|Stard3|Sult1a1|Sult2b1|Sult4a1|Tecr|Tm7sf2|Tspo|Vldlr|Wnt4|Ywhah|
sterol biosynthetic process	GO:0016126	0.008418	Msmo1(4), Nsdhl(7), Fdps(8), 0610007P14Rik(20), Mvk(35), Hmgcs1(36), Ebp(69), Cyp51(91), Dhcr24(124)	28	1.5e-05	28	0.07120475	5e-06	0.01894125	0.483		0610007P14Rik|Apoa1|Apoe|Cyb5r1|Cyb5r3|Cyp51|Dhcr24|Dhcr7|Ebp|Fdft1|Fdps|G6pdx|Hmgcr|Hmgcs1|Hmgcs2|Hsd17b7|Insig1|Insig2|Lss|Msmo1|Mvd|Mvk|Nsdhl|Pmvk|Prkaa1|Prkaa2|Sc5d|Tm7sf2|
sterol metabolic process	GO:0016125	0.0126275	Msmo1(4), Sqle(5), Nsdhl(7), Fdps(8), 0610007P14Rik(20), Mvk(35), Hmgcs1(36), Ebp(69), Cyp51(91), Dhcr24(124)	64	1e-12	64	0.05094647	5e-06	5.051e-09	0.79		0610007P14Rik|Abca2|Abcg1|Aplp2|Apoa1|Apoa2|Apobr|Apoc1|Apoe|App|Arv1|Cat|Cebpa|Cln6|Cln8|Cyb5r1|Cyb5r3|Cyp27a1|Cyp46a1|Cyp51|Cyp7b1|Dhcr24|Dhcr7|Ebp|Ebpl|Fdft1|Fdps|Fdxr|Fech|G6pdx|Hdlbp|Hmgcr|Hmgcs1|Hmgcs2|Hsd17b7|Insig1|Insig2|Lcat|Ldlr|Ldlrap1|Lipa|Lrp1|Lrp5|Lss|Mbtps1|Msmo1|Mt3|Mttp|Mvd|Mvk|Npc1|Npc2|Nsdhl|Pmvk|Prkaa1|Prkaa2|Sc5d|Scap|Soat1|Sqle|Srebf1|Srebf2|Tm7sf2|Vldlr|
organic hydroxy compound metabolic process	GO:1901615	0.0126275	Msmo1(4), Sqle(5), Nsdhl(7), Fdps(8), Slc22a4(12), 0610007P14Rik(20), Mvk(35), Hmgcs1(36), Ebp(69), Cyp51(91), Med1(103), Dhcr24(124), Itpk1(157), Hprt(198)	218	1.5e-05	218	0.04168106	1e-05	0.015153	0.968		0610007P14Rik|Abca2|Abcg1|Abhd3|Acaa1a|Acadl|Acadm|Acer2|Acer3|Ache|Adh5|Adrbk2|Agpat6|Akr1b10|Akr1c18|Aldh1a1|Aldh3a2|Alox12|Aplp2|Apoa1|Apoa2|Apobr|Apoc1|Apoe|App|Arv1|Atp2b2|Atp7a|Atp8b1|Bbox1|Bcl2|Btbd9|Cacna1a|Cacna1h|Cat|Cebpa|Cept1|Chdh|Chka|Chpt1|Cln3|Cln6|Cln8|Comt|Coq2|Coq3|Cpq|Cpt1c|Crat|Crhr2|Crym|Ctns|Cyb5r1|Cyb5r3|Cyp11b2|Cyp1b1|Cyp27a1|Cyp2d22|Cyp46a1|Cyp51|Cyp7b1|Dbi|Ddc|Ddt|Degs2|Dgat2|Dhcr24|Dhcr7|Dhrs4|Dpagt1|Dpm1|Dpm2|Ebp|Ebpl|Enpp2|Enpp6|Epas1|Fabp5|Fdft1|Fdps|Fdxr|Fech|G6pdx|Galk1|Gba|Gba2|Gch1|Gde1|Gdpd1|Gdpd2|Gdpd3|Gdpd5|Got1|Gpr37|Grin2a|Hdc|Hdlbp|Hif1a|Hmgcr|Hmgcs1|Hmgcs2|Hprt|Hsd17b1|Hsd17b7|Htr1a|Htt|Impa2|Inpp4b|Inpp5a|Inpp5e|Inpp5k|Inppl1|Insig1|Insig2|Insm1|Ip6k1|Ipmk|Ippk|Isyna1|Itpk1|Itpka|Kcnj6|Lcat|Ldhb|Ldlr|Ldlrap1|Lipa|Lpcat2|Lrp1|Lrp5|Lss|Ly6e|Mbtps1|Mecp2|Med1|Msmo1|Mt3|Mtmr2|Mttp|Mvd|Mvk|Myo5a|Npc1|Npc2|Nr4a2|Nsdhl|Ntsr1|Nus1|Park7|Pcyt1a|Pde1b|Pdxk|Pecr|Pemt|Pex2|Pfkfb2|Pla2g15|Plcg2|Pltp|Pmvk|Pnmt|Pnpla6|Pnpla8|Pnpo|Ppap2a|Ppip5k1|Prkaa1|Prkaa2|Pten|Ptpmt1|Rbp1|Rdh10|Rdh11|Rdh12|Rdh14|Reln|Retsat|Samd8|Sc5d|Scap|Scp2|Sgms1|Sgpp1|Sgpp2|Slc22a4|Slc22a5|Slc27a1|Slc27a2|Slc37a4|Slc5a3|Slco4a1|Smpd1|Smpd3|Smpd4|Smpdl3a|Smpdl3b|Snca|Sncb|Soat1|Sord|Sphk1|Sphk2|Spr|Sptlc1|Sptlc2|Sqle|Srd5a3|Srebf1|Srebf2|Sult1a1|Synj2|Tgfb2|Tkfc|Tm7sf2|Tph2|Trpc1|Ttr|Vldlr|
steroid biosynthetic process	GO:0006694	0.01683667	Msmo1(4), Nsdhl(7), Fdps(8), 0610007P14Rik(20), Mvk(35), Hmgcs1(36), Ebp(69), Cyp51(91), Med1(103), Dhcr24(124)	53	3.5e-05	53	0.04564504	2e-05	0.02946417	0.76		0610007P14Rik|Acbd3|Akr1c18|Apoa1|Apoe|Bmpr1b|Cacna1h|Cyb5r1|Cyb5r3|Cyp11b2|Cyp27a1|Cyp51|Cyp7b1|Dhcr24|Dhcr7|Ebp|Fdft1|Fdps|G6pdx|H2-Ke6|Hint2|Hmgcr|Hmgcs1|Hmgcs2|Hsd11b1|Hsd17b1|Hsd17b11|Hsd17b12|Hsd17b7|Hsd3b7|Insig1|Insig2|Lss|Med1|Msmo1|Mvd|Mvk|Nsdhl|Pbx1|Pex2|Pmvk|Prkaa1|Prkaa2|Sc5d|Scp2|Sdr42e1|Slc27a2|Srd5a1|Stard3|Tecr|Tm7sf2|Tspo|Wnt4|
alcohol metabolic process	GO:0006066	0.020204	Msmo1(4), Sqle(5), Nsdhl(7), Fdps(8), 0610007P14Rik(20), Mvk(35), Hmgcs1(36), Ebp(69), Cyp51(91), Dhcr24(124), Itpk1(157)	160	1.5e-05	160	0.03749508	2e-05	0.025255	0.956		0610007P14Rik|Abca2|Abcg1|Abhd3|Acer2|Acer3|Ache|Adh5|Adrbk2|Agpat6|Akr1b10|Akr1c18|Aldh1a1|Aldh3a2|Aplp2|Apoa1|Apoa2|Apobr|Apoc1|Apoe|App|Arv1|Cacna1h|Cat|Cebpa|Cept1|Chdh|Chka|Chpt1|Cln3|Cln6|Cln8|Coq2|Coq3|Cyb5r1|Cyb5r3|Cyp11b2|Cyp1b1|Cyp27a1|Cyp46a1|Cyp51|Cyp7b1|Dbi|Degs2|Dgat2|Dhcr24|Dhcr7|Dhrs4|Dpagt1|Dpm1|Dpm2|Ebp|Ebpl|Enpp2|Enpp6|Fabp5|Fdft1|Fdps|Fdxr|Fech|G6pdx|Galk1|Gba|Gde1|Gdpd1|Gdpd2|Gdpd3|Gdpd5|Got1|Hdlbp|Hmgcr|Hmgcs1|Hmgcs2|Hsd17b1|Hsd17b7|Impa2|Inpp4b|Inpp5a|Inpp5e|Inpp5k|Inppl1|Insig1|Insig2|Ip6k1|Ipmk|Ippk|Isyna1|Itpk1|Itpka|Lcat|Ldlr|Ldlrap1|Lipa|Lpcat2|Lrp1|Lrp5|Lss|Mbtps1|Mecp2|Msmo1|Mt3|Mtmr2|Mttp|Mvd|Mvk|Npc1|Npc2|Nsdhl|Ntsr1|Nus1|Park7|Pcyt1a|Pecr|Pemt|Pla2g15|Plcg2|Pmvk|Pnpla6|Pnpla8|Ppap2a|Ppip5k1|Prkaa1|Prkaa2|Pten|Ptpmt1|Rbp1|Rdh10|Rdh11|Rdh12|Rdh14|Retsat|Samd8|Sc5d|Scap|Scp2|Sgms1|Sgpp1|Sgpp2|Slc27a1|Slc5a3|Smpd1|Smpd3|Smpd4|Smpdl3a|Smpdl3b|Soat1|Sord|Sphk1|Sphk2|Sptlc1|Sptlc2|Sqle|Srd5a3|Srebf1|Srebf2|Synj2|Tkfc|Tm7sf2|Ttr|Vldlr|
alcohol biosynthetic process	GO:0046165	0.02164714	Msmo1(4), Nsdhl(7), Fdps(8), 0610007P14Rik(20), Mvk(35), Hmgcs1(36), Ebp(69), Cyp51(91), Dhcr24(124)	62	4e-05	62	0.03908113	3e-05	0.02886286	0.853		0610007P14Rik|Acer2|Acer3|Agpat6|Akr1c18|Apoa1|Apoa2|Apoe|Cacna1h|Cept1|Chka|Chpt1|Cyb5r1|Cyb5r3|Cyp11b2|Cyp27a1|Cyp51|Dhcr24|Dhcr7|Dpagt1|Ebp|Fabp5|Fdft1|Fdps|G6pdx|Gba|Got1|Hmgcr|Hmgcs1|Hmgcs2|Hsd17b1|Hsd17b7|Insig1|Insig2|Ip6k1|Ipmk|Isyna1|Lcat|Lpcat2|Lss|Msmo1|Mvd|Mvk|Nsdhl|Nus1|Park7|Pcyt1a|Pemt|Plcg2|Pmvk|Prkaa1|Prkaa2|Samd8|Sc5d|Scp2|Sgms1|Slc27a1|Sphk1|Sphk2|Sptlc1|Sptlc2|Tm7sf2|
lipid biosynthetic process	GO:0008610	0.02209812	Msmo1(4), Nsdhl(7), Fdps(8), 0610007P14Rik(20), Mvk(35), Hmgcs1(36), Ebp(69), Cyp51(91), Med1(103), Dolk(117), Dhcr24(124), Agpat5(144), Dolpp1(168), Agpat1(172), Crls1(173)	268	0.000195	268	0.04043625	3.5e-05	0.0984945	0.941		0610007P14Rik|2010111I01Rik|4930538K18Rik|Abhd5|Acaca|Acbd3|Acer2|Acer3|Acly|Acot7|Acsf3|Acsl1|Acsl3|Acsl4|Acsl5|Acsl6|Acss1|Acss2|Agmo|Agpat1|Agpat2|Agpat3|Agpat4|Agpat5|Agpat6|Agpat9|Agps|Akr1c18|Aldh1a1|Aldh1a2|Alox12|Alox12b|Alox5ap|Alox8|Aloxe3|Ang|Apoa1|Apoa2|Apoe|Atm|B4galnt1|B4galt6|Bmpr1b|Cacna1h|Cbr4|Cd74|Cd81|Cdipt|Cds1|Cds2|Cept1|Cers2|Cers4|Cers5|Chka|Chpt1|Coq2|Crls1|Cwh43|Cyb5r1|Cyb5r3|Cyp11b2|Cyp27a1|Cyp51|Cyp7b1|Dctn6|Decr2|Degs1|Degs2|Dgat1|Dgat2|Dhcr24|Dhcr7|Dolk|Dolpp1|Dpagt1|Dpm1|Dpm2|Dpm3|Ebp|Edn1|Elovl1|Elovl2|Elovl4|Elovl5|Elovl6|Elovl7|Ept1|Etnk1|Fa2h|Fabp5|Fads1|Fads2|Fads3|Fam213b|Fam57b|Far1|Fasn|Fdft1|Fdps|Fitm2|G6pdx|Gal3st1|Gba|Ggt5|Gnpat|Gpaa1|Gpam|H2-Ke6|Hacd1|Hacd2|Hacd3|Hacd4|Hexb|Hint2|Hmgcr|Hmgcs1|Hmgcs2|Hpgds|Hsd11b1|Hsd17b1|Hsd17b11|Hsd17b12|Hsd17b7|Hsd3b7|Idi1|Inpp4a|Inpp4b|Inppl1|Insig1|Insig2|Ispd|Isyna1|Kdsr|Lcat|Lclat1|Lias|Lipt2|Lpcat2|Lpcat3|Lpgat1|Lpin1|Lpin2|Lpl|Lss|Lta4h|Ltc4s|Mboat1|Mboat2|Mboat7|Mcat|Mecr|Med1|Mgll|Mif|Mlycd|Msmo1|Mvd|Mvk|Myo5a|Nr1h3|Nsdhl|Nus1|Oxsm|P2rx7|Pbx1|Pcyt1a|Pcyt1b|Pcyt2|Pdss1|Pecr|Pemt|Pex2|Pex5|Pex7|Pgap1|Pgap2|Pgap3|Pgs1|Pi4k2a|Pi4kb|Piga|Pigc|Pigf|Pigk|Pign|Pigo|Pigp|Pigq|Pigs|Pigt|Pigu|Pigx|Pigyl|Pigz|Pik3c3|Pik3ca|Pik3cb|Pik3cd|Pik3cg|Pik3r1|Pip5k1a|Pla2g6|Plcg2|Pld1|Pld2|Plp1|Plscr1|Pmvk|Pnpla3|Pnpla8|Ppap2a|Prkaa1|Prkaa2|Prkab1|Prkab2|Prkag1|Prkag2|Prpf19|Ptdss2|Ptgds|Ptges2|Ptges3|Ptgis|Ptgs1|Ptpmt1|Pyurf|Rdh10|Rnpep|Samd8|Sc5d|Scd1|Scd2|Scp2|Sdr42e1|Serac1|Serinc1|Serinc5|Sgms1|Sh3glb1|Sh3yl1|Slc27a1|Slc27a2|Smpd1|Smpd2|Smpd4|Sphk1|Sphk2|Sptlc1|Sptlc2|Srd5a1|Srebf1|St6galnac5|St6galnac6|St8sia2|St8sia3|St8sia4|Stard3|Tamm41|Taz|Tbxas1|Tecr|Thnsl2|Tm7sf2|Tspo|Ugcg|Ugt8a|Wnt4|
small molecule biosynthetic process	GO:0044283	0.02806111	Msmo1(4), Nsdhl(7), Fdps(8), 0610007P14Rik(20), Mvk(35), Hmgcs1(36), Ebp(69), Cyp51(91), Dhcr24(124)	224	0.00022	224	0.03696747	5e-05	0.10102	0.965		0610007P14Rik|2010111I01Rik|Abat|Acaca|Acadm|Acer2|Acer3|Acly|Acot7|Acsf3|Acsl3|Acss1|Acss2|Adck3|Agmo|Agpat6|Ahcy|Akr1a1|Akr1c18|Aldh18a1|Aldh1a1|Aldh1a2|Aldh4a1|Alox12|Alox12b|Alox5ap|Alox8|Aloxe3|Apip|Apoa1|Apoa2|Apoe|Asl|Asns|Asnsd1|Atf4|Atic|Bbox1|Bcat1|Bcat2|Cacna1h|Cad|Carns1|Cbr4|Cbs|Cd74|Cept1|Chka|Chpt1|Chst12|Chst14|Chst15|Coq2|Coq3|Coq4|Coq5|Coq6|Coq7|Coq9|Crtc2|Cyb5r1|Cyb5r3|Cyp11b2|Cyp27a1|Cyp51|Cyp7b1|Decr2|Degs1|Dhcr24|Dhcr7|Dhps|Dpagt1|Ebp|Edn1|Elovl1|Elovl2|Elovl4|Elovl5|Elovl6|Elovl7|Enoph1|Fa2h|Fabp5|Fads1|Fads2|Fads3|Fam213b|Fasn|Fdft1|Fdps|Fdxr|Fpgs|G6pc|G6pc3|G6pdx|Gad1|Gamt|Gart|Gba|Gch1|Ggt5|Glud1|Glul|Got1|Got2|Gpd1|Gpd2|Gpi1|Gsto1|H2-Ke6|Hacd1|Hacd2|Hacd3|Hacd4|Hmgcl|Hmgcll1|Hmgcr|Hmgcs1|Hmgcs2|Hpgds|Hsd17b1|Hsd17b7|Htt|Insig1|Insig2|Ip6k1|Ipmk|Isyna1|Kdm3a|Lcat|Ldhb|Lias|Lipt2|Lpcat2|Lpl|Lss|Lta4h|Ltc4s|Mcat|Mecr|Mgll|Mif|Mlycd|Mri1|Msmo1|Mthfd1|Mthfd1l|Mthfd2|Mtrr|Mvd|Mvk|Myo5a|Ndufa9|Nr1h3|Nsdhl|Nus1|Oxsm|Padi2|Park7|Pcx|Pcyt1a|Pdss1|Pecr|Pemt|Pex2|Pgam2|Pgd|Pgk1|Pklr|Pkm|Plcg2|Plp1|Pltp|Pmm1|Pmm2|Pmvk|Pnp|Pnpla8|Pnpo|Prkaa1|Prkaa2|Prkab1|Prkab2|Prkag1|Prkag2|Prps1|Psat1|Ptgds|Ptges2|Ptges3|Ptgis|Ptgs1|Pycr2|Pycrl|Rdh10|Rnpep|Samd8|Sc5d|Scd1|Scd2|Scp2|Sephs2|Sgms1|Shmt2|Slc1a3|Slc27a1|Slc27a2|Sord|Sphk1|Sphk2|Sptlc1|Sptlc2|Srr|Stard3|Tbxas1|Tecr|Tha1|Thnsl1|Thnsl2|Tm7sf2|Tpi1|Ubiad1|Uros|Vkorc1|
carboxylic acid metabolic process	GO:0019752	0.03903045	Idh1(2), Msmo1(4), Slc22a4(12), Rars(53), Serinc2(63), Echs1(76), Ppat(77), Me3(86.5), Farsa(154), Uevld(171)	434	0.002535	434	0.0542311	8.5e-05	0.53351187	0.956		2010111I01Rik|4930538K18Rik|Aacs|Aars|Aars2|Aarsd1|Aasdh|Aass|Abat|Abcd1|Abcd2|Abcd3|Abhd10|Abhd12|Abhd5|Acaa1a|Acaa1b|Acaa2|Acaca|Acad11|Acad8|Acadl|Acadm|Acads|Acadsb|Acadvl|Acly|Aco1|Aco2|Acot1|Acot11|Acot2|Acot3|Acot5|Acot7|Acot8|Acox3|Acsbg1|Acsf2|Acsf3|Acsl1|Acsl3|Acsl4|Acsl5|Acsl6|Acss1|Acss2|Acy1|Adipor1|Adipor2|Adpgk|Adss|Adssl1|Afmid|Agmo|Agpat6|Ahcy|Ahcyl1|Ahcyl2|Akr1a1|Aldh18a1|Aldh1a1|Aldh1a2|Aldh1l1|Aldh1l2|Aldh4a1|Aldh5a1|Aldh6a1|Aldoa|Aldob|Aldoc|Alkbh7|Alox12|Alox12b|Alox5ap|Alox8|Aloxe3|Amdhd2|Ankrd23|Apip|Apoa2|Arv1|As3mt|Asl|Asns|Asnsd1|Aspa|Aspg|Asrgl1|Atg7|Atic|Atp7a|Atp8b1|Auh|Azin1|Azin2|Bbox1|Bcat1|Bcat2|Bckdha|Bckdhb|Bckdk|Bco2|Bdh2|Bpgm|Btd|C3|Cacna1a|Cad|Carns1|Cars|Cbr4|Cbs|Ccbl1|Ccbl2|Cd74|Cdo1|Chst12|Chst14|Cln3|Cpt1c|Cpt2|Crat|Crtap|Cryl1|Cs|Csad|Csgalnact1|Ctps|Ctps2|Cyb5a|Cygb|Cyp1b1|Cyp26b1|Cyp2d22|Cyp2j9|Cyp2s1|Cyp4f13|Cyp4f14|Cyp4v3|Cyp7b1|Dagla|Daglb|Dalrd3|Dars|Dars2|Ddah1|Ddah2|Ddc|Ddo|Decr1|Decr2|Degs1|Dhps|Dlat|Dld|Dlst|Dnmt1|Dnmt3b|Dtd1|Ears2|Ech1|Echdc2|Echs1|Eci1|Eci2|Edn1|Egln1|Egln2|Egln3|Elovl1|Elovl2|Elovl4|Elovl5|Elovl6|Elovl7|Eno2|Eno3|Eno4|Enoph1|Ephx2|Eprs|Ero1lb|Etfdh|Fa2h|Faah|Fads1|Fads2|Fads3|Fah|Fam213b|Fars2|Farsa|Farsb|Fasn|Fh1|Folr1|Fpgs|Gad1|Gamt|Gars|Gart|Gatb|Gatc|Gba2|Gcdh|Gch1|Gck|Gclm|Gfpt2|Ggt5|Ghr|Gldc|Gls2|Glud1|Glul|Gne|Got1|Got1l1|Got2|Gpam|Gpi1|Gpt2|Grhpr|Gsto1|Gsto2|Gstz1|H2-Ke6|Hacd1|Hacd2|Hacd3|Hacd4|Hadh|Hadha|Hadhb|Hars|Hdc|Hibadh|Hif1a|Hk1|Hk2|Hk3|Hkdc1|Hnf4a|Hpdl|Hpgd|Hpgds|Hsd17b4|Htt|Iars|Iars2|Icmt|Idh1|Idh2|Idh3a|Idh3b|Idh3g|Idua|Ivd|Kars|Lars|Ldhb|Lias|Lipa|Lipt2|Lpin1|Lpin2|Lpl|Lta4h|Ltc4s|Lypla1|Lypla2|Mapk14|Mars|Mars2|Mcat|Mcfd2|Mdh1|Mdh1b|Mdh2|Me1|Me2|Me3|Mecp2|Mecr|Mgll|Mif|Mlycd|Mpc2|Mpst|Mri1|Msmo1|Mthfd1|Mthfd1l|Mthfd2|Mtrr|Myo5a|Nagk|Nars|Nars2|Ndufs6|Nfs1|Nit2|Nos1|Nos3|Nr1h3|Ocln|Ogdh|Oxsm|P4ha1|P4ha2|P4hb|Padi2|Pam|Park7|Pars2|Pcmt1|Pcx|Pcyox1|Pcyox1l|Pdha1|Pdhb|Pdk4|Pdpn|Pdxdc1|Pecr|Pemt|Pex13|Pex2|Pex5|Pex7|Pfkfb2|Pfkl|Pfkm|Pfkp|Pgam1|Pgam2|Pgd|Pgk1|Pipox|Pklr|Pkm|Pla2g15|Plp1|Plscr1|Pnpla8|Por|Pparg|Ppat|Prdx4|Prkaa1|Prkaa2|Prkab1|Prkab2|Prkag1|Prkag2|Prodh|Psat1|Ptdss2|Ptgds|Ptges2|Ptges3|Ptgis|Ptgr2|Ptgs1|Pycr2|Pycrl|Qrsl1|Rars|Rars2|Rbp1|Rdh10|Renbp|Rnpep|Sardh|Sars|Sars2|Sc5d|Scd1|Scd2|Sdha|Sdhb|Sdhc|Sdhd|Sdsl|Sephs2|Serinc1|Serinc2|Serinc3|Serinc5|Sesn2|Sgpl1|Shmt2|Slc1a3|Slc22a4|Slc22a5|Slc23a2|Slc25a17|Slc27a1|Slc27a2|Slc27a3|Slc27a4|Slc37a4|Snca|Sphk1|Spr|Srr|St6gal1|Stat5a|Suclg1|Suclg2|Tars|Tars2|Tarsl2|Tbxas1|Tecr|Tha1|Them4|Thnsl1|Thnsl2|Tlr2|Tnfrsf1a|Tnxb|Tph2|Tpi1|Uevld|Ugt8a|Urod|Uros|Vars|Vars2|Wars|Wars2|Yars|
