# 2017-02-02
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop//jackknife_late_up_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop_all_processes//2017-02-02_geneset_500/ermineJ_jackknife_late_up_regulation_mixed_model_results.tsv
# only top 50 pathways
# only top 200 genes from the score file are shown ranking in ()
# FDR: corrected p value, []: gene member size of the pathway
geneSymbol	rank	Count	name	sig_paths
Man2b1	1	20	mannose binding- FDR:0.28061111[10](GO:0005537); trehalase activity- FDR:0.33629026[13](GO:0015927); fucosidase activity- FDR:0.33629026[13](GO:0015928); dextrin alpha-glucosidase activity- FDR:0.33629026[13](GO:0044653); starch alpha-glucosidase activity- FDR:0.33629026[13](GO:0044654); beta-glucanase activity- FDR:0.33629026[13](GO:0052736); beta-6-sulfate-N-acetylglucosaminidase activity- FDR:0.33629026[13](GO:0052769); glucan endo-1,4-beta-glucosidase activity- FDR:0.33629026[13](GO:0052859); amylase activity- FDR:0.35116476[14](GO:0016160); beta-glucosidase activity- FDR:0.368723[14](GO:0008422); galactosidase activity- FDR:0.34438636[15](GO:0015925); alpha-glucosidase activity- FDR:0.34936083[16](GO:0090599); glucosidase activity- FDR:0.35939808[18](GO:0015926); lytic transglycosylase activity- FDR:0.40498196[23](GO:0008933); mannosyl-oligosaccharide mannosidase activity- FDR:0.40978274[28](GO:0015924); alpha-mannosidase activity- FDR:0.43582914[29](GO:0004559); mannosidase activity- FDR:0.42442431[30](GO:0015923); lytic vacuole- FDR:0.29266088[295](GO:0000323); lysosome- FDR:0.29266088[295](GO:0005764); carbohydrate metabolic process- FDR:0.3363966[327](GO:0005975)	NA
Idh1	2	12	2-oxoglutarate metabolic process- FDR:0.32941304[13](GO:0006103); isocitrate dehydrogenase activity- FDR:0.42775656[20](GO:0004448); tricarboxylic acid cycle- FDR:0.42015136[23](GO:0006099); citrate metabolic process- FDR:0.41431851[26](GO:0006101); tricarboxylic acid metabolic process- FDR:0.40341539[28](GO:0072350); regulation of lipid catabolic process- FDR:0.40148974[32](GO:0050994); aerobic respiration- FDR:0.49476841[34](GO:0009060); carbohydrate metabolic process- FDR:0.3363966[327](GO:0005975); carboxylic acid metabolic process- FDR:0.03903045[434](GO:0019752); oxidoreductase activity- FDR:0.0429335[440](GO:0016491); oxoacid metabolic process- FDR:0.18152031[474](GO:0043436); organic acid metabolic process- FDR:0.19362167[480](GO:0006082)	carboxylic acid metabolic process- FDR:0.03903045[434](GO:0019752); oxidoreductase activity- FDR:0.0429335[440](GO:0016491)
Cd68	3	2	lytic vacuole- FDR:0.29266088[295](GO:0000323); lysosome- FDR:0.29266088[295](GO:0005764)	NA
Msmo1	4	16	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen- FDR:0.35357[18](GO:0016709); sterol biosynthetic process- FDR:0.008418[28](GO:0016126); monooxygenase activity- FDR:0.49521761[41](GO:0004497); steroid biosynthetic process- FDR:0.01683667[53](GO:0006694); alcohol biosynthetic process- FDR:0.02164714[62](GO:0046165); sterol metabolic process- FDR:0.0126275[64](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.03998708[90](GO:1901617); steroid metabolic process- FDR:5.051e-09[108](GO:0008202); alcohol metabolic process- FDR:0.020204[160](GO:0006066); organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); small molecule biosynthetic process- FDR:0.02806111[224](GO:0044283); lipid biosynthetic process- FDR:0.02209812[268](GO:0008610); carboxylic acid metabolic process- FDR:0.03903045[434](GO:0019752); oxidoreductase activity- FDR:0.0429335[440](GO:0016491); oxoacid metabolic process- FDR:0.18152031[474](GO:0043436); organic acid metabolic process- FDR:0.19362167[480](GO:0006082)	sterol biosynthetic process- FDR:0.008418[28](GO:0016126); steroid biosynthetic process- FDR:0.01683667[53](GO:0006694); alcohol biosynthetic process- FDR:0.02164714[62](GO:0046165); sterol metabolic process- FDR:0.0126275[64](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.03998708[90](GO:1901617); steroid metabolic process- FDR:5.051e-09[108](GO:0008202); alcohol metabolic process- FDR:0.020204[160](GO:0006066); organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); small molecule biosynthetic process- FDR:0.02806111[224](GO:0044283); lipid biosynthetic process- FDR:0.02209812[268](GO:0008610); carboxylic acid metabolic process- FDR:0.03903045[434](GO:0019752); oxidoreductase activity- FDR:0.0429335[440](GO:0016491)
Sqle	5	9	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen- FDR:0.35357[18](GO:0016709); monooxygenase activity- FDR:0.49521761[41](GO:0004497); cholesterol metabolic process- FDR:0.05633808[58](GO:0008203); secondary alcohol metabolic process- FDR:0.05633808[58](GO:1902652); sterol metabolic process- FDR:0.0126275[64](GO:0016125); steroid metabolic process- FDR:5.051e-09[108](GO:0008202); alcohol metabolic process- FDR:0.020204[160](GO:0006066); organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); oxidoreductase activity- FDR:0.0429335[440](GO:0016491)	sterol metabolic process- FDR:0.0126275[64](GO:0016125); steroid metabolic process- FDR:5.051e-09[108](GO:0008202); alcohol metabolic process- FDR:0.020204[160](GO:0006066); organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); oxidoreductase activity- FDR:0.0429335[440](GO:0016491)
Cidea	6	2	regulation of lipid catabolic process- FDR:0.40148974[32](GO:0050994); mitochondrial envelope- FDR:0.16956929[434](GO:0005740)	NA
Nsdhl	7	15	cholesterol biosynthetic process- FDR:0.39188793[25](GO:0006695); secondary alcohol biosynthetic process- FDR:0.39188793[25](GO:1902653); sterol biosynthetic process- FDR:0.008418[28](GO:0016126); steroid biosynthetic process- FDR:0.01683667[53](GO:0006694); cholesterol metabolic process- FDR:0.05633808[58](GO:0008203); secondary alcohol metabolic process- FDR:0.05633808[58](GO:1902652); alcohol biosynthetic process- FDR:0.02164714[62](GO:0046165); sterol metabolic process- FDR:0.0126275[64](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.03998708[90](GO:1901617); steroid metabolic process- FDR:5.051e-09[108](GO:0008202); alcohol metabolic process- FDR:0.020204[160](GO:0006066); organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); small molecule biosynthetic process- FDR:0.02806111[224](GO:0044283); lipid biosynthetic process- FDR:0.02209812[268](GO:0008610); oxidoreductase activity- FDR:0.0429335[440](GO:0016491)	sterol biosynthetic process- FDR:0.008418[28](GO:0016126); steroid biosynthetic process- FDR:0.01683667[53](GO:0006694); alcohol biosynthetic process- FDR:0.02164714[62](GO:0046165); sterol metabolic process- FDR:0.0126275[64](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.03998708[90](GO:1901617); steroid metabolic process- FDR:5.051e-09[108](GO:0008202); alcohol metabolic process- FDR:0.020204[160](GO:0006066); organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); small molecule biosynthetic process- FDR:0.02806111[224](GO:0044283); lipid biosynthetic process- FDR:0.02209812[268](GO:0008610); oxidoreductase activity- FDR:0.0429335[440](GO:0016491)
Fdps	8	15	cholesterol biosynthetic process- FDR:0.39188793[25](GO:0006695); secondary alcohol biosynthetic process- FDR:0.39188793[25](GO:1902653); sterol biosynthetic process- FDR:0.008418[28](GO:0016126); steroid biosynthetic process- FDR:0.01683667[53](GO:0006694); cholesterol metabolic process- FDR:0.05633808[58](GO:0008203); secondary alcohol metabolic process- FDR:0.05633808[58](GO:1902652); alcohol biosynthetic process- FDR:0.02164714[62](GO:0046165); sterol metabolic process- FDR:0.0126275[64](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.03998708[90](GO:1901617); steroid metabolic process- FDR:5.051e-09[108](GO:0008202); alcohol metabolic process- FDR:0.020204[160](GO:0006066); organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); small molecule biosynthetic process- FDR:0.02806111[224](GO:0044283); lipid biosynthetic process- FDR:0.02209812[268](GO:0008610); organophosphate metabolic process- FDR:0.40828917[433](GO:0019637)	sterol biosynthetic process- FDR:0.008418[28](GO:0016126); steroid biosynthetic process- FDR:0.01683667[53](GO:0006694); alcohol biosynthetic process- FDR:0.02164714[62](GO:0046165); sterol metabolic process- FDR:0.0126275[64](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.03998708[90](GO:1901617); steroid metabolic process- FDR:5.051e-09[108](GO:0008202); alcohol metabolic process- FDR:0.020204[160](GO:0006066); organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); small molecule biosynthetic process- FDR:0.02806111[224](GO:0044283); lipid biosynthetic process- FDR:0.02209812[268](GO:0008610)
Slc22a4	12	4	organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); carboxylic acid metabolic process- FDR:0.03903045[434](GO:0019752); oxoacid metabolic process- FDR:0.18152031[474](GO:0043436); organic acid metabolic process- FDR:0.19362167[480](GO:0006082)	organic hydroxy compound metabolic process- FDR:0.0126275[218](GO:1901615); carboxylic acid metabolic process- FDR:0.03903045[434](GO:0019752)
Fahd1	19	2	mitochondrial membrane- FDR:0.41596471[401](GO:0031966); mitochondrial envelope- FDR:0.16956929[434](GO:0005740)	NA
