# 2017-02-01
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm//jackknife_early_down_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_all_processes//2017-02-01_geneset_500/ermineJ_jackknife_early_down_regulation_mixed_model_results.tsv
# only top 50 pathways
# only top 200 genes from the score file are shown ranking in ()
# FDR: corrected p value, []: gene member size of the pathway
geneSymbol	rank	Count	name	sig_paths
Ttyh2	1	1	chloride channel complex- FDR:0.2127225[21](GO:0034707)	NA
Irgm2	3	12	host- FDR:0.03341571[10](GO:0018995); host cell- FDR:0.03341571[10](GO:0043657); other organism- FDR:0.03341571[10](GO:0044215); other organism cell- FDR:0.03341571[10](GO:0044216); other organism part- FDR:0.03341571[10](GO:0044217); response to protozoan- FDR:0.15434471[10](GO:0001562); innate immune response- FDR:0.14550923[174](GO:0045087); response to external biotic stimulus- FDR:0.17628[232](GO:0043207); response to other organism- FDR:0.17628[232](GO:0051707); response to cytokine- FDR:0.09014318[236](GO:0034097); immune response- FDR:0.021357[308](GO:0006955); defense response- FDR:0.048025[369](GO:0006952)	host- FDR:0.03341571[10](GO:0018995); host cell- FDR:0.03341571[10](GO:0043657); other organism- FDR:0.03341571[10](GO:0044215); other organism cell- FDR:0.03341571[10](GO:0044216); other organism part- FDR:0.03341571[10](GO:0044217); immune response- FDR:0.021357[308](GO:0006955); defense response- FDR:0.048025[369](GO:0006952)
Tap2	8	8	host- FDR:0.03341571[10](GO:0018995); host cell- FDR:0.03341571[10](GO:0043657); other organism- FDR:0.03341571[10](GO:0044215); other organism cell- FDR:0.03341571[10](GO:0044216); other organism part- FDR:0.03341571[10](GO:0044217); response to external biotic stimulus- FDR:0.17628[232](GO:0043207); response to other organism- FDR:0.17628[232](GO:0051707); chemical homeostasis- FDR:0.02034[443](GO:0048878)	host- FDR:0.03341571[10](GO:0018995); host cell- FDR:0.03341571[10](GO:0043657); other organism- FDR:0.03341571[10](GO:0044215); other organism cell- FDR:0.03341571[10](GO:0044216); other organism part- FDR:0.03341571[10](GO:0044217); chemical homeostasis- FDR:0.02034[443](GO:0048878)
Gbp3	9	12	host- FDR:0.03341571[10](GO:0018995); host cell- FDR:0.03341571[10](GO:0043657); other organism- FDR:0.03341571[10](GO:0044215); other organism cell- FDR:0.03341571[10](GO:0044216); other organism part- FDR:0.03341571[10](GO:0044217); response to protozoan- FDR:0.15434471[10](GO:0001562); innate immune response- FDR:0.14550923[174](GO:0045087); response to external biotic stimulus- FDR:0.17628[232](GO:0043207); response to other organism- FDR:0.17628[232](GO:0051707); response to cytokine- FDR:0.09014318[236](GO:0034097); immune response- FDR:0.021357[308](GO:0006955); defense response- FDR:0.048025[369](GO:0006952)	host- FDR:0.03341571[10](GO:0018995); host cell- FDR:0.03341571[10](GO:0043657); other organism- FDR:0.03341571[10](GO:0044215); other organism cell- FDR:0.03341571[10](GO:0044216); other organism part- FDR:0.03341571[10](GO:0044217); immune response- FDR:0.021357[308](GO:0006955); defense response- FDR:0.048025[369](GO:0006952)
Src	15	28	innate immune response- FDR:0.14550923[174](GO:0045087); cellular response to organonitrogen compound- FDR:0.14012[182](GO:0071417); cellular response to nitrogen compound- FDR:0.1825515[210](GO:1901699); positive regulation of cell migration- FDR:0.19735297[212](GO:0030335); positive regulation of cell motility- FDR:0.17809902[218](GO:2000147); cellular response to hormone stimulus- FDR:0.19215947[219](GO:0032870); response to cytokine- FDR:0.09014318[236](GO:0034097); immune response- FDR:0.021357[308](GO:0006955); enzyme linked receptor protein signaling pathway- FDR:0.04666235[317](GO:0007167); regulation of cell adhesion- FDR:0.02268692[337](GO:0030155); regulation of cell morphogenesis- FDR:0.0245775[346](GO:0022604); cellular response to oxygen-containing compound- FDR:0.0177975[348](GO:1901701); regulation of secretion by cell- FDR:0.07797[349](GO:1903530); immune system development- FDR:0.18566163[353](GO:0002520); positive regulation of apoptotic process- FDR:0.18144205[365](GO:0043065); defense response- FDR:0.048025[369](GO:0006952); regulation of secretion- FDR:0.15123774[374](GO:0051046); regulation of cell migration- FDR:0.0226[379](GO:0030334); positive regulation of cell death- FDR:0.16166793[390](GO:0010942); regulation of cell projection organization- FDR:0.04549737[392](GO:0031344); cell migration- FDR:0.156279[392](GO:0016477); regulation of protein transport- FDR:0.14651156[398](GO:0051223); regulation of cell motility- FDR:0.02034[400](GO:2000145); cellular response to endogenous stimulus- FDR:0.04449375[424](GO:0071495); regulation of establishment of protein localization- FDR:0.1452276[433](GO:0070201); regulation of locomotion- FDR:0.024408[436](GO:0040012); regulation of cellular component movement- FDR:0.02034[440](GO:0051270); positive regulation of protein phosphorylation- FDR:0.18799971[493](GO:0001934)	immune response- FDR:0.021357[308](GO:0006955); enzyme linked receptor protein signaling pathway- FDR:0.04666235[317](GO:0007167); regulation of cell adhesion- FDR:0.02268692[337](GO:0030155); regulation of cell morphogenesis- FDR:0.0245775[346](GO:0022604); cellular response to oxygen-containing compound- FDR:0.0177975[348](GO:1901701); defense response- FDR:0.048025[369](GO:0006952); regulation of cell migration- FDR:0.0226[379](GO:0030334); regulation of cell projection organization- FDR:0.04549737[392](GO:0031344); regulation of cell motility- FDR:0.02034[400](GO:2000145); cellular response to endogenous stimulus- FDR:0.04449375[424](GO:0071495); regulation of locomotion- FDR:0.024408[436](GO:0040012); regulation of cellular component movement- FDR:0.02034[440](GO:0051270)
Crhbp	16	10	cellular response to organonitrogen compound- FDR:0.14012[182](GO:0071417); cellular response to nitrogen compound- FDR:0.1825515[210](GO:1901699); cellular response to hormone stimulus- FDR:0.19215947[219](GO:0032870); modulation of synaptic transmission- FDR:0.18723231[225](GO:0050804); response to cytokine- FDR:0.09014318[236](GO:0034097); cellular response to oxygen-containing compound- FDR:0.0177975[348](GO:1901701); regulation of secretion by cell- FDR:0.07797[349](GO:1903530); defense response- FDR:0.048025[369](GO:0006952); regulation of secretion- FDR:0.15123774[374](GO:0051046); cellular response to endogenous stimulus- FDR:0.04449375[424](GO:0071495)	cellular response to oxygen-containing compound- FDR:0.0177975[348](GO:1901701); defense response- FDR:0.048025[369](GO:0006952); cellular response to endogenous stimulus- FDR:0.04449375[424](GO:0071495)
Itpr2	17	4	cellular response to organonitrogen compound- FDR:0.14012[182](GO:0071417); cellular response to nitrogen compound- FDR:0.1825515[210](GO:1901699); cellular response to oxygen-containing compound- FDR:0.0177975[348](GO:1901701); cellular response to endogenous stimulus- FDR:0.04449375[424](GO:0071495)	cellular response to oxygen-containing compound- FDR:0.0177975[348](GO:1901701); cellular response to endogenous stimulus- FDR:0.04449375[424](GO:0071495)
Ripk3	19	10	regulation of cell adhesion- FDR:0.02268692[337](GO:0030155); immune system development- FDR:0.18566163[353](GO:0002520); positive regulation of apoptotic process- FDR:0.18144205[365](GO:0043065); regulation of cell migration- FDR:0.0226[379](GO:0030334); positive regulation of cell death- FDR:0.16166793[390](GO:0010942); positive regulation of hydrolase activity- FDR:0.14207182[399](GO:0051345); regulation of cell motility- FDR:0.02034[400](GO:2000145); regulation of locomotion- FDR:0.024408[436](GO:0040012); regulation of cellular component movement- FDR:0.02034[440](GO:0051270); positive regulation of protein phosphorylation- FDR:0.18799971[493](GO:0001934)	regulation of cell adhesion- FDR:0.02268692[337](GO:0030155); regulation of cell migration- FDR:0.0226[379](GO:0030334); regulation of cell motility- FDR:0.02034[400](GO:2000145); regulation of locomotion- FDR:0.024408[436](GO:0040012); regulation of cellular component movement- FDR:0.02034[440](GO:0051270)
Arap3	20	6	regulation of cell morphogenesis- FDR:0.0245775[346](GO:0022604); regulation of cell migration- FDR:0.0226[379](GO:0030334); positive regulation of hydrolase activity- FDR:0.14207182[399](GO:0051345); regulation of cell motility- FDR:0.02034[400](GO:2000145); regulation of locomotion- FDR:0.024408[436](GO:0040012); regulation of cellular component movement- FDR:0.02034[440](GO:0051270)	regulation of cell morphogenesis- FDR:0.0245775[346](GO:0022604); regulation of cell migration- FDR:0.0226[379](GO:0030334); regulation of cell motility- FDR:0.02034[400](GO:2000145); regulation of locomotion- FDR:0.024408[436](GO:0040012); regulation of cellular component movement- FDR:0.02034[440](GO:0051270)
Slc9a3r1	21	9	negative regulation of cell proliferation- FDR:0.02681182[359](GO:0008285); positive regulation of apoptotic process- FDR:0.18144205[365](GO:0043065); regulation of secretion- FDR:0.15123774[374](GO:0051046); regulation of cell migration- FDR:0.0226[379](GO:0030334); positive regulation of cell death- FDR:0.16166793[390](GO:0010942); regulation of cell motility- FDR:0.02034[400](GO:2000145); regulation of locomotion- FDR:0.024408[436](GO:0040012); regulation of cellular component movement- FDR:0.02034[440](GO:0051270); chemical homeostasis- FDR:0.02034[443](GO:0048878)	negative regulation of cell proliferation- FDR:0.02681182[359](GO:0008285); regulation of cell migration- FDR:0.0226[379](GO:0030334); regulation of cell motility- FDR:0.02034[400](GO:2000145); regulation of locomotion- FDR:0.024408[436](GO:0040012); regulation of cellular component movement- FDR:0.02034[440](GO:0051270); chemical homeostasis- FDR:0.02034[443](GO:0048878)
