# 2017-02-01
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm//jackknife_early_up_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_all_processes//2017-02-01_geneset_500/ermineJ_jackknife_early_up_regulation_mixed_model_results.tsv
# only top 50 pathways
# only top 200 genes from the score file are shown ranking in ()
# FDR: corrected p value, []: gene member size of the pathway
geneSymbol	rank	Count	name	sig_paths
Slc29a1	1	7	nucleobase-containing compound transmembrane transporter activity- FDR:0.75165545[20](GO:0015932); carbohydrate derivative transporter activity- FDR:0.92938154[24](GO:1901505); excitatory postsynaptic potential- FDR:0.94145143[27](GO:0060079); carbohydrate derivative transport- FDR:0.94008938[31](GO:1901264); chemical synaptic transmission, postsynaptic- FDR:0.84524[32](GO:0099565); regulation of postsynaptic membrane potential- FDR:0.89496[33](GO:0060078); nucleobase-containing compound transport- FDR:1[103](GO:0015931)	NA
Sqle	2	11	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen- FDR:0.710205[18](GO:0016709); monooxygenase activity- FDR:0.90115043[40](GO:0004497); flavin adenine dinucleotide binding- FDR:0.943437[53](GO:0050660); cholesterol metabolic process- FDR:0.228825[59](GO:0008203); secondary alcohol metabolic process- FDR:0.228825[59](GO:1902652); sterol metabolic process- FDR:0.0584775[65](GO:0016125); steroid metabolic process- FDR:0.08862429[108](GO:0008202); alcohol metabolic process- FDR:0.1017[161](GO:0006066); cofactor binding- FDR:1[185](GO:0048037); organic hydroxy compound metabolic process- FDR:0.05085[218](GO:1901615); oxidoreductase activity- FDR:0.41358[439](GO:0016491)	NA
2700094K13Rik	3.5	1	selenium binding- FDR:0.82002316[12](GO:0008430)	NA
Prokr2	3.5	4	neuropeptide receptor activity- FDR:0.8090235[14](GO:0008188); G-protein coupled peptide receptor activity- FDR:1[37](GO:0008528); peptide receptor activity- FDR:1[39](GO:0001653); G-protein coupled receptor signaling pathway- FDR:1[293](GO:0007186)	NA
Msmo1	6	16	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen- FDR:0.710205[18](GO:0016709); sterol biosynthetic process- FDR:1[29](GO:0016126); monooxygenase activity- FDR:0.90115043[40](GO:0004497); steroid biosynthetic process- FDR:0.89350714[54](GO:0006694); alcohol biosynthetic process- FDR:0.91923677[63](GO:0046165); sterol metabolic process- FDR:0.0584775[65](GO:0016125); organic hydroxy compound biosynthetic process- FDR:1[90](GO:1901617); steroid metabolic process- FDR:0.08862429[108](GO:0008202); alcohol metabolic process- FDR:0.1017[161](GO:0006066); organic hydroxy compound metabolic process- FDR:0.05085[218](GO:1901615); small molecule biosynthetic process- FDR:0.076275[224](GO:0044283); lipid biosynthetic process- FDR:0.105768[266](GO:0008610); carboxylic acid metabolic process- FDR:0.88062955[433](GO:0019752); oxidoreductase activity- FDR:0.41358[439](GO:0016491); oxoacid metabolic process- FDR:0.917334[470](GO:0043436); organic acid metabolic process- FDR:0.95555625[476](GO:0006082)	NA
Nsdhl	7	16	labyrinthine layer blood vessel development- FDR:1[15](GO:0060716); cholesterol biosynthetic process- FDR:0.88361654[26](GO:0006695); secondary alcohol biosynthetic process- FDR:0.88361654[26](GO:1902653); sterol biosynthetic process- FDR:1[29](GO:0016126); steroid biosynthetic process- FDR:0.89350714[54](GO:0006694); cholesterol metabolic process- FDR:0.228825[59](GO:0008203); secondary alcohol metabolic process- FDR:0.228825[59](GO:1902652); alcohol biosynthetic process- FDR:0.91923677[63](GO:0046165); sterol metabolic process- FDR:0.0584775[65](GO:0016125); organic hydroxy compound biosynthetic process- FDR:1[90](GO:1901617); steroid metabolic process- FDR:0.08862429[108](GO:0008202); alcohol metabolic process- FDR:0.1017[161](GO:0006066); organic hydroxy compound metabolic process- FDR:0.05085[218](GO:1901615); small molecule biosynthetic process- FDR:0.076275[224](GO:0044283); lipid biosynthetic process- FDR:0.105768[266](GO:0008610); oxidoreductase activity- FDR:0.41358[439](GO:0016491)	NA
Glra2	11	1	G-protein coupled receptor signaling pathway- FDR:1[293](GO:0007186)	NA
Smarcb1	12	6	positive regulation of viral transcription- FDR:1[10](GO:0050434); XY body- FDR:1[11](GO:0001741); nucleosome disassembly- FDR:1[12](GO:0006337); SWI/SNF complex- FDR:1[13](GO:0016514); nBAF complex- FDR:1[13](GO:0071565); sex chromosome- FDR:1[20](GO:0000803)	NA
Ring1	16	1	sex chromosome- FDR:1[20](GO:0000803)	NA
Inpp5e	18	5	alcohol metabolic process- FDR:0.1017[161](GO:0006066); organic hydroxy compound metabolic process- FDR:0.05085[218](GO:1901615); cilium- FDR:0.95629781[255](GO:0005929); organophosphate metabolic process- FDR:0.09831[437](GO:0019637); single-organism catabolic process- FDR:0.393579[465](GO:0044712)	NA
