# 2017-02-01
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm//jackknife_late_up_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_all_processes//2017-02-01_geneset_500/ermineJ_jackknife_late_up_regulation_mixed_model_results.tsv
# only top 174 pathways
# only top 200 genes from the score file are shown ranking in ()
# FDR: corrected p value, []: gene member size of the pathway
geneSymbol	rank	Count	name	sig_paths
Cd68	1	3	lytic vacuole- FDR:5.051e-09[295](GO:0000323); lysosome- FDR:5.051e-09[295](GO:0005764); endosome- FDR:0.00308[494](GO:0005768)	lytic vacuole- FDR:5.051e-09[295](GO:0000323); lysosome- FDR:5.051e-09[295](GO:0005764); endosome- FDR:0.00308[494](GO:0005768)
Man2b1	2	14	mannose binding- FDR:0.04272958[10](GO:0005537); trehalase activity- FDR:0.04701795[13](GO:0015927); fucosidase activity- FDR:0.04701795[13](GO:0015928); dextrin alpha-glucosidase activity- FDR:0.04701795[13](GO:0044653); starch alpha-glucosidase activity- FDR:0.04701795[13](GO:0044654); beta-glucanase activity- FDR:0.04701795[13](GO:0052736); beta-6-sulfate-N-acetylglucosaminidase activity- FDR:0.04701795[13](GO:0052769); glucan endo-1,4-beta-glucosidase activity- FDR:0.04701795[13](GO:0052859); galactosidase activity- FDR:0.04904062[15](GO:0015925); hydrolase activity, hydrolyzing O-glycosyl compounds- FDR:0.007032[93](GO:0004553); hydrolase activity, acting on glycosyl bonds- FDR:0.006561[108](GO:0016798); lytic vacuole- FDR:5.051e-09[295](GO:0000323); lysosome- FDR:5.051e-09[295](GO:0005764); carbohydrate metabolic process- FDR:0.001122[327](GO:0005975)	mannose binding- FDR:0.04272958[10](GO:0005537); trehalase activity- FDR:0.04701795[13](GO:0015927); fucosidase activity- FDR:0.04701795[13](GO:0015928); dextrin alpha-glucosidase activity- FDR:0.04701795[13](GO:0044653); starch alpha-glucosidase activity- FDR:0.04701795[13](GO:0044654); beta-glucanase activity- FDR:0.04701795[13](GO:0052736); beta-6-sulfate-N-acetylglucosaminidase activity- FDR:0.04701795[13](GO:0052769); glucan endo-1,4-beta-glucosidase activity- FDR:0.04701795[13](GO:0052859); galactosidase activity- FDR:0.04904062[15](GO:0015925); hydrolase activity, hydrolyzing O-glycosyl compounds- FDR:0.007032[93](GO:0004553); hydrolase activity, acting on glycosyl bonds- FDR:0.006561[108](GO:0016798); lytic vacuole- FDR:5.051e-09[295](GO:0000323); lysosome- FDR:5.051e-09[295](GO:0005764); carbohydrate metabolic process- FDR:0.001122[327](GO:0005975)
Trem2	3	28	cellular response to lipopolysaccharide- FDR:0.009268[60](GO:0071222); cellular response to molecule of bacterial origin- FDR:0.002127[66](GO:0071219); cellular response to biotic stimulus- FDR:0.003948[79](GO:0071216); response to lipopolysaccharide- FDR:0.0009776[99](GO:0032496); response to molecule of bacterial origin- FDR:8.418e-10[110](GO:0002237); response to bacterium- FDR:2.02e-10[154](GO:0009617); leukocyte differentiation- FDR:0.004247[163](GO:0002521); innate immune response- FDR:1.329e-10[173](GO:0045087); cellular response to lipid- FDR:0.01742788[184](GO:0071396); response to external biotic stimulus- FDR:1.486e-10[231](GO:0043207); response to other organism- FDR:1.486e-10[231](GO:0051707); response to biotic stimulus- FDR:2.105e-10[246](GO:0009607); positive regulation of MAPK cascade- FDR:0.006869[256](GO:0043410); response to organonitrogen compound- FDR:0.03124261[301](GO:0010243); response to lipid- FDR:1.629e-10[307](GO:0033993); immune response- FDR:2.405e-10[309](GO:0006955); positive regulation of immune system process- FDR:3.608e-10[310](GO:0002684); hemopoiesis- FDR:0.0003673[313](GO:0030097); hematopoietic or lymphoid organ development- FDR:0.0003545[337](GO:0048534); cellular response to oxygen-containing compound- FDR:0.0003483[350](GO:1901701); immune system development- FDR:0.0003812[352](GO:0002520); transmembrane signaling receptor activity- FDR:0.000202[359](GO:0004888); lipid binding- FDR:0.009252[364](GO:0008289); defense response- FDR:2.658e-10[368](GO:0006952); signaling receptor activity- FDR:0.001659[405](GO:0038023); receptor activity- FDR:3.157e-10[473](GO:0004872); positive regulation of intracellular signal transduction- FDR:1.075e-10[483](GO:1902533); positive regulation of protein phosphorylation- FDR:1.01e-09[489](GO:0001934)	cellular response to lipopolysaccharide- FDR:0.009268[60](GO:0071222); cellular response to molecule of bacterial origin- FDR:0.002127[66](GO:0071219); cellular response to biotic stimulus- FDR:0.003948[79](GO:0071216); response to lipopolysaccharide- FDR:0.0009776[99](GO:0032496); response to molecule of bacterial origin- FDR:8.418e-10[110](GO:0002237); response to bacterium- FDR:2.02e-10[154](GO:0009617); leukocyte differentiation- FDR:0.004247[163](GO:0002521); innate immune response- FDR:1.329e-10[173](GO:0045087); cellular response to lipid- FDR:0.01742788[184](GO:0071396); response to external biotic stimulus- FDR:1.486e-10[231](GO:0043207); response to other organism- FDR:1.486e-10[231](GO:0051707); response to biotic stimulus- FDR:2.105e-10[246](GO:0009607); positive regulation of MAPK cascade- FDR:0.006869[256](GO:0043410); response to organonitrogen compound- FDR:0.03124261[301](GO:0010243); response to lipid- FDR:1.629e-10[307](GO:0033993); immune response- FDR:2.405e-10[309](GO:0006955); positive regulation of immune system process- FDR:3.608e-10[310](GO:0002684); hemopoiesis- FDR:0.0003673[313](GO:0030097); hematopoietic or lymphoid organ development- FDR:0.0003545[337](GO:0048534); cellular response to oxygen-containing compound- FDR:0.0003483[350](GO:1901701); immune system development- FDR:0.0003812[352](GO:0002520); transmembrane signaling receptor activity- FDR:0.000202[359](GO:0004888); lipid binding- FDR:0.009252[364](GO:0008289); defense response- FDR:2.658e-10[368](GO:0006952); signaling receptor activity- FDR:0.001659[405](GO:0038023); receptor activity- FDR:3.157e-10[473](GO:0004872); positive regulation of intracellular signal transduction- FDR:1.075e-10[483](GO:1902533); positive regulation of protein phosphorylation- FDR:1.01e-09[489](GO:0001934)
C1qb	4	18	complement activation, classical pathway- FDR:0.03532441[11](GO:0006958); humoral immune response mediated by circulating immunoglobulin- FDR:0.04175922[12](GO:0002455); complement activation- FDR:0.0469774[14](GO:0006956); immunoglobulin mediated immune response- FDR:0.001243[34](GO:0016064); B cell mediated immunity- FDR:0.001224[35](GO:0019724); lymphocyte mediated immunity- FDR:4.209e-10[50](GO:0002449); adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains- FDR:3.885e-10[59](GO:0002460); leukocyte mediated immunity- FDR:4.592e-10[70](GO:0002443); adaptive immune response- FDR:7.216e-10[70](GO:0002250); activation of immune response- FDR:5.612e-10[87](GO:0002253); positive regulation of immune response- FDR:1.232e-10[154](GO:0050778); immune effector process- FDR:6.314e-10[167](GO:0002252); innate immune response- FDR:1.329e-10[173](GO:0045087); regulation of immune response- FDR:1.263e-10[252](GO:0050776); immune response- FDR:2.405e-10[309](GO:0006955); positive regulation of immune system process- FDR:3.608e-10[310](GO:0002684); defense response- FDR:2.658e-10[368](GO:0006952); protein homodimerization activity- FDR:0.02137525[476](GO:0042803)	complement activation, classical pathway- FDR:0.03532441[11](GO:0006958); humoral immune response mediated by circulating immunoglobulin- FDR:0.04175922[12](GO:0002455); complement activation- FDR:0.0469774[14](GO:0006956); immunoglobulin mediated immune response- FDR:0.001243[34](GO:0016064); B cell mediated immunity- FDR:0.001224[35](GO:0019724); lymphocyte mediated immunity- FDR:4.209e-10[50](GO:0002449); adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains- FDR:3.885e-10[59](GO:0002460); leukocyte mediated immunity- FDR:4.592e-10[70](GO:0002443); adaptive immune response- FDR:7.216e-10[70](GO:0002250); activation of immune response- FDR:5.612e-10[87](GO:0002253); positive regulation of immune response- FDR:1.232e-10[154](GO:0050778); immune effector process- FDR:6.314e-10[167](GO:0002252); innate immune response- FDR:1.329e-10[173](GO:0045087); regulation of immune response- FDR:1.263e-10[252](GO:0050776); immune response- FDR:2.405e-10[309](GO:0006955); positive regulation of immune system process- FDR:3.608e-10[310](GO:0002684); defense response- FDR:2.658e-10[368](GO:0006952); protein homodimerization activity- FDR:0.02137525[476](GO:0042803)
Tyrobp	5	10	myeloid leukocyte activation- FDR:5.051e-10[56](GO:0002274); leukocyte activation involved in immune response- FDR:0.004997[66](GO:0002366); cell activation involved in immune response- FDR:0.005051[67](GO:0002263); regulation of leukocyte differentiation- FDR:0.01119638[122](GO:1902105); immune effector process- FDR:6.314e-10[167](GO:0002252); regulation of hemopoiesis- FDR:0.002993[177](GO:1903706); leukocyte activation- FDR:1.295e-10[227](GO:0045321); cell activation- FDR:2.526e-09[276](GO:0001775); immune response- FDR:2.405e-10[309](GO:0006955); cell surface- FDR:1.943e-10[384](GO:0009986)	myeloid leukocyte activation- FDR:5.051e-10[56](GO:0002274); leukocyte activation involved in immune response- FDR:0.004997[66](GO:0002366); cell activation involved in immune response- FDR:0.005051[67](GO:0002263); regulation of leukocyte differentiation- FDR:0.01119638[122](GO:1902105); immune effector process- FDR:6.314e-10[167](GO:0002252); regulation of hemopoiesis- FDR:0.002993[177](GO:1903706); leukocyte activation- FDR:1.295e-10[227](GO:0045321); cell activation- FDR:2.526e-09[276](GO:0001775); immune response- FDR:2.405e-10[309](GO:0006955); cell surface- FDR:1.943e-10[384](GO:0009986)
C1qa	6	17	complement activation, classical pathway- FDR:0.03532441[11](GO:0006958); humoral immune response mediated by circulating immunoglobulin- FDR:0.04175922[12](GO:0002455); complement activation- FDR:0.0469774[14](GO:0006956); immunoglobulin mediated immune response- FDR:0.001243[34](GO:0016064); B cell mediated immunity- FDR:0.001224[35](GO:0019724); lymphocyte mediated immunity- FDR:4.209e-10[50](GO:0002449); adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains- FDR:3.885e-10[59](GO:0002460); leukocyte mediated immunity- FDR:4.592e-10[70](GO:0002443); adaptive immune response- FDR:7.216e-10[70](GO:0002250); activation of immune response- FDR:5.612e-10[87](GO:0002253); positive regulation of immune response- FDR:1.232e-10[154](GO:0050778); immune effector process- FDR:6.314e-10[167](GO:0002252); innate immune response- FDR:1.329e-10[173](GO:0045087); regulation of immune response- FDR:1.263e-10[252](GO:0050776); immune response- FDR:2.405e-10[309](GO:0006955); positive regulation of immune system process- FDR:3.608e-10[310](GO:0002684); defense response- FDR:2.658e-10[368](GO:0006952)	complement activation, classical pathway- FDR:0.03532441[11](GO:0006958); humoral immune response mediated by circulating immunoglobulin- FDR:0.04175922[12](GO:0002455); complement activation- FDR:0.0469774[14](GO:0006956); immunoglobulin mediated immune response- FDR:0.001243[34](GO:0016064); B cell mediated immunity- FDR:0.001224[35](GO:0019724); lymphocyte mediated immunity- FDR:4.209e-10[50](GO:0002449); adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains- FDR:3.885e-10[59](GO:0002460); leukocyte mediated immunity- FDR:4.592e-10[70](GO:0002443); adaptive immune response- FDR:7.216e-10[70](GO:0002250); activation of immune response- FDR:5.612e-10[87](GO:0002253); positive regulation of immune response- FDR:1.232e-10[154](GO:0050778); immune effector process- FDR:6.314e-10[167](GO:0002252); innate immune response- FDR:1.329e-10[173](GO:0045087); regulation of immune response- FDR:1.263e-10[252](GO:0050776); immune response- FDR:2.405e-10[309](GO:0006955); positive regulation of immune system process- FDR:3.608e-10[310](GO:0002684); defense response- FDR:2.658e-10[368](GO:0006952)
Ly86	7	6	positive regulation of response to external stimulus- FDR:0.00353[123](GO:0032103); inflammatory response- FDR:2.526e-10[151](GO:0006954); innate immune response- FDR:1.329e-10[173](GO:0045087); immune response- FDR:2.405e-10[309](GO:0006955); defense response- FDR:2.658e-10[368](GO:0006952); regulation of response to external stimulus- FDR:1.684e-10[388](GO:0032101)	positive regulation of response to external stimulus- FDR:0.00353[123](GO:0032103); inflammatory response- FDR:2.526e-10[151](GO:0006954); innate immune response- FDR:1.329e-10[173](GO:0045087); immune response- FDR:2.405e-10[309](GO:0006955); defense response- FDR:2.658e-10[368](GO:0006952); regulation of response to external stimulus- FDR:1.684e-10[388](GO:0032101)
Cd14	8	29	regulation of tumor necrosis factor production- FDR:0.01387021[55](GO:0032680); regulation of tumor necrosis factor superfamily cytokine production- FDR:0.009184[57](GO:1903555); cellular response to lipopolysaccharide- FDR:0.009268[60](GO:0071222); cellular response to molecule of bacterial origin- FDR:0.002127[66](GO:0071219); positive regulation of endocytosis- FDR:0.01087249[71](GO:0045807); cellular response to biotic stimulus- FDR:0.003948[79](GO:0071216); response to lipopolysaccharide- FDR:0.0009776[99](GO:0032496); response to molecule of bacterial origin- FDR:8.418e-10[110](GO:0002237); regulation of endocytosis- FDR:0.02487703[126](GO:0030100); positive regulation of cytokine production- FDR:1.263e-09[139](GO:0001819); inflammatory response- FDR:2.526e-10[151](GO:0006954); response to bacterium- FDR:2.02e-10[154](GO:0009617); innate immune response- FDR:1.329e-10[173](GO:0045087); cellular response to lipid- FDR:0.01742788[184](GO:0071396); membrane raft- FDR:0.01133395[186](GO:0045121); membrane microdomain- FDR:0.01133395[186](GO:0098857); response to external biotic stimulus- FDR:1.486e-10[231](GO:0043207); response to other organism- FDR:1.486e-10[231](GO:0051707); regulation of cytokine production- FDR:1.684e-09[232](GO:0001817); response to cytokine- FDR:1.578e-10[234](GO:0034097); response to biotic stimulus- FDR:2.105e-10[246](GO:0009607); response to lipid- FDR:1.629e-10[307](GO:0033993); immune response- FDR:2.405e-10[309](GO:0006955); cellular response to oxygen-containing compound- FDR:0.0003483[350](GO:1901701); lipid binding- FDR:0.009252[364](GO:0008289); defense response- FDR:2.658e-10[368](GO:0006952); cell surface- FDR:1.943e-10[384](GO:0009986); regulation of protein transport- FDR:0.02148454[392](GO:0051223); regulation of establishment of protein localization- FDR:0.01864413[421](GO:0070201)	regulation of tumor necrosis factor production- FDR:0.01387021[55](GO:0032680); regulation of tumor necrosis factor superfamily cytokine production- FDR:0.009184[57](GO:1903555); cellular response to lipopolysaccharide- FDR:0.009268[60](GO:0071222); cellular response to molecule of bacterial origin- FDR:0.002127[66](GO:0071219); positive regulation of endocytosis- FDR:0.01087249[71](GO:0045807); cellular response to biotic stimulus- FDR:0.003948[79](GO:0071216); response to lipopolysaccharide- FDR:0.0009776[99](GO:0032496); response to molecule of bacterial origin- FDR:8.418e-10[110](GO:0002237); regulation of endocytosis- FDR:0.02487703[126](GO:0030100); positive regulation of cytokine production- FDR:1.263e-09[139](GO:0001819); inflammatory response- FDR:2.526e-10[151](GO:0006954); response to bacterium- FDR:2.02e-10[154](GO:0009617); innate immune response- FDR:1.329e-10[173](GO:0045087); cellular response to lipid- FDR:0.01742788[184](GO:0071396); membrane raft- FDR:0.01133395[186](GO:0045121); membrane microdomain- FDR:0.01133395[186](GO:0098857); response to external biotic stimulus- FDR:1.486e-10[231](GO:0043207); response to other organism- FDR:1.486e-10[231](GO:0051707); regulation of cytokine production- FDR:1.684e-09[232](GO:0001817); response to cytokine- FDR:1.578e-10[234](GO:0034097); response to biotic stimulus- FDR:2.105e-10[246](GO:0009607); response to lipid- FDR:1.629e-10[307](GO:0033993); immune response- FDR:2.405e-10[309](GO:0006955); cellular response to oxygen-containing compound- FDR:0.0003483[350](GO:1901701); lipid binding- FDR:0.009252[364](GO:0008289); defense response- FDR:2.658e-10[368](GO:0006952); cell surface- FDR:1.943e-10[384](GO:0009986); regulation of protein transport- FDR:0.02148454[392](GO:0051223); regulation of establishment of protein localization- FDR:0.01864413[421](GO:0070201)
Grn	9	5	endocytosis- FDR:2.806e-10[251](GO:0006897); response to lipid- FDR:1.629e-10[307](GO:0033993); response to organic cyclic compound- FDR:0.001105[332](GO:0014070); cell surface- FDR:1.943e-10[384](GO:0009986); positive regulation of cell proliferation- FDR:2.196e-10[439](GO:0008284)	endocytosis- FDR:2.806e-10[251](GO:0006897); response to lipid- FDR:1.629e-10[307](GO:0033993); response to organic cyclic compound- FDR:0.001105[332](GO:0014070); cell surface- FDR:1.943e-10[384](GO:0009986); positive regulation of cell proliferation- FDR:2.196e-10[439](GO:0008284)
Ctsz	10	2	lytic vacuole- FDR:5.051e-09[295](GO:0000323); lysosome- FDR:5.051e-09[295](GO:0005764)	lytic vacuole- FDR:5.051e-09[295](GO:0000323); lysosome- FDR:5.051e-09[295](GO:0005764)
