#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE14499_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 26
#Factor: Genotype (2 levels): J20: n=16, WT: n=10
#Factor: Treatment (3 levels): BDNF: n=8, GFP: n=12, reference: n=6
#Factor: OrganismPart (2 levels): Entorhinal_cortex: n=13, Hippocampus: n=13
#Factor: Batch (2 levels): Batch_01_9_7_07: n=13, Batch_02_9_28_07: n=13
#Factor: Gender (2 levels): F: n=18, M: n=8
#Factor: Timepoint (1 levels): 7_months: n=26
#
#
### Model test for factor: Genotype
#p-value: 0.39884762963321; Statistic: 3.76787769694097; Expected: 4; Std.dev: 2.21219254458864; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.197222876076456; Statistic: 5.23053660456673; Expected: 4.15965971873789; Std.dev: 1.64553362018826; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 1.3843199118837e-24; Statistic: 40.2504407356622; Expected: 4; Std.dev: 2.21219254458864; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.3843199118837e-24; Statistic: 40.2504407356622; Expected: 4; Std.dev: 2.21219254458864; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.201932787828312; Statistic: 5.15725356394512; Expected: 4; Std.dev: 2.21219254458864; #Cov: 45101
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('GFP','reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 9 samples. Original sample size: 26
#Factor: Genotype (2 levels): J20: n=4, WT: n=5
#Factor: Treatment (2 levels): GFP: n=6, reference: n=3
#Factor: OrganismPart (1 levels): Hippocampus: n=9
#Factor: Batch (1 levels): Batch_02_9_28_07: n=9
#Factor: Gender (2 levels): F: n=7, M: n=2
#Factor: Timepoint (1 levels): 7_months: n=9
#
### Model test for factor: Genotype
#p-value: 0.666940205369526; Statistic: 10.8520391352193; Expected: 12.5; Std.dev: 3.55901499450273; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.0124949791446433; Statistic: 21.8255730510677; Expected: 12.5; Std.dev: 3.55901499450273; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.551217336242757; Statistic: 11.6157720183703; Expected: 12.5; Std.dev: 3.55901499450273; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE14499
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE14499/results/GSE14499_objects.Rdata
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('GFP') are kept for analysis. 
#New dataset contains 6 samples. Original sample size: 9
#Factor: Genotype (2 levels): WT: n=2, J20: n=4
#Factor: Treatment (1 levels): GFP: n=6
#Factor: OrganismPart (1 levels): Hippocampus: n=6
#Factor: Batch (1 levels): Batch_02_9_28_07: n=6
#Factor: Gender (2 levels): F: n=4, M: n=2
#Factor: Timepoint (1 levels): 7_months: n=6
#
### Model test for factor: Genotype
#p-value: 0.782324492790907; Statistic: 17.3292942107809; Expected: 20; Std.dev: 3.94237049591117; #Cov: 45101
### Model test for factor: Gender
#p-value: 0.595095997558036; Statistic: 19.2956590954634; Expected: 20; Std.dev: 3.94237049591117; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Gender
#Model: model.matrix( ~ Genotype + Gender, data = array_design)
#6 samples, 45101 probes
#coefficients: (Intercept), GenotypeJ20, GenderM
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeJ20
#  DE genes: 6, up: 2, down: 4
ProbeName	GeneSymbols	up
1424454_at	Tmem87a	1.02144110416273e-07
1423135_at	Thy1	3.76975368769955e-06
1457088_at	Bloc1s6	6.58059104970691e-05
1423150_at	Scg5	0.000321459161998245
1431088_at	Foxp4	0.000346635820917585
1437291_at	2700081O15Rik	0.000465950906477199
1437615_s_at		0.000542080977442174
1425391_a_at	Osbpl5	0.000717246870569215
1455011_at		0.000900943942134276
1427975_at	Rasl10a	0.00100056115968778
1418810_at	Crhr1	0.00126456971921678
1439802_at	Stk35	0.00131537404969545
1457341_at		0.00136323271015353
1424976_at	Rhov	0.00147207264545123
1422013_at	Clec4a2	0.00152560391553082
1444020_at		0.00162136759319694
1420884_at	Sln	0.00163027385027429
1419169_at	Mapk6	0.001708804916154
1437825_at	Lrrc4c	0.00179833570365003
1419694_at	St8sia1	0.00199604400494053
1434382_at	Serinc2	0.00210379410814364
1416222_at	Nsdhl	0.0021130949709407
1452978_at	Tmem138	0.00217232696030418
1449635_at	Prpf19	0.00228614133299431
1423140_at	Lipa	0.00233758191333795
1439332_at	Ddit4l	0.00248244573198578
1440444_at		0.00248970223398985
1449491_at	Card10	0.0025742853160532
1436446_at		0.00267293396737451
1453261_at	2610035D17Rik	0.00283325850905576
1429262_at	Rassf6	0.00288015605720747
1415836_at	Aldh18a1	0.00295204719012961
1460044_at	Onecut2	0.0029822646186705
1445479_at		0.00303409993427648
1419839_x_at	Prpf19	0.00337625576989918
1417235_at	Ehd3	0.00342160383273946
1418582_at	Cbfa2t3	0.00351362041960969
1451751_at	Ddit4l	0.00366214334714769
1433155_at		0.0036676581057523
1448019_at	Taok3	0.00371226886194308
1434409_at	Armcx6	0.00377655203877316
1440930_a_at	Scrt2	0.00388428552281595
1428462_at		0.0039105296857392
1426847_at	Sirt4	0.0039250715988772
1422718_at	Ap3s2	0.00395135385606478
1440860_at		0.00419864265338188
1428279_a_at	Atxn7l1	0.00428832899151341
1416900_s_at	Gdf1|Cers1	0.00429579423143531
1434833_at	Map4k2	0.00437585897699956
1429862_at	Pla2g4e	0.00441277041790128
1421821_at	Ldlr	0.00441777841261264
1458332_x_at		0.00458127802326808
1445964_at		0.00460518554157434
1436902_x_at	Tmsb10	0.00470528665639144
1451884_a_at	Lsm2	0.00489648793714104
1431920_a_at	Il34	0.00496169098534546
1430506_at		0.00497049144115641
1437093_at	Dnaic1	0.00498887010069579
1421262_at	Lipg	0.00505377939097198
1438322_x_at	Fdft1	0.0050825780320984
1423794_at	Atg13	0.00512396629829962
1450059_at	Fancg	0.0051444653803485
1454020_at		0.00522981932194707
1426891_at	Rpap1	0.00528390285724677
1441363_at		0.00533591885635473
1455341_at	Eif1ad	0.00546626885521928
1429148_at	Nfic	0.00550268900165866
1435535_at	Depdc5	0.00550917270849795
1455187_at	Zbtb40	0.00570482050092423
1421564_at	Serpina3c	0.00570660986604452
1417045_at	Bid	0.00572569007309538
1453002_at	Sox11	0.00574814939266213
1429438_at	Bcor	0.00575141739482438
1438857_x_at	Irak1	0.00582077268550762
1452388_at	Hspa1a	0.00606794353185743
1428740_a_at	Pigt	0.00608753129289369
1440968_at		0.00619208309134946
1448619_at	Dhcr7	0.00622068058682442
1450043_at	Fzd7	0.00623144349567495
1449136_at	Epx	0.0062872618932248
1441430_at		0.00633115003968744
1459703_at		0.00651247671418894
1415993_at	Sqle	0.00651503009952061
1437552_at		0.00660488273917626
1460072_at		0.00660585545652118
1438737_at	Zic3	0.00668663095672933
1436471_at		0.00675014133024438
1436776_x_at	Slc7a4	0.00701767656927424
1436545_at	Dtx4	0.0070571770120947
1433443_a_at	Hmgcs1	0.0070664923890861
1444344_at		0.00720109380211066
1455397_at	Caskin1	0.00725540944883366
1428336_at	Agpat4	0.00729475305645307
1429307_s_at	Lzic	0.00730769532066284
1428954_at	Slc9a3r2	0.0073850460064162
1416397_at	Mesdc1	0.00743508065991381
1423092_at	Incenp	0.00751979765870551
1457306_at	Alad	0.00756218621058549
1451046_at	Zfpm1	0.00756675396065639
1427229_at	Hmgcr	0.00756770859890829
