#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL81.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new//AD_mouse_model_project/data_and_QC/gemma_data/unfiltered_exp_data//27_GSE1556_expmat.unfilt.data.txt.gz
#No probes removed due to missing value.
#
#number of rows: 12488
#number of samples: 4
#Factor: Genotype (2 levels): Tg2576: n=2, WT: n=2
#Factor: OrganismPart (1 levels): Hippocampus: n=4
#Factor: Gender (1 levels): F: n=4
#Factor: Timepoint (1 levels): 12_months: n=4
#
#Log2 tranformation performed
#Before transformation range: 0.8 to 230476
#After log2 transformation: -0.321928094887362 to 17.8142570017348
### Model test for factor: Genotype
#p-value: 0.029177938236557; Statistic: 36.3576506079682; Expected: 33.3333333333333; Std.dev: 2.04295163058691; #Cov: 12488
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE1556
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE1556/results/GSE1556_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#4 samples, 12488 probes
#coefficients: (Intercept), GenotypeTg2576
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 0, up: 0, down: 0
ProbeName	GeneSymbols	up
92251_f_at	AI607873	0.000108870659529494
93904_f_at		0.000170328485654548
160420_r_at	Tuba3a	0.000221095754900026
103618_at	Ckmt2	0.000221434412505608
162068_r_at		0.000245717027556125
160909_at	Sprr1a	0.000248285114790959
162065_r_at		0.000250735402577861
94129_at		0.00026201916128599
101673_r_at		0.000265858615110675
95894_at	Fancm	0.000279528178707176
101324_r_at		0.00028452630208534
92406_at	Cd7	0.000298808061738686
161301_f_at	Lgals9	0.000359630786134937
101695_at		0.000379660522633384
161711_f_at	Vsx2	0.00038994278017692
92706_at	Pvt1	0.000445645391360555
100117_at	Diablo	0.000447556463640091
101705_at	Phxr1	0.000481969857692163
160500_at		0.000517862830259527
94692_at	Gpx5	0.000558259260931228
98279_at	Insrr	0.000574013124006414
97746_f_at	Hoxa4	0.000588075898283549
101749_at		0.000625004643911013
92645_at		0.000639259694502949
161592_at		0.000641924155259935
161482_f_at	Prph	0.000668305624358327
102796_at	Npm3-ps1|Npm3	0.000684454148008449
161709_at	Fancc	0.000703558339027356
101321_r_at		0.000727028825210067
102932_at	Nr5a2	0.000798306731064905
161231_r_at		0.000808320088499216
93006_at	Nfic	0.000820359119728123
97926_s_at	Pparg	0.000839786208970896
161783_at		0.000867524251771031
103199_at	Xcl1	0.000872773070036489
97013_f_at	Cyba	0.000898234038016639
101635_f_at	Mup2|Mup4|Mup5	0.00098585905750067
99053_at	Icam2	0.00102356474215783
92858_at	Slpi	0.00110918371717652
161736_r_at		0.00111673331920911
93332_at	Cd36	0.001138386036509
102976_at	Brca1	0.00114594942190017
