#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE36237_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 64
#Factor: Genotype (2 levels): Tg2576: n=32, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=32, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=32, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=25
#Factor: Gender (1 levels): F: n=64
#Factor: Timepoint (1 levels): 5_months: n=64
#
#
### Model test for factor: Genotype
#p-value: 0.442344614208901; Statistic: 1.44527205328023; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.49274585790127; Statistic: 1.35791055044511; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 2.739038747688e-36; Statistic: 33.3051980809472; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.42949394057074e-22; Statistic: 22.4131032872949; Expected: 1.61246726828213; Std.dev: 0.683145090849254; #Cov: 45101
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: HippPDE9_TG_1
#Reason for removal: Possibly a sample swamp(should be prefrontal cortex sample) or a mixture of hippocampus and prefrontal cortex sample (sample correlation outlier)
#number of samples after removal: 63
#Factor: Genotype (2 levels): Tg2576: n=31, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=31, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=31, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=24
#Factor: Gender (1 levels): F: n=63
#Factor: Timepoint (1 levels): 5_months: n=63
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 63
#Factor: Genotype (2 levels): Tg2576: n=8, WT: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.264992240981195; Statistic: 7.58138322820547; Expected: 6.66666666666667; Std.dev: 1.9683536453947; #Cov: 45101
### Model test for factor: Batch
#p-value: 2.75357276306454e-05; Statistic: 17.4509573112421; Expected: 6.66666666666667; Std.dev: 1.9683536453947; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 45101
#number of samples: 16
### Model test for factor: Genotype
#p-value: 0.0541418705161416; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442686; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE36237
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE36237/results/GSE36237_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 16
#Factor: Genotype (2 levels): WT: n=8, Tg2576: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.0541418705161416; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442686; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Batch
#Model: model.matrix( ~ Genotype + Batch, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeTg2576, BatchBatch_03_04_03_08
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 11, up: 7, down: 4
#GSE36237_Tg2576: original input has 45101 probesets; mapped probesets: 29597; probes mapped to multiple genes to be removed (except for insulin): 597; genes with multiple probesets are BH corrected. New data has 17584 genes.
GSE36237_Tg2576	GeneSymbols
1.66803971011132e-06	Mcm6
8.88440760203921e-06	Smo
2.21898970686122e-05	Abca8a
2.80722606349491e-05	Npnt
4.44867229481348e-05	Rnf122
8.27613488675186e-05	Spata13
0.000125792263460617	Ogn
0.000141737163725721	Frmd4b
0.000159848107372791	Slc4a4
0.000162755591770573	Chsy1
0.000170917177021702	Vgll1
0.000185640895268126	Dio2
0.000198653114842304	Stk4
0.000218807067733761	Pla2g7
0.000226173116374611	4933408J17Rik
0.000280094512976976	Atrnl1
0.000292755310395619	Cirbp
0.000308492039828435	Pgk2
0.000309477756351597	D16Ertd472e
0.000314937778619432	Slc38a10
0.000320592995644768	Efnb3
0.000321277699823141	Tshz1
0.000322444533305511	Nrarp
0.000325511645331057	Sipa1l2
0.000343696810762883	Lamp2
0.000351224033553511	Snx31
0.000385649584089144	Gpr62
0.000427613726185846	Tm9sf2
0.000430910182750197	Nkain2
0.000470441904374841	Pdgfra
0.00047635094790878	Reep3
0.000480051081131319	Fam117a
0.000482783515401818	Lrig1
0.000491819613942407	Fam181b
0.000584704258146057	Bbox1
0.000589111193584188	Fat4
0.000611664231180009	Thsd7a
0.000616646874179654	Plekhg3
0.000619689552160118	Gpkow
0.00063194056938773	Pdpn
0.00063244192495701	Cbfb
0.000658803611320643	Kdm5a
0.000661773352175208	Map3k4
0.000680504164468226	Yy2
0.000726637763476106	Pltp
0.000731930668952428	Atp1a2
0.000734829616122162	Slc7a2
0.000745981809698168	Tmem229a
0.000755329262593335	Pigt
0.00081464288684286	Ppat
0.000862887571452587	Spry1
0.000881990690175939	Grk4
0.000886412399758554	Lrrn4
0.000897104397504787	Sdpr
0.000897393919635456	Gpc5
0.000897587418209598	Serpina1c
0.000917104035693824	Erbb2ip
0.0009732292138914	Magt1
0.00101391156043494	Bpifb3
0.00104568368025829	Fermt2
0.00105825456326537	Tmem109
0.00106654611145317	Tjp2
0.0010961681158563	Nek7
0.00110344322221577	Arsg
0.0011347921702237	Sprr1b
0.00118127424713662	Btbd17
0.00119750687128666	Pxdc1
0.0012076479441526	Npat
0.00126452204235101	Cdc42ep4
0.00129591965273966	Marcksl1
0.00132106877692787	Rrs1
0.00133407596930515	Smad6
0.00133536463137124	BC006965
0.00135117397972265	Ciapin1
0.00139920909368805	1810026J23Rik
0.00142906598295598	Isg20l2
0.00143453299415414	Rgs13
0.00144140019129701	Fam46a
0.00144445724241294	Rfx3
0.00146854298974296	Arl14
0.00148986505406721	Ahcyl2
0.00149024911566457	Yes1
0.00150612687166122	Dock1
0.0015100131204865	Il33
0.00154832619995587	Patl1
0.00158616325144262	Ide
0.00159261728922826	Fabp5
0.00161249341258663	Vcam1
0.0016293284526387	Casp8ap2
0.00169765490669367	Bcl9
0.00171254676786814	Emp2
0.00171759189607318	Cyth4
0.00175954605992345	Fam134c
0.0017902882531648	4930597G03Rik
0.00179909976710666	Snhg8
0.00183890295918614	Lhfpl2
0.00184778298332272	Unc5b
0.00192267647069457	Synpo
0.00192547555865778	Klhl4
0.00194738356393745	Atp13a3
0.00194913486495533	Tlcd1
0.00197488148556947	Car14
0.00198910336194977	Soga1
0.00204259957722972	Mgmt
0.00204350703528246	Pdlim2
0.00205009975141275	Gm16880
0.00208928412057179	Rom1
0.00208976970330986	Tmed10
0.00210349138308335	Elmsan1
0.00212330426852142	Dbp
0.0021618516246171	Aqp4
0.00218074216443291	Ppp1r3d
0.00218240281353121	Hadhb
0.00226930687301043	Auts2
0.0022852579788338	Trem1
0.00228913506098548	Abhd17b
0.00231312789474279	Egfl6
0.0023169795011834	F3
0.00231854656289677	Gab1
0.00236606316318474	Pnrc2
0.00237691804911903	Aga
0.00239730861155483	Zadh2
0.00245767475301941	Ldlrad3
0.00246786938478525	Cpz
0.0024918515895368	Tmem38b
0.00250704360043924	Mcam
0.00252182551253813	Agpat2
0.00253969813465235	1700086L19Rik
0.00257152280420414	Pola2
0.00258762464504952	E330012B07Rik
0.00260603176931356	Tgfbr1
0.00264704247581605	Znrf3
0.00274949591241448	Bcan
0.00280588827819369	Btg4
0.00287416040528363	Bnipl
0.00289760240423212	Cnksr3
0.00292761783247556	Tril
0.0029496683303105	Impad1
0.00297260943295627	Slc6a11
0.00300627139633007	Hsd11b1
0.00307546843630552	Lypd6
0.00307561344641599	Eif2ak2
0.00308028261985499	Fat3
0.00311064847981328	Usp18
0.00311375273928167	Snord22
0.00312298502272974	Hbegf
0.00316157652799383	Slc12a2
0.0031684715790368	Sema6d
0.00317433952563765	Il17rd
0.003175232013984	Mfge8
0.00321617590258711	Calb1
0.00322331575688256	Car5b
0.00325660974185764	Nufip2
0.00326432396660638	Src
0.00328433178367427	Colec12
0.00329635523914043	Pak4
0.0033234215567511	Smim4
0.0033272862941979	Cort
0.00333554692830461	Prss54
0.00335201360324091	Nell1
0.00336978758518077	Fubp3
0.00340011883400613	Abhd3
0.0034499176140356	Ednrb
0.00345087040126466	Scgb1a1
0.00347320820433861	Tlr9
0.00348251407043828	Mex3c
0.0035098779860839	Fjx1
0.0035568439541694	Rab31
0.00359056753137202	Snhg5
0.0036015948804552	Rfx5
0.00360703315837591	Dtna
0.00369038850192133	Cpeb4
0.00371937569885263	Trp53i11
0.00372546913089803	Pdyn
0.0037549860772376	Golga7
