#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE36237_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 64
#Factor: Genotype (2 levels): Tg2576: n=32, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=32, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=32, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=25
#Factor: Gender (1 levels): F: n=64
#Factor: Timepoint (1 levels): 5_months: n=64
#
#
### Model test for factor: Genotype
#p-value: 0.442344614208901; Statistic: 1.44527205328023; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.49274585790127; Statistic: 1.35791055044511; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 2.739038747688e-36; Statistic: 33.3051980809472; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.42949394057074e-22; Statistic: 22.4131032872949; Expected: 1.61246726828213; Std.dev: 0.683145090849254; #Cov: 45101
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: HippPDE9_TG_1
#Reason for removal: Possibly a sample swamp(should be prefrontal cortex sample) or a mixture of hippocampus and prefrontal cortex sample (sample correlation outlier)
#number of samples after removal: 63
#Factor: Genotype (2 levels): Tg2576: n=31, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=31, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=31, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=24
#Factor: Gender (1 levels): F: n=63
#Factor: Timepoint (1 levels): 5_months: n=63
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 63
#Factor: Genotype (2 levels): Tg2576: n=8, WT: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.264992240981195; Statistic: 7.58138322820547; Expected: 6.66666666666667; Std.dev: 1.9683536453947; #Cov: 45101
### Model test for factor: Batch
#p-value: 2.75357276306454e-05; Statistic: 17.4509573112421; Expected: 6.66666666666667; Std.dev: 1.9683536453947; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 45101
#number of samples: 16
### Model test for factor: Genotype
#p-value: 0.0541418705161416; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442686; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE36237
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE36237/results/GSE36237_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 16
#Factor: Genotype (2 levels): WT: n=8, Tg2576: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.0541418705161416; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442686; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Batch
#Model: model.matrix( ~ Genotype + Batch, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeTg2576, BatchBatch_03_04_03_08
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 11, up: 7, down: 4
ProbeName	GeneSymbols	down
1416251_at	Mcm6	8.34019855055658e-07
1427048_at	Smo	4.4422038010196e-06
1452107_s_at	Npnt	5.61445212698982e-06
1454481_at		6.87185714521429e-06
1440968_at		1.8800824481226e-05
1452106_at	Npnt	2.1089696570782e-05
1427371_at	Abca8a	2.21898970686122e-05
1438852_x_at	Mcm6	3.19158873165779e-05
1438169_a_at	Frmd4b	3.54342909314303e-05
1454656_at	Spata13	4.13806744337593e-05
1454857_at	Rnf122	4.44867229481348e-05
1456241_a_at	Slc38a10	5.24896297699054e-05
1420921_at		5.91941406949163e-05
1418937_at	Dio2	6.18802984227087e-05
1451466_at	D16Ertd472e	6.18955512703195e-05
1419663_at	Ogn	6.28961317303084e-05
1436015_s_at	Stk4	6.62177049474345e-05
1426432_a_at	Slc4a4	6.84547050652922e-05
1427700_x_at		6.87238087643766e-05
1434096_at	Slc4a4	7.99240536863956e-05
1434503_s_at	Lamp2	8.59242026907209e-05
1457139_at		0.000113474536158402
1426594_at	Frmd4b	0.000133686103457467
1455875_x_at	Tm9sf2	0.000142537908728615
1434893_at	Atp1a2	0.000146386133790486
1427233_at	Tshz1	0.00016063884991157
1417985_at	Nrarp	0.000161222266652755
1434316_at	Chsy1	0.000162755591770573
1437106_at	Kdm5a	0.000164700902830161
1447667_x_at	Map3k4	0.000165443338043802
1421607_at	Vgll1	0.000170917177021702
1443405_at		0.00017133314251267
1424780_a_at	Reep3	0.000183036505430793
1436555_at	Slc7a2	0.000183707404030541
1424781_at	Reep3	0.000190540379163512
1444307_at		0.000193889960266184
1435719_at		0.000199622757566203
1444423_at		0.000204692109971679
1453329_s_at	Nkain2	0.000215455091375098
1430700_a_at	Pla2g7	0.000218807067733761
1431908_at	4933408J17Rik	0.000226173116374611
1421917_at	Pdgfra	0.00023522095218742
1449893_a_at	Lrig1	0.000241391757700909
1442800_x_at	Fam181b	0.000245909806971203
1434599_a_at	Tjp2	0.000266636527863292
1419922_s_at	Atrnl1	0.000280094512976976
1452071_at	Slc4a4	0.000281550674177985
1416332_at	Cirbp	0.000292755310395619
1416779_at	Sdpr	0.000299034799168262
1456130_at	Thsd7a	0.000305832115590005
1416784_at	Pgk2	0.000308492039828435
1423120_at	Ide	0.000317232650288523
1423085_at	Efnb3	0.000320592995644768
1434261_at	Sipa1l2	0.000325511645331057
1426561_a_at	Npnt	0.00033289498635419
1439399_a_at		0.000333501275682858
1441943_x_at	Ciapin1	0.000337793494930662
1453177_at	Snx31	0.000351224033553511
1443749_x_at		0.000351830437928647
1419662_at	Ogn	0.00035322531248566
1456424_s_at	Pltp	0.000363318881738053
1434136_at	Tmem229a	0.000372990904849084
1456057_x_at	Tmem109	0.000374235991473094
1437594_x_at	Pigt	0.000377664631296668
1436330_x_at	Zfp947|Zfp820	0.000379165807276188
1442138_at	Gpr62	0.000385649584089144
1452831_s_at	Ppat	0.00040732144342143
1435616_at		0.000437502193965665
1420355_at	Grk4	0.00044099534508797
1433252_at		0.000445138433263781
1430548_at		0.000450566274865812
1460301_at	Vmn1r186|Vmn1r61|Vmn1r62	0.00045489797772513
1460574_at	Fat4	0.000468957136405911
1441512_at		0.00047654150125522
1433639_at	Fam117a	0.000480051081131319
1434180_at	Fermt2	0.000522841840129144
1437008_x_at	Tmem109	0.000529127281632684
1448162_at	Vcam1	0.000537497804195542
1427002_s_at	Arsg	0.000551721611107883
1433670_at	Emp2	0.000570848922622713
1419618_at	Bbox1	0.000584704258146057
1419459_a_at	Magt1	0.000585149419580582
1424159_at	Fam134c	0.000586515353307817
1459749_s_at	Fat4	0.000589111193584188
1434129_s_at	Lhfpl2	0.000612967653062048
1434680_at	Plekhg3	0.000616646874179654
1434344_at	Gpkow	0.000619689552160118
1419309_at	Pdpn	0.00063194056938773
1436801_x_at	Cdc42ep4	0.000632261021175507
1460716_a_at	Cbfb	0.00063244192495701
1434513_at	Atp13a3	0.000649127854645818
1415922_s_at	Marcksl1	0.000650990498041831
1437914_at		0.000653916391864769
1456865_x_at	Rrs1	0.000660534388463933
1443882_at		0.000669715568604589
1437495_at	Yy2	0.000680504164468226
1426746_at	1810026J23Rik	0.000699604546844026
1444107_at	Elmsan1	0.000701163794361116
1434449_at	Aqp4	0.000720617208205699
1429768_at	Dtna	0.000721406631675183
1437375_at	Rfx3	0.000722228621206469
1445833_at		0.000728934844748726
1459447_at		0.000741075976706662
1429897_a_at	D16Ertd472e	0.000744512900279431
1439462_x_at	Tmed10	0.000744642883984549
1452703_at	Ahcyl2	0.000744932527033607
1449090_a_at	Yes1	0.000745124557832283
1452220_at	Dock1	0.00075306343583061
1438680_at	Auts2	0.000756435624336809
1417693_a_at	Gab1	0.000772848854298923
1422555_s_at	Gna13	0.000779063593256906
1438793_x_at		0.00077963008166269
1459725_s_at	Dcpp1|Dcpp2|Dcpp3	0.000784088511150738
1454552_at		0.000786407342060288
1456544_at	Tmem38b	0.000830617196512266
1439444_x_at	Tmed10	0.000835907881323945
1437992_x_at	Gja1	0.000839107095523397
1415874_at	Spry1	0.000862887571452587
