#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE36237_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 64
#Factor: Genotype (2 levels): Tg2576: n=32, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=32, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=32, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=25
#Factor: Gender (1 levels): F: n=64
#Factor: Timepoint (1 levels): 5_months: n=64
#
#
### Model test for factor: Genotype
#p-value: 0.442344614208901; Statistic: 1.44527205328023; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Treatment
#p-value: 0.49274585790127; Statistic: 1.35791055044511; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: OrganismPart
#p-value: 2.739038747688e-36; Statistic: 33.3051980809472; Expected: 1.58730158730159; Std.dev: 0.869494823044442; #Cov: 45101
### Model test for factor: Batch
#p-value: 1.42949394057074e-22; Statistic: 22.4131032872949; Expected: 1.61246726828213; Std.dev: 0.683145090849254; #Cov: 45101
##-------------------------------#
### REMOVED SAMPLES
##-------------------------------#
#1 sample(s) removed: HippPDE9_TG_1
#Reason for removal: Possibly a sample swamp(should be prefrontal cortex sample) or a mixture of hippocampus and prefrontal cortex sample (sample correlation outlier)
#number of samples after removal: 63
#Factor: Genotype (2 levels): Tg2576: n=31, WT: n=32
#Factor: Treatment (2 levels): phosphodiesterase_9A: n=31, reference: n=32
#Factor: OrganismPart (2 levels): Hippocampus: n=31, Prefrontal_cortex: n=32
#Factor: Batch (3 levels): Batch_01_27_02_08: n=31, Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=24
#Factor: Gender (1 levels): F: n=63
#Factor: Timepoint (1 levels): 5_months: n=63
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference'), and OrganismPart: c('Hippocampus') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 63
#Factor: Genotype (2 levels): Tg2576: n=8, WT: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.264992240981195; Statistic: 7.58138322820547; Expected: 6.66666666666667; Std.dev: 1.9683536453947; #Cov: 45101
### Model test for factor: Batch
#p-value: 2.75357276306454e-05; Statistic: 17.4509573112421; Expected: 6.66666666666667; Std.dev: 1.9683536453947; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### Batch correction
##-------------------------------#
#2017-12-06
#number of rows: 45101
#number of samples: 16
### Model test for factor: Genotype
#p-value: 0.0541418705161416; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442686; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE36237
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE36237/results/GSE36237_objects_after_batch_correction.Rdata
#
#Input experssion matrix is batch corrected.
#
##-------------------------------#
### SUBSET SAMPLES
##-------------------------------#
#
#Data is subseted. Treatment: c('reference') are kept for analysis. 
#New dataset contains 16 samples. Original sample size: 16
#Factor: Genotype (2 levels): WT: n=8, Tg2576: n=8
#Factor: Treatment (1 levels): reference: n=16
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Batch (2 levels): Batch_02_29_02_08: n=8, Batch_03_04_03_08: n=8
#Factor: Gender (1 levels): F: n=16
#Factor: Timepoint (1 levels): 5_months: n=16
#
### Model test for factor: Genotype
#p-value: 0.0541418705161416; Statistic: 9.83947988825121; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
### Model test for factor: Batch
#p-value: 0.998904750442686; Statistic: 3.04275046015512; Expected: 6.66666666666667; Std.dev: 1.85170076249589; #Cov: 45101
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype, Batch
#Model: model.matrix( ~ Genotype + Batch, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeTg2576, BatchBatch_03_04_03_08
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeTg2576
#  DE genes: 11, up: 7, down: 4
ProbeName	GeneSymbols	up
1448130_at	Fdft1	1.43418336093908e-07
1421821_at	Ldlr	3.58922366772395e-07
1438322_x_at	Fdft1	4.13433338056775e-07
1429240_at	Stard4	2.9375796632878e-06
1433443_a_at	Hmgcs1	8.13473914099527e-06
1455011_at		8.3907471030227e-06
1447870_x_at		1.20119805499446e-05
1429239_a_at	Stard4	1.49258637811346e-05
1433446_at	Hmgcs1	2.3707811447164e-05
1458250_at		3.34377727832328e-05
1415993_at	Sqle	4.81974557541981e-05
1429677_at	1700056E22Rik	6.0712431998243e-05
1445814_at		6.70561549257056e-05
1457248_x_at		7.19041309614106e-05
1424518_at	Apol9a|Apol9b	7.52159263426938e-05
1457172_at		7.84545176048145e-05
1426744_at	Srebf2	8.86353129735064e-05
1447259_at		9.45840783709424e-05
1432115_a_at	Pign	9.48884189987966e-05
1448980_at	Ghrl	0.000102320279650656
1427499_at	Zfp81	0.000114026885801086
1441739_at		0.000116356757934525
1440330_at		0.000142231661739373
1420263_at		0.000148220022493924
1425386_at	Ocstamp	0.000153604614776602
1421925_at	Mapk11	0.000164177803621078
1444630_at		0.000169676028694771
1446307_at		0.000175742728212345
1430862_at		0.000181782440056578
1441246_s_at	Dpysl5	0.000193501043814006
1438436_at	Soga3	0.000199115063539692
1433445_x_at	Hmgcs1	0.000210635517134831
1446951_at	P4ha3	0.00022039837076111
1444641_at		0.000236843197975802
1421567_at	Npas3	0.000247228357486294
1422552_at	Rprm	0.000247587064705679
1446268_at		0.000251966605517905
1432936_at		0.000276222307471573
1436199_at	Trim14	0.0002812776107888
1423418_at	Fdps	0.000284169822583174
1459497_at		0.000304910069063937
1450383_at	Ldlr	0.000306616006795619
1445652_at		0.000317355209551531
1449155_at	Polr3g	0.000328783722014276
1430128_a_at	Reep6	0.00033832523283075
1429258_at		0.000355426575153731
1428531_at		0.000358095709813607
1446189_at		0.000359215123175169
1438827_at		0.000369242242267161
1458184_at		0.000395242662584369
1423078_a_at	Msmo1	0.00042331542953855
1442619_at		0.000434363038634928
1457704_at	Zfp385b	0.000441294373011112
1440583_at		0.000445354298376062
1441353_at		0.0004460154888895
1453297_at	Golga7b	0.000458360727005598
1451128_s_at	Kif22	0.000480598443123453
1425239_at	Setd4	0.000484165735955006
1435132_at	Disp1	0.000501002442391695
1428532_at	Ints7	0.000506075608093379
1418129_at	Dhcr24	0.000507392130189076
1442105_at	Sh3rf3	0.000507541973916459
1426411_a_at	Strbp	0.000508369491503495
1452174_at	Srebf2	0.000531123922560062
1428769_at	Tatdn3	0.000533222279011733
1437169_at		0.000541517301145464
1428416_at	Zc2hc1a	0.000571641750043052
1449682_s_at	Tubb2a-ps2|Tubb2b	0.000583316151208483
1453981_at		0.000593105912072039
1454525_at		0.000595606184423209
1434248_at	Prkch	0.000601491733213167
1455629_at	Drd1	0.000628535872650643
1428418_s_at	Zc2hc1a	0.000632598370319787
1421533_at	Slc7a1	0.000639230036940023
1428151_x_at	Ccbl1	0.000670748782322482
1439299_at		0.000685641865884246
1444080_at	Nav2	0.000687068565563995
1422986_at	Esrrb	0.000704313801917583
1459278_at		0.000707429111505755
1442147_at		0.000711702070990183
1444396_at		0.000759822220444795
1456447_at	Rpl18	0.000760024887339116
1424334_at	Tspan17	0.000805348137226011
1434114_at	Rexo4	0.000820431034295989
1419678_at	Lats2	0.000826882499805836
1427335_at		0.000827340116362897
1421645_at	Cemip	0.000828104084543574
1451923_at		0.000844176983108166
1445827_at		0.000853478987034742
1429742_at		0.000871795227634548
1445018_at		0.00087217240050313
1422658_at	Plcz1	0.000879578521334906
1459635_at		0.000884894157461265
1435171_at		0.000898578135494626
1457577_at		0.000920683138880903
1416222_at	Nsdhl	0.000976037521154999
1429848_at		0.000976990169109739
1452512_a_at	Ank1	0.000992357939588306
1428417_at	Zc2hc1a	0.000996570110489399
1446974_at		0.00100865409060167
1440986_at	Rpap1	0.00103453560534959
1425130_a_at	Ptpn5	0.00104012642644387
1426508_at	Gfap	0.00106325321797104
1440302_at		0.00106566564682471
1450055_at	Vsnl1	0.00108627581210399
1441622_at	Gm5485	0.00110775484452304
1459845_at		0.00112704959983014
1432080_s_at	Kat8	0.00112879891374749
1451814_a_at	Htatip2	0.00113440449669392
1448482_at	Slc39a8	0.00114177438561221
1444255_at	D630045J12Rik	0.0011514586445929
1452661_at	Tfrc	0.00115369358575253
1437038_x_at	Actl9	0.00116882421087871
1425326_at	Acly	0.00117129882124151
1440402_at	Syne3	0.00117746777349161
1451737_at	Pik3r1	0.00117834166875592
1423752_at	Ddx47	0.0011857698369422
1418873_at	Sfxn4	0.00121801762469983
1447275_at	Bbs12	0.00123370476037509
1419941_at		0.00123602632029967
1424190_at	Pigc	0.00123607938682681
1418205_at	Thsd1	0.00124880141625846
1430346_at	Fam189a1	0.00127081493712662
1426069_s_at	Slc7a4	0.00127262779882285
1439471_at		0.00129688800826104
1451558_at	Fbxw7	0.00132175825775671
1444912_at		0.00133459860087563
1459627_at		0.00133586338691518
1448285_at	Rgs4	0.00134331262213207
1457261_at		0.00134520291834677
