#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259135405; Statistic: 10.6778138012036; Expected: 7.10935249061112; Std.dev: 1.02109576229459; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE48622
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPLP2_KO
#  DE genes: 58, up: 25, down: 33
#GSE48622_APLP2_KO: original input has 45101 probesets; mapped probesets: 29597; probes mapped to multiple genes to be removed (except for insulin): 597; genes with multiple probesets are BH corrected. New data has 17584 genes.
GSE48622_APLP2_KO	GeneSymbols
2.66111347758622e-19	Aplp2
2.05495917237539e-08	Thyn1
1.57301377340496e-07	Cd52
4.80338649828814e-07	Mpeg1
1.02244755807753e-06	Htr3a
4.22763671161652e-06	Irgm2
6.30629127560015e-06	Exosc9
8.88659507962475e-06	Dyx1c1
1.08978420769395e-05	Itgb2
1.22949362163059e-05	Rabl2
1.28762553342199e-05	Selplg
1.70106757880651e-05	Gm5148
2.5553608232115e-05	Rpp25
3.32659975423838e-05	Nudt6
4.66381292493305e-05	Smcr8
4.95282081211164e-05	Rnase6
5.49202904814998e-05	Mlxipl
6.05891820030733e-05	Nlrx1
7.91009691302387e-05	Coro2b
8.80333244757145e-05	Stox1
0.000106347405920769	Zfp874a
0.000133759401363307	Ctss
0.000201202753543847	Nxpe4
0.000228763882667931	Cetn4
0.000263968084750775	Ltc4s
0.00027948510816316	Pirt
0.000309078360421633	Ly86
0.000312751345344477	Pygo1
0.00033410629064791	Serhl
0.000358978380236637	Ift27
0.000364035024822862	C2cd2l
0.000410165904046197	Gm5089
0.000426369681352229	Rps4l
0.000456555438833889	Twf1
0.000473445974075323	Iqub
0.000508405581961867	Mccc1
0.000516102606961106	Etnppl
0.000519236863294024	Ppp1r1b
0.000600742417388838	Fcer1g
0.000611045708257957	Fam214a
0.000611570216718204	Fhad1
0.000624296735522931	Mto1
0.000624348230732185	5730508B09Rik
0.000641412638056864	Arsj
0.000649835432937158	Glt8d2
0.000663390803834342	Evc2
0.000679136827104177	6720489N17Rik
0.000690965886946487	Bco2
0.000702842077109094	Tor3a
0.000717372783850846	Rnf26
0.000737225260271668	Ly96
0.000739479284993005	Ppcdc
0.00077943577074142	Gtf3c2
0.000791137177936082	Pcolce2
0.000860835012617084	Krt18
0.000863880087260845	Tmem25
0.000864074200708163	Dnaja4
0.000887711916715818	Shisa6
0.000923455628454471	Spink8
0.00100155432288105	Vps26b
0.0010080795168998	Pla2g5
0.00102550786789235	Hmbs
0.00104370489734293	4930525G20Rik
0.0010813327283885	Ccdc153
0.0011043478194796	Stat1
0.00111519287019618	Atp13a4
0.00112878240255424	Dact3
0.0011639285983844	Cep164
0.00117968258799943	Fmo2
0.00123260566937077	Ms4a6b
0.00123358814199367	Tnfrsf17
0.0012553387424526	Map10
0.0012762429470956	Cnga4
0.0013164773112587	Pcdhb21
0.00140192328352636	Tnnt2
0.00142436971150679	Tlr7
0.00142874432957486	Sik3
0.00147089162815697	Frrs1
0.00157246310430204	Myl4
0.00158452690124872	Fcrls
0.00158583890507101	Brms1
0.00161645955334771	Cisd2
0.00166165261571058	Cbln3
0.00166225353595961	Ppp6c
0.0016654510088698	Adpgk
0.00170662674773394	Ikzf1
0.00175001707871759	Ccl6
0.00176428474570292	Dpagt1
0.00181535262580747	Pld4
0.00197949302282845	Kcnab2
