#2017-12-06
#
##-------------------------------#
### GENERAL INFO
##-------------------------------#
#Annotation file is C:/new//platforms//GPL1261.an.txt.gz
#No probes removed from annotation.
#Expression data file: C:/new/AD_mouse_model_project/data_and_QC/GEO_data/normalized_matrix//GSE48622_RMA_normalized.data.tsv
#No probes removed due to missing value.
#
#number of rows: 45101
#number of samples: 16
#Factor: Genotype (4 levels): APLP2_KO: n=4, APP_KO: n=4, N_dC_KO: n=4, WT: n=4
#Factor: OrganismPart (1 levels): Hippocampus: n=16
#Factor: Gender (1 levels): M: n=16
#Factor: Timepoint (1 levels): 2_months: n=16
#
#
### Model test for factor: Genotype
#p-value: 0.00185810259135405; Statistic: 10.6778138012036; Expected: 7.10935249061112; Std.dev: 1.02109576229459; #Cov: 45101
##-------------------------------#
### Sample Outliers
##-------------------------------#
#Sample outlier defined by 2 sd away from mean sample to sample correlation. 
#No outliers detected
##-------------------------------#
### LIMMA DE ANALYSIS
##-------------------------------#
#2017-12-06----Dataset: GSE48622
#Imported R objects: C:/new/AD_mouse_model_project/data_and_QC/all_data/explore_data/analysis_mode/GSE48622/results/GSE48622_objects.Rdata
#
#
##-------------------------------#
# MODEL INFO
##-------------------------------#
#Factors for limma analysis: Genotype
#Model: model.matrix( ~ Genotype, data = array_design)
#16 samples, 45101 probes
#coefficients: (Intercept), GenotypeAPLP2_KO, GenotypeAPP_KO, GenotypeN_dC_KO
#q value threshold:0.1
#Factor: Genotype; baseline: WT, coefficient: GenotypeAPLP2_KO
#  DE genes: 58, up: 25, down: 33
#GSE48622_APLP2_KO: original input has 45101 probesets; mapped probesets: 29597; probes mapped to multiple genes to be removed (except for insulin): 597; genes with multiple probesets are BH corrected. New data has 17584 genes.
GSE48622_APLP2_KO	GeneSymbols
1.42130106008748e-10	Galc
5.65603881067964e-08	Zbtb44
1.02064799380721e-06	Ntng2
3.5742061364042e-06	2900052N01Rik
7.72867769797918e-06	Fxyd2
1.23034767216018e-05	Sorl1
1.82561354471027e-05	Gm5617
2.70361745784414e-05	Phf21b
4.73799299934239e-05	Map2k6
5.11390842577905e-05	Nedd4
5.28527827781974e-05	Atg4a
6.66550331752421e-05	Neo1
7.30667747364336e-05	Trub2
8.20523685332779e-05	Pnpla3
8.48342172696489e-05	Hyou1
9.81441537265038e-05	Timd2
0.000104185441765761	Fxyd6
0.000134726863572947	Card10
0.000154757794755832	Vmn1r56
0.000176437770873258	Lypd1
0.000188186934777574	AW011738
0.000191336091175411	Mafg
0.000203028606656381	Filip1
0.000291330417061923	Abcc3
0.000342110071558203	Zfp846
0.000420289409002172	Gnb4
0.000422792734716995	Ift46
0.000430412244731514	Tifa
0.000491599111066057	Dcp2
0.000516885893353107	9230102K24Rik
0.000546400442246091	Igsf3
0.000565757239775734	Ppp6r3
0.000576698728969365	Serpina1c
0.00062515579828645	Slco5a1
0.000644837256263744	4932438A13Rik
0.000660404915481535	Cdkl1
0.000674383968407827	Pggt1b
0.000684666797952567	Olfr16
0.000767786631459772	Ccdc185
0.000796805047055078	Strbp
0.000810008677499253	Dnaaf1
0.000847095137451339	4930519F16Rik
0.000855750247480786	Cyp39a1
0.00087365096005041	Mc2r
0.00088680678938145	Adam2
0.000896412351653587	Lrrc49
0.000944461680795816	Paox
0.000995991110174849	Gbp2b
0.000998128128767225	Mtfmt
0.0010512253866175	Cpeb3
0.00109746647669757	Zbtb34
0.00114973744224073	Trim30d
0.00115982890503591	Uggt2
0.00122512911156666	Myh4
0.00130649927429945	Ifnar1
0.0013821740794142	2610015P09Rik
0.00149925856797132	Slc16a1
0.00153228087634129	Tectb
0.00156186341727874	Elovl5
0.00158098690123345	3930402G23Rik
0.0016474019769423	Clec4d
0.0016772985798924	Lmnb1
0.00169934457633896	Pdzd3
0.00171410257882727	Fut11
0.0018110536261854	Tmtc4
0.00181910549650089	Zfp568
0.00184502605597201	Irgq
0.00186071546355288	Sfn
0.0020080720294112	Cfd
0.00202326528160497	Sox11
0.0020266485435806	Clasp1
0.00211389908581346	Rab3c
0.00212534737826607	Gabra2
0.00220878536992655	Klf10
0.00221484828372831	Slc37a4
0.00221895099796507	Pcdh7
0.00222124003235135	Tmem106a
0.00230783521524778	Dpysl3
0.00240096791138119	Dscaml1
0.00247883161465958	Ppp1r15b
0.00255320189592799	Ces1h
0.00257482968436742	Lats1
0.0026621165246579	Dcx
0.00269866139612906	Ager
0.00271067856916458	Fbxl12os
0.00271654496446107	Tet1
0.00272577194351696	Dlx6os2
0.00274307122237026	BB283400
0.00276241642767408	Tlx3
0.00279401292906204	Kdf1
0.00288125373489743	Hmga2
0.00290814563215522	4933402J15Rik
0.00298336841245213	Dynap
0.00301275331300978	Pou3f4
0.00321876880894801	Gsx1
0.00322504119752393	4930564B18Rik
0.00323606736002698	Prkar2b
0.00325279837538246	Spon2
0.0032798635055223	Cd109
0.00346397375635704	Nav3
0.00352416024759015	Sgol2a
0.00365934759876397	Bcl2l11
0.00368763566615141	Gjb2
0.00369647115532081	Hcar1
0.00401670723227881	8430436N08Rik
0.00403579289485493	Tpbpb
0.00404400672855471	Sema3d
0.00409506052283978	Tk1
0.00409821560917827	Gm19619
0.00413684628030286	Slc22a6
0.0042176025874891	Vmn1r46
0.00423803247455137	Dusp3
0.00427982506157898	Fam170b
0.00429425674739611	Mpst
0.00442173489191116	Rp1
0.00450074634727696	Speer4f
0.00462201952606888	Cdc42ep3
0.00465536805488507	Rian
0.00466153163602955	Zfp26
0.00466383874096214	Klre1
0.00472368854744591	Alox12e
0.00475027501716268	Spats1
0.00477395496474225	Rgs4
0.004793743544009	4930455H04Rik
0.00482734548187516	Gm6936
0.00485053059996521	Rassf6
0.00507664900533657	St8sia4
0.00512063157074265	Rxra
0.0051501636303257	Mos
0.00525168099845166	BC037704
0.00532629462311292	Xlr4b
0.00534745086968053	Mylk2
0.00550584036595274	Aldh7a1
0.00551093069879581	Il31ra
0.00560756387195589	Bbc3
0.00561509443764097	Dnajb7
0.00562544953527038	Trim71
0.00564780247004641	4931406C07Rik
0.00574809087145241	1700011H14Rik
0.00575440003082638	P2ry1
0.00577185189094435	Clec10a
0.00578969212034763	Agtr1b
0.0058121023921033	Ccdc67
0.00582195222432587	Olfr558
0.00587795654835107	Cep164
0.00600197624311078	Sox13
0.00600237566503166	Gria4
0.00600898031322535	Lars
0.00601018298014528	Krtap4-6
0.00601815308486361	5730420D15Rik
0.00604511952837587	Rbm45
0.00608832918751867	1700084F23Rik
0.0061582179118611	Vtcn1
0.0063273297864403	Lgi2
0.00636936829200502	Nkx2-6
0.00639224396758921	Sstr2
0.00643063560557761	Aplnr
0.00644480218747334	AA388235
0.00646621287754287	Igfals
0.00652093950334592	Fbp2
0.00652496423704646	Masp2
0.00655365331415773	Mcemp1
0.00659400631293205	Serpina3n
0.00661220972928674	Nrm
0.00669997241993253	Megf9
0.00677492606742356	P2ry2
0.00678975179728068	Trim67
0.00680304562303981	Cd209f
0.0068668331255493	Rhov
0.00695481492414212	Zdhhc19
0.00701466596192373	Ctsg
0.00704748768645029	AI414108
0.00709690056000396	Rita1
0.00711365000115787	Sox4
0.00716958871448623	Bace1
0.00718376698476914	Atp11a
0.00719333847003454	Catsper2
0.00727161192553855	Wdfy1
0.00727849313976409	Serpina3a
0.00729351448135461	Mfap2
0.00734280486840345	E230008N13Rik
0.00745921188565621	Klhl32
0.00748810999259824	Fyn
0.00767188174343886	Col11a1
0.00770105057660407	Ptprr
0.00779619587506091	Prg4
0.00779682232673479	Psd4
0.00781854537402624	Myl3
0.00783791425001713	Adprhl1
0.00784423104158529	1700007B14Rik
0.00785416040974554	Ptf1a
0.00798720038403496	Pecr
0.00802883008453476	Glud1
0.00803837614875297	Ptprz1
0.00811380176928819	C530008M17Rik
0.00813485357930538	Depdc1b
