ProbeName	pValue	qValue	LogFC	TestStat	GeneSymbols	GeneNames	up	down	up_padj	down_padj
1420621_a_at	8.76355681510098e-22	3.95245175917869e-17	-4.09004638636417	-72.8972623262098	App	amyloid beta (A4) precursor protein	1	4.38177840755049e-22	1	1.97622587958935e-17
1423739_x_at	1.50193153907125e-19	3.38693071718263e-15	-3.23349434823539	-52.956958948822	Aplp2	amyloid beta (A4) precursor-like protein 2	1	7.50965769535626e-20	1	1.69346535859131e-15
1427442_a_at	5.26987900114206e-18	7.9225604276836e-14	-3.38775247046425	-42.4285633995113	App	amyloid beta (A4) precursor protein	1	2.63493950057103e-18	1	3.9612802138418e-14
1421889_a_at	1.20598678446993e-17	1.35978024915945e-13	-3.28752334294617	-40.2913744685319	Aplp2	amyloid beta (A4) precursor-like protein 2	1	6.02993392234963e-18	1	6.79890124579726e-14
1440153_at	1.98950638059699e-17	1.79457454542609e-13	-5.12772798358875	-39.0507381910521			1	9.94753190298493e-18	1	8.97287272713046e-14
1432344_a_at	6.58439419112571e-17	4.94937937356601e-13	-3.36172346758181	-36.2343088450667	Aplp2	amyloid beta (A4) precursor-like protein 2	1	3.29219709556286e-17	1	2.47468968678301e-13
1421888_x_at	1.11650434012625e-11	7.19363746343343e-08	-1.14072260224888	-16.8537343830933	Aplp2	amyloid beta (A4) precursor-like protein 2	0.999999999994417	5.58252170063125e-12	1	3.59681873171671e-08
1421887_a_at	1.14675181778123e-10	6.46495671671891e-07	-1.33403396731517	-14.4603080155103	Aplp2	amyloid beta (A4) precursor-like protein 2	0.999999999942662	5.73375908890615e-11	1	3.23247835835945e-07
1457913_at	8.82064160610208e-09	4.42021952307567e-05	1.2053188384609	10.7633756974075			4.41032080305104e-09	0.999999995589679	0.000198909878538405	0.999999995589679
1450820_a_at	1.98409702837104e-08	8.94847600765624e-05	1.37154986210074	10.1658573319714	Ntng2	netrin G2	9.92048514185521e-09	0.999999990079515	0.000223711900191406	0.999999995589679
1427271_at	4.02545349418098e-08	0.000158123833118998	0.772899896378584	9.66495400706213	Zbtb44	zinc finger and BTB domain containing 44	2.01272674709049e-08	0.999999979872732	0.000256951228818371	0.999999995589679
1438769_a_at	4.38648183450691e-08	0.000158123833118998	-1.01630208366442	-9.60539427461363	Thyn1	thymocyte nuclear protein 1	0.999999978067591	2.19324091725346e-08	1	0.000109908176232276
1443285_at	4.55779213442489e-08	0.000158123833118998	1.04333078778838	9.5789134458671			2.27889606721244e-08	0.999999977211039	0.000256951228818371	0.999999995589679
1460218_at	1.74624966283986e-07	0.00056255432888386	-0.659943644291292	-8.68255094560684	Cd52	CD52 antigen	0.999999912687517	8.73124831419928e-08	1	0.000393788030218702
1419692_a_at	3.4420768371191e-07	0.00103494071620606	-0.610734391513847	-8.25212088416543	Ltc4s	leukotriene C4 synthase	0.999999827896158	1.72103841855955e-07	1	0.00070564139741322
1427076_at	6.12278909083978e-07	0.00172589944241228	-1.11339290057149	-7.89776461514386	Mpeg1	macrophage expressed gene 1	0.999999693860545	3.06139454541989e-07	1	0.00115059962827485
1434145_s_at	7.60777391643945e-07	0.00201834242003138	-0.809762251536205	-7.76665673485283	Serhl	serine hydrolase-like	0.999999619611304	3.80388695821972e-07	1	0.00131968542848206
1457495_at	1.26822852930362e-06	0.00317768749445126	1.14708802940947	7.46329704740974	2900052N01Rik	RIKEN cDNA 2900052N01 gene	6.3411426465181e-07	0.999999365885735	0.00571983749001226	0.999999995589679
1449401_at	1.76983314017756e-06	0.00420111812921832	-0.360377738422893	-7.26925149276116	C1qc	complement component 1, q subcomponent, C chain	0.99999911508343	8.8491657008878e-07	1	0.002850758730541
1446540_at	2.09840234629017e-06	0.00473200221100165	1.26669111985421	7.17121347850522			1.04920117314509e-06	0.999998950798827	0.00788667035166942	0.999999995589679
1443723_at	2.51422700408064e-06	0.00539972152909718	-2.19804485610298	-7.06793773248661	Trpm3	transient receptor potential cation channel, subfamily M, member 3	0.999998742886498	1.25711350204032e-06	1	0.00373810820952124
1418462_at	2.79046164981126e-06	0.00552589909233574	-0.738989977468872	-7.00876106357066	Exosc9	exosome component 9	0.999998604769175	1.39523082490563e-06	1	0.00373810820952124
1417227_at	2.81802352772049e-06	0.00552589909233574	-0.555922138562802	-7.00319529124429	Mccc1	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)	0.999998590988236	1.40901176386025e-06	1	0.00373810820952124
1429135_at	3.04529849479378e-06	0.00572275030890393	-2.37983041504778	-6.95935632362967	Prr32	proline rich 32	0.999998477350753	1.52264924739689e-06	1	0.00376251269451873
1443541_at	3.21832814854368e-06	0.00580599271309875	-1.022149490425	-6.92821111284202	Gm5148	predicted gene 5148	0.999998390835926	1.60916407427184e-06	1	0.00376251269451873
1417793_at	3.50451898592497e-06	0.00590990944930355	-0.606266227515137	-6.88034398575481	Irgm2	immunity-related GTPase family M member 2	0.999998247740507	1.75225949296248e-06	1	0.00376251269451873
1433678_at	3.53800481433218e-06	0.00590990944930355	-0.409930927216522	-6.8750115553531	Pld4	phospholipase D family, member 4	0.999998230997593	1.76900240716609e-06	1	0.00376251269451873
1450725_s_at	3.67066270279648e-06	0.00591251994852944	-1.04501053461725	-6.85439168958129	Car14	carbonic anhydrase 14	0.999998164668649	1.83533135139824e-06	1	0.00376251269451873
1430153_at	4.0041223292349e-06	0.00622723866106287	-0.478275399392205	-6.80581110956851			0.999997997938835	2.00206116461745e-06	1	0.00392586785153963
1436617_at	4.22617413621141e-06	0.00635348932390903	-0.87443807526217	-6.77574647828197	Cetn4	centrin 4	0.999997886912932	2.11308706810571e-06	1	0.00397093082744314
1451605_at	4.44219574599126e-06	0.00646282162386941	-0.815173482156062	-6.74803831967495	Dyx1c1	dyslexia susceptibility 1 candidate 1 homolog (human)	0.999997778902127	2.22109787299563e-06	1	0.00400694940679903
1430287_s_at	5.28739578418601e-06	0.00745208866445541	-0.470821348739352	-6.65168294052443	Hemk1	HemK methyltransferase family member 1	0.999997356302108	2.643697892093e-06	1	0.00456169510347623
1456532_at	5.48554272511555e-06	0.00749707461955868	-1.32836652667677	-6.63141992082361			0.999997257228637	2.74277136255777e-06	1	0.00456169510347623
1451527_at	5.66406345302031e-06	0.00751338017043145	-0.825729916632192	-6.61380631161686	Pcolce2	procollagen C-endopeptidase enhancer 2	0.999997167968274	2.83203172651016e-06	1	0.00456169510347623
1448550_at	6.02669541563986e-06	0.00776599971259353	-1.38796011849028	-6.5797419426885	Lbp	lipopolysaccharide binding protein	0.999996986652292	3.01334770781993e-06	1	0.00468637913690989
1448591_at	6.62230271150057e-06	0.00806169217724727	-0.520517522368375	-6.52817554577278	Ctss	cathepsin S	0.999996688848644	3.31115135575028e-06	1	0.00493416687569288
1449127_at	6.78296149293715e-06	0.00806169217724727	-0.422073683789723	-6.51509154984627	Selplg	selectin, platelet (p-selectin) ligand	0.999996608519254	3.39148074646858e-06	1	0.00493416687569288
1457218_at	6.79240599400005e-06	0.00806169217724727	0.43896954855469	6.51433245984362	Strbp	spermatid perinuclear RNA binding protein	3.39620299700003e-06	0.999996603797003	0.0208401095497308	0.999999995589679
1452309_at	7.30802513568544e-06	0.00845126260627049	-0.514871298772828	-6.47447611930964	Cgnl1	cingulin-like 1	0.999996345987432	3.65401256784272e-06	1	0.00514998815069608
1423400_at	7.91433165639506e-06	0.0085254993612535	-1.71314374465038	-6.43119462733089	Kl	klotho	0.999996042834172	3.95716582819753e-06	1	0.00526423742217345
1423513_at	7.97684118211089e-06	0.0085254993612535	0.466954043771605	6.42692993840722	Neo1	neogenin	3.98842059105545e-06	0.999996011579409	0.0208401095497308	0.999999995589679
1443915_at	8.06102040402625e-06	0.0085254993612535	-1.18283057330865	-6.42124144977728			0.999995969489798	4.03051020201313e-06	1	0.00526423742217345
1456418_at	8.17047558928054e-06	0.0085254993612535	-2.839711675651	-6.41393662949222	Kcnj13	potassium inwardly-rectifying channel, subfamily J, member 13	0.999995914762205	4.08523779464027e-06	1	0.00526423742217345
